Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-transactionfees_raw,bitcoin-median_transaction_fee_raw,bitcoin-fee_to_reward_raw,bitcoin-mining_profitability_raw,top100cap-btc_raw,difficulty-btc-sma-7,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-7,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-std-90,difficulty-btc-mom-30,difficulty-btc-mom-90,difficulty-btc-var-90,difficulty-btc-trx-30,difficulty-btc-rsi-90,difficulty-btc-roc-90,hashrate-btc-sma-3,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-wma-3,hashrate-btc-wma-7,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-90,hashrate-btc-var-90,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-30,mining_profitability-btc-mom-90,mining_profitability-btc-var-7,mining_profitability-btc-var-14,mining_profitability-btc-var-30,mining_profitability-btc-trx-14,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,mining_profitability-btc-rsi-90,mining_profitability-btc-roc-90,sentinusd-btc-ema-30,sentinusd-btc-std-30,sentinusd-btc-std-90,sentinusd-btc-trx-90,transactionfees-btc-sma-3,transactionfees-btc-sma-90,transactionfees-btc-ema-3,transactionfees-btc-wma-3,transactionfees-btc-std-90,transactionfees-btc-trx-30,transactionfees-btc-trx-90,transactionfees-btc-rsi-90,transactionfees-btc-roc-90,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-sma-7,median_transaction_fee-btc-sma-14,median_transaction_fee-btc-ema-3,median_transaction_fee-btc-ema-7,median_transaction_fee-btc-ema-14,median_transaction_fee-btc-wma-3,median_transaction_fee-btc-wma-7,median_transaction_fee-btc-std-30,median_transaction_fee-btc-std-90,median_transaction_fee-btc-mom-30,median_transaction_fee-btc-mom-90,median_transaction_fee-btc-trx-14,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,median_transaction_fee-btc-rsi-30,median_transaction_fee-btc-rsi-90,median_transaction_fee-btc-roc-30,median_transaction_fee-btc-roc-90,confirmationtime-btc-sma-90,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,confirmationtime-btc-trx-90,marketcap-btc-sma-3,marketcap-btc-sma-7,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-wma-30,marketcap-btc-std-30,marketcap-btc-std-90,marketcap-btc-mom-90,marketcap-btc-var-14,marketcap-btc-var-30,marketcap-btc-var-90,marketcap-btc-trx-30,marketcap-btc-trx-90,marketcap-btc-rsi-14,marketcap-btc-rsi-30,marketcap-btc-rsi-90,marketcap-btc-roc-30,marketcap-btc-roc-90,transactionvalue-btc-sma-30,transactionvalue-btc-ema-30,transactionvalue-btc-std-90,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-std-14,mediantransactionvalue-btc-std-90,mediantransactionvalue-btc-mom-90,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-3,fee_to_reward-btc-sma-7,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-3,fee_to_reward-btc-ema-7,fee_to_reward-btc-ema-14,fee_to_reward-btc-ema-30,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-3,fee_to_reward-btc-wma-7,fee_to_reward-btc-wma-14,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-14,fee_to_reward-btc-std-30,fee_to_reward-btc-var-14,fee_to_reward-btc-var-30,fee_to_reward-btc-trx-90,size-btc-sma-7,size-btc-sma-14,size-btc-sma-30,size-btc-sma-90,size-btc-ema-7,size-btc-ema-14,size-btc-ema-30,size-btc-ema-90,size-btc-wma-14,size-btc-wma-90,size-btc-std-90,size-btc-var-90,size-btc-trx-90,transactions-btc-sma-90,transactions-btc-ema-30,transactions-btc-ema-90,transactions-btc-wma-30,transactions-btc-wma-90,transactions-btc-var-90,transactions-btc-trx-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-std-90,sentbyaddress-btc-var-90,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-sma-3,top100cap-btc-sma-7,top100cap-btc-sma-14,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-3,top100cap-btc-ema-7,top100cap-btc-ema-14,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-3,top100cap-btc-wma-7,top100cap-btc-wma-14,top100cap-btc-wma-30,top100cap-btc-wma-90,top100cap-btc-std-90,top100cap-btc-mom-90,top100cap-btc-var-90,top100cap-btc-trx-14,top100cap-btc-trx-30,top100cap-btc-rsi-30,top100cap-btc-rsi-90,top100cap-btc-roc-90,activeaddresses-btc-std-90,activeaddresses-btc-var-90,activeaddresses-btc-trx-90,price-btc-sma-3,price-btc-sma-7,price-btc-sma-14,price-btc-ema-3,price-btc-ema-7,price-btc-ema-14,price-btc-wma-3,price-btc-wma-7,price-btc-wma-14,price-btc-wma-30,price-btc-std-14,price-btc-std-30,price-btc-std-90,price-btc-mom-30,price-btc-mom-90,price-btc-var-14,price-btc-var-30,price-btc-var-90,price-btc-trx-30,price-btc-trx-90,price-btc-rsi-30,price-btc-rsi-90,price-btc-roc-30,price-btc-roc-90,bitcoin-price_raw_1d,bitcoin-price_raw_90d,1d_binary_price_change,7d_binary_price_change,30d_binary_price_change,90d_binary_price_change
2013-04-01,1039517192,94.715,0.0777,0.0474,0.867,7220.0,19.962,6695826,5182950,3906368,6526779,6096133,5385392,4296620,6695826,6368099,5652157,4430808,2161986,2327950,3716190,1168545930405.0,1.046,91.841,124.72,59387909975187.0,44956251399826.0,31776180357082.0,53347760970783.0,46935502677847.0,60620238288447.0,57669081336507.0,55439878831239.0,49808994690260.0,37564285480092.0,22738053510663.0,1.2925476936344e+26,0.372,6932.0,6562.0,6279.0,5449.0,3913.0,6990.0,6648.0,6242.0,5603.0,4403.0,7035.0,6806.0,5894.0,4650.0,1716.0,2048.0,4974.0,458425.0,736163.0,1048771.0,1.522,1.215,0.091,54.763,221.516,97859408,99974157,83568369,0.276,0.089,0.031,0.084,0.086,0.045,2.712,1.218,55.785,624.061,0.045,0.042,0.037,0.045,0.042,0.038,0.046,0.044,0.019,0.023,0.031,0.041,2.987,2.482,1.11,68.162,65.414,185.993,606.456,9.146,8.93,8.698,-0.057,991852178,931090321,352418998,997954603,929243159,1005258635,966815475,881124856,725365498,409268958,455860515,897213385,20266774602124288,4.187527004296205e+16,5.195220233693293e+16,2.586,1.097,95.218,93.977,91.946,189.415,630.491,1883,2019,1697.0,-0.116,26.683,31.061,17.452,28.818,50.469,2.119,0.207,1.136,1.301,1.154,1.279,1.237,1.06,1.172,1.189,1.215,1.157,1.037,1.22,1.205,1.188,1.245,0.555,1.147,0.077,0.329,0.742,168568,149845,154996,154528,158345,155480,154181,149099,158761,156022,50776,644540075,0.334,52541,53711,51153,52842,54403,64627438,0.394,44836,10848,29422322,0.406,0.253,19.921,19.799,19.59,19.499,19.396,19.906,19.799,19.671,19.545,19.501,19.922,19.86,19.706,19.568,19.428,0.322,0.426,0.026,0.063,0.011,65.405,50.301,2.183,18183,82659141,0.27,90.406,84.929,73.635,90.961,84.752,75.294,91.616,88.156,80.404,66.298,25.772,37.068,41.348,61.597,81.308,166.051,343.518,427.406,2.538,1.025,93.774,91.45,185.993,606.456,107.749,89.829,1,1,1,0
2013-04-02,1183101461,107.749,0.105,0.0539,1.338,7990.0,20.024,6695826,5260549,3947659,6569041,6176092,5469936,4349349,6695826,6466725,5749761,4492115,2230475,2327950,3716190,1243754847226.0,1.085,91.841,124.72,60633728191775.0,45919538052526.0,32209968678589.0,54480805761613.0,47897444240696.0,61849081751860.0,59321581487439.0,56553256710420.0,50898629883949.0,38225151777783.0,23513282442924.0,1.3821861281017e+26,0.384,7394.0,6924.0,6503.0,5582.0,3977.0,7490.0,6984.0,6475.0,5757.0,4482.0,7564.0,7164.0,6058.0,4740.0,1734.0,2170.0,5757.0,442945.0,751741.0,1177343.0,1.605,1.241,0.104,55.757,257.863,108146320,113391979,94000481,0.312,0.092,0.032,0.094,0.094,0.047,2.777,1.251,58.315,869.772,0.049,0.045,0.039,0.05,0.045,0.04,0.05,0.047,0.02,0.024,0.038,0.047,3.127,2.534,1.139,71.179,67.414,231.964,716.218,9.13,8.909,8.672,-0.059,1066526516,987933018,364007125,1090528032,992707735,1100883277,1029818260,931363359,761891508,444769123,485734098,1042931435,24130034807257856,4.945489328610125e+16,5.898440351722694e+16,2.665,1.129,96.519,95.152,93.08,235.976,744.047,2012,2172,1835.0,-0.089,27.577,32.466,26.981,32.06,80.441,2.21,0.23,1.094,1.322,1.163,1.286,1.243,1.199,1.214,1.209,1.223,1.161,1.138,1.229,1.229,1.192,1.248,0.563,1.145,0.079,0.328,0.733,170577,152916,155608,155210,162620,158142,155553,149678,162174,156482,50230,630754328,0.331,52806,54317,51415,53415,54635,63840999,0.392,45961,11689,34157477,0.432,0.256,19.944,19.861,19.639,19.522,19.401,19.965,19.855,19.718,19.576,19.513,19.974,19.917,19.764,19.602,19.442,0.345,0.427,0.03,0.074,0.014,66.711,50.893,2.179,19348,93587018,0.274,97.171,90.078,77.661,99.355,90.501,79.621,100.288,93.861,84.952,69.605,28.113,40.279,44.05,75.291,94.548,197.592,405.594,485.111,2.617,1.057,94.987,92.645,231.964,716.218,120.003,85.608,1,1,1,0
2013-04-03,1318189886,120.003,0.133,0.06,1.596,8852.0,19.987,6695826,5338147,3988950,6600737,6245390,5549026,4400920,6695826,6547748,5842360,4552514,2293952,2327950,3716190,1315553871298.0,1.122,91.841,124.72,62539358860900.0,46674364484225.0,32616029589136.0,55252747333251.0,48695697357354.0,61667401430421.0,60165619495677.0,57300567652967.0,51824489851457.0,38841863840867.0,24166298674113.0,1.4600249790161e+26,0.396,8021.0,7363.0,6645.0,5743.0,4050.0,8171.0,7451.0,6792.0,5957.0,4578.0,8293.0,7645.0,6269.0,4847.0,2113.0,2388.0,6575.0,595387.0,1116414.0,1426075.0,1.738,1.276,0.117,56.831,288.861,117439750,122981011,102642361,0.353,0.105,0.034,0.114,0.114,0.052,2.871,1.288,60.746,1028.0,0.054,0.048,0.041,0.055,0.049,0.043,0.056,0.051,0.023,0.025,0.027,0.053,3.319,2.599,1.17,73.612,69.112,79.898,808.284,9.123,8.894,8.652,-0.061,1180269513,1052246046,377094375,1204358959,1074078272,1226714962,1112382477,993687854,805345883,493549055,522966667,1177852524,33865648882136320,6.089766752797075e+16,6.837353381290434e+16,2.756,1.163,97.272,95.925,93.897,264.158,839.301,2144,2321,1965.0,-0.059,28.497,34.005,35.642,35.657,82.801,2.327,0.256,1.267,1.292,1.227,1.299,1.25,1.398,1.31,1.26,1.247,1.17,1.389,1.297,1.287,1.212,1.255,0.541,1.151,0.073,0.331,0.725,169651,158643,156259,156056,168017,161618,157402,150437,166346,157119,49584,614641815,0.329,53046,54926,51687,54012,54876,63855681,0.391,47459,13162,43309807,0.468,0.26,19.991,19.906,19.68,19.542,19.405,19.976,19.888,19.754,19.602,19.523,19.995,19.948,19.81,19.632,19.454,0.364,0.366,0.033,0.085,0.017,65.191,50.53,1.864,21903,119931071,0.279,107.489,95.902,82.108,109.679,97.877,85.006,111.703,101.342,90.598,73.541,33.32,44.695,47.421,86.649,106.79,277.562,499.422,562.186,2.707,1.09,95.785,93.508,259.795,808.284,123.562,83.204,1,1,0,0
2013-04-04,1357824968,123.562,0.141,0.0618,1.948,8777.0,19.99,6695826,5415745,4030241,6624509,6305448,5623013,4451358,6695826,6611170,5929952,4612006,2352822,2327950,3716190,1383943002621.0,1.154,91.841,124.72,59129473196998.0,47372797279589.0,32978965966943.0,55255375040829.0,49120004311079.0,58033949570014.0,59239759066545.0,57233203198374.0,52379205377642.0,39339807259569.0,24532541967280.0,1.5046140384409e+26,0.407,8540.0,7555.0,6794.0,5910.0,4122.0,8474.0,7782.0,7057.0,6139.0,4670.0,8671.0,7999.0,6465.0,4951.0,2382.0,2510.0,6518.0,843694.0,1418707.0,1574429.0,1.884,1.316,0.132,56.71,288.561,124473962,129336259,108586735,0.396,0.126,0.035,0.128,0.132,0.056,2.985,1.328,61.387,1244.0,0.059,0.051,0.043,0.058,0.052,0.045,0.06,0.054,0.024,0.027,0.043,0.055,3.525,2.674,1.203,74.264,69.578,237.355,834.762,9.122,8.904,8.657,-0.063,1286372105,1111986416,390620653,1281091963,1145014946,1315492689,1188777207,1054749313,849301001,539459089,559483423,1217365028,43754363667288448,7.27540271846002e+16,7.825542515096218e+16,2.854,1.2,97.446,96.113,94.103,241.441,866.699,2244,2446,2068.0,-0.027,29.741,35.968,47.437,40.642,111.93,2.481,0.285,1.627,1.382,1.3,1.315,1.261,1.673,1.469,1.352,1.292,1.187,1.729,1.461,1.383,1.254,1.271,0.627,1.173,0.098,0.344,0.717,176267,165396,157161,156943,181405,169611,161541,152000,174736,158559,51353,659287348,0.327,53249,55688,52017,54801,55177,65661184,0.389,49026,14643,53607673,0.514,0.264,20.0,19.947,19.723,19.564,19.41,19.983,19.914,19.786,19.627,19.534,19.995,19.969,19.852,19.661,19.467,0.383,0.45,0.037,0.094,0.02,65.257,50.559,2.302,24213,146568407,0.284,117.104,101.303,86.363,116.62,104.298,90.146,119.74,108.257,96.125,77.521,37.881,48.85,50.724,86.935,110.343,358.748,596.59,643.239,2.805,1.126,95.977,93.724,237.355,834.762,128.664,81.424,1,0,0,0
2013-04-05,1414392012,128.664,0.12,0.0643,1.432,9950.0,19.833,6740002,5503651,4074968,6719647,6398730,5712177,4507483,6773134,6698222,6032489,4677386,2423226,2637182,4025422,1468006625051.0,1.184,92.508,135.098,55786092478212.0,47974562797815.0,33303685514234.0,54796719001473.0,49293904339116.0,54376940344342.0,57385663183689.0,56680072340202.0,52665828439969.0,39753796023936.0,24746657364734.0,1.5309926268188e+26,0.419,9193.0,8052.0,7008.0,6087.0,4210.0,9212.0,8324.0,7443.0,6385.0,4786.0,9376.0,8598.0,6726.0,5079.0,2886.0,2853.0,7877.0,1246477.0,2082572.0,2035077.0,2.074,1.368,0.147,58.121,379.844,131112830,135208527,114080731,0.441,0.132,0.036,0.124,0.129,0.059,3.093,1.37,58.864,1049.0,0.062,0.054,0.045,0.061,0.055,0.048,0.063,0.058,0.026,0.028,0.045,0.058,3.728,2.755,1.237,75.175,70.229,229.992,876.762,9.11,8.909,8.657,-0.065,1363468955,1178437837,404780326,1347741988,1212359213,1379502643,1264378606,1117079745,894840766,585022130,596666721,1274370485,53171160876601088,8.556272309817466e+16,8.90027940952962e+16,2.957,1.238,97.675,96.361,94.378,233.999,910.125,2341,2568,2170.0,0.006,30.977,37.929,55.711,45.16,111.238,2.658,0.317,1.659,1.389,1.319,1.232,1.267,1.552,1.46,1.363,1.301,1.193,1.631,1.474,1.4,1.261,1.274,0.627,0.672,0.098,0.113,0.71,178017,169640,157013,157741,183570,172338,163382,152837,178026,159287,51155,654198460,0.326,53491,56045,52220,55212,55352,64193454,0.388,50335,15788,62312782,0.564,0.269,19.937,19.943,19.757,19.578,19.413,19.908,19.893,19.792,19.64,19.54,19.911,19.94,19.866,19.678,19.477,0.392,0.29,0.038,0.1,0.023,59.122,49.033,1.485,25666,164680970,0.29,124.076,107.314,90.858,122.642,110.389,95.282,125.52,115.097,101.765,81.643,41.76,52.973,54.087,89.674,115.491,435.977,701.54,731.342,2.907,1.164,96.233,94.013,229.992,876.762,134.114,78.461,1,0,0,0
2013-04-06,1474827634,134.114,0.101,0.0671,0.947,8923.0,19.833,6879599,5613822,4127116,6957985,6568632,5838682,4577055,7006384,6853785,6172446,4756464,2526499,3305124,4693363,1595799220682.0,1.216,93.644,157.515,56305374878719.0,48957293289103.0,33759925800740.0,55734251767998.0,50102569526942.0,57398001480444.0,58293873861928.0,57489531610825.0,53559612436911.0,40380708754402.0,25312859842570.0,1.6018521835239e+26,0.431,9217.0,8384.0,7170.0,6217.0,4283.0,9068.0,8474.0,7640.0,6548.0,4877.0,9241.0,8816.0,6909.0,5183.0,3039.0,2999.0,6611.0,946223.0,2309302.0,2248623.0,2.225,1.419,0.163,56.491,285.864,132822859,134073592,115485795,0.486,0.121,0.037,0.112,0.114,0.06,3.173,1.411,56.7,626.386,0.064,0.057,0.048,0.064,0.058,0.05,0.065,0.061,0.028,0.03,0.047,0.06,3.916,2.84,1.274,76.109,70.901,235.372,922.051,9.098,8.907,8.651,-0.066,1415681538,1252116292,419616955,1411284811,1277976318,1435181982,1338476055,1180841788,942148593,629729766,634738238,1335296658,59944549751180288,9.913989447586125e+16,1.0072315767911875e+17,3.062,1.278,97.892,96.601,94.647,239.445,956.989,2423,2626,2215.0,0.04,31.783,39.077,53.993,46.74,72.548,2.811,0.35,1.442,1.315,1.318,1.213,1.267,1.25,1.332,1.307,1.278,1.187,1.276,1.363,1.351,1.243,1.267,0.629,0.671,0.099,0.113,0.702,173848,172024,155571,158385,177319,170502,163071,152963,176549,159305,49700,617523242,0.324,53699,55755,52205,55003,55309,59472284,0.386,50446,15763,62117197,0.607,0.274,19.885,19.925,19.792,19.593,19.416,19.871,19.878,19.797,19.653,19.547,19.859,19.913,19.876,19.695,19.486,0.4,0.23,0.04,0.103,0.026,59.132,49.037,1.171,25872,167334419,0.296,128.78,113.979,95.893,128.378,116.32,100.46,130.538,121.797,107.532,85.923,44.329,57.016,57.528,94.124,120.991,491.259,812.71,827.367,3.011,1.203,96.479,94.297,235.372,922.051,142.08,73.017,1,0,0,0
2013-04-07,1563013110,142.08,0.121,0.071,1.302,9411.0,19.767,7019195,5723993,4179265,7136739,6715881,5957025,4645098,7204734,6982440,6305297,4834395,2621567,3305124,4693363,1718152888140.0,1.248,93.644,157.515,58784561381311.0,49888014119461.0,34203852889091.0,56664353485313.0,50915953083130.0,60600321365015.0,59289674782452.0,58326586227485.0,54446884782637.0,41016974443350.0,25919505474601.0,1.6795519101196e+26,0.443,9428.0,8732.0,7477.0,6370.0,4360.0,9240.0,8709.0,7876.0,6733.0,4977.0,9339.0,9073.0,7115.0,5295.0,3016.0,3162.0,6962.0,690831.0,2274547.0,2498776.0,2.354,1.472,0.179,57.07,284.158,132461825,131287264,115946907,0.53,0.114,0.038,0.117,0.114,0.062,3.244,1.452,58.303,925.944,0.067,0.061,0.051,0.068,0.061,0.053,0.069,0.064,0.03,0.032,0.05,0.064,4.092,2.93,1.312,77.395,71.841,244.103,979.512,9.1,8.904,8.644,-0.068,1484077585,1335838037,435428226,1487148960,1349235516,1508847768,1416200260,1248942242,992908503,677702511,675664378,1423014406,66425185414824960,1.148201734889614e+17,1.1413058805451376e+17,3.168,1.321,98.162,96.909,95.001,248.283,1016.0,2475,2614,2223.0,0.073,32.319,39.631,50.921,47.111,48.258,2.913,0.383,1.227,1.347,1.349,1.217,1.272,1.276,1.324,1.307,1.28,1.19,1.206,1.36,1.349,1.249,1.268,0.576,0.672,0.083,0.113,0.695,182074,177415,157037,159496,184342,175157,165803,154115,181001,160339,49383,609668881,0.323,53957,56247,52451,55590,55522,58397618,0.384,50513,15865,62923228,0.64,0.278,19.811,19.914,19.82,19.602,19.418,19.819,19.85,19.793,19.66,19.551,19.8,19.874,19.873,19.706,19.494,0.404,0.141,0.041,0.103,0.028,56.711,48.404,0.72,26457,174998891,0.302,134.952,121.555,101.415,135.229,122.76,106.009,137.188,128.822,113.691,90.515,46.645,61.353,61.227,100.79,128.918,543.945,941.058,937.173,3.117,1.245,96.797,94.67,244.103,979.512,163.561,66.0,1,0,0,0
2013-04-08,1799989332,163.561,0.123,0.0818,1.183,10124.0,19.689,7158791,5834164,4229880,7270804,6843497,6067733,4711645,7368185,7091172,6431039,4911181,2711968,3305124,4555363,1838692472962.0,1.279,93.644,146.116,62628787655926.0,50810250348052.0,34633063475243.0,57555524163205.0,51718029243541.0,62882107459111.0,60153700465301.0,59225424300777.0,55315279585865.0,41657508084677.0,26548753749922.0,1.762090814185e+26,0.455,9486.0,9147.0,7854.0,6535.0,4453.0,9682.0,9062.0,8176.0,6952.0,5090.0,9687.0,9421.0,7357.0,5422.0,2922.0,3402.0,8304.0,468986.0,2134668.0,2893644.0,2.483,1.528,0.196,57.897,456.035,137461679,131132652,119753751,0.574,0.115,0.04,0.12,0.119,0.064,3.305,1.494,58.463,989.802,0.073,0.066,0.054,0.075,0.066,0.057,0.076,0.07,0.033,0.034,0.06,0.075,4.304,3.033,1.352,80.346,74.12,278.959,1120.0,9.083,8.913,8.648,-0.069,1612610025,1444476915,453843044,1643569146,1461923970,1666803642,1532238083,1340503509,1056560996,751938281,730830417,1657333580,85487888508019968,1.413527946427534e+17,1.3352827466677536e+17,3.286,1.366,98.658,97.53,95.761,283.564,1162.0,2583,2706,2296.0,0.108,33.565,41.631,55.454,51.324,112.106,3.035,0.418,1.144,1.392,1.347,1.216,1.274,1.229,1.289,1.29,1.274,1.19,1.183,1.319,1.327,1.247,1.266,0.578,0.672,0.084,0.113,0.687,190055,179311,158313,160005,187036,177818,167694,155017,183361,161122,49894,622354878,0.322,54213,56587,52650,56040,55688,56310715,0.383,51564,16667,69446512,0.677,0.283,19.763,19.875,19.837,19.608,19.421,19.754,19.81,19.779,19.662,19.554,19.739,19.817,19.856,19.712,19.499,0.408,0.294,0.042,0.1,0.03,54.048,47.679,1.514,28724,206269076,0.309,146.585,131.39,108.159,149.395,132.96,113.683,151.492,139.324,121.977,96.276,52.913,68.074,66.216,120.4,150.154,699.937,1159.0,1096.0,3.234,1.289,97.44,95.477,278.959,1120.0,195.397,69.751,1,0,0,0
2013-04-09,2151102847,195.397,0.144,0.0977,1.11,13352.0,19.714,7298387,5944335,4279029,7371353,6954098,6171299,4776730,7496738,7190598,6549674,4986854,2798086,3305124,4423450,1957321566010.0,1.308,93.644,136.125,63723263997732.0,51677790418136.0,35121378181982.0,58563006778222.0,52582133406915.0,64123535519064.0,61535531505530.0,60252315743341.0,56237950129593.0,42327366992383.0,27149681059982.0,1.8427629541468e+26,0.467,10963.0,9913.0,8419.0,6805.0,4578.0,11517.0,10135.0,8866.0,7365.0,5272.0,11619.0,10472.0,7797.0,5618.0,3775.0,4155.0,11242.0,2217095.0,3563293.0,4316562.0,2.722,1.606,0.215,61.31,532.828,149512000,145523932,131209654,0.623,0.129,0.041,0.132,0.133,0.068,3.369,1.538,60.061,1292.0,0.084,0.072,0.058,0.086,0.074,0.062,0.088,0.078,0.039,0.037,0.053,0.091,4.608,3.161,1.397,83.624,76.92,119.952,1337.0,9.051,8.897,8.628,-0.07,1838035096,1582762827,476135446,1897335997,1634218689,1936050053,1708894567,1468946073,1140004234,870274634,809883232,2006316195,130677126534863616,1.893444844507342e+17,1.6397771221867283e+17,3.427,1.416,99.062,98.112,96.548,345.233,1386.0,2761,2923,2499.0,0.145,35.483,44.961,78.894,61.185,172.672,3.222,0.459,1.199,1.36,1.341,1.209,1.275,1.17,1.244,1.266,1.263,1.188,1.166,1.248,1.295,1.24,1.263,0.586,0.672,0.086,0.113,0.679,190581,180579,158105,160347,185059,177993,168432,155546,183337,161542,49992,624788508,0.321,54477,57247,52961,56817,55965,56620209,0.382,53052,17992,80927400,0.721,0.289,19.723,19.83,19.846,19.618,19.424,19.734,19.786,19.771,19.665,19.558,19.714,19.777,19.839,19.718,19.506,0.413,0.329,0.043,0.095,0.032,54.763,47.935,1.699,30637,234652099,0.317,167.012,143.911,116.995,172.396,148.569,124.578,175.898,155.325,133.608,103.832,65.438,78.796,73.372,150.978,181.794,1071.0,1552.0,1346.0,3.375,1.338,98.043,96.314,339.904,1337.0,178.5,73.549,0,0,0,0
2013-04-10,1965870661,178.5,0.181,0.0892,1.34,12305.0,19.762,7437983,6054505,4328179,7446765,7049951,6268182,4840384,7590391,7280717,6661200,5061446,2878277,3305124,4423450,2071119322547.0,1.335,93.644,136.125,66222093728887.0,52725657551404.0,35644762825181.0,60115473053303.0,53719189563974.0,67365155440861.0,64074433030924.0,61816842038471.0,57433350995605.0,43098468655225.0,28005325368815.0,1.9607456225329e+26,0.48,11927.0,10406.0,8884.0,7054.0,4689.0,11911.0,10677.0,9325.0,7683.0,5426.0,12290.0,11070.0,8152.0,5788.0,3964.0,4531.0,10026.0,2630164.0,3928726.0,5132843.0,2.957,1.69,0.235,59.722,439.973,167775652,175702618,151433519,0.679,0.149,0.043,0.157,0.159,0.074,3.457,1.585,62.619,350.16,0.09,0.076,0.062,0.088,0.078,0.066,0.091,0.082,0.042,0.04,0.044,0.082,4.852,3.289,1.445,76.609,72.699,97.805,1198.0,9.026,8.867,8.595,-0.072,1972320947,1675288652,496351594,1931603329,1717131682,1999967835,1804671525,1559682438,1207909993,933615576,864916406,1819453286,145165435848499456,2.179095110426944e+17,1.87020097431988e+17,3.567,1.468,84.586,86.938,87.849,300.395,1243.0,3006,3259,2864.0,0.188,39.108,51.427,148.424,88.13,326.204,3.576,0.514,1.211,1.323,1.308,1.213,1.246,1.255,1.268,1.276,1.268,1.191,1.237,1.244,1.295,1.248,1.264,0.527,0.673,0.069,0.113,0.672,188329,178990,158038,160400,180905,176719,168432,155830,181719,161720,50016,625390165,0.32,54602,57662,53197,57409,56167,57499297,0.381,55035,19967,99673358,0.775,0.295,19.722,19.798,19.852,19.628,19.429,19.748,19.78,19.77,19.672,19.562,19.734,19.76,19.828,19.728,19.513,0.418,0.413,0.044,0.09,0.033,56.115,48.425,2.133,34140,291393310,0.325,179.152,152.268,124.085,175.448,156.052,131.767,181.642,163.972,141.809,109.974,68.953,84.519,78.344,133.379,164.748,1189.0,1786.0,1534.0,3.514,1.389,86.819,87.615,295.611,1198.0,115.0,72.494,0,0,0,0
