Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,hashrate-btc-wma-3,mining_profitability-btc-sma-7,mining_profitability-btc-wma-14,marketcap-btc-wma-3,price-btc-sma-3,price-btc-ema-3,price-btc-wma-3,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,1039517192,94.715,0.0474,65502112131790.0,60620238288447.0,6562.0,6442.0,1005258635,90.406,90.961,91.616,107.749,163.561,124.662,89.829
2013-04-02,1183101461,107.749,0.0539,61845596902013.0,61849081751860.0,6924.0,6670.0,1100883277,97.171,99.355,100.288,120.003,195.397,111.049,85.608
2013-04-03,1318189886,120.003,0.06,60270367548897.0,61667401430421.0,7363.0,6984.0,1226714962,107.489,109.679,111.703,123.562,178.5,102.694,83.204
2013-04-04,1357824968,123.562,0.0618,55272455140085.0,58033949570014.0,7555.0,7268.0,1315492689,117.104,116.62,119.74,128.664,115.0,105.04,81.424
2013-04-05,1414392012,128.664,0.0643,51815454745655.0,54376940344342.0,8052.0,7689.0,1379502643,124.076,122.642,125.52,134.114,92.446,113.464,78.461
2013-04-06,1474827634,134.114,0.0671,61828214750416.0,57398001480444.0,8384.0,7944.0,1435181982,128.78,128.378,130.538,142.08,98.435,113.005,73.017
2013-04-07,1563013110,142.08,0.071,62710014647861.0,60600321365015.0,8732.0,8243.0,1508847768,134.952,135.229,137.188,163.561,91.849,110.375,66.0
2013-04-08,1799989332,163.561,0.0818,63348133569501.0,62882107459111.0,9147.0,8596.0,1666803642,146.585,149.395,151.492,195.397,87.108,109.595,69.751
2013-04-09,2151102847,195.397,0.0977,65111643775833.0,64123535519064.0,9913.0,9329.0,1936050053,167.012,172.396,175.898,178.5,75.043,108.42,73.549
2013-04-10,1965870661,178.5,0.0892,70206503841325.0,67365155440861.0,10406.0,9847.0,1999967835,179.152,175.448,181.642,115.0,77.734,110.54,72.494
2013-04-11,1267079990,115.0,0.0575,65886778608137.0,67197497880486.0,10166.0,9608.0,1647347356,162.965,145.224,149.566,92.446,94.679,112.503,75.989
2013-04-12,1018942331,92.446,0.0462,63688279726654.0,65507483372931.0,9653.0,9275.0,1259476272,128.648,118.835,114.306,98.435,106.7,111.738,81.5
2013-04-13,1085384852,98.435,0.0492,62912871328188.0,63666992007672.0,9320.0,8974.0,1093519868,101.96,108.635,99.199,91.849,114.48,112.241,84.999
2013-04-14,1013148373,91.849,0.0459,61636671163390.0,62404005978871.0,8801.0,8564.0,1038192859,94.243,100.242,94.144,87.108,114.295,108.635,88.095
