Date,difficulty-btc-std-90,difficulty-btc-var-90,difficulty-btc-rsi-30,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-var-90,hashrate-btc-trx-14,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-30,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-90,mining_profitability-btc-var-14,mining_profitability-btc-var-90,sentinusd-btc-trx-30,transactionfees-btc-ema-90,confirmationtime-btc-wma-90,confirmationtime-btc-trx-90,marketcap-btc-wma-30,marketcap-btc-rsi-90,transactionvalue-btc-std-30,transactionvalue-btc-var-30,transactionvalue-btc-trx-90,mediantransactionvalue-btc-wma-30,transactions-btc-var-90,sentbyaddress-btc-ema-30,top100cap-btc-sma-90,top100cap-btc-wma-90,top100cap-btc-rsi-30,activeaddresses-btc-sma-90,activeaddresses-btc-trx-30,price-btc-ema-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,2161986,1168545930405.0,97.889,19252887180085.0,22738053510663.0,1.2925476936344e+26,2.0,6932.0,6562.0,5449.0,3913.0,6990.0,6648.0,5603.0,7035.0,6806.0,6442.0,5894.0,4650.0,1716.0,2778.0,736163.0,1929846.0,3.029,0.038,8.698,-0.057,725365498,91.946,2031.0,1030745,-0.116,48.928,64627438,44836,19.396,19.428,65.405,57136,0.538,39.444,107.749,163.561,124.662,89.829
2013-04-02,2230475,1243754847226.0,97.889,19640918710600.0,23513282442924.0,1.3821861281017e+26,2.017,7394.0,6924.0,5582.0,3977.0,7490.0,6984.0,5757.0,7564.0,7164.0,6670.0,6058.0,4740.0,1734.0,2884.0,751741.0,2079147.0,3.121,0.04,8.672,-0.059,761891508,93.08,2160.0,1166540,-0.089,52.383,63840999,45961,19.401,19.442,66.711,57678,0.569,40.945,120.003,195.397,111.049,85.608
2013-04-03,2293952,1315553871298.0,97.889,20044305085355.0,24166298674113.0,1.4600249790161e+26,2.015,8021.0,7363.0,5743.0,4050.0,8171.0,7451.0,5957.0,8293.0,7645.0,6984.0,6269.0,4847.0,2113.0,3037.0,1116414.0,2305788.0,3.248,0.042,8.652,-0.061,805345883,93.897,2260.0,1276352,-0.059,56.154,63855681,47459,19.405,19.454,65.191,58298,0.611,42.682,123.562,178.5,102.694,83.204
2013-04-04,2352822,1383943002621.0,97.889,19731382020831.0,24532541967280.0,1.5046140384409e+26,1.969,8540.0,7555.0,5910.0,4122.0,8474.0,7782.0,6139.0,8671.0,7999.0,7268.0,6465.0,4951.0,2382.0,3171.0,1418707.0,2513253.0,3.379,0.044,8.657,-0.063,849301001,94.103,2356.0,1387167,-0.027,61.086,65661184,49026,19.41,19.467,65.257,58982,0.663,44.46,128.664,115.0,105.04,81.424
2013-04-05,2423226,1468006625051.0,98.186,19126208338407.0,24746657364734.0,1.5309926268188e+26,1.873,9193.0,8052.0,6087.0,4210.0,9212.0,8324.0,6385.0,9376.0,8598.0,7689.0,6726.0,5079.0,2886.0,3368.0,2082572.0,2836428.0,3.507,0.045,8.657,-0.065,894840766,94.378,2453.0,1503864,0.006,65.935,64193454,50335,19.413,19.477,59.122,59500,0.716,46.311,134.114,92.446,113.464,78.461
2013-04-06,2526499,1595799220682.0,98.62,18840725883715.0,25312859842570.0,1.6018521835239e+26,1.8,9217.0,8384.0,6217.0,4283.0,9068.0,8474.0,6548.0,9241.0,8816.0,7944.0,6909.0,5183.0,3039.0,3486.0,2309302.0,3037954.0,3.588,0.047,8.651,-0.066,942148593,94.647,2431.0,1477977,0.04,68.313,59472284,50446,19.416,19.486,59.132,59954,0.762,48.24,142.08,98.435,113.005,73.017
2013-04-07,2621567,1718152888140.0,98.62,18707180146223.0,25919505474601.0,1.6795519101196e+26,1.745,9428.0,8732.0,6370.0,4360.0,9240.0,8709.0,6733.0,9339.0,9073.0,8243.0,7115.0,5295.0,3016.0,3626.0,2274547.0,3286874.0,3.616,0.048,8.644,-0.068,992908503,95.001,2364.0,1397038,0.073,68.883,58397618,50513,19.418,19.494,56.711,60321,0.803,50.303,163.561,91.849,110.375,66.0
2013-04-08,2711968,1838692472962.0,98.62,18541883113718.0,26548753749922.0,1.762090814185e+26,1.701,9486.0,9147.0,6535.0,4453.0,9682.0,9062.0,6952.0,9687.0,9421.0,8596.0,7357.0,5422.0,2922.0,3782.0,2134668.0,3575871.0,3.64,0.05,8.648,-0.069,1056560996,95.761,2343.0,1372963,0.108,73.653,56310715,51564,19.421,19.499,54.048,60965,0.852,52.792,195.397,87.108,109.595,69.751
2013-04-09,2798086,1957321566010.0,98.62,18701125323864.0,27149681059982.0,1.8427629541468e+26,1.67,10963.0,9913.0,6805.0,4578.0,11517.0,10135.0,7365.0,11619.0,10472.0,9329.0,7797.0,5618.0,3775.0,4185.0,3563293.0,4379283.0,3.71,0.052,8.628,-0.07,1140004234,96.548,2557.0,1634615,0.145,82.231,56620209,53052,19.424,19.506,54.763,61586,0.904,55.926,178.5,75.043,108.42,73.549
2013-04-10,2878277,2071119322547.0,98.62,19206820698080.0,28005325368815.0,1.9607456225329e+26,1.669,11927.0,10406.0,7054.0,4689.0,11911.0,10677.0,7683.0,12290.0,11070.0,9847.0,8152.0,5788.0,3964.0,4459.0,3928726.0,4971618.0,3.852,0.055,8.595,-0.072,1207909993,87.849,3099.0,2400528,0.188,99.86,57499297,55035,19.429,19.513,56.115,62389,0.968,58.62,115.0,77.734,110.54,72.494
