Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-mom-90,hashrate-btc-wma-3,mining_profitability-btc-sma-14,mining_profitability-btc-sma-90,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-90,mining_profitability-btc-std-90,mining_profitability-btc-var-90,mining_profitability-btc-trx-30,sentinusd-btc-sma-30,transactionfees-btc-sma-30,transactionfees-btc-ema-30,transactionfees-btc-ema-90,transactionfees-btc-wma-30,transactionfees-btc-std-90,median_transaction_fee-btc-wma-3,median_transaction_fee-btc-rsi-90,confirmationtime-btc-trx-90,marketcap-btc-sma-3,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-wma-3,marketcap-btc-wma-7,transactionvalue-btc-wma-90,price-btc-sma-3,price-btc-ema-3,price-btc-wma-3,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,1039517192,94.715,0.0474,65502112131790.0,3716190,60620238288447.0,6279.0,3913.0,5603.0,4403.0,4650.0,2778.0,1929846.0,1.215,91370923,0.056,0.06,0.038,0.065,0.045,0.046,65.414,-0.057,991852178,997954603,929243159,1005258635,966815475,1380,90.406,90.961,91.616,107.749,163.561,124.662,89.829
2013-04-02,1183101461,107.749,0.0539,61845596902013.0,3716190,61849081751860.0,6503.0,3977.0,5757.0,4482.0,4740.0,2884.0,2079147.0,1.241,99082516,0.059,0.063,0.04,0.068,0.047,0.05,67.414,-0.059,1066526516,1090528032,992707735,1100883277,1029818260,1454,97.171,99.355,100.288,120.003,195.397,111.049,85.608
2013-04-03,1318189886,120.003,0.06,60270367548897.0,3716190,61667401430421.0,6645.0,4050.0,5957.0,4578.0,4847.0,3037.0,2305788.0,1.276,106494613,0.062,0.067,0.042,0.073,0.052,0.056,69.112,-0.061,1180269513,1204358959,1074078272,1226714962,1112382477,1528,107.489,109.679,111.703,123.562,178.5,102.694,83.204
2013-04-04,1357824968,123.562,0.0618,55272455140085.0,3716190,58033949570014.0,6794.0,4122.0,6139.0,4670.0,4951.0,3171.0,2513253.0,1.316,111795343,0.066,0.072,0.044,0.078,0.056,0.06,69.578,-0.063,1286372105,1281091963,1145014946,1315492689,1188777207,1597,117.104,116.62,119.74,128.664,115.0,105.04,81.424
2013-04-05,1414392012,128.664,0.0643,51815454745655.0,4025422,54376940344342.0,7008.0,4210.0,6385.0,4786.0,5079.0,3368.0,2836428.0,1.368,116695551,0.067,0.075,0.045,0.081,0.059,0.063,70.229,-0.065,1363468955,1347741988,1212359213,1379502643,1264378606,1667,124.076,122.642,125.52,134.114,92.446,113.464,78.461
2013-04-06,1474827634,134.114,0.0671,61828214750416.0,4693363,57398001480444.0,7170.0,4283.0,6548.0,4877.0,5183.0,3486.0,3037954.0,1.419,120066807,0.069,0.077,0.047,0.084,0.06,0.065,70.901,-0.066,1415681538,1411284811,1277976318,1435181982,1338476055,1716,128.78,128.378,130.538,142.08,98.435,113.005,73.017
2013-04-07,1563013110,142.08,0.071,62710014647861.0,4693363,60600321365015.0,7477.0,4360.0,6733.0,4977.0,5295.0,3626.0,3286874.0,1.472,122750551,0.072,0.08,0.048,0.087,0.062,0.069,71.841,-0.068,1484077585,1487148960,1349235516,1508847768,1416200260,1743,134.952,135.229,137.188,163.561,91.849,110.375,66.0
2013-04-08,1799989332,163.561,0.0818,63348133569501.0,4555363,62882107459111.0,7854.0,4453.0,6952.0,5090.0,5422.0,3782.0,3575871.0,1.528,128434505,0.074,0.082,0.05,0.09,0.064,0.076,74.12,-0.069,1612610025,1643569146,1461923970,1666803642,1532238083,1804,146.585,149.395,151.492,195.397,87.108,109.595,69.751
2013-04-09,2151102847,195.397,0.0977,65111643775833.0,4423450,64123535519064.0,8419.0,4578.0,7365.0,5272.0,5618.0,4185.0,4379283.0,1.606,137541562,0.078,0.086,0.052,0.095,0.068,0.088,76.92,-0.07,1838035096,1897335997,1634218689,1936050053,1708894567,1909,167.012,172.396,175.898,178.5,75.043,108.42,73.549
2013-04-10,1965870661,178.5,0.0892,70206503841325.0,4423450,67365155440861.0,8884.0,4689.0,7683.0,5426.0,5788.0,4459.0,4971618.0,1.69,150582704,0.083,0.093,0.055,0.101,0.074,0.091,72.699,-0.072,1972320947,1931603329,1717131682,1999967835,1804671525,2058,179.152,175.448,181.642,115.0,77.734,110.54,72.494
2013-04-11,1267079990,115.0,0.0575,65886778608137.0,4423450,67197497880486.0,8860.0,4746.0,7645.0,5463.0,5840.0,4449.0,4949018.0,1.746,154934009,0.084,0.093,0.056,0.103,0.075,0.075,60.154,-0.073,1794684499,1599341659,1604618759,1647347356,1702619360,2115,162.965,145.224,149.566,92.446,94.679,112.503,75.989
