Date,difficulty-btc-trx-14,hashrate-btc-var-30,hashrate-btc-trx-30,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-trx-90,sentinusd-btc-sma-90,transactionfees-btc-sma-90,transactionfees-btc-var-30,transactionfees-btc-trx-90,median_transaction_fee-btc-trx-90,marketcap-btc-trx-90,transactionvalue-btc-sma-90,transactionvalue-btc-std-90,transactionvalue-btc-var-90,transactionvalue-btc-trx-14,mediantransactionvalue-btc-sma-90,fee_to_reward-btc-sma-90,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,fee_to_reward-btc-trx-30,top100cap-btc-trx-90,price-btc-trx-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,1.93,9.2668416192271e+25,1.373,6279.0,5449.0,3913.0,5603.0,4403.0,0.091,50015639,0.031,0.001,1.218,1.11,1.097,1039,1697.0,719749,3.688,26.683,1.237,0.956,0.229,0.05,-0.057,1.025,107.749,163.561,124.662,89.829
2013-04-02,1.948,9.6441421949099e+25,1.406,6503.0,5582.0,3977.0,5757.0,4482.0,0.104,52609580,0.032,0.001,1.251,1.139,1.129,1081,1835.0,841849,3.769,27.577,1.243,0.953,0.227,0.038,-0.056,1.057,120.003,195.397,111.049,85.608
2013-04-03,1.943,1.004435415887e+26,1.435,6645.0,5743.0,4050.0,5957.0,4578.0,0.117,55179282,0.034,0.001,1.288,1.17,1.163,1125,1965.0,964945,3.964,28.497,1.25,0.953,0.227,0.036,-0.056,1.09,123.562,178.5,102.694,83.204
2013-04-04,1.917,9.7331859112988e+25,1.456,6794.0,5910.0,4122.0,6139.0,4670.0,0.132,57367531,0.035,0.001,1.328,1.203,1.2,1165,2068.0,1069102,4.155,29.741,1.261,0.963,0.232,0.049,-0.055,1.126,128.664,115.0,105.04,81.424
2013-04-05,1.888,9.1452961351038e+25,1.468,7008.0,6087.0,4210.0,6385.0,4786.0,0.147,59595584,0.036,0.001,1.37,1.237,1.238,1205,2170.0,1177635,4.321,30.977,1.267,0.96,0.23,0.063,-0.054,1.164,134.114,92.446,113.464,78.461
2013-04-06,1.885,8.8743237956317e+25,1.479,7170.0,6217.0,4283.0,6548.0,4877.0,0.163,61196359,0.037,0.001,1.411,1.274,1.278,1239,2215.0,1226309,4.329,31.783,1.267,0.96,0.23,0.068,-0.053,1.203,142.08,98.435,113.005,73.017
2013-04-07,1.89,8.7489647255807e+25,1.489,7477.0,6370.0,4360.0,6733.0,4977.0,0.179,62405013,0.038,0.001,1.452,1.312,1.321,1261,2223.0,1235699,4.11,32.319,1.272,0.956,0.229,0.072,-0.052,1.245,163.561,91.849,110.375,66.0
2013-04-08,1.894,8.5950357350694e+25,1.498,7854.0,6535.0,4453.0,6952.0,5090.0,0.196,64431646,0.04,0.001,1.494,1.352,1.366,1297,2296.0,1317457,3.945,33.565,1.274,0.954,0.228,0.073,-0.051,1.289,195.397,87.108,109.595,69.751
2013-04-09,1.891,8.743302209472e+25,1.506,8419.0,6805.0,4578.0,7365.0,5272.0,0.215,67789645,0.041,0.001,1.538,1.397,1.416,1359,2499.0,1560757,4.021,35.483,1.275,0.953,0.227,0.07,-0.051,1.338,178.5,75.043,108.42,73.549
2013-04-10,1.877,9.2225490332046e+25,1.518,8884.0,7054.0,4689.0,7683.0,5426.0,0.235,72404772,0.043,0.001,1.585,1.445,1.468,1445,2864.0,2050656,4.419,39.108,1.246,0.756,0.143,0.069,-0.05,1.389,115.0,77.734,110.54,72.494
