Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-30,mining_profitability-btc-std-90,mining_profitability-btc-var-90,marketcap-btc-sma-90,marketcap-btc-mom-90,activeaddresses-btc-ema-90,price-btc-sma-3,price-btc-ema-3,price-btc-ema-14,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7,price-btc-mom-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,1039517192,94.715,0.0474,6562.0,6279.0,5449.0,3913.0,5603.0,4403.0,5894.0,4650.0,2048.0,2778.0,1929846.0,352418998,897213385,57827,90.406,90.961,75.294,39.444,91.616,88.156,81.308,107.749,163.561,124.662,89.829
2013-04-02,1183101461,107.749,0.0539,6924.0,6503.0,5582.0,3977.0,5757.0,4482.0,6058.0,4740.0,2170.0,2884.0,2079147.0,364007125,1042931435,58575,97.171,99.355,79.621,40.945,100.288,93.861,94.548,120.003,195.397,111.049,85.608
2013-04-03,1318189886,120.003,0.06,7363.0,6645.0,5743.0,4050.0,5957.0,4578.0,6269.0,4847.0,2388.0,3037.0,2305788.0,377094375,1177852524,59642,107.489,109.679,85.006,42.682,111.703,101.342,106.79,123.562,178.5,102.694,83.204
2013-04-04,1357824968,123.562,0.0618,7555.0,6794.0,5910.0,4122.0,6139.0,4670.0,6465.0,4951.0,2510.0,3171.0,2513253.0,390620653,1217365028,60725,117.104,116.62,90.146,44.46,119.74,108.257,110.343,128.664,115.0,105.04,81.424
2013-04-05,1414392012,128.664,0.0643,8052.0,7008.0,6087.0,4210.0,6385.0,4786.0,6726.0,5079.0,2853.0,3368.0,2836428.0,404780326,1274370485,61589,124.076,122.642,95.282,46.311,125.52,115.097,115.491,134.114,92.446,113.464,78.461
2013-04-06,1474827634,134.114,0.0671,8384.0,7170.0,6217.0,4283.0,6548.0,4877.0,6909.0,5183.0,2999.0,3486.0,3037954.0,419616955,1335296658,62061,128.78,128.378,100.46,48.24,130.538,121.797,120.991,142.08,98.435,113.005,73.017
2013-04-07,1563013110,142.08,0.071,8732.0,7477.0,6370.0,4360.0,6733.0,4977.0,7115.0,5295.0,3162.0,3626.0,3286874.0,435428226,1423014406,62611,134.952,135.229,106.009,50.303,137.188,128.822,128.918,163.561,91.849,110.375,66.0
2013-04-08,1799989332,163.561,0.0818,9147.0,7854.0,6535.0,4453.0,6952.0,5090.0,7357.0,5422.0,3402.0,3782.0,3575871.0,453843044,1657333580,63739,146.585,149.395,113.683,52.792,151.492,139.324,150.154,195.397,87.108,109.595,69.751
2013-04-09,2151102847,195.397,0.0977,9913.0,8419.0,6805.0,4578.0,7365.0,5272.0,7797.0,5618.0,4155.0,4185.0,4379283.0,476135446,2006316195,64801,167.012,172.396,124.578,55.926,175.898,155.325,181.794,178.5,75.043,108.42,73.549
2013-04-10,1965870661,178.5,0.0892,10406.0,8884.0,7054.0,4689.0,7683.0,5426.0,8152.0,5788.0,4531.0,4459.0,4971618.0,496351594,1819453286,66310,179.152,175.448,131.767,58.62,181.642,163.972,164.748,115.0,77.734,110.54,72.494
