Date,bitcoin-hashrate_raw,difficulty-btc-sma-14,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-7,difficulty-btc-wma-90,difficulty-btc-std-30,difficulty-btc-std-90,difficulty-btc-var-90,difficulty-btc-rsi-30,hashrate-btc-sma-3,hashrate-btc-sma-14,hashrate-btc-sma-90,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-90,hashrate-btc-wma-14,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-14,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-90,mining_profitability-btc-var-14,mining_profitability-btc-var-90,sentinusd-btc-sma-14,transactionfees-btc-ema-90,confirmationtime-btc-wma-90,marketcap-btc-ema-90,marketcap-btc-wma-90,transactionvalue-btc-std-30,transactionvalue-btc-var-30,transactionvalue-btc-trx-90,fee_to_reward-btc-trx-90,size-btc-sma-90,transactions-btc-sma-90,transactions-btc-std-90,transactions-btc-var-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,sentbyaddress-btc-trx-30,top100cap-btc-sma-90,activeaddresses-btc-sma-90,price-btc-sma-90,price-btc-ema-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,65502112131790.0,5956136,6690038,6526779,6096133,5385392,4296620,6695826,4430808,1899346,2161986,1168545930405.0,97.889,59387909975187.0,53495262808157.0,31776180357082.0,57115545498179.0,53347760970783.0,35799562131248.0,55439878831239.0,19252887180085.0,22738053510663.0,9.2668416192271e+25,1.2925476936344e+26,2.0,0.372,6932.0,6279.0,5449.0,3913.0,6990.0,6648.0,6242.0,5603.0,4403.0,7035.0,6806.0,5894.0,4650.0,1716.0,2778.0,736163.0,1929846.0,114652550,0.038,8.698,428855865,468618640,2031.0,1030745,-0.116,0.742,154528,52541,16078,64627438,44836,45856,0.406,19.396,57136,32.485,39.444,107.749,163.561,124.662,89.829
2013-04-02,61845596902013.0,6088148,6692932,6569041,6176092,5469936,4349349,6695826,4492115,1949365,2230475,1243754847226.0,97.889,60633728191775.0,54665535479792.0,32209968678589.0,58298058349138.0,54480805761613.0,36372002455880.0,56553256710420.0,19640918710600.0,23513282442924.0,9.6441421949099e+25,1.3821861281017e+26,2.017,0.384,7394.0,6503.0,5582.0,3977.0,7490.0,6984.0,6475.0,5757.0,4482.0,7564.0,7164.0,6058.0,4740.0,1734.0,2884.0,751741.0,2079147.0,126344266,0.04,8.672,445432691,486875397,2160.0,1166540,-0.089,0.733,155210,52806,15980,63840999,45961,47069,0.432,19.401,57678,33.536,40.945,120.003,195.397,111.049,85.608
2013-04-03,60270367548897.0,6220161,6694379,6600737,6245390,5549026,4400920,6695826,4552514,1986041,2293952,1315553871298.0,97.889,62539358860900.0,55777688549531.0,32616029589136.0,58791135649077.0,55252747333251.0,36897241249133.0,57300567652967.0,20044305085355.0,24166298674113.0,1.004435415887e+26,1.4600249790161e+26,2.015,0.396,8021.0,6645.0,5743.0,4050.0,8171.0,7451.0,6792.0,5957.0,4578.0,8293.0,7645.0,6269.0,4847.0,2113.0,3037.0,1116414.0,2305788.0,137048586,0.042,8.652,464614168,507846447,2260.0,1276352,-0.059,0.725,156056,53046,15982,63855681,47459,48661,0.468,19.405,58298,34.722,42.682,123.562,178.5,102.694,83.204
2013-04-04,55272455140085.0,6352174,6695103,6624509,6305448,5623013,4451358,6695826,4612006,2010105,2352822,1383943002621.0,97.889,59129473196998.0,55963936181944.0,32978965966943.0,57911465521829.0,55255375040829.0,37301092103880.0,57233203198374.0,19731382020831.0,24532541967280.0,9.7331859112988e+25,1.5046140384409e+26,1.969,0.407,8540.0,6794.0,5910.0,4122.0,8474.0,7782.0,7057.0,6139.0,4670.0,8671.0,7999.0,6465.0,4951.0,2382.0,3171.0,1418707.0,2513253.0,144813868,0.044,8.657,484245175,529400965,2356.0,1387167,-0.027,0.717,156943,53249,16206,65661184,49026,50349,0.514,19.41,58982,35.948,44.46,128.664,115.0,105.04,81.424
2013-04-05,51815454745655.0,6506275,6850081,6719647,6398730,5712177,4507483,6773134,4677386,2049389,2423226,1468006625051.0,98.186,55786092478212.0,55757270220747.0,33303685514234.0,56387462827786.0,54796719001473.0,37620089085017.0,56680072340202.0,19126208338407.0,24746657364734.0,9.1452961351038e+25,1.5309926268188e+26,1.873,0.419,9193.0,7008.0,6087.0,4210.0,9212.0,8324.0,7443.0,6385.0,4786.0,9376.0,8598.0,6726.0,5079.0,2886.0,3368.0,2082572.0,2836428.0,154976440,0.045,8.657,504687962,551901435,2453.0,1503864,0.006,0.71,157741,53491,16024,64193454,50335,51813,0.564,19.413,59500,37.231,46.311,134.114,92.446,113.464,78.461
2013-04-06,61828214750416.0,6708086,7261540,6957985,6568632,5838682,4577055,7006384,4756464,2146374,2526499,1595799220682.0,98.62,56305374878719.0,56432105022907.0,33759925800740.0,57747650808443.0,55734251767998.0,38152135802938.0,57489531610825.0,18840725883715.0,25312859842570.0,8.8743237956317e+25,1.6018521835239e+26,1.8,0.431,9217.0,7170.0,6217.0,4283.0,9068.0,8474.0,7640.0,6548.0,4877.0,9241.0,8816.0,6909.0,5183.0,3039.0,3486.0,2309302.0,3037954.0,160747888,0.047,8.651,526009713,575418958,2431.0,1477977,0.04,0.702,158385,53699,15424,59472284,50446,52114,0.607,19.416,59954,38.576,48.24,142.08,98.435,113.005,73.017
2013-04-07,62710014647861.0,6857511,7467270,7136739,6715881,5957025,4645098,7204734,4834395,2217375,2621567,1718152888140.0,98.62,58784561381311.0,56606848019815.0,34203852889091.0,58988241768298.0,56664353485313.0,38691869403926.0,58326586227485.0,18707180146223.0,25919505474601.0,8.7489647255807e+25,1.6795519101196e+26,1.745,0.443,9428.0,7477.0,6370.0,4360.0,9240.0,8709.0,7876.0,6733.0,4977.0,9339.0,9073.0,7115.0,5295.0,3016.0,3626.0,2274547.0,3286874.0,165829787,0.048,8.644,548800997,600548544,2364.0,1397038,0.073,0.695,159496,53957,15284,58397618,50513,52363,0.64,19.418,60321,40.008,50.303,163.561,91.849,110.375,66.0
2013-04-08,63348133569501.0,6927309,7570135,7270804,6843497,6067733,4711645,7368185,4911181,2264835,2711968,1838692472962.0,98.62,62628787655926.0,57409957956603.0,34633063475243.0,60078214718599.0,57555524163205.0,39233765319653.0,59225424300777.0,18541883113718.0,26548753749922.0,8.5950357350694e+25,1.762090814185e+26,1.701,0.455,9486.0,7854.0,6535.0,4453.0,9682.0,9062.0,8176.0,6952.0,5090.0,9687.0,9421.0,7357.0,5422.0,2922.0,3782.0,2134668.0,3575871.0,174011066,0.05,8.648,576299641,630538898,2343.0,1372963,0.108,0.687,160005,54213,15008,56310715,51564,53573,0.677,19.421,60965,41.677,52.792,195.397,87.108,109.595,69.751
2013-04-09,65111643775833.0,6997107,7621567,7371353,6954098,6171299,4776730,7496738,4986854,2290219,2798086,1957321566010.0,98.62,63723263997732.0,58472556627847.0,35121378181982.0,61336571982907.0,58563006778222.0,39802509901107.0,60252315743341.0,18701125323864.0,27149681059982.0,8.743302209472e+25,1.8427629541468e+26,1.67,0.467,10963.0,8419.0,6805.0,4578.0,11517.0,10135.0,8866.0,7365.0,5272.0,11619.0,10472.0,7797.0,5618.0,3775.0,4185.0,3563293.0,4379283.0,189189906,0.052,8.628,610910701,667841311,2557.0,1634615,0.145,0.679,160347,54477,15049,56620209,53052,55222,0.721,19.424,61586,43.696,55.926,178.5,75.043,108.42,73.549
2013-04-10,70206503841325.0,7066905,7647284,7446765,7049951,6268182,4840384,7590391,5061446,2294259,2878277,2071119322547.0,98.62,66222093728887.0,60223121319068.0,35644762825181.0,63554054947512.0,60115473053303.0,40470729548145.0,61816842038471.0,19206820698080.0,28005325368815.0,9.2225490332046e+25,1.9607456225329e+26,1.669,0.48,11927.0,8884.0,7054.0,4689.0,11911.0,10677.0,9325.0,7683.0,5426.0,12290.0,11070.0,8152.0,5788.0,3964.0,4459.0,3928726.0,4971618.0,205876465,0.055,8.595,640690041,700582744,3099.0,2400528,0.188,0.672,160400,54602,15166,57499297,55035,57384,0.775,19.429,62389,45.527,58.62,115.0,77.734,110.54,72.494
2013-04-11,65886778608137.0,7136703,7660142,7503324,7133024,6358816,4902639,7649145,5134959,2277070,2953023,2180085742573.0,98.62,67068308741765.0,61109257991306.0,36140003890285.0,64137235862668.0,60884980460614.0,41029324032980.0,62571996343681.0,17638256207232.0,28545384259058.0,7.7777020507993e+25,2.0370974062431e+26,1.659,0.493,10916.0,8860.0,7116.0,4746.0,9502.0,9781.0,9027.0,7645.0,5463.0,9873.0,10242.0,8154.0,5840.0,4004.0,4449.0,4007207.0,4949018.0,209501632,0.056,8.594,654456853,717521830,3057.0,2336379,0.231,0.664,160726,54776,15427,59494684,56408,58962,0.831,19.438,63095,46.649,59.859,92.446,94.679,112.503,75.989
