Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-sma-30,difficulty-btc-rsi-30,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-90,mining_profitability-btc-var-90,transactionfees-btc-ema-90,transactionfees-btc-wma-30,transactionfees-btc-wma-90,transactionfees-btc-std-90,transactionfees-btc-var-30,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-wma-3,marketcap-btc-sma-7,marketcap-btc-sma-90,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-30,transactionvalue-btc-wma-30,transactionvalue-btc-wma-90,mediantransactionvalue-btc-ema-30,mediantransactionvalue-btc-wma-30,sentbyaddress-btc-sma-30,sentbyaddress-btc-wma-90,activeaddresses-btc-ema-90,price-btc-sma-3,price-btc-sma-14,price-btc-sma-30,price-btc-sma-90,price-btc-ema-3,price-btc-ema-90,price-btc-wma-3,price-btc-wma-30,price-btc-trx-14,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,1039517192,94.715,0.0474,65502112131790.0,5182950,97.889,6279.0,5449.0,3913.0,6242.0,5603.0,4403.0,6442.0,5894.0,4650.0,2778.0,1929846.0,0.038,0.065,0.042,0.045,0.001,0.045,0.046,931090321,352418998,428855865,1005258635,966815475,725365498,2254,1380,44.502,48.928,43467,41505,57827,90.406,73.635,56.481,32.485,90.961,39.444,91.616,66.298,3.629,107.749,163.561,124.662,89.829
2013-04-02,1183101461,107.749,0.0539,61845596902013.0,5260549,97.889,6503.0,5582.0,3977.0,6475.0,5757.0,4482.0,6670.0,6058.0,4740.0,2884.0,2079147.0,0.04,0.068,0.043,0.047,0.001,0.049,0.05,987933018,364007125,445432691,1100883277,1029818260,761891508,2417,1454,47.757,52.383,44503,41997,58575,97.171,77.661,58.991,33.536,99.355,40.945,100.288,69.605,3.745,120.003,195.397,111.049,85.608
2013-04-03,1318189886,120.003,0.06,60270367548897.0,5338147,97.889,6645.0,5743.0,4050.0,6792.0,5957.0,4578.0,6984.0,6269.0,4847.0,3037.0,2305788.0,0.042,0.073,0.046,0.052,0.001,0.054,0.056,1052246046,377094375,464614168,1226714962,1112382477,805345883,2576,1528,51.291,56.154,45581,42633,59642,107.489,82.108,61.879,34.722,109.679,42.682,111.703,73.541,3.911,123.562,178.5,102.694,83.204
2013-04-04,1357824968,123.562,0.0618,55272455140085.0,5415745,97.889,6794.0,5910.0,4122.0,7057.0,6139.0,4670.0,7268.0,6465.0,4951.0,3171.0,2513253.0,0.044,0.078,0.048,0.056,0.001,0.059,0.06,1111986416,390620653,484245175,1315492689,1188777207,849301001,2712,1597,55.938,61.086,46630,43319,60725,117.104,86.363,64.777,35.948,116.62,44.46,119.74,77.521,4.087,128.664,115.0,105.04,81.424
2013-04-05,1414392012,128.664,0.0643,51815454745655.0,5503651,98.186,7008.0,6087.0,4210.0,7443.0,6385.0,4786.0,7689.0,6726.0,5079.0,3368.0,2836428.0,0.045,0.081,0.05,0.059,0.001,0.062,0.063,1178437837,404780326,504687962,1379502643,1264378606,894840766,2847,1667,60.405,65.935,47386,43942,61589,124.076,90.858,67.766,37.231,122.642,46.311,125.52,81.643,4.257,134.114,92.446,113.464,78.461
2013-04-06,1474827634,134.114,0.0671,61828214750416.0,5613822,98.62,7170.0,6217.0,4283.0,7640.0,6548.0,4877.0,7944.0,6909.0,5183.0,3486.0,3037954.0,0.047,0.084,0.051,0.06,0.001,0.064,0.065,1252116292,419616955,526009713,1435181982,1338476055,942148593,2919,1716,62.325,68.313,47634,44178,62061,128.78,95.893,70.904,38.576,128.378,48.24,130.538,85.923,4.409,142.08,98.435,113.005,73.017
2013-04-07,1563013110,142.08,0.071,62710014647861.0,5723993,98.62,7477.0,6370.0,4360.0,7876.0,6733.0,4977.0,8243.0,7115.0,5295.0,3626.0,3286874.0,0.048,0.087,0.053,0.062,0.001,0.067,0.069,1335838037,435428226,548800997,1508847768,1416200260,992908503,2921,1743,62.452,68.883,48027,44396,62611,134.952,101.415,74.263,40.008,135.229,50.303,137.188,90.515,4.547,163.561,91.849,110.375,66.0
2013-04-08,1799989332,163.561,0.0818,63348133569501.0,5834164,98.62,7854.0,6535.0,4453.0,8176.0,6952.0,5090.0,8596.0,7357.0,5422.0,3782.0,3575871.0,0.05,0.09,0.055,0.064,0.001,0.073,0.076,1444476915,453843044,576299641,1666803642,1532238083,1056560996,3022,1804,66.85,73.653,49088,44947,63739,146.585,108.159,78.277,41.677,149.395,52.792,151.492,96.276,4.724,195.397,87.108,109.595,69.751
2013-04-09,2151102847,195.397,0.0977,65111643775833.0,5944335,98.62,8419.0,6805.0,4578.0,8866.0,7365.0,5272.0,9329.0,7797.0,5618.0,4185.0,4379283.0,0.052,0.095,0.057,0.068,0.001,0.084,0.088,1582762827,476135446,610910701,1936050053,1708894567,1140004234,3247,1909,74.998,82.231,50258,45662,64801,167.012,116.995,83.309,43.696,172.396,55.926,175.898,103.832,4.995,178.5,75.043,108.42,73.549
2013-04-10,1965870661,178.5,0.0892,70206503841325.0,6054505,98.62,8884.0,7054.0,4689.0,9325.0,7683.0,5426.0,9847.0,8152.0,5788.0,4459.0,4971618.0,0.055,0.101,0.06,0.074,0.001,0.09,0.091,1675288652,496351594,640690041,1999967835,1804671525,1207909993,3593,2058,92.04,99.86,51863,46570,66310,179.152,124.085,87.755,45.527,175.448,58.62,181.642,109.974,5.205,115.0,77.734,110.54,72.494
