Date,difficulty-btc-wma-30,difficulty-btc-trx-90,hashrate-btc-ema-90,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,sentinusd-btc-sma-90,transactionfees-btc-sma-14,transactionfees-btc-trx-90,median_transaction_fee-btc-trx-90,marketcap-btc-trx-90,transactionvalue-btc-sma-14,transactionvalue-btc-sma-90,mediantransactionvalue-btc-sma-90,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,size-btc-sma-7,size-btc-wma-7,size-btc-std-30,size-btc-std-90,size-btc-var-30,size-btc-var-90,top100cap-btc-std-90,top100cap-btc-var-90,top100cap-btc-trx-90,activeaddresses-btc-sma-90,price-btc-trx-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,5652157,0.271,35799562131248.0,6279.0,5449.0,3913.0,5603.0,4403.0,5894.0,4650.0,50015639,0.072,1.218,1.11,1.097,2385,1039,26.683,1.279,1.237,1.157,1.245,0.956,0.229,168568,163582,61285,50776,938951276,644540075,0.322,0.026,-0.057,57136,1.025,107.749,163.561,124.662,89.829
2013-04-02,5749761,0.279,36372002455880.0,6503.0,5582.0,3977.0,5757.0,4482.0,6058.0,4740.0,52609580,0.075,1.251,1.139,1.129,2545,1081,27.577,1.286,1.243,1.161,1.248,0.953,0.227,170577,165301,61721,50230,952368214,630754328,0.345,0.03,-0.056,57678,1.057,120.003,195.397,111.049,85.608
2013-04-03,5842360,0.288,36897241249133.0,6645.0,5743.0,4050.0,5957.0,4578.0,6269.0,4847.0,55179282,0.081,1.288,1.17,1.163,2697,1125,28.497,1.299,1.25,1.17,1.255,0.953,0.227,169651,168709,62497,49584,976467593,614641815,0.364,0.033,-0.056,58298,1.09,123.562,178.5,102.694,83.204
2013-04-04,5929952,0.296,37301092103880.0,6794.0,5910.0,4122.0,6139.0,4670.0,6465.0,4951.0,57367531,0.087,1.328,1.203,1.2,2833,1165,29.741,1.315,1.261,1.187,1.271,0.963,0.232,176267,181688,65394,51353,1069093010,659287348,0.383,0.037,-0.055,58982,1.126,128.664,115.0,105.04,81.424
2013-04-05,6032489,0.305,37620089085017.0,7008.0,6087.0,4210.0,6385.0,4786.0,6726.0,5079.0,59595584,0.091,1.37,1.237,1.238,3026,1205,30.977,1.232,1.267,1.193,1.274,0.96,0.23,178017,185138,65074,51155,1058645352,654198460,0.392,0.038,-0.054,59500,1.164,134.114,92.446,113.464,78.461
2013-04-06,6172446,0.314,38152135802938.0,7170.0,6217.0,4283.0,6548.0,4877.0,6909.0,5183.0,61196359,0.093,1.411,1.274,1.278,3150,1239,31.783,1.213,1.267,1.187,1.267,0.96,0.23,173848,180275,62919,49700,989697975,617523242,0.4,0.04,-0.053,59954,1.203,142.08,98.435,113.005,73.017
2013-04-07,6305297,0.324,38691869403926.0,7477.0,6370.0,4360.0,6733.0,4977.0,7115.0,5295.0,62405013,0.098,1.452,1.312,1.321,3236,1261,32.319,1.217,1.272,1.19,1.268,0.956,0.229,182074,188166,65397,49383,1069205906,609668881,0.404,0.041,-0.052,60321,1.245,163.561,91.849,110.375,66.0
2013-04-08,6431039,0.334,39233765319653.0,7854.0,6535.0,4453.0,6952.0,5090.0,7357.0,5422.0,64431646,0.103,1.494,1.352,1.366,3369,1297,33.565,1.216,1.274,1.19,1.266,0.954,0.228,190055,191427,66811,49894,1115915801,622354878,0.408,0.042,-0.051,60965,1.289,195.397,87.108,109.595,69.751
2013-04-09,6549674,0.344,39802509901107.0,8419.0,6805.0,4578.0,7365.0,5272.0,7797.0,5618.0,67789645,0.108,1.538,1.397,1.416,3610,1359,35.483,1.209,1.275,1.188,1.263,0.953,0.227,190581,188696,66511,49992,1105939032,624788508,0.413,0.043,-0.051,61586,1.338,178.5,75.043,108.42,73.549
2013-04-10,6661200,0.355,40470729548145.0,8884.0,7054.0,4689.0,7683.0,5426.0,8152.0,5788.0,72404772,0.115,1.585,1.445,1.468,3900,1445,39.108,1.213,1.246,1.191,1.264,0.756,0.143,188329,183161,66465,50016,1104405178,625390165,0.418,0.044,-0.05,62389,1.389,115.0,77.734,110.54,72.494
