Date,bitcoin-marketcap_raw,bitcoin-price_raw,marketcap-btc-sma-3,marketcap-btc-ema-3,marketcap-btc-wma-3,transactionvalue-btc-wma-90,price-btc-sma-3,price-btc-ema-3,price-btc-ema-7,price-btc-wma-3,price-btc-wma-7,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,1039517192,94.715,991852178,997954603,1005258635,1380,90.406,90.961,84.752,91.616,88.156,107.749,163.561,124.662,89.829
2013-04-02,1183101461,107.749,1066526516,1090528032,1100883277,1454,97.171,99.355,90.501,100.288,93.861,120.003,195.397,111.049,85.608
2013-04-03,1318189886,120.003,1180269513,1204358959,1226714962,1528,107.489,109.679,97.877,111.703,101.342,123.562,178.5,102.694,83.204
2013-04-04,1357824968,123.562,1286372105,1281091963,1315492689,1597,117.104,116.62,104.298,119.74,108.257,128.664,115.0,105.04,81.424
2013-04-05,1414392012,128.664,1363468955,1347741988,1379502643,1667,124.076,122.642,110.389,125.52,115.097,134.114,92.446,113.464,78.461
2013-04-06,1474827634,134.114,1415681538,1411284811,1435181982,1716,128.78,128.378,116.32,130.538,121.797,142.08,98.435,113.005,73.017
2013-04-07,1563013110,142.08,1484077585,1487148960,1508847768,1743,134.952,135.229,122.76,137.188,128.822,163.561,91.849,110.375,66.0
2013-04-08,1799989332,163.561,1612610025,1643569146,1666803642,1804,146.585,149.395,132.96,151.492,139.324,195.397,87.108,109.595,69.751
2013-04-09,2151102847,195.397,1838035096,1897335997,1936050053,1909,167.012,172.396,148.569,175.898,155.325,178.5,75.043,108.42,73.549
2013-04-10,1965870661,178.5,1972320947,1931603329,1999967835,2058,179.152,175.448,156.052,181.642,163.972,115.0,77.734,110.54,72.494
2013-04-11,1267079990,115.0,1794684499,1599341659,1647347356,2115,162.965,145.224,145.789,149.566,154.655,92.446,94.679,112.503,75.989
2013-04-12,1018942331,92.446,1417297661,1309141995,1259476272,2143,128.648,118.835,132.453,114.306,140.006,98.435,106.7,111.738,81.5
2013-04-13,1085384852,98.435,1123802391,1197263424,1093519868,2163,101.96,108.635,123.949,99.199,128.147,91.849,114.48,112.241,84.999
2013-04-14,1013148373,91.849,1039158519,1105205898,1038192859,2159,94.243,100.242,115.924,94.144,115.915,87.108,114.295,108.635,88.095
2013-04-15,961179992,87.108,1019904406,1033192945,999203596,2162,92.464,93.675,108.72,90.576,104.293,75.043,113.535,104.575,88.156
2013-04-16,828357493,75.043,934228619,930775219,903430139,2171,84.666,84.359,100.3,81.865,92.384,77.734,120.78,107.0,89.295
2013-04-17,858411619,77.734,882649701,894593419,865521639,2189,79.961,81.046,94.659,78.399,85.447,94.679,134.8,110.492,89.925
2013-04-18,1045938834,94.679,910902649,970266127,947166206,2415,82.485,87.863,94.664,85.758,86.345,106.7,139.74,112.815,88.775
2013-04-19,1179129473,106.7,1027826642,1074697800,1081279618,2450,93.038,97.281,97.673,97.865,90.974,114.48,132.945,112.905,86.483
2013-04-20,1265497456,114.48,1163521921,1170097628,1200115025,2469,105.286,105.881,101.875,108.586,97.039,114.295,126.316,113.2,83.838
2013-04-21,1263886915,114.295,1236171281,1216992271,1250297522,2486,111.825,110.088,104.98,113.091,102.484,113.535,124.045,115.28,83.858
2013-04-22,1255982265,113.535,1261788879,1236487268,1260203013,2533,114.103,111.811,107.118,113.945,106.938,120.78,130.56,116.686,83.889
2013-04-23,1336598030,120.78,1285489070,1286542649,1297607589,2562,116.203,116.296,110.534,117.284,112.259,134.8,134.465,118.696,84.1
2013-04-24,1492314913,134.8,1361631736,1389428781,1401020511,2622,123.038,125.548,116.6,126.582,119.452,139.74,124.662,124.605,85.24
2013-04-25,1547569552,139.74,1458827498,1468499167,1493989419,2660,131.773,132.644,122.385,134.933,125.841,132.945,111.049,127.725,86.425
2013-04-26,1472883529,132.945,1504255998,1470691348,1501017434,2681,135.828,132.794,125.025,135.519,128.923,126.316,102.694,128.75,87.875
2013-04-27,1399986806,126.316,1473479962,1435339077,1448882838,2688,133.0,129.555,125.348,130.763,129.41,124.045,105.04,128.355,89.193
