Date,bitcoin-marketcap_raw,bitcoin-price_raw,difficulty-btc-sma-14,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-90,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-14,hashrate-btc-wma-7,hashrate-btc-wma-30,confirmationtime-btc-std-90,confirmationtime-btc-var-90,marketcap-btc-sma-30,marketcap-btc-sma-90,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-wma-90,marketcap-btc-trx-90,transactionvalue-btc-ema-7,mediantransactionvalue-btc-trx-90,size-btc-sma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-90,sentbyaddress-btc-wma-90,top100cap-btc-sma-90,top100cap-btc-ema-90,top100cap-btc-wma-90,activeaddresses-btc-sma-90,price-btc-sma-3,price-btc-sma-7,price-btc-sma-30,price-btc-ema-3,price-btc-ema-7,price-btc-ema-14,price-btc-ema-30,price-btc-wma-3,price-btc-wma-7,price-btc-wma-30,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,1039517192,94.715,5956136,3906368,6690038,4296620,6368099,5652157,4430808,44956251399826.0,31776180357082.0,53347760970783.0,57669081336507.0,49808994690260.0,2.697,1.818,616948319,352418998,824742386,669282203,428855865,1005258635,966815475,881124856,468618640,1.097,2644,0.207,154528,43467,39879,39824,41505,19.396,19.501,19.428,57136,90.406,84.929,56.481,90.961,84.752,75.294,61.215,91.616,88.156,66.298,107.749,163.561,124.662,89.829
2013-04-02,1183101461,107.749,6088148,3947659,6692932,4349349,6466725,5749761,4492115,45919538052526.0,32209968678589.0,54480805761613.0,59321581487439.0,50898629883949.0,2.708,1.833,644647072,364007125,872523596,702431833,445432691,1100883277,1029818260,931363359,486875397,1.129,3083,0.23,155210,44503,40218,40318,41997,19.401,19.513,19.442,57678,97.171,90.078,58.991,99.355,90.501,79.621,64.217,100.288,93.861,69.605,120.003,195.397,111.049,85.608
2013-04-03,1318189886,120.003,6220161,3988950,6694379,4400920,6547748,5842360,4552514,46674364484225.0,32616029589136.0,55252747333251.0,60165619495677.0,51824489851457.0,2.714,1.841,676520635,377094375,931945768,742158159,464614168,1226714962,1112382477,993687854,507846447,1.163,3432,0.256,156056,45581,40562,40952,42633,19.405,19.523,19.454,58298,107.489,95.902,61.879,109.679,97.877,85.006,67.816,111.703,101.342,73.541,123.562,178.5,102.694,83.204
2013-04-04,1357824968,123.562,6352174,4030241,6695103,4451358,6611170,5929952,4612006,47372797279589.0,32978965966943.0,55255375040829.0,59239759066545.0,52379205377642.0,2.714,1.841,708525651,390620653,988729661,781878598,484245175,1315492689,1188777207,1054749313,529400965,1.2,3636,0.285,156943,46630,40971,41629,43319,19.41,19.534,19.467,58982,117.104,101.303,64.777,116.62,104.298,90.146,71.413,119.74,108.257,77.521,128.664,115.0,105.04,81.424
2013-04-05,1414392012,128.664,6506275,4074968,6850081,4507483,6698222,6032489,4677386,47974562797815.0,33303685514234.0,54796719001473.0,57385663183689.0,52665828439969.0,2.704,1.828,741556324,404780326,1045484641,822685915,504687962,1379502643,1264378606,1117079745,551901435,1.238,3814,0.317,157741,47386,41318,42237,43942,19.413,19.54,19.477,59500,124.076,107.314,67.766,122.642,110.389,95.282,75.106,125.52,115.097,81.643,134.114,92.446,113.464,78.461
2013-04-06,1474827634,134.114,6708086,4127116,7261540,4577055,6853785,6172446,4756464,48957293289103.0,33759925800740.0,55734251767998.0,58293873861928.0,53559612436911.0,2.699,1.821,776234498,419616955,1102730374,864759574,526009713,1435181982,1338476055,1180841788,575418958,1.278,3725,0.35,158385,47634,41563,42453,44178,19.416,19.547,19.486,59954,128.78,113.979,70.904,128.378,116.32,100.46,78.913,130.538,121.797,85.923,142.08,98.435,113.005,73.017
2013-04-07,1563013110,142.08,6857511,4179265,7467270,4645098,6982440,6305297,4834395,49888014119461.0,34203852889091.0,56664353485313.0,59289674782452.0,54446884782637.0,2.697,1.819,813375690,435428226,1164101405,909808190,548800997,1508847768,1416200260,1248942242,600548544,1.321,3405,0.383,159496,48027,41727,42652,44396,19.418,19.551,19.494,60321,134.952,121.555,74.263,135.229,122.76,106.009,82.989,137.188,128.822,90.515,163.561,91.849,110.375,66.0
2013-04-08,1799989332,163.561,6927309,4229880,7570135,4711645,7091172,6431039,4911181,50810250348052.0,34633063475243.0,57555524163205.0,60153700465301.0,55315279585865.0,2.673,1.786,857732657,453843044,1248886462,967239231,576299641,1666803642,1532238083,1340503509,630538898,1.366,3565,0.418,160005,49088,42067,43182,44947,19.421,19.554,19.499,60965,146.585,131.39,78.277,149.395,132.96,113.683,88.187,151.492,139.324,96.276,195.397,87.108,109.595,69.751
2013-04-09,2151102847,195.397,6997107,4279029,7621567,4776730,7190598,6549674,4986854,51677790418136.0,35121378181982.0,58563006778222.0,61535531505530.0,56237950129593.0,2.646,1.75,913331396,476135446,1369181980,1043617529,610910701,1936050053,1708894567,1468946073,667841311,1.416,4192,0.459,160347,50258,42470,43874,45662,19.424,19.558,19.506,61586,167.012,143.911,83.309,172.396,148.569,124.578,95.104,175.898,155.325,103.832,178.5,75.043,108.42,73.549
2013-04-10,1965870661,178.5,7066905,4328179,7647284,4840384,7280717,6661200,5061446,52725657551404.0,35644762825181.0,60115473053303.0,64074433030924.0,57433350995605.0,2.66,1.768,962494324,496351594,1448740471,1103117731,640690041,1999967835,1804671525,1559682438,700582744,1.468,5175,0.514,160400,51863,42930,44751,46570,19.429,19.562,19.513,62389,179.152,152.268,87.755,175.448,156.052,131.767,100.484,181.642,163.972,109.974,115.0,77.734,110.54,72.494
