Date,bitcoin-marketcap_raw,bitcoin-price_raw,hashrate-btc-sma-14,confirmationtime-btc-trx-90,marketcap-btc-sma-3,marketcap-btc-sma-30,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-90,transactionvalue-btc-ema-90,transactionvalue-btc-wma-90,transactions-btc-sma-90,transactions-btc-trx-90,price-btc-sma-3,price-btc-sma-7,price-btc-sma-30,price-btc-ema-3,price-btc-ema-7,price-btc-ema-30,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7,price-btc-wma-30,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,1039517192,94.715,53495262808157.0,-0.057,991852178,616948319,352418998,997954603,428855865,1005258635,468618640,1335,1380,52541,0.394,90.406,84.929,56.481,90.961,84.752,61.215,39.444,91.616,88.156,66.298,107.749,163.561,124.662,89.829
2013-04-02,1183101461,107.749,54665535479792.0,-0.059,1066526516,644647072,364007125,1090528032,445432691,1100883277,486875397,1403,1454,52806,0.392,97.171,90.078,58.991,99.355,90.501,64.217,40.945,100.288,93.861,69.605,120.003,195.397,111.049,85.608
2013-04-03,1318189886,120.003,55777688549531.0,-0.061,1180269513,676520635,377094375,1204358959,464614168,1226714962,507846447,1470,1528,53046,0.391,107.489,95.902,61.879,109.679,97.877,67.816,42.682,111.703,101.342,73.541,123.562,178.5,102.694,83.204
2013-04-04,1357824968,123.562,55963936181944.0,-0.063,1286372105,708525651,390620653,1281091963,484245175,1315492689,529400965,1531,1597,53249,0.389,117.104,101.303,64.777,116.62,104.298,71.413,44.46,119.74,108.257,77.521,128.664,115.0,105.04,81.424
2013-04-05,1414392012,128.664,55757270220747.0,-0.065,1363468955,741556324,404780326,1347741988,504687962,1379502643,551901435,1593,1667,53491,0.388,124.076,107.314,67.766,122.642,110.389,75.106,46.311,125.52,115.097,81.643,134.114,92.446,113.464,78.461
2013-04-06,1474827634,134.114,56432105022907.0,-0.066,1415681538,776234498,419616955,1411284811,526009713,1435181982,575418958,1634,1716,53699,0.386,128.78,113.979,70.904,128.378,116.32,78.913,48.24,130.538,121.797,85.923,142.08,98.435,113.005,73.017
2013-04-07,1563013110,142.08,56606848019815.0,-0.068,1484077585,813375690,435428226,1487148960,548800997,1508847768,600548544,1652,1743,53957,0.384,134.952,121.555,74.263,135.229,122.76,82.989,50.303,137.188,128.822,90.515,163.561,91.849,110.375,66.0
2013-04-08,1799989332,163.561,57409957956603.0,-0.069,1612610025,857732657,453843044,1643569146,576299641,1666803642,630538898,1705,1804,54213,0.383,146.585,131.39,78.277,149.395,132.96,88.187,52.792,151.492,139.324,96.276,195.397,87.108,109.595,69.751
2013-04-09,2151102847,195.397,58472556627847.0,-0.07,1838035096,913331396,476135446,1897335997,610910701,1936050053,667841311,1801,1909,54477,0.382,167.012,143.911,83.309,172.396,148.569,95.104,55.926,175.898,155.325,103.832,178.5,75.043,108.42,73.549
2013-04-10,1965870661,178.5,60223121319068.0,-0.072,1972320947,962494324,496351594,1931603329,640690041,1999967835,700582744,1940,2058,54602,0.381,179.152,152.268,87.755,175.448,156.052,100.484,58.62,181.642,163.972,109.974,115.0,77.734,110.54,72.494
