Date,bitcoin-difficulty_raw,difficulty-btc-sma-3,difficulty-btc-sma-7,difficulty-btc-sma-14,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-3,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-var-90,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-90,hashrate-btc-var-90,hashrate-btc-trx-90,mining_profitability-btc-sma-90,mining_profitability-btc-std-90,transactionfees-btc-trx-90,marketcap-btc-sma-90,marketcap-btc-ema-90,marketcap-btc-wma-90,fee_to_reward-btc-sma-90,transactions-btc-sma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-90,top100cap-btc-wma-90,price-btc-sma-90,price-btc-ema-90,price-btc-wma-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,6695826,6695826,6695826,5956136,5182950,3906368,6690038,6526779,6096133,5385392,4296620,6695826,6695826,6368099,5652157,4430808,1168545930405.0,55235596298287.0,53495262808157.0,44956251399826.0,31776180357082.0,53347760970783.0,46935502677847.0,35799562131248.0,55439878831239.0,49808994690260.0,37564285480092.0,22738053510663.0,1.2925476936344e+26,0.372,3913.0,2778.0,1.218,352418998,428855865,468618640,1.237,52541,43467,44836,45856,19.499,19.396,19.501,19.428,32.485,39.444,43.032,107.749,163.561,124.662,89.829
2013-04-02,6695826,6695826,6695826,6088148,5260549,3947659,6692932,6569041,6176092,5469936,4349349,6695826,6695826,6466725,5749761,4492115,1243754847226.0,56894215515944.0,54665535479792.0,45919538052526.0,32209968678589.0,54480805761613.0,47897444240696.0,36372002455880.0,56553256710420.0,50898629883949.0,38225151777783.0,23513282442924.0,1.3821861281017e+26,0.384,3977.0,2884.0,1.251,364007125,445432691,486875397,1.243,52806,44503,45961,47069,19.522,19.401,19.513,19.442,33.536,40.945,44.686,120.003,195.397,111.049,85.608
2013-04-03,6695826,6695826,6695826,6220161,5338147,3988950,6694379,6600737,6245390,5549026,4400920,6695826,6695826,6547748,5842360,4552514,1315553871298.0,58975896856611.0,55777688549531.0,46674364484225.0,32616029589136.0,55252747333251.0,48695697357354.0,36897241249133.0,57300567652967.0,51824489851457.0,38841863840867.0,24166298674113.0,1.4600249790161e+26,0.396,4050.0,3037.0,1.288,377094375,464614168,507846447,1.25,53046,45581,47459,48661,19.542,19.405,19.523,19.454,34.722,42.682,46.586,123.562,178.5,102.694,83.204
2013-04-04,6695826,6695826,6695826,6352174,5415745,4030241,6695103,6624509,6305448,5623013,4451358,6695826,6695826,6611170,5929952,4612006,1383943002621.0,59231838277080.0,55963936181944.0,47372797279589.0,32978965966943.0,55255375040829.0,49120004311079.0,37301092103880.0,57233203198374.0,52379205377642.0,39339807259569.0,24532541967280.0,1.5046140384409e+26,0.407,4122.0,3171.0,1.328,390620653,484245175,529400965,1.261,53249,46630,49026,50349,19.564,19.41,19.534,19.467,35.948,44.46,48.539,128.664,115.0,105.04,81.424
2013-04-05,7005058,6798904,6740002,6506275,5503651,4074968,6850081,6719647,6398730,5712177,4507483,6850442,6773134,6698222,6032489,4677386,1468006625051.0,58195372037459.0,55757270220747.0,47974562797815.0,33303685514234.0,54796719001473.0,49293904339116.0,37620089085017.0,56680072340202.0,52665828439969.0,39753796023936.0,24746657364734.0,1.5309926268188e+26,0.419,4210.0,3368.0,1.37,404780326,504687962,551901435,1.267,53491,47386,50335,51813,19.578,19.413,19.54,19.477,37.231,46.311,50.576,134.114,92.446,113.464,78.461
2013-04-06,7673000,7124628,6879599,6708086,5613822,4127116,7261540,6957985,6568632,5838682,4577055,7287490,7006384,6853785,6172446,4756464,1595799220682.0,58726810965768.0,56432105022907.0,48957293289103.0,33759925800740.0,55734251767998.0,50102569526942.0,38152135802938.0,57489531610825.0,53559612436911.0,40380708754402.0,25312859842570.0,1.6018521835239e+26,0.431,4283.0,3486.0,1.411,419616955,526009713,575418958,1.267,53699,47634,50446,52114,19.593,19.416,19.547,19.486,38.576,48.24,52.706,142.08,98.435,113.005,73.017
2013-04-07,7673000,7450353,7019195,6857511,5723993,4179265,7467270,7136739,6715881,5957025,4645098,7561676,7204734,6982440,6305297,4834395,1718152888140.0,59892030838102.0,56606848019815.0,49888014119461.0,34203852889091.0,56664353485313.0,50915953083130.0,38691869403926.0,58326586227485.0,54446884782637.0,41016974443350.0,25919505474601.0,1.6795519101196e+26,0.443,4360.0,3626.0,1.452,435428226,548800997,600548544,1.272,53957,48027,50513,52363,19.602,19.418,19.551,19.494,40.008,50.303,54.981,163.561,91.849,110.375,66.0
2013-04-08,7673000,7673000,7158791,6927309,5834164,4229880,7570135,7270804,6843497,6067733,4711645,7673000,7368185,7091172,6431039,4911181,1838692472962.0,59584319614918.0,57409957956603.0,50810250348052.0,34633063475243.0,57555524163205.0,51718029243541.0,39233765319653.0,59225424300777.0,55315279585865.0,41657508084677.0,26548753749922.0,1.762090814185e+26,0.455,4453.0,3782.0,1.494,453843044,576299641,630538898,1.274,54213,49088,51564,53573,19.608,19.421,19.554,19.499,41.677,52.792,57.696,195.397,87.108,109.595,69.751
2013-04-09,7673000,7673000,7298387,6997107,5944335,4279029,7621567,7371353,6954098,6171299,4776730,7673000,7496738,7190598,6549674,4986854,1957321566010.0,60050897739750.0,58472556627847.0,51677790418136.0,35121378181982.0,58563006778222.0,52582133406915.0,39802509901107.0,60252315743341.0,56237950129593.0,42327366992383.0,27149681059982.0,1.8427629541468e+26,0.467,4578.0,4185.0,1.538,476135446,610910701,667841311,1.275,54477,50258,53052,55222,19.618,19.424,19.558,19.506,43.696,55.926,61.074,178.5,75.043,108.42,73.549
2013-04-10,7673000,7673000,7437983,7066905,6054505,4328179,7647284,7446765,7049951,6268182,4840384,7673000,7590391,7280717,6661200,5061446,2071119322547.0,61470345781525.0,60223121319068.0,52725657551404.0,35644762825181.0,60115473053303.0,53719189563974.0,40470729548145.0,61816842038471.0,57433350995605.0,43098468655225.0,28005325368815.0,1.9607456225329e+26,0.48,4689.0,4459.0,1.585,496351594,640690041,700582744,1.246,54602,51863,55035,57384,19.628,19.429,19.562,19.513,45.527,58.62,64.037,115.0,77.734,110.54,72.494
