Date,difficulty-btc--std7,hashrate-btc--mom3,hashrate-btc--mom7,hashrate-btc--var14,hashrate-btc--rsi3,hashrate-btc--roc7,mining_profitability-btc--roc3,sentinusd-btc--std3,sentinusd-btc--mom3,sentinusd-btc--var3,sentinusd-btc--trx14,sentinusd-btc--rsi7,sentinusd-btc--roc7,transactionfees-btc--mom7,transactionfees-btc--trx3,transactionfees-btc--rsi3,transactionfees-btc--rsi14,transactionfees-btc--rsi30,transactionfees-btc--roc3,transactionfees-btc--roc7,transactionfees-btc--roc14,median_transaction_fee-btc--trx3,median_transaction_fee-btc--rsi3,median_transaction_fee-btc--roc3,confirmationtime-btc--sma30,confirmationtime-btc--wma14,confirmationtime-btc--std3,confirmationtime-btc--std30,confirmationtime-btc--mom3,confirmationtime-btc--mom7,confirmationtime-btc--mom30,confirmationtime-btc--mom90,confirmationtime-btc--var30,confirmationtime-btc--trx7,confirmationtime-btc--trx14,confirmationtime-btc--rsi14,confirmationtime-btc--rsi90,confirmationtime-btc--roc14,confirmationtime-btc--roc90,marketcap-btc--mom7,marketcap-btc--trx3,marketcap-btc--rsi3,marketcap-btc--rsi7,marketcap-btc--roc3,transactionvalue-btc--mom3,transactionvalue-btc--mom7,transactionvalue-btc--mom14,transactionvalue-btc--mom90,transactionvalue-btc--trx14,mediantransactionvalue-btc--mom3,mediantransactionvalue-btc--mom7,mediantransactionvalue-btc--mom90,mediantransactionvalue-btc--var7,mediantransactionvalue-btc--trx7,mediantransactionvalue-btc--rsi14,mediantransactionvalue-btc--roc7,mediantransactionvalue-btc--roc90,fee_to_reward-btc--sma3,fee_to_reward-btc--std14,fee_to_reward-btc--std90,fee_to_reward-btc--trx3,fee_to_reward-btc--rsi7,fee_to_reward-btc--roc3,fee_to_reward-btc--roc7,fee_to_reward-btc--roc14,size-btc--std3,size-btc--std90,size-btc--mom3,size-btc--mom7,size-btc--mom14,size-btc--mom30,size-btc--mom90,size-btc--var3,size-btc--rsi3,size-btc--rsi7,size-btc--rsi14,size-btc--roc90,transactions-btc--std3,transactions-btc--std14,transactions-btc--mom7,transactions-btc--mom14,transactions-btc--mom90,transactions-btc--var3,transactions-btc--var7,transactions-btc--var30,transactions-btc--trx3,transactions-btc--roc3,transactions-btc--roc14,sentbyaddress-btc--std3,sentbyaddress-btc--std7,sentbyaddress-btc--mom3,sentbyaddress-btc--var7,sentbyaddress-btc--rsi3,sentbyaddress-btc--roc7,sentbyaddress-btc--roc14,top100cap-btc--mom7,top100cap-btc--rsi3,top100cap-btc--rsi7,top100cap-btc--roc14,activeaddresses-btc--std3,activeaddresses-btc--std7,activeaddresses-btc--mom14,activeaddresses-btc--trx3,activeaddresses-btc--rsi3,activeaddresses-btc--roc14,activeaddresses-btc--roc30,activeaddresses-btc--roc90,price-btc--mom3,price-btc--mom30,price-btc--trx3,price-btc--roc7,1d_binary_price_change
2013/04/01,216417.0,6431393708788.0,13397517677322.0,3.3007362644153e+25,77.994,25.713,11.668,20870632.0,12639661.0,108895819104772.0,3.636,51.823,33.96,0.015,1.552,32.854,56.505,56.924,-8.219,23.759,92.283,3.721,99.267,9.383,8.4,8.318,1.096,2.341,-1.003,-2.727,-2.658,-1.616,1.37,0.415,-0.129,45.686,48.845,-4.04,-18.182,282580870.0,3.762,99.471,97.077,9.511,566.836,416.582,-1414.0,1967.0,3.688,0.326,16.907,50.469,54.242,2.199,60.148,35.164,347.641,1.136,0.555,0.956,-5.388,40.508,-37.176,-28.973,9.279,42258.0,50776.0,-38565.0,-29315.0,31708.0,-41100.0,50223.0,446426850.0,23.419,42.217,46.863,56.409,12463.0,11454.0,3723.0,9277.0,20838.0,38831985.0,38380777.0,74247499.0,-1.823,-15.323,21.427,10442.0,10978.0,-8648.0,30129504.0,51.264,7.825,19.721,0.517,76.138,77.854,3.135,12064.0,17602.0,16890.0,-1.376,52.204,28.692,53.885,100.169,8.125,61.597,3.723,36.98,1.0
2013/04/02,216417.0,3737454649762.0,11610334523600.0,3.2008626332648e+25,60.324,23.112,20.96,120549663.0,105878835.0,3633055319328504.0,3.89,70.608,130.277,0.038,3.267,72.591,64.356,61.462,10.08,57.259,80.899,5.183,99.745,23.206,8.367,8.3,1.02,2.337,-0.368,-1.581,-0.988,-1.456,1.366,0.144,-0.129,48.526,49.24,-6.077,-15.47,397898885.0,5.227,99.816,98.25,23.358,1713.0,1704.0,2238.0,3750.0,3.769,48.436,26.922,80.441,207.029,3.113,69.764,39.571,554.221,1.094,0.563,0.953,-2.693,53.497,-8.601,12.433,11.04,30880.0,50230.0,-12301.0,14065.0,42991.0,18361.0,61367.0,238399161.0,62.736,56.876,53.887,53.794,15762.0,11873.0,14185.0,17157.0,23815.0,62113871.0,41064926.0,76789294.0,1.033,6.899,37.348,18713.0,13547.0,10552.0,45880948.0,74.062,28.029,34.224,0.432,81.544,80.298,3.526,22652.0,19754.0,23132.0,1.849,72.767,33.65,99.468,113.147,20.295,75.291,5.184,50.27,1.0
2013/04/03,216417.0,5716892007375.0,14571769384665.0,2.5922221956753e+25,52.62,31.887,26.973,119737853.0,121068552.0,3584288340399376.0,4.28,69.363,26.739,0.044,8.329,85.946,70.496,65.489,42.924,48.617,186.43,6.968,99.867,34.759,8.373,8.324,0.804,2.335,-0.292,-2.764,0.184,-0.66,1.363,-0.002,-0.126,49.658,49.398,20.571,-7.429,450191191.0,7.014,99.904,98.785,34.928,1367.0,405.138,2128.0,3935.0,3.964,51.464,39.764,82.801,391.727,4.432,71.628,63.35,419.627,1.267,0.541,0.953,2.736,59.191,48.108,-11.535,127.579,38914.0,49584.0,36379.0,-6480.0,80171.0,19528.0,76185.0,378574130.0,68.594,59.76,55.424,70.527,10252.0,11938.0,10690.0,17701.0,21619.0,26276601.0,45047715.0,76727861.0,2.898,45.528,38.426,16914.0,17749.0,29691.0,78761044.0,80.919,36.424,62.16,0.317,67.788,74.565,2.964,25630.0,26120.0,44294.0,6.045,83.098,70.478,100.123,108.984,30.953,86.649,6.968,51.448,1.0
2013/04/04,216417.0,-10229656991704.0,1791589943283.0,2.5213702195409e+25,32.728,3.35,21.568,26987826.0,98643498.0,182085683810432.0,4.617,62.852,59.811,0.055,10.577,88.341,71.958,66.506,81.728,63.761,141.4,7.181,99.89,30.456,8.339,8.484,1.207,2.247,2.078,1.482,-1.009,-0.061,1.262,0.14,-0.09,54.126,50.044,41.558,-0.649,418182595.0,7.226,99.921,98.9,30.621,1657.0,1687.0,1904.0,3616.0,4.155,58.327,63.398,111.93,715.096,6.106,75.998,105.812,983.208,1.627,0.627,0.963,8.781,65.836,124.559,47.185,110.845,40000.0,51353.0,82312.0,46309.0,94544.0,27072.0,79757.0,399995986.0,84.337,69.804,61.338,56.241,3166.0,13290.0,5932.0,11392.0,18302.0,2506053.0,54314709.0,81439397.0,3.914,26.946,20.583,8001.0,21318.0,22944.0,113610711.0,83.383,27.513,59.384,0.281,68.44,74.737,3.139,15285.0,30670.0,39163.0,7.371,84.132,56.166,89.724,130.012,28.846,86.935,7.181,44.093,1.0
2013/04/05,216417.0,-10030142156358.0,-7255263677346.0,2.6287739709724e+25,23.508,-12.282,24.533,23837475.0,-29930113.0,142056304793440.0,4.872,62.995,97.398,0.036,6.964,53.08,63.194,61.622,15.109,42.06,62.974,6.652,99.92,19.411,8.334,8.586,0.966,2.238,1.158,0.838,-0.176,-1.099,1.252,0.333,-0.04,53.056,49.908,44.937,-10.759,465159946.0,6.695,99.942,99.05,19.55,-51.982,2323.0,2705.0,3651.0,4.321,30.228,60.522,111.238,927.921,7.398,76.351,93.598,797.696,1.659,0.627,0.96,5.271,51.483,7.007,3.735,21.942,32811.0,51155.0,14623.0,12246.0,59420.0,-4451.0,71827.0,269144550.0,51.614,56.043,54.742,60.746,4514.0,13374.0,-870.0,860.0,21760.0,5093768.0,53572936.0,80782038.0,2.56,-2.98,1.425,2370.0,22939.0,7034.0,131550831.0,70.456,20.629,36.69,-0.028,26.47,52.947,2.439,7660.0,31721.0,25062.0,5.263,57.434,33.428,44.66,87.27,20.915,89.674,6.652,48.589,1.0
2013/04/06,682050.0,1557847201520.0,3720072498166.0,2.7650478857832e+25,65.605,6.402,0.809,65345518.0,-94576216.0,1067509178602920.0,4.858,46.833,4.088,0.006,1.726,34.249,56.4,57.603,-24.116,6.452,59.177,5.981,99.944,11.759,8.328,8.624,0.422,2.232,0.606,0.511,-0.166,-1.097,1.246,0.458,0.009,51.755,49.747,33.129,-11.043,515749187.0,6.022,99.96,99.188,11.883,-1020.0,770.682,1735.0,3022.0,4.329,-12.368,43.646,72.548,657.16,7.151,58.885,93.822,411.787,1.442,0.629,0.96,-2.139,41.549,-40.648,-35.294,-1.737,51440.0,49700.0,-25642.0,-29178.0,33379.0,-43262.0,57958.0,661526354.0,32.626,45.564,49.061,57.608,12549.0,13473.0,-7468.0,-1142.0,18674.0,39371402.0,59507406.0,76225007.0,-0.687,-19.15,-2.167,17527.0,22880.0,-17112.0,130868664.0,26.67,0.653,21.19,-0.123,26.647,52.989,2.527,21411.0,30872.0,16099.0,0.964,30.056,24.033,25.192,96.835,14.111,94.124,5.982,53.353,1.0
2013/04/07,853025.0,7437559507776.0,8156539106339.0,2.9386493617664e+25,67.936,14.951,7.226,83851132.0,-99243196.0,1757753093183916.0,4.603,41.43,-2.974,0.028,1.025,57.592,61.063,60.369,-14.361,29.806,135.116,5.654,99.966,14.987,8.321,8.634,0.292,2.225,-0.57,0.26,-0.22,0.209,1.237,0.518,0.052,51.493,49.716,15.244,2.439,586052215.0,5.694,99.976,99.349,15.112,-1804.0,-666.347,1194.0,1958.0,4.11,-59.019,13.225,48.258,519.486,5.674,49.819,25.896,300.925,1.227,0.576,0.956,-3.001,49.822,-33.131,20.834,52.201,39000.0,49383.0,-16156.0,57582.0,75473.0,43978.0,100010.0,380242124.0,62.994,58.898,56.321,94.885,10279.0,13637.0,19560.0,12231.0,23257.0,26416614.0,29681200.0,78845320.0,0.013,-5.036,23.914,16542.0,18072.0,-20271.0,81653664.0,25.859,30.39,4.276,-0.079,16.82,45.356,1.984,14464.0,23084.0,18070.0,-0.941,40.179,26.178,53.895,61.124,18.518,100.79,5.654,59.552,1.0
2013/04/08,913353.0,11532678823846.0,-2153978562288.0,3.0539696882506e+25,70.134,-3.288,1.749,68338869.0,-17416866.0,1167550239656588.0,4.405,57.135,64.254,0.045,1.276,59.787,61.518,60.641,2.245,58.255,95.855,6.915,99.987,27.122,8.346,8.701,0.457,2.251,0.176,2.018,0.77,-1.537,1.267,0.626,0.105,53.874,50.017,-7.097,-14.194,760472140.0,6.957,99.991,99.599,27.262,-304.427,1452.0,1868.0,3299.0,3.945,5.434,65.63,112.106,482.967,5.455,64.787,100.99,605.596,1.144,0.578,0.954,-3.379,47.2,-17.395,36.397,-3.122,40202.0,49894.0,5051.0,55863.0,26547.0,38287.0,45815.0,404047942.0,54.846,55.418,54.484,30.685,10384.0,13004.0,8953.0,12676.0,23034.0,26954499.0,19648358.0,80403360.0,0.465,0.506,25.949,14170.0,15515.0,-2517.0,60182236.0,66.354,36.846,47.553,-0.273,10.235,37.941,1.255,27352.0,21812.0,47719.0,2.074,75.587,72.11,110.439,103.302,34.896,120.4,6.915,72.687,1.0
2013/04/09,885934.0,3283429025417.0,3266046873820.0,2.9970560076263e+25,76.741,5.281,49.628,161547984.0,166623371.0,6524437807237360.0,4.481,70.069,26.014,0.04,3.608,77.704,65.946,63.338,42.589,37.891,116.845,9.62,99.995,45.695,8.357,8.626,0.906,2.245,-0.653,0.226,0.313,-2.895,1.26,0.522,0.129,48.321,49.367,-14.205,-26.136,968001386.0,9.664,99.996,99.759,45.855,2615.0,1673.0,3377.0,5532.0,4.021,102.979,98.189,172.672,1397.0,6.885,72.973,103.405,843.444,1.199,0.586,0.953,-3.821,45.5,17.192,-17.034,-6.719,21627.0,49992.0,20562.0,3685.0,17750.0,-6227.0,30792.0,116933647.0,42.144,50.058,51.664,20.758,4373.0,12705.0,3708.0,17893.0,23743.0,4780518.0,22905042.0,73273707.0,1.697,29.576,36.584,19233.0,17368.0,22578.0,75409637.0,76.304,19.854,53.448,-0.31,24.636,41.567,0.626,24452.0,22680.0,39062.0,3.624,71.291,53.5,96.644,99.56,61.283,150.978,9.62,81.344,0.0
2013/04/10,761347.0,7496489193464.0,9936136292429.0,2.5085476365151e+25,88.125,16.486,30.743,181805486.0,305371778.0,8263308650815200.0,4.903,77.559,71.534,0.048,8.273,89.751,72.04,67.401,49.825,36.073,102.228,7.834,68.464,25.633,8.315,8.479,1.447,2.258,-1.241,-0.689,-1.241,-2.257,1.274,0.22,0.115,45.4,48.993,-31.414,-23.037,647680776.0,7.874,68.609,80.11,25.774,5680.0,3647.0,4052.0,7777.0,4.419,274.854,236.616,326.204,7176.0,11.198,82.943,230.769,2520.0,1.211,0.527,0.756,-1.395,51.895,2.906,-16.044,-25.728,21924.0,50016.0,-36969.0,-15767.0,-22247.0,-2022.0,4759.0,120166064.0,34.203,46.548,49.809,2.908,4333.0,12405.0,-76.0,10614.0,11298.0,4692809.0,22870439.0,75345573.0,1.526,0.494,19.998,13880.0,21799.0,32294.0,118804397.0,84.374,21.109,65.222,-0.224,48.395,48.31,0.471,19355.0,31870.0,60696.0,6.377,85.66,83.423,149.319,118.114,36.419,133.379,7.834,48.746,0.0
