Date,bitcoin-median_transaction_fee_raw,bitcoin-mining_profitability_raw,difficulty-btc--var30,difficulty-btc--trx14,difficulty-btc--roc30,hashrate-btc--trx14,mining_profitability-btc--sma3,mining_profitability-btc--sma14,mining_profitability-btc--sma30,mining_profitability-btc--sma90,mining_profitability-btc--ema7,mining_profitability-btc--ema14,mining_profitability-btc--ema30,mining_profitability-btc--ema90,mining_profitability-btc--wma3,mining_profitability-btc--wma7,mining_profitability-btc--wma14,mining_profitability-btc--wma30,mining_profitability-btc--wma90,mining_profitability-btc--std14,mining_profitability-btc--mom90,mining_profitability-btc--var30,mining_profitability-btc--trx30,mining_profitability-btc--trx90,mining_profitability-btc--roc90,sentinusd-btc--var30,sentinusd-btc--trx30,transactionfees-btc--trx14,transactionfees-btc--trx30,transactionfees-btc--roc90,median_transaction_fee-btc--sma3,median_transaction_fee-btc--sma7,median_transaction_fee-btc--ema3,median_transaction_fee-btc--mom90,median_transaction_fee-btc--trx30,median_transaction_fee-btc--trx90,median_transaction_fee-btc--rsi90,median_transaction_fee-btc--roc30,median_transaction_fee-btc--roc90,confirmationtime-btc--sma30,confirmationtime-btc--wma90,confirmationtime-btc--trx90,marketcap-btc--trx30,marketcap-btc--trx90,marketcap-btc--rsi90,marketcap-btc--roc90,transactionvalue-btc--trx30,mediantransactionvalue-btc--sma7,mediantransactionvalue-btc--sma14,mediantransactionvalue-btc--sma30,mediantransactionvalue-btc--ema7,mediantransactionvalue-btc--wma30,mediantransactionvalue-btc--wma90,mediantransactionvalue-btc--std30,mediantransactionvalue-btc--var30,mediantransactionvalue-btc--trx7,mediantransactionvalue-btc--trx30,mediantransactionvalue-btc--trx90,fee_to_reward-btc--sma7,fee_to_reward-btc--sma14,fee_to_reward-btc--sma30,fee_to_reward-btc--sma90,fee_to_reward-btc--ema3,fee_to_reward-btc--ema7,fee_to_reward-btc--ema14,fee_to_reward-btc--ema30,fee_to_reward-btc--ema90,fee_to_reward-btc--wma3,fee_to_reward-btc--wma7,fee_to_reward-btc--wma30,fee_to_reward-btc--wma90,fee_to_reward-btc--var30,size-btc--std30,size-btc--var90,size-btc--trx30,size-btc--trx90,transactions-btc--var30,transactions-btc--trx30,transactions-btc--trx90,sentbyaddress-btc--sma7,sentbyaddress-btc--trx90,top100cap-btc--ema30,top100cap-btc--wma7,top100cap-btc--wma30,top100cap-btc--wma90,top100cap-btc--std30,top100cap-btc--var30,top100cap-btc--trx14,top100cap-btc--trx30,top100cap-btc--trx90,activeaddresses-btc--ema3,activeaddresses-btc--std90,activeaddresses-btc--trx14,activeaddresses-btc--trx90,price-btc--var30,price-btc--trx30,price-btc--trx90,price-btc--rsi30,price-btc--rsi90,price-btc--roc7,price-btc--roc90,30d_binary_price_change
2013/04/01,0.0474,7220.0,901878886924.0,1.93,53.297,2.0,6932.0,6279.0,5449.0,3913.0,6648.0,6242.0,5603.0,4403.0,7035.0,6806.0,6442.0,5894.0,4650.0,1716.0,4974.0,1048771.0,1.215,0.091,221.516,2498708038563228.0,3.029,3.644,2.712,624.061,0.045,0.042,0.045,0.041,2.482,1.11,65.414,185.993,606.456,8.4,8.698,-0.057,2.586,1.097,91.946,630.491,3.059,59.708,54.928,41.397,56.845,48.928,32.651,31.265,244.368,2.199,2.119,0.207,1.301,1.154,1.279,1.237,1.06,1.172,1.189,1.215,1.157,1.037,1.22,1.188,1.245,0.329,61285.0,644540075.0,-0.019,0.334,74247499.0,0.092,0.394,50442.0,0.253,19.545,19.86,19.568,19.428,0.367,0.034,0.063,0.011,-0.057,74091.0,18183.0,1.219,0.27,343.518,2.538,1.025,93.774,91.45,36.98,606.456,1.0
2013/04/02,0.0539,7990.0,950005633515.0,1.948,53.297,2.017,7394.0,6503.0,5582.0,3977.0,6984.0,6475.0,5757.0,4482.0,7564.0,7164.0,6670.0,6058.0,4740.0,1734.0,5757.0,1177343.0,1.241,0.104,257.863,3214435238744518.0,3.121,3.733,2.777,869.772,0.049,0.045,0.05,0.047,2.534,1.139,67.414,231.964,716.218,8.367,8.672,-0.059,2.665,1.129,93.08,744.047,3.125,63.554,57.343,44.077,66.372,52.383,34.151,35.145,308.786,3.113,2.21,0.23,1.322,1.163,1.286,1.243,1.199,1.214,1.209,1.223,1.161,1.138,1.229,1.192,1.248,0.328,61721.0,630754328.0,-0.015,0.331,76789294.0,0.086,0.392,52389.0,0.256,19.576,19.917,19.602,19.442,0.408,0.042,0.074,0.014,-0.056,82983.0,19348.0,1.27,0.274,405.594,2.617,1.057,94.987,92.645,50.27,716.218,1.0
2013/04/03,0.06,8852.0,986089374520.0,1.943,53.297,2.015,8021.0,6645.0,5743.0,4050.0,7451.0,6792.0,5957.0,4578.0,8293.0,7645.0,6984.0,6269.0,4847.0,2113.0,6575.0,1426075.0,1.276,0.117,288.861,3781082247256206.0,3.248,3.956,2.871,1028.0,0.054,0.048,0.055,0.053,2.599,1.17,69.112,79.898,808.284,8.373,8.652,-0.061,2.756,1.163,93.897,839.301,3.214,69.235,60.546,46.873,75.413,56.154,35.799,39.665,393.331,4.432,2.327,0.256,1.292,1.227,1.299,1.25,1.398,1.31,1.26,1.247,1.17,1.389,1.297,1.212,1.255,0.331,62497.0,614641815.0,-0.006,0.329,76727861.0,0.084,0.391,55028.0,0.26,19.602,19.948,19.632,19.454,0.437,0.048,0.085,0.017,-0.056,95062.0,21903.0,1.403,0.279,499.422,2.707,1.09,95.785,93.508,51.448,808.284,0.0
2013/04/04,0.0618,8777.0,1010130109937.0,1.917,53.297,1.969,8540.0,6794.0,5910.0,4122.0,7782.0,7057.0,6139.0,4670.0,8671.0,7999.0,7268.0,6465.0,4951.0,2382.0,6518.0,1574429.0,1.316,0.132,288.561,4181966971339742.0,3.379,4.254,2.985,1244.0,0.059,0.051,0.058,0.055,2.674,1.203,69.578,237.355,834.762,8.339,8.657,-0.063,2.854,1.2,94.103,866.699,3.307,78.292,65.817,50.029,87.388,61.086,37.883,47.626,567.056,6.106,2.481,0.285,1.382,1.3,1.315,1.261,1.673,1.469,1.352,1.292,1.187,1.729,1.461,1.254,1.271,0.344,65394.0,659287348.0,0.013,0.327,81439397.0,0.089,0.389,57239.0,0.264,19.627,19.969,19.661,19.467,0.459,0.053,0.094,0.02,-0.055,101976.0,24213.0,1.58,0.284,596.59,2.805,1.126,95.977,93.724,44.093,834.762,0.0
2013/04/05,0.0643,9950.0,1049998827349.0,1.888,60.377,1.873,9193.0,7008.0,6087.0,4210.0,8324.0,7443.0,6385.0,4786.0,9376.0,8598.0,7689.0,6726.0,5079.0,2886.0,7877.0,2035077.0,1.368,0.147,379.844,4570336442425772.0,3.507,4.452,3.093,1049.0,0.062,0.054,0.061,0.058,2.755,1.237,70.229,229.992,876.762,8.334,8.657,-0.065,2.957,1.238,94.378,910.125,3.4,86.938,70.974,53.308,96.837,65.935,39.98,53.912,726.635,7.398,2.658,0.317,1.389,1.319,1.232,1.267,1.552,1.46,1.363,1.301,1.193,1.631,1.474,1.261,1.274,0.113,65074.0,654198460.0,0.034,0.326,80782038.0,0.095,0.388,58933.0,0.269,19.64,19.94,19.678,19.477,0.464,0.054,0.1,0.023,-0.054,101005.0,25666.0,1.735,0.29,701.54,2.907,1.164,96.233,94.013,48.589,876.762,0.0
2013/04/06,0.0671,8923.0,1151730788639.0,1.885,75.669,1.8,9217.0,7170.0,6217.0,4283.0,8474.0,7640.0,6548.0,4877.0,9241.0,8816.0,7944.0,6909.0,5183.0,3039.0,6611.0,2248623.0,1.419,0.163,285.864,4493932018598450.0,3.588,4.475,3.173,626.386,0.064,0.057,0.064,0.06,2.84,1.274,70.901,235.372,922.051,8.328,8.651,-0.066,3.062,1.278,94.647,956.989,3.465,93.173,74.44,55.459,95.169,68.313,41.281,54.471,741.764,7.151,2.811,0.35,1.315,1.318,1.213,1.267,1.25,1.332,1.307,1.278,1.187,1.276,1.363,1.243,1.267,0.113,62919.0,617523242.0,0.052,0.324,76225007.0,0.098,0.386,58981.0,0.274,19.653,19.913,19.695,19.486,0.467,0.055,0.103,0.026,-0.053,92046.0,25872.0,1.799,0.296,812.71,3.011,1.203,96.479,94.297,53.353,922.051,0.0
2013/04/07,0.071,9411.0,1229187540768.0,1.89,75.669,1.745,9428.0,7477.0,6370.0,4360.0,8709.0,7876.0,6733.0,4977.0,9339.0,9073.0,8243.0,7115.0,5295.0,3016.0,6962.0,2498776.0,1.472,0.179,284.158,4309086448057972.0,3.616,4.457,3.244,925.944,0.067,0.061,0.068,0.064,2.93,1.312,71.841,244.103,979.512,8.321,8.644,-0.068,3.168,1.321,95.001,1016.0,3.48,95.062,76.177,56.682,87.45,68.883,41.996,53.553,716.987,5.674,2.913,0.383,1.347,1.349,1.217,1.272,1.276,1.324,1.307,1.28,1.19,1.206,1.36,1.249,1.268,0.113,65397.0,609668881.0,0.074,0.323,78845320.0,0.104,0.384,60695.0,0.278,19.66,19.874,19.706,19.494,0.47,0.055,0.103,0.028,-0.052,89571.0,26457.0,1.813,0.302,941.058,3.117,1.245,96.797,94.67,59.552,979.512,0.0
2013/04/08,0.0818,10124.0,1282369083736.0,1.894,75.669,1.701,9486.0,7854.0,6535.0,4453.0,9062.0,8176.0,6952.0,5090.0,9687.0,9421.0,8596.0,7357.0,5422.0,2922.0,8304.0,2893644.0,1.528,0.196,456.035,4298943128844980.0,3.64,4.404,3.305,989.802,0.073,0.066,0.075,0.075,3.033,1.352,74.12,278.959,1120.0,8.346,8.648,-0.069,3.286,1.366,95.761,1162.0,3.493,104.438,82.073,60.183,98.242,73.653,44.156,58.47,854.698,5.455,3.035,0.418,1.392,1.347,1.216,1.274,1.229,1.289,1.29,1.274,1.19,1.183,1.319,1.247,1.266,0.113,66811.0,622354878.0,0.099,0.322,80403360.0,0.111,0.383,63264.0,0.283,19.662,19.817,19.712,19.499,0.47,0.055,0.1,0.03,-0.051,101733.0,28724.0,1.882,0.309,1159.0,3.234,1.289,97.44,95.477,72.687,1120.0,0.0
2013/04/09,0.0977,13352.0,1311275417545.0,1.891,75.669,1.67,10963.0,8419.0,6805.0,4578.0,10135.0,8866.0,7365.0,5272.0,11619.0,10472.0,9329.0,7797.0,5618.0,3775.0,11242.0,4316562.0,1.606,0.215,532.828,5294303707697924.0,3.71,4.392,3.369,1292.0,0.084,0.072,0.086,0.091,3.161,1.397,76.92,119.952,1337.0,8.357,8.628,-0.07,3.427,1.416,96.548,1386.0,3.546,118.465,91.009,65.897,121.968,82.231,47.663,73.811,1362.0,6.885,3.222,0.459,1.36,1.341,1.209,1.275,1.17,1.244,1.266,1.263,1.188,1.166,1.248,1.24,1.263,0.113,66511.0,624788508.0,0.122,0.321,73273707.0,0.122,0.382,65031.0,0.289,19.665,19.777,19.718,19.506,0.465,0.054,0.095,0.032,-0.051,106904.0,30637.0,1.967,0.317,1552.0,3.375,1.338,98.043,96.314,81.344,1337.0,0.0
2013/04/10,0.0892,12305.0,1315906542194.0,1.877,75.669,1.669,11927.0,8884.0,7054.0,4689.0,10677.0,9325.0,7683.0,5426.0,12290.0,11070.0,9847.0,8152.0,5788.0,3964.0,10026.0,5132843.0,1.69,0.235,439.973,7717852482570384.0,3.852,4.515,3.457,350.16,0.09,0.076,0.088,0.082,3.289,1.445,72.699,97.805,1198.0,8.315,8.595,-0.072,3.567,1.468,87.849,1243.0,3.666,152.267,110.751,76.337,176.263,99.86,54.337,121.47,3689.0,11.198,3.576,0.514,1.323,1.308,1.213,1.246,1.255,1.268,1.276,1.268,1.191,1.237,1.244,1.248,1.264,0.113,66465.0,625390165.0,0.141,0.32,75345573.0,0.134,0.381,67117.0,0.295,19.672,19.76,19.728,19.513,0.464,0.054,0.09,0.033,-0.05,120178.0,34140.0,2.121,0.325,1786.0,3.514,1.389,86.819,87.615,48.746,1198.0,0.0
