Date,bitcoin-median_transaction_fee_raw,difficulty-btc--std30,difficulty-btc--trx14,difficulty-btc--trx30,difficulty-btc--roc3,difficulty-btc--roc7,difficulty-btc--roc30,mining_profitability-btc--sma3,mining_profitability-btc--sma14,mining_profitability-btc--ema30,mining_profitability-btc--wma3,mining_profitability-btc--wma7,mining_profitability-btc--wma30,mining_profitability-btc--std30,mining_profitability-btc--var7,mining_profitability-btc--var90,mining_profitability-btc--trx90,mining_profitability-btc--roc90,sentinusd-btc--trx7,sentinusd-btc--trx14,transactionfees-btc--trx7,median_transaction_fee-btc--trx3,median_transaction_fee-btc--trx7,median_transaction_fee-btc--trx14,median_transaction_fee-btc--trx30,median_transaction_fee-btc--trx90,median_transaction_fee-btc--rsi7,median_transaction_fee-btc--rsi14,median_transaction_fee-btc--rsi90,median_transaction_fee-btc--roc30,median_transaction_fee-btc--roc90,confirmationtime-btc--sma90,confirmationtime-btc--ema90,confirmationtime-btc--wma30,confirmationtime-btc--var14,confirmationtime-btc--trx90,marketcap-btc--mom7,marketcap-btc--mom14,marketcap-btc--mom30,marketcap-btc--mom90,marketcap-btc--trx7,marketcap-btc--trx30,marketcap-btc--rsi7,marketcap-btc--rsi90,marketcap-btc--roc7,marketcap-btc--roc30,marketcap-btc--roc90,transactionvalue-btc--wma14,mediantransactionvalue-btc--sma3,mediantransactionvalue-btc--wma3,mediantransactionvalue-btc--trx14,mediantransactionvalue-btc--trx30,mediantransactionvalue-btc--trx90,fee_to_reward-btc--sma7,fee_to_reward-btc--sma14,fee_to_reward-btc--sma30,fee_to_reward-btc--sma90,fee_to_reward-btc--ema7,fee_to_reward-btc--ema14,fee_to_reward-btc--ema30,fee_to_reward-btc--wma14,fee_to_reward-btc--wma30,fee_to_reward-btc--wma90,fee_to_reward-btc--std14,fee_to_reward-btc--var30,fee_to_reward-btc--var90,fee_to_reward-btc--trx14,size-btc--trx7,size-btc--trx90,transactions-btc--trx14,transactions-btc--trx90,sentbyaddress-btc--var30,sentbyaddress-btc--trx30,top100cap-btc--sma30,top100cap-btc--wma90,top100cap-btc--std30,top100cap-btc--mom7,top100cap-btc--mom30,top100cap-btc--var30,top100cap-btc--trx3,top100cap-btc--trx14,top100cap-btc--trx30,top100cap-btc--rsi7,top100cap-btc--rsi30,top100cap-btc--roc30,activeaddresses-btc--std14,activeaddresses-btc--trx30,activeaddresses-btc--trx90,price-btc--trx14,price-btc--trx90,price-btc--rsi3,price-btc--rsi30,price-btc--roc7,7d_binary_price_change
2013/04/01,0.0474,1899346.0,1.93,1.046,4.618,4.618,53.297,6932.0,6279.0,5603.0,7035.0,6806.0,5894.0,2048.0,458425.0,1929846.0,0.091,221.516,3.421,3.636,4.663,3.721,4.009,2.987,2.482,1.11,87.21,74.007,65.414,185.993,606.456,9.146,8.93,8.24,1.763,-0.057,282580870.0,534757265.0,680338013.0,897213385.0,4.438,2.586,97.077,91.946,37.332,189.415,630.491,2542.0,54.192,57.27,3.449,2.119,0.207,1.301,1.154,1.279,1.237,1.172,1.189,1.215,1.205,1.188,1.245,0.555,0.329,0.229,-0.381,1.572,0.334,-0.243,0.394,41786951.0,0.406,19.499,19.428,0.367,0.517,0.694,0.034,0.289,0.063,0.011,77.854,65.405,3.6,16122.0,0.538,0.27,3.629,1.025,99.456,93.774,36.98,1.0
2013/04/02,0.0539,1949365.0,1.948,1.085,4.618,4.618,53.297,7394.0,6503.0,5757.0,7564.0,7164.0,6058.0,2170.0,442945.0,2079147.0,0.104,257.863,4.752,3.89,4.561,5.183,4.233,3.127,2.534,1.139,91.746,78.528,67.414,231.964,716.218,9.13,8.909,8.212,1.753,-0.059,397898885.0,622208836.0,830962611.0,1042931435.0,4.586,2.665,98.25,93.08,50.675,235.976,744.047,2811.0,70.337,77.652,3.531,2.21,0.23,1.322,1.163,1.286,1.243,1.214,1.209,1.223,1.229,1.192,1.248,0.563,0.328,0.227,-0.33,1.368,0.331,-0.174,0.392,47486125.0,0.432,19.522,19.442,0.408,0.432,0.677,0.042,0.282,0.074,0.014,80.298,66.711,3.498,18640.0,0.569,0.274,3.745,1.057,99.811,94.987,50.27,1.0
2013/04/03,0.06,1986041.0,1.943,1.122,4.618,4.618,53.297,8021.0,6645.0,5957.0,8293.0,7645.0,6269.0,2388.0,595387.0,2305788.0,0.117,288.861,6.252,4.28,5.18,6.968,4.66,3.319,2.599,1.17,94.058,81.743,69.112,79.898,808.284,9.123,8.894,8.203,1.638,-0.061,450191191.0,687509928.0,956206879.0,1177852524.0,4.954,2.756,98.785,93.897,51.865,264.158,839.301,3068.0,87.492,93.75,3.763,2.327,0.256,1.292,1.227,1.299,1.25,1.31,1.26,1.247,1.287,1.212,1.255,0.541,0.331,0.227,-0.212,1.386,0.329,-0.078,0.391,64654761.0,0.468,19.542,19.454,0.437,0.317,0.592,0.048,0.223,0.085,0.017,74.565,65.191,3.051,23932.0,0.611,0.279,3.911,1.09,99.902,95.785,51.448,1.0
2013/04/04,0.0618,2010105.0,1.917,1.154,4.618,4.618,53.297,8540.0,6794.0,6139.0,8671.0,7999.0,6465.0,2510.0,843694.0,2513253.0,0.132,288.561,6.961,4.617,5.965,7.181,5.036,3.525,2.674,1.203,94.573,82.56,69.578,237.355,834.762,9.122,8.904,8.266,1.531,-0.063,418182595.0,658696391.0,960150478.0,1217365028.0,5.28,2.854,98.9,94.103,44.504,241.441,866.699,3275.0,106.934,111.661,4.166,2.481,0.285,1.382,1.3,1.315,1.261,1.469,1.352,1.292,1.383,1.254,1.271,0.627,0.344,0.232,0.014,1.843,0.327,0.044,0.389,85452388.0,0.514,19.564,19.467,0.459,0.281,0.659,0.053,0.161,0.094,0.02,74.737,65.257,3.408,28315.0,0.663,0.284,4.087,1.126,99.919,95.977,44.093,0.0
2013/04/05,0.0643,2049389.0,1.888,1.184,4.618,4.618,60.377,9193.0,7008.0,6385.0,9376.0,8598.0,6726.0,2853.0,1246477.0,2836428.0,0.147,379.844,7.056,4.872,6.048,6.652,5.295,3.728,2.755,1.237,95.26,83.687,70.229,229.992,876.762,9.11,8.909,8.316,1.229,-0.065,465159946.0,695779610.0,990920185.0,1274370485.0,5.497,2.957,99.05,94.378,49.004,233.999,910.125,3477.0,117.01,120.785,4.619,2.658,0.317,1.389,1.319,1.232,1.267,1.46,1.363,1.301,1.4,1.261,1.274,0.627,0.113,0.23,0.199,2.045,0.326,0.152,0.388,102026223.0,0.564,19.578,19.477,0.464,-0.028,0.443,0.054,0.011,0.1,0.023,52.947,59.122,2.285,29826.0,0.716,0.29,4.257,1.164,99.941,96.233,48.589,0.0
2013/04/06,0.0671,2146374.0,1.885,1.216,14.594,14.594,75.669,9217.0,7170.0,6548.0,9241.0,8816.0,6909.0,2999.0,946223.0,3037954.0,0.163,285.864,5.963,4.858,5.354,5.981,5.433,3.916,2.84,1.274,95.906,84.815,70.901,235.372,922.051,9.098,8.907,8.348,0.949,-0.066,515749187.0,779063458.0,1040345240.0,1335296658.0,5.599,3.062,99.188,94.647,53.775,239.445,956.989,3535.0,112.888,107.363,4.84,2.811,0.35,1.315,1.318,1.213,1.267,1.332,1.307,1.278,1.351,1.243,1.267,0.629,0.113,0.23,0.254,1.765,0.324,0.203,0.386,102441468.0,0.607,19.593,19.486,0.467,-0.123,0.444,0.055,-0.076,0.103,0.026,52.989,59.132,2.292,28597.0,0.762,0.296,4.409,1.203,99.959,96.479,53.353,0.0
2013/04/07,0.071,2217375.0,1.89,1.248,14.594,14.594,75.669,9428.0,7477.0,6733.0,9339.0,9073.0,7115.0,3162.0,690831.0,3286874.0,0.179,284.158,4.269,4.603,4.788,5.654,5.511,4.092,2.93,1.312,96.678,86.307,71.841,244.103,979.512,9.1,8.904,8.377,0.858,-0.068,586052215.0,854281803.0,1114235739.0,1423014406.0,5.649,3.168,99.349,95.001,59.987,248.283,1016.0,3441.0,93.214,83.066,4.753,2.913,0.383,1.347,1.349,1.217,1.272,1.324,1.307,1.28,1.349,1.249,1.268,0.576,0.113,0.229,0.289,1.763,0.323,0.266,0.384,100672517.0,0.64,19.602,19.494,0.47,-0.079,0.261,0.055,-0.144,0.103,0.028,45.356,56.711,1.339,27493.0,0.803,0.302,4.547,1.245,99.975,96.797,59.552,0.0
2013/04/08,0.0818,2264835.0,1.894,1.279,9.535,14.594,75.669,9486.0,7854.0,6952.0,9687.0,9421.0,7357.0,3402.0,468986.0,3575871.0,0.196,456.035,3.451,4.405,4.311,6.915,5.785,4.304,3.033,1.352,97.915,89.345,74.12,278.959,1120.0,9.083,8.913,8.44,0.768,-0.069,760472140.0,1043053011.0,1330709019.0,1657333580.0,5.902,3.286,99.599,95.761,73.156,283.564,1162.0,3548.0,95.026,101.768,4.813,3.035,0.418,1.392,1.347,1.216,1.274,1.289,1.29,1.274,1.327,1.247,1.266,0.578,0.113,0.228,0.287,1.74,0.322,0.324,0.383,105592143.0,0.677,19.608,19.499,0.47,-0.273,0.174,0.055,-0.207,0.1,0.03,37.941,54.048,0.889,29235.0,0.852,0.309,4.724,1.289,99.99,97.44,72.687,0.0
2013/04/09,0.0977,2290219.0,1.891,1.308,9.004555555555555,14.594,75.669,10963.0,8419.0,7365.0,11619.0,10472.0,7797.0,4155.0,2217095.0,4379283.0,0.215,532.828,4.138,4.481,4.22,9.62,6.435,4.608,3.161,1.397,98.732,92.132,76.92,119.952,1337.0,9.051,8.897,8.429,0.736,-0.07,968001386.0,1365900271.0,1667962182.0,2006316195.0,6.538,3.427,99.759,96.548,81.819,345.233,1386.0,3909.0,129.352,150.827,5.217,3.222,0.459,1.36,1.341,1.209,1.275,1.244,1.266,1.263,1.295,1.24,1.263,0.586,0.113,0.227,0.245,1.535,0.321,0.399,0.382,122951117.0,0.721,19.618,19.506,0.465,-0.31,0.301,0.054,-0.196,0.095,0.032,41.567,54.763,1.549,30372.0,0.904,0.317,4.995,1.338,99.996,98.043,81.344,0.0
2013/04/10,0.0892,2294259.0,1.877,1.335,8.47411111111111,14.594,75.669,11927.0,8884.0,7683.0,12290.0,11070.0,8152.0,4531.0,2630164.0,4971618.0,0.235,439.973,6.149,4.903,4.785,7.834,6.634,4.852,3.289,1.445,79.461,80.15,72.699,97.805,1198.0,9.026,8.867,8.377,0.367,-0.072,647680776.0,1097871966.0,1474887822.0,1819453286.0,6.722,3.567,80.11,87.849,49.134,300.395,1243.0,4511.0,220.97,255.726,6.392,3.576,0.514,1.323,1.308,1.213,1.246,1.268,1.276,1.268,1.295,1.248,1.264,0.527,0.113,0.143,0.224,1.17,0.32,0.465,0.381,150691678.0,0.775,19.628,19.513,0.464,-0.224,0.32,0.054,-0.126,0.09,0.033,48.31,56.115,1.646,35644.0,0.968,0.325,5.205,1.389,68.465,86.819,48.746,0.0
2013/04/11,0.0575,2277070.0,1.851,1.358,7.943666666666667,14.594,75.669,10916.0,8860.0,7645.0,9873.0,10242.0,8154.0,4480.0,3762049.0,4949018.0,0.254,264.198,5.88,4.97,4.215,0.335,5.557,4.812,3.37,1.49,42.818,52.512,60.154,160.724,722.163,8.989,8.87,8.421,0.367,-0.073,-90744978.0,327437616.0,786928599.0,1118093015.0,5.629,3.654,42.912,65.378,-6.683,163.892,750.464,4528.0,215.803,202.798,6.844,3.842,0.568,1.268,1.325,1.201,1.247,1.342,1.314,1.287,1.329,1.271,1.271,0.543,0.1,0.143,0.258,1.213,0.319,0.541,0.38,163781316.0,0.831,19.653,19.53,0.501,0.2,0.73,0.063,0.201,0.089,0.035,76.404,65.535,3.752,38707.0,1.035,0.335,5.124,1.438,24.65,60.08,-6.929,0.0
2013/04/12,0.0462,2238163.0,1.814,1.378,7.413222222222222,9.535,75.669,8586.0,8853.0,7562.0,7595.0,9290.0,8105.0,4423.0,5561480.0,4908464.0,0.273,178.631,4.307,4.712,3.012,-5.735,3.862,4.527,3.398,1.531,35.949,46.393,56.643,116.065,561.246,8.95,8.858,8.425,0.366,-0.074,-395449681.0,69710266.0,553037582.0,869989024.0,3.919,3.682,35.989,59.878,-27.959,118.702,584.068,4366.0,184.288,144.196,6.756,4.017,0.621,1.248,1.319,1.199,1.248,1.329,1.311,1.287,1.325,1.277,1.272,0.542,0.099,0.143,0.275,0.924,0.318,0.576,0.379,165857321.0,0.881,19.675,19.545,0.525,0.303,0.655,0.069,0.338,0.091,0.037,70.732,63.745,3.362,37977.0,1.094,0.344,4.798,1.484,18.382,53.973,-28.15,1.0
2013/04/13,0.0492,2210075.0,1.767,1.394,6.882777777777777,8.5802,64.467,6682.0,8852.0,7500.0,6600.0,8526.0,8069.0,4352.0,6710209.0,4872858.0,0.291,187.901,2.205,4.208,1.537,-7.92,2.284,4.132,3.387,1.568,38.982,48.122,57.312,127.317,607.072,8.926,8.853,8.45,0.365,-0.075,-389442782.0,126306405.0,613680429.0,937017691.0,2.331,3.667,39.06,60.772,-26.406,130.099,631.553,4144.0,94.837,87.451,6.26,4.094,0.671,1.25,1.283,1.192,1.246,1.237,1.264,1.266,1.277,1.261,1.266,0.566,0.101,0.144,0.215,0.371,0.317,0.559,0.378,160688634.0,0.917,19.696,19.561,0.546,0.305,0.647,0.075,0.34,0.094,0.04,70.831,63.785,3.317,37303.0,1.135,0.353,4.365,1.526,25.888,55.223,-26.603,1.0
2013/04/14,0.0459,2182310.0,1.71,1.405,6.352333333333333,7.6254,58.283,6245.0,8767.0,7389.0,6148.0,7641.0,7976.0,4267.0,8230612.0,4813521.0,0.307,143.822,-0.064,3.527,0.379,-8.509,0.897,3.671,3.343,1.602,36.749,46.351,56.345,91.529,556.932,8.928,8.865,8.525,0.42,-0.076,-549864737.0,36187478.0,538057176.0,864095279.0,0.938,3.616,36.819,59.319,-35.18,113.253,579.723,3791.0,72.644,64.3,5.496,4.079,0.717,1.261,1.304,1.189,1.251,1.272,1.28,1.274,1.29,1.273,1.269,0.556,0.099,0.143,0.189,0.053,0.316,0.517,0.376,161081756.0,0.936,19.721,19.576,0.559,0.382,0.74,0.078,0.289,0.097,0.042,71.411,63.997,3.814,35536.0,1.156,0.361,3.871,1.564,22.478,53.568,-35.354,1.0
2013/04/15,0.0436,2137654.0,1.646,1.413,5.821888888888889,6.6706,58.283,6080.0,8670.0,7291.0,5958.0,6907.0,7886.0,4198.0,8841620.0,4725580.0,0.323,204.784,-1.955,2.811,-0.062,-8.286,-0.274,3.181,3.27,1.633,35.063,45.066,55.662,97.261,523.689,8.894,8.863,8.557,0.293,-0.077,-838809340.0,-78337200.0,479769021.0,812231991.0,-0.238,3.534,35.128,58.305,-46.601,99.659,545.312,3492.0,62.862,62.605,4.704,4.011,0.761,1.347,1.37,1.224,1.259,1.4,1.347,1.307,1.354,1.312,1.28,0.551,0.102,0.146,0.261,-0.235,0.315,0.456,0.375,146702119.0,0.948,19.754,19.596,0.594,0.696,0.98,0.088,0.368,0.103,0.045,80.989,68.177,5.048,32978.0,1.174,0.37,3.352,1.598,19.679,52.398,-46.743,1.0
2013/04/16,0.0375,2075018.0,1.576,1.418,5.291444444444444,5.7158,58.283,5527.0,8452.0,7139.0,5387.0,6093.0,7734.0,4198.0,5108175.0,4652684.0,0.338,107.973,-3.072,2.188,-0.995,-8.563,-1.339,2.666,3.169,1.659,30.859,41.883,53.977,70.821,428.524,8.862,8.847,8.546,0.277,-0.078,-1322745355.0,-354743968.0,349239956.0,676892339.0,-1.306,3.423,30.896,55.839,-61.491,72.892,446.896,3243.0,57.536,58.584,3.896,3.894,0.801,1.355,1.357,1.243,1.258,1.342,1.323,1.297,1.326,1.308,1.278,0.561,0.089,0.146,0.275,-0.294,0.314,0.441,0.373,135844174.0,0.961,19.791,19.619,0.639,0.804,1.125,0.102,0.459,0.112,0.048,84.417,70.193,5.801,32565.0,1.188,0.378,2.813,1.627,13.339,49.549,-61.595,1.0
