Date,bitcoin-median_transaction_fee_raw,bitcoin-mining_profitability_raw,top100cap-btc_raw,difficulty-btc--trx90,difficulty-btc--rsi90,mining_profitability-btc--sma14,mining_profitability-btc--sma30,mining_profitability-btc--ema3,mining_profitability-btc--ema14,mining_profitability-btc--wma3,mining_profitability-btc--wma7,mining_profitability-btc--wma30,mining_profitability-btc--wma90,mining_profitability-btc--mom90,mining_profitability-btc--var7,mining_profitability-btc--var14,mining_profitability-btc--var30,mining_profitability-btc--trx30,mining_profitability-btc--trx90,mining_profitability-btc--rsi90,mining_profitability-btc--roc90,transactionfees-btc--mom90,transactionfees-btc--trx30,transactionfees-btc--trx90,transactionfees-btc--roc90,median_transaction_fee-btc--ema3,median_transaction_fee-btc--wma3,median_transaction_fee-btc--wma14,median_transaction_fee-btc--wma90,median_transaction_fee-btc--std90,median_transaction_fee-btc--mom90,median_transaction_fee-btc--trx14,median_transaction_fee-btc--trx30,median_transaction_fee-btc--trx90,median_transaction_fee-btc--rsi90,median_transaction_fee-btc--roc30,median_transaction_fee-btc--roc90,confirmationtime-btc--trx90,marketcap-btc--mom90,marketcap-btc--trx30,marketcap-btc--trx90,marketcap-btc--rsi14,marketcap-btc--rsi90,marketcap-btc--roc90,transactionvalue-btc--sma30,mediantransactionvalue-btc--sma90,mediantransactionvalue-btc--mom90,mediantransactionvalue-btc--trx30,mediantransactionvalue-btc--roc90,fee_to_reward-btc--sma3,fee_to_reward-btc--sma14,fee_to_reward-btc--sma30,fee_to_reward-btc--sma90,fee_to_reward-btc--ema3,fee_to_reward-btc--ema7,fee_to_reward-btc--ema14,fee_to_reward-btc--ema30,fee_to_reward-btc--ema90,fee_to_reward-btc--wma3,fee_to_reward-btc--wma14,fee_to_reward-btc--wma30,fee_to_reward-btc--wma90,fee_to_reward-btc--std14,fee_to_reward-btc--std30,fee_to_reward-btc--var14,fee_to_reward-btc--trx90,size-btc--sma3,size-btc--trx90,sentbyaddress-btc--var30,top100cap-btc--sma7,top100cap-btc--sma14,top100cap-btc--sma30,top100cap-btc--sma90,top100cap-btc--ema3,top100cap-btc--ema7,top100cap-btc--ema14,top100cap-btc--ema90,top100cap-btc--wma3,top100cap-btc--wma7,top100cap-btc--wma14,top100cap-btc--wma90,top100cap-btc--std90,top100cap-btc--mom90,top100cap-btc--var90,top100cap-btc--trx14,top100cap-btc--trx30,top100cap-btc--rsi30,top100cap-btc--rsi90,top100cap-btc--roc90,activeaddresses-btc--var90,price-btc--std14,price-btc--mom30,price-btc--var14,price-btc--var30,price-btc--trx14,price-btc--trx30,price-btc--trx90,price-btc--rsi30,price-btc--rsi90,price-btc--roc90,90d_binary_price_change
2013/04/01,0.0474,7220.0,19.962,0.271,91.841,6279.0,5449.0,6990.0,6242.0,7035.0,6806.0,5894.0,4650.0,4974.0,458425.0,736163.0,1048771.0,1.215,0.091,54.763,221.516,0.067,2.712,1.218,624.061,0.045,0.046,0.04,0.023,0.023,0.041,2.987,2.482,1.11,65.414,185.993,606.456,-0.057,897213385.0,2.586,1.097,95.218,91.946,630.491,1883.0,26.683,50.469,2.119,347.641,1.136,1.154,1.279,1.237,1.06,1.172,1.189,1.215,1.157,1.037,1.205,1.188,1.245,0.555,1.147,0.077,0.742,158276.0,0.334,41786951.0,19.799,19.59,19.499,19.396,19.906,19.799,19.671,19.501,19.922,19.86,19.706,19.428,0.322,0.426,0.026,0.063,0.011,65.405,50.301,2.183,82659141.0,25.772,61.597,166.051,343.518,3.629,2.538,1.025,93.774,91.45,606.456,0.0
2013/04/02,0.0539,7990.0,20.024,0.279,91.841,6503.0,5582.0,7490.0,6475.0,7564.0,7164.0,6058.0,4740.0,5757.0,442945.0,751741.0,1177343.0,1.241,0.104,55.757,257.863,0.094,2.777,1.251,869.772,0.05,0.05,0.042,0.023,0.024,0.047,3.127,2.534,1.139,67.414,231.964,716.218,-0.059,1042931435.0,2.665,1.129,96.519,93.08,744.047,2012.0,27.577,80.441,2.21,554.221,1.094,1.163,1.286,1.243,1.199,1.214,1.209,1.223,1.161,1.138,1.229,1.192,1.248,0.563,1.145,0.079,0.733,154176.0,0.331,47486125.0,19.861,19.639,19.522,19.401,19.965,19.855,19.718,19.513,19.974,19.917,19.764,19.442,0.345,0.427,0.03,0.074,0.014,66.711,50.893,2.179,93587018.0,28.113,75.291,197.592,405.594,3.745,2.617,1.057,94.987,92.645,716.218,0.0
2013/04/03,0.06,8852.0,19.987,0.288,91.841,6645.0,5743.0,8171.0,6792.0,8293.0,7645.0,6269.0,4847.0,6575.0,595387.0,1116414.0,1426075.0,1.276,0.117,56.831,288.861,0.121,2.871,1.288,1028.0,0.055,0.056,0.045,0.024,0.025,0.053,3.319,2.599,1.17,69.112,79.898,808.284,-0.061,1177852524.0,2.756,1.163,97.272,93.897,839.301,2144.0,28.497,82.801,2.327,419.627,1.267,1.227,1.299,1.25,1.398,1.31,1.26,1.247,1.17,1.389,1.287,1.212,1.255,0.541,1.151,0.073,0.725,166303.0,0.329,64654761.0,19.906,19.68,19.542,19.405,19.976,19.888,19.754,19.523,19.995,19.948,19.81,19.454,0.364,0.366,0.033,0.085,0.017,65.191,50.53,1.864,119931071.0,33.32,86.649,277.562,499.422,3.911,2.707,1.09,95.785,93.508,808.284,0.0
2013/04/04,0.0618,8777.0,19.99,0.296,91.841,6794.0,5910.0,8474.0,7057.0,8671.0,7999.0,6465.0,4951.0,6518.0,843694.0,1418707.0,1574429.0,1.316,0.132,56.71,288.561,0.131,2.985,1.328,1244.0,0.058,0.06,0.048,0.025,0.027,0.055,3.525,2.674,1.203,69.578,237.355,834.762,-0.063,1217365028.0,2.854,1.2,97.446,94.103,866.699,2244.0,29.741,111.93,2.481,983.208,1.627,1.3,1.315,1.261,1.673,1.469,1.352,1.292,1.187,1.729,1.383,1.254,1.271,0.627,1.173,0.098,0.717,193740.0,0.327,85452388.0,19.947,19.723,19.564,19.41,19.983,19.914,19.786,19.534,19.995,19.969,19.852,19.467,0.383,0.45,0.037,0.094,0.02,65.257,50.559,2.302,146568407.0,37.881,86.935,358.748,596.59,4.087,2.805,1.126,95.977,93.724,834.762,0.0
2013/04/05,0.0643,9950.0,19.833,0.305,92.508,7008.0,6087.0,9212.0,7443.0,9376.0,8598.0,6726.0,5079.0,7877.0,1246477.0,2082572.0,2035077.0,1.368,0.147,58.121,379.844,0.11,3.093,1.37,1049.0,0.061,0.063,0.051,0.026,0.028,0.058,3.728,2.755,1.237,70.229,229.992,876.762,-0.065,1274370485.0,2.957,1.238,97.675,94.378,910.125,2341.0,30.977,111.238,2.658,797.696,1.659,1.319,1.232,1.267,1.552,1.46,1.363,1.301,1.193,1.631,1.4,1.261,1.274,0.627,0.672,0.098,0.71,198614.0,0.326,102026223.0,19.943,19.757,19.578,19.413,19.908,19.893,19.792,19.54,19.911,19.94,19.866,19.477,0.392,0.29,0.038,0.1,0.023,59.122,49.033,1.485,164680970.0,41.76,89.674,435.977,701.54,4.257,2.907,1.164,96.233,94.013,876.762,0.0
2013/04/06,0.0671,8923.0,19.833,0.314,93.644,7170.0,6217.0,9068.0,7640.0,9241.0,8816.0,6909.0,5183.0,6611.0,946223.0,2309302.0,2248623.0,1.419,0.163,56.491,285.864,0.087,3.173,1.411,626.386,0.064,0.065,0.054,0.027,0.03,0.06,3.916,2.84,1.274,70.901,235.372,922.051,-0.066,1335296658.0,3.062,1.278,97.892,94.647,956.989,2423.0,31.783,72.548,2.811,411.787,1.442,1.318,1.213,1.267,1.25,1.332,1.307,1.278,1.187,1.276,1.351,1.243,1.267,0.629,0.671,0.099,0.702,190067.0,0.324,102441468.0,19.925,19.792,19.593,19.416,19.871,19.878,19.797,19.547,19.859,19.913,19.876,19.486,0.4,0.23,0.04,0.103,0.026,59.132,49.037,1.171,167334419.0,44.329,94.124,491.259,812.71,4.409,3.011,1.203,96.479,94.297,922.051,0.0
2013/04/07,0.071,9411.0,19.767,0.324,93.644,7477.0,6370.0,9240.0,7876.0,9339.0,9073.0,7115.0,5295.0,6962.0,690831.0,2274547.0,2498776.0,1.472,0.179,57.07,284.158,0.109,3.244,1.452,925.944,0.068,0.069,0.057,0.028,0.032,0.064,4.092,2.93,1.312,71.841,244.103,979.512,-0.068,1423014406.0,3.168,1.321,98.162,95.001,1016.0,2475.0,32.319,48.258,2.913,300.925,1.227,1.349,1.217,1.272,1.276,1.324,1.307,1.28,1.19,1.206,1.349,1.249,1.268,0.576,0.672,0.083,0.695,184681.0,0.323,100672517.0,19.914,19.82,19.602,19.418,19.819,19.85,19.793,19.551,19.8,19.874,19.873,19.494,0.404,0.141,0.041,0.103,0.028,56.711,48.404,0.72,174998891.0,46.645,100.79,543.945,941.058,4.547,3.117,1.245,96.797,94.67,979.512,0.0
2013/04/08,0.0818,10124.0,19.689,0.334,93.644,7854.0,6535.0,9682.0,8176.0,9687.0,9421.0,7357.0,5422.0,8304.0,468986.0,2134668.0,2893644.0,1.528,0.196,57.897,456.035,0.112,3.305,1.494,989.802,0.075,0.076,0.061,0.03,0.034,0.075,4.304,3.033,1.352,74.12,278.959,1120.0,-0.069,1657333580.0,3.286,1.366,98.658,95.761,1162.0,2583.0,33.565,112.106,3.035,605.596,1.144,1.347,1.216,1.274,1.229,1.289,1.29,1.274,1.19,1.183,1.327,1.247,1.266,0.578,0.672,0.084,0.687,186365.0,0.322,105592143.0,19.875,19.837,19.608,19.421,19.754,19.81,19.779,19.554,19.739,19.817,19.856,19.499,0.408,0.294,0.042,0.1,0.03,54.048,47.679,1.514,206269076.0,52.913,120.4,699.937,1159.0,4.724,3.234,1.289,97.44,95.477,1120.0,0.0
2013/04/09,0.0977,13352.0,19.714,0.344,93.644,8419.0,6805.0,11517.0,8866.0,11619.0,10472.0,7797.0,5618.0,11242.0,2217095.0,3563293.0,4316562.0,1.606,0.215,61.31,532.828,0.134,3.369,1.538,1292.0,0.086,0.088,0.067,0.031,0.037,0.091,4.608,3.161,1.397,76.92,119.952,1337.0,-0.07,2006316195.0,3.427,1.416,99.062,96.548,1386.0,2761.0,35.483,172.672,3.222,843.444,1.199,1.341,1.209,1.275,1.17,1.244,1.266,1.263,1.188,1.166,1.295,1.24,1.263,0.586,0.672,0.086,0.679,193219.0,0.321,122951117.0,19.83,19.846,19.618,19.424,19.734,19.786,19.771,19.558,19.714,19.777,19.839,19.506,0.413,0.329,0.043,0.095,0.032,54.763,47.935,1.699,234652099.0,65.438,150.978,1071.0,1552.0,4.995,3.375,1.338,98.043,96.314,1337.0,0.0
2013/04/10,0.0892,12305.0,19.762,0.355,93.644,8884.0,7054.0,11911.0,9325.0,12290.0,11070.0,8152.0,5788.0,10026.0,2630164.0,3928726.0,5132843.0,1.69,0.235,59.722,439.973,0.141,3.457,1.585,350.16,0.088,0.091,0.071,0.033,0.04,0.082,4.852,3.289,1.445,72.699,97.805,1198.0,-0.072,1819453286.0,3.567,1.468,84.586,87.849,1243.0,3006.0,39.108,326.204,3.576,2520.0,1.211,1.308,1.213,1.246,1.255,1.268,1.276,1.268,1.191,1.237,1.295,1.248,1.264,0.527,0.673,0.069,0.672,180896.0,0.32,150691678.0,19.798,19.852,19.628,19.429,19.748,19.78,19.77,19.562,19.734,19.76,19.828,19.513,0.418,0.413,0.044,0.09,0.033,56.115,48.425,2.133,291393310.0,68.953,133.379,1189.0,1786.0,5.205,3.514,1.389,86.819,87.615,1198.0,0.0
