Date,difficulty-btc--var7,difficulty-btc--roc3,hashrate-btc--mom3,hashrate-btc--roc90,mining_profitability-btc--roc3,sentinusd-btc--mom3,sentinusd-btc--var90,sentinusd-btc--roc3,sentinusd-btc--roc7,sentinusd-btc--roc30,transactionfees-btc--rsi3,transactionfees-btc--roc3,transactionfees-btc--roc14,median_transaction_fee-btc--trx3,median_transaction_fee-btc--rsi14,confirmationtime-btc--wma7,confirmationtime-btc--mom7,confirmationtime-btc--mom14,confirmationtime-btc--mom30,confirmationtime-btc--mom90,confirmationtime-btc--var3,confirmationtime-btc--rsi7,confirmationtime-btc--roc3,confirmationtime-btc--roc30,marketcap-btc--mom3,marketcap-btc--var7,marketcap-btc--rsi3,marketcap-btc--rsi7,marketcap-btc--roc3,marketcap-btc--roc7,transactionvalue-btc--std3,transactionvalue-btc--mom14,transactionvalue-btc--mom90,transactionvalue-btc--trx14,transactionvalue-btc--roc7,transactionvalue-btc--roc30,mediantransactionvalue-btc--std14,mediantransactionvalue-btc--mom3,mediantransactionvalue-btc--mom7,mediantransactionvalue-btc--roc3,mediantransactionvalue-btc--roc14,fee_to_reward-btc--ema7,fee_to_reward-btc--ema14,fee_to_reward-btc--std3,fee_to_reward-btc--std7,fee_to_reward-btc--trx3,fee_to_reward-btc--rsi7,fee_to_reward-btc--roc30,fee_to_reward-btc--roc90,size-btc--std3,size-btc--mom7,size-btc--mom30,size-btc--mom90,size-btc--var3,size-btc--trx3,size-btc--rsi3,size-btc--rsi14,size-btc--rsi90,size-btc--roc3,size-btc--roc7,size-btc--roc14,size-btc--roc90,transactions-btc--std3,transactions-btc--mom3,transactions-btc--mom30,transactions-btc--var3,transactions-btc--var7,transactions-btc--trx3,transactions-btc--roc30,sentbyaddress-btc--std3,sentbyaddress-btc--std90,sentbyaddress-btc--var3,sentbyaddress-btc--rsi7,sentbyaddress-btc--rsi30,sentbyaddress-btc--roc3,sentbyaddress-btc--roc14,sentbyaddress-btc--roc30,top100cap-btc--std7,top100cap-btc--trx3,top100cap-btc--roc7,top100cap-btc--roc14,activeaddresses-btc--mom30,activeaddresses-btc--mom90,activeaddresses-btc--var14,activeaddresses-btc--var90,activeaddresses-btc--trx3,activeaddresses-btc--rsi3,activeaddresses-btc--rsi90,price-btc--mom7,price-btc--trx3,price-btc--rsi3,price-btc--rsi7,price-btc--roc3,1d_binary_price_change
2013/04/01,-0.031,4.618,6431393708788.0,169.207,11.668,12639661.0,1745918089683000.0,10.973,33.96,178.738,32.854,-8.219,92.283,3.721,74.007,8.282,-2.727,-0.306,-2.658,-1.616,0.3,41.308,-12.121,-26.768,90285126.0,5758554150824320.0,99.471,97.077,9.511,37.332,451.284,-1414.0,1967.0,3.688,19.15,192.726,17.452,0.326,16.907,0.504,17.119,1.172,1.189,0.494,0.554,-5.388,40.508,-37.847,38.401,42258.0,-29315.0,-41100.0,50223.0,446426850.0,-2.702,23.419,46.863,50.169,-21.687,-17.391,29.482,56.409,12463.0,-9513.0,-3108.0,38831985.0,38380777.0,-1.823,-5.582,10442.0,10848.0,27257065.0,51.471,52.678,-15.051,19.721,46.98,0.268,0.289,2.66,3.135,26527.0,37910.0,64982806.0,82659141.0,-1.376,52.204,52.751,25.57,3.723,99.456,96.992,9.383,1.0
2013/04/02,-0.039,4.618,3737454649762.0,171.197,20.96,105878835.0,2209022600061441.0,69.92,130.277,891.213,72.591,10.08,80.899,5.183,78.528,8.099,-1.581,-0.515,-0.988,-1.456,0.26,47.608,-4.42,-11.05,224023014.0,8559801974466176.0,99.816,98.25,23.358,50.675,1520.0,2238.0,3750.0,3.769,63.172,693.76,26.981,48.436,26.922,104.119,55.315,1.214,1.209,0.385,0.547,-2.693,53.497,20.765,60.341,30880.0,14065.0,18361.0,61367.0,238399161.0,-1.03,62.736,53.887,51.376,-6.552,8.715,32.457,53.794,15762.0,4072.0,8797.0,62113871.0,41064926.0,1.033,16.201,18713.0,11689.0,87539468.0,64.645,57.182,20.401,34.224,99.628,0.246,0.282,2.207,3.526,45815.0,48771.0,86865914.0,93587018.0,1.849,72.767,54.395,36.045,5.184,99.811,98.201,23.206,1.0
2013/04/03,-0.031,4.618,5716892007375.0,154.039,26.973,121068552.0,2633863588145095.0,92.33,26.739,745.395,85.946,42.924,186.43,6.968,81.743,8.042,-2.764,1.404,0.184,-0.66,0.162,50.103,-3.429,2.286,341228991.0,1.7950115993704064e+16,99.904,98.785,34.928,51.865,1743.0,2128.0,3935.0,3.964,9.947,782.281,35.642,51.464,39.764,100.771,77.719,1.31,1.26,0.604,0.453,2.736,59.191,30.544,72.575,38914.0,-6480.0,19528.0,76185.0,378574130.0,1.218,68.594,55.424,51.662,24.609,-3.398,77.06,70.527,10252.0,19949.0,-99.0,26276601.0,45047715.0,2.898,-0.155,16914.0,13162.0,71519524.0,69.58,59.238,75.199,62.16,87.769,0.201,0.223,1.612,2.964,53604.0,55874.0,143182571.0,119931071.0,6.045,83.098,55.865,40.765,6.968,99.902,98.752,34.759,1.0
2013/04/04,-0.023,4.618,-10229656991704.0,144.48,21.568,98643498.0,2947769732649600.0,77.17,59.811,235.769,88.341,81.728,141.4,7.181,82.56,8.364,1.482,2.745,-1.009,-0.061,0.364,59.386,28.571,-9.74,318307776.0,2.5909617038946304e+16,99.921,98.9,30.621,44.504,190.155,1904.0,3616.0,4.155,65.847,240.873,47.437,58.327,63.398,89.752,148.975,1.469,1.352,0.499,0.647,8.781,65.836,33.318,94.811,40000.0,46309.0,27072.0,79757.0,399995986.0,5.039,84.337,61.338,52.86,59.109,26.423,74.43,56.241,3166.0,14166.0,10009.0,2506053.0,54314709.0,3.914,17.644,8001.0,14643.0,16005242.0,71.326,59.981,47.008,59.384,78.105,0.125,0.161,1.427,3.139,51496.0,61549.0,200432683.0,146568407.0,7.371,84.132,56.029,37.81,7.181,99.919,98.869,30.456,1.0
2013/04/05,11709126260.0,4.618,-10030142156358.0,129.366,24.533,-29930113.0,3253603293525400.0,-11.632,97.398,182.911,53.08,15.109,62.974,6.652,83.687,8.573,0.838,2.826,-0.176,-1.099,0.233,56.785,14.557,-1.899,231290551.0,3.0773849391949824e+16,99.942,99.05,19.55,49.004,187.529,2705.0,3651.0,4.321,114.707,201.674,55.711,30.228,60.522,31.834,136.282,1.46,1.363,0.43,0.648,5.271,51.483,-63.371,61.872,32811.0,12246.0,-4451.0,71827.0,269144550.0,3.959,51.614,54.742,51.766,8.335,6.887,45.481,60.746,4514.0,-1880.0,-1390.0,5093768.0,53572936.0,2.56,-2.22,2370.0,15788.0,1404221.0,67.072,58.929,11.295,36.69,48.673,0.137,0.011,-0.14,2.439,30883.0,46617.0,222392877.0,164680970.0,5.263,57.434,54.981,42.073,6.652,99.941,99.022,19.411,1.0
2013/04/06,116298164445.0,14.594,1557847201520.0,197.729,0.809,-94576216.0,3334242195953900.0,-37.501,4.088,179.066,34.249,-24.116,59.177,5.981,84.815,8.683,0.511,2.198,-0.166,-1.097,0.045,53.554,7.362,-1.84,156637748.0,3.102081596478848e+16,99.96,99.188,11.883,53.775,796.785,1735.0,3022.0,4.329,28.681,248.735,53.993,-12.368,43.646,-12.062,116.499,1.332,1.307,0.817,0.711,-2.139,41.549,-37.746,-0.985,51440.0,-29178.0,-43262.0,57958.0,661526354.0,0.221,32.626,49.061,50.705,-13.92,-15.541,26.663,57.608,12549.0,-12211.0,-15055.0,39371402.0,59507406.0,-0.687,-22.602,17527.0,15763.0,76799693.0,44.977,52.233,-24.738,21.19,16.637,0.156,-0.076,-0.618,2.527,16719.0,40875.0,204447338.0,167334419.0,0.964,30.056,53.062,46.659,5.982,99.959,99.164,11.759,1.0
2013/04/07,181912985570.0,14.594,7437559507776.0,175.569,7.226,-99243196.0,3360921285754477.0,-43.822,-2.974,172.35,57.592,-14.361,135.116,5.654,86.307,8.761,0.26,1.161,-0.22,0.209,0.021,52.878,-6.098,-2.439,205188142.0,2.7003819424369664e+16,99.976,99.349,15.112,59.987,1555.0,1194.0,1958.0,4.11,-21.419,174.428,50.921,-59.019,13.225,-47.861,60.875,1.324,1.307,0.41,0.685,-3.001,49.822,10.376,52.849,39000.0,57582.0,43978.0,100010.0,380242124.0,1.274,62.994,56.321,52.179,-7.292,38.952,58.083,94.885,10279.0,-3361.0,7680.0,26416614.0,29681200.0,0.013,13.789,16542.0,15865.0,68407499.0,44.403,52.027,-28.251,4.276,29.736,0.186,-0.144,-0.399,1.984,30502.0,33041.0,188964667.0,174998891.0,-0.941,40.179,53.451,53.03,5.654,99.975,99.329,14.987,1.0
2013/04/08,208553589636.0,9.535,11532678823846.0,156.271,1.749,-17416866.0,3585240197880137.0,-7.66,64.254,432.339,59.787,2.245,95.855,6.915,89.345,8.957,2.018,-0.71,0.77,-1.537,0.052,58.645,1.935,9.032,385597320.0,3.343432535765632e+16,99.991,99.599,27.262,73.156,1321.0,1868.0,3299.0,3.945,56.008,410.242,55.454,5.434,65.63,4.341,171.667,1.289,1.29,0.295,0.588,-3.379,47.2,-3.21,22.133,40202.0,55863.0,38287.0,45815.0,404047942.0,1.495,54.846,54.484,51.835,2.658,40.115,15.748,30.685,10384.0,310.0,6148.0,26954499.0,19648358.0,0.465,11.102,14170.0,16667.0,50196165.0,60.087,56.684,-3.632,47.553,91.061,0.236,-0.207,-1.368,1.255,59772.0,57872.0,213677509.0,206269076.0,2.074,75.587,55.919,68.845,6.915,99.99,99.587,27.122,1.0
2013/04/09,196219976643.0,9.004555555555555,3283429025417.0,207.663,49.628,166623371.0,4303993317407992.0,105.713,26.014,535.395,77.704,42.589,116.845,9.62,92.132,8.805,0.226,-1.355,0.313,-2.895,0.205,44.753,-7.386,3.977,676275214.0,7.588320051836723e+16,99.996,99.759,45.855,81.819,2970.0,3377.0,5532.0,4.021,38.023,716.11,78.894,102.979,98.189,114.211,183.895,1.244,1.266,0.158,0.62,-3.821,45.5,-16.234,10.839,21627.0,3685.0,-6227.0,30792.0,116933647.0,0.238,42.144,51.664,51.303,12.968,2.1,10.999,20.758,4373.0,15248.0,-6858.0,4780518.0,22905042.0,1.697,-9.31,19233.0,17992.0,92477233.0,65.847,58.805,43.368,53.448,88.742,0.224,-0.196,-1.546,0.626,55081.0,55914.0,230615669.0,234652099.0,3.624,71.291,55.716,87.647,9.62,99.996,99.752,45.695,0.0
2013/04/10,144912146590.0,8.47411111111111,7496489193464.0,203.899,30.743,305371778.0,5733027655108845.0,240.022,71.534,945.825,89.751,49.825,102.228,7.834,80.15,8.483,-0.689,-3.453,-1.241,-2.257,0.523,38.573,-14.136,-14.136,402857551.0,7.828971098834893e+16,68.609,80.11,25.774,49.134,3332.0,4052.0,7777.0,4.419,81.449,964.05,148.424,274.854,236.616,427.49,440.311,1.268,1.276,0.192,0.59,-1.395,51.895,11.106,-66.643,21924.0,-15767.0,-2022.0,4759.0,120166064.0,-1.304,34.203,49.809,50.95,-17.998,-8.559,-11.667,2.908,4333.0,313.0,4565.0,4692809.0,22870439.0,1.526,7.721,13880.0,19967.0,48162688.0,71.445,61.098,62.729,65.222,135.121,0.186,-0.126,-1.123,0.471,79926.0,72268.0,317615334.0,291393310.0,6.377,85.66,57.546,58.497,7.834,68.465,79.994,25.633,0.0
