Date,bitcoin-median_transaction_fee_raw,difficulty-btc--wma30,difficulty-btc--trx14,difficulty-btc--trx90,hashrate-btc--var14,hashrate-btc--trx14,mining_profitability-btc--sma7,mining_profitability-btc--sma14,mining_profitability-btc--sma90,mining_profitability-btc--ema3,mining_profitability-btc--ema7,mining_profitability-btc--wma3,mining_profitability-btc--wma7,mining_profitability-btc--wma14,mining_profitability-btc--wma90,mining_profitability-btc--std90,mining_profitability-btc--trx30,mining_profitability-btc--trx90,sentinusd-btc--sma14,sentinusd-btc--sma30,sentinusd-btc--ema90,sentinusd-btc--wma30,sentinusd-btc--std30,sentinusd-btc--std90,sentinusd-btc--var90,sentinusd-btc--trx14,sentinusd-btc--trx90,transactionfees-btc--trx14,median_transaction_fee-btc--sma7,median_transaction_fee-btc--ema3,median_transaction_fee-btc--trx3,median_transaction_fee-btc--trx7,median_transaction_fee-btc--trx14,median_transaction_fee-btc--trx30,median_transaction_fee-btc--rsi7,median_transaction_fee-btc--rsi90,median_transaction_fee-btc--roc30,median_transaction_fee-btc--roc90,confirmationtime-btc--sma30,confirmationtime-btc--sma90,confirmationtime-btc--wma14,confirmationtime-btc--wma30,confirmationtime-btc--std14,confirmationtime-btc--std30,confirmationtime-btc--trx14,marketcap-btc--sma3,marketcap-btc--sma30,marketcap-btc--sma90,marketcap-btc--ema3,marketcap-btc--ema90,marketcap-btc--std30,marketcap-btc--mom30,marketcap-btc--mom90,marketcap-btc--var30,marketcap-btc--var90,marketcap-btc--trx7,marketcap-btc--rsi7,marketcap-btc--rsi90,marketcap-btc--roc30,marketcap-btc--roc90,transactionvalue-btc--std14,transactionvalue-btc--trx14,mediantransactionvalue-btc--sma14,mediantransactionvalue-btc--sma30,mediantransactionvalue-btc--wma14,mediantransactionvalue-btc--wma30,mediantransactionvalue-btc--trx30,fee_to_reward-btc--sma7,fee_to_reward-btc--sma14,fee_to_reward-btc--ema7,fee_to_reward-btc--ema14,fee_to_reward-btc--ema30,fee_to_reward-btc--ema90,fee_to_reward-btc--wma7,fee_to_reward-btc--wma14,fee_to_reward-btc--wma30,fee_to_reward-btc--wma90,fee_to_reward-btc--std90,size-btc--std14,size-btc--var14,size-btc--var30,size-btc--var90,size-btc--trx7,size-btc--trx14,size-btc--trx30,size-btc--trx90,transactions-btc--std30,transactions-btc--var30,transactions-btc--trx14,sentbyaddress-btc--sma14,sentbyaddress-btc--sma30,sentbyaddress-btc--std30,sentbyaddress-btc--var30,sentbyaddress-btc--var90,sentbyaddress-btc--trx30,sentbyaddress-btc--trx90,top100cap-btc--sma30,top100cap-btc--wma7,top100cap-btc--wma90,top100cap-btc--std30,top100cap-btc--std90,top100cap-btc--mom7,top100cap-btc--mom30,top100cap-btc--var90,top100cap-btc--trx3,top100cap-btc--trx14,top100cap-btc--trx30,top100cap-btc--rsi3,top100cap-btc--roc7,top100cap-btc--roc30,activeaddresses-btc--wma30,activeaddresses-btc--std30,activeaddresses-btc--var30,activeaddresses-btc--trx14,activeaddresses-btc--trx30,price-btc--sma90,price-btc--ema3,price-btc--wma3,price-btc--wma30,price-btc--std30,price-btc--mom30,price-btc--mom90,price-btc--var30,price-btc--trx3,price-btc--trx14,price-btc--rsi14,price-btc--rsi90,price-btc--roc30,price-btc--roc90,7d_binary_price_change
2013/04/01,0.0474,5652157.0,1.93,0.271,3.3007362644153e+25,2.0,6562.0,6279.0,3913.0,6990.0,6648.0,7035.0,6806.0,6442.0,4650.0,2778.0,1.215,0.091,114652550.0,91370923.0,62957053.0,108319605.0,99974157.0,83568369.0,1745918089683000.0,3.636,0.276,3.644,0.042,0.045,3.721,4.009,2.987,2.482,87.21,65.414,185.993,606.456,8.4,9.146,8.318,8.24,2.656,2.341,-0.129,991852178.0,616948319.0,352418998.0,997954603.0,428855865.0,409268958.0,680338013.0,897213385.0,4.187527004296205e+16,5.195220233693293e+16,4.438,97.077,91.946,189.415,630.491,1325.0,3.688,54.928,41.397,55.935,48.928,2.119,1.301,1.154,1.172,1.189,1.215,1.157,1.22,1.205,1.188,1.245,0.956,51899.0,673384639.0,938951276.0,644540075.0,1.572,-0.044,-0.019,0.334,17233.0,74247499.0,-0.243,48248.0,43467.0,12929.0,41786951.0,29422322.0,0.406,0.253,19.499,19.86,19.428,0.367,0.322,0.517,0.694,0.026,0.289,0.063,0.011,76.138,2.66,3.6,68908.0,20592.0,106005219.0,1.219,0.538,32.485,90.961,91.616,66.298,37.068,61.597,81.308,343.518,3.723,3.629,95.075,91.45,185.993,606.456,1.0
2013/04/02,0.0539,5749761.0,1.948,0.279,3.2008626332648e+25,2.017,6924.0,6503.0,3977.0,7490.0,6984.0,7564.0,7164.0,6670.0,4740.0,2884.0,1.241,0.104,126344266.0,99082516.0,67228470.0,119025128.0,113391979.0,94000481.0,2209022600061441.0,3.89,0.312,3.733,0.045,0.05,5.183,4.233,3.127,2.534,91.746,67.414,231.964,716.218,8.367,9.13,8.3,8.212,2.648,2.337,-0.129,1066526516.0,644647072.0,364007125.0,1090528032.0,445432691.0,444769123.0,830962611.0,1042931435.0,4.945489328610125e+16,5.898440351722694e+16,4.586,98.25,93.08,235.976,744.047,1673.0,3.769,57.343,44.077,61.272,52.383,2.21,1.322,1.163,1.214,1.209,1.223,1.161,1.229,1.229,1.192,1.248,0.953,52503.0,689152619.0,952368214.0,630754328.0,1.368,0.042,-0.015,0.331,17526.0,76789294.0,-0.174,49382.0,44503.0,13782.0,47486125.0,34157477.0,0.432,0.256,19.522,19.917,19.442,0.408,0.345,0.432,0.677,0.03,0.282,0.074,0.014,81.544,2.207,3.498,70657.0,21588.0,116511566.0,1.27,0.569,33.536,99.355,100.288,69.605,40.279,75.291,94.548,405.594,5.184,3.745,96.416,92.645,231.964,716.218,1.0
2013/04/03,0.06,5842360.0,1.943,0.288,2.5922221956753e+25,2.015,7363.0,6645.0,4050.0,8171.0,7451.0,8293.0,7645.0,6984.0,4847.0,3037.0,1.276,0.117,137048586.0,106494613.0,71293657.0,128903321.0,122981011.0,102642361.0,2633863588145095.0,4.28,0.353,3.956,0.048,0.055,6.968,4.66,3.319,2.599,94.058,69.112,79.898,808.284,8.373,9.123,8.324,8.203,2.559,2.335,-0.126,1180269513.0,676520635.0,377094375.0,1204358959.0,464614168.0,493549055.0,956206879.0,1177852524.0,6.089766752797075e+16,6.837353381290434e+16,4.954,98.785,93.897,264.158,839.301,1939.0,3.964,60.546,46.873,67.298,56.154,2.327,1.292,1.227,1.31,1.26,1.247,1.17,1.297,1.287,1.212,1.255,0.953,47145.0,555653079.0,976467593.0,614641815.0,1.386,0.146,-0.006,0.329,17519.0,76727861.0,-0.078,51276.0,45581.0,16082.0,64654761.0,43309807.0,0.468,0.26,19.542,19.948,19.454,0.437,0.364,0.317,0.592,0.033,0.223,0.085,0.017,67.788,1.612,3.051,73293.0,25575.0,163523465.0,1.403,0.611,34.722,109.679,111.703,73.541,44.695,86.649,106.79,499.422,6.968,3.911,97.19,93.508,259.795,808.284,1.0
2013/04/04,0.0618,5929952.0,1.917,0.296,2.5213702195409e+25,1.969,7555.0,6794.0,4122.0,8474.0,7782.0,8671.0,7999.0,7268.0,4951.0,3171.0,1.316,0.132,144813868.0,111795343.0,74704127.0,136643670.0,129336259.0,108586735.0,2947769732649600.0,4.617,0.396,4.254,0.051,0.058,7.181,5.036,3.525,2.674,94.573,69.578,237.355,834.762,8.339,9.122,8.484,8.266,2.475,2.247,-0.09,1286372105.0,708525651.0,390620653.0,1281091963.0,484245175.0,539459089.0,960150478.0,1217365028.0,7.27540271846002e+16,7.825542515096218e+16,5.28,98.9,94.103,241.441,866.699,2083.0,4.155,65.817,50.029,75.667,61.086,2.481,1.382,1.3,1.469,1.352,1.292,1.187,1.461,1.383,1.254,1.271,0.963,53720.0,721463920.0,1069093010.0,659287348.0,1.843,0.315,0.013,0.327,18049.0,81439397.0,0.044,53186.0,46630.0,18488.0,85452388.0,53607673.0,0.514,0.264,19.564,19.969,19.467,0.459,0.383,0.281,0.659,0.037,0.161,0.094,0.02,68.44,1.427,3.408,75926.0,29141.0,212292466.0,1.58,0.663,35.948,116.62,119.74,77.521,48.85,86.935,110.343,596.59,7.181,4.087,97.368,93.724,237.355,834.762,0.0
2013/04/05,0.0643,6032489.0,1.888,0.305,2.6287739709724e+25,1.873,8052.0,7008.0,4210.0,9212.0,8324.0,9376.0,8598.0,7689.0,5079.0,3368.0,1.368,0.147,154976440.0,116695551.0,78059562.0,144100514.0,135208527.0,114080731.0,3253603293525400.0,4.872,0.441,4.452,0.054,0.061,6.652,5.295,3.728,2.755,95.26,70.229,229.992,876.762,8.334,9.11,8.586,8.316,2.217,2.238,-0.04,1363468955.0,741556324.0,404780326.0,1347741988.0,504687962.0,585022130.0,990920185.0,1274370485.0,8.556272309817466e+16,8.90027940952962e+16,5.497,99.05,94.378,233.999,910.125,2108.0,4.321,70.974,53.308,83.582,65.935,2.658,1.389,1.319,1.46,1.363,1.301,1.193,1.474,1.4,1.261,1.274,0.96,51407.0,660679155.0,1058645352.0,654198460.0,2.045,0.466,0.034,0.326,17976.0,80782038.0,0.152,54514.0,47386.0,20202.0,102026223.0,62312782.0,0.564,0.269,19.578,19.94,19.477,0.464,0.392,-0.028,0.443,0.038,0.011,0.1,0.023,26.47,-0.14,2.285,77877.0,31093.0,241699636.0,1.735,0.716,37.231,122.642,125.52,81.643,52.973,89.674,115.491,701.54,6.652,4.257,97.602,94.013,229.992,876.762,0.0
2013/04/06,0.0671,6172446.0,1.885,0.314,2.7650478857832e+25,1.8,8384.0,7170.0,4283.0,9068.0,8474.0,9241.0,8816.0,7944.0,5183.0,3486.0,1.419,0.163,160747888.0,120066807.0,79808105.0,146740690.0,134073592.0,115485795.0,3334242195953900.0,4.858,0.486,4.475,0.057,0.064,5.981,5.433,3.916,2.84,95.906,70.901,235.372,922.051,8.328,9.098,8.624,8.348,1.948,2.232,0.009,1415681538.0,776234498.0,419616955.0,1411284811.0,526009713.0,629729766.0,1040345240.0,1335296658.0,9.913989447586125e+16,1.0072315767911875e+17,5.599,99.188,94.647,239.445,956.989,1987.0,4.329,74.44,55.459,86.141,68.313,2.811,1.315,1.318,1.332,1.307,1.278,1.187,1.363,1.351,1.243,1.267,0.96,45721.0,522608121.0,989697975.0,617523242.0,1.765,0.549,0.052,0.324,17461.0,76225007.0,0.203,55165.0,47634.0,20243.0,102441468.0,62117197.0,0.607,0.274,19.593,19.913,19.486,0.467,0.4,-0.123,0.444,0.04,-0.076,0.103,0.026,26.647,-0.618,2.292,78668.0,31352.0,245738742.0,1.799,0.762,38.576,128.378,130.538,85.923,57.016,94.124,120.991,812.71,5.982,4.409,97.825,94.297,235.372,922.051,0.0
2013/04/07,0.071,6305297.0,1.89,0.324,2.9386493617664e+25,1.745,8732.0,7477.0,4360.0,9240.0,8709.0,9339.0,9073.0,8243.0,5295.0,3626.0,1.472,0.179,165829787.0,122750551.0,80850275.0,147202627.0,131287264.0,115946907.0,3360921285754477.0,4.603,0.53,4.457,0.061,0.068,5.654,5.511,4.092,2.93,96.678,71.841,244.103,979.512,8.321,9.1,8.634,8.377,1.852,2.225,0.052,1484077585.0,813375690.0,435428226.0,1487148960.0,548800997.0,677702511.0,1114235739.0,1423014406.0,1.148201734889614e+17,1.1413058805451376e+17,5.649,99.349,95.001,248.283,1016.0,1741.0,4.11,76.177,56.682,84.789,68.883,2.913,1.347,1.349,1.324,1.307,1.28,1.19,1.36,1.349,1.249,1.268,0.956,42268.0,446653947.0,1069205906.0,609668881.0,1.763,0.653,0.074,0.323,17759.0,78845320.0,0.266,55315.0,48027.0,20067.0,100672517.0,62923228.0,0.64,0.278,19.602,19.874,19.494,0.47,0.404,-0.079,0.261,0.041,-0.144,0.103,0.028,16.82,-0.399,1.339,79682.0,31346.0,245649879.0,1.813,0.803,40.008,135.229,137.188,90.515,61.353,100.79,128.918,941.058,5.654,4.547,98.103,94.67,244.103,979.512,0.0
2013/04/08,0.0818,6431039.0,1.894,0.334,3.0539696882506e+25,1.701,9147.0,7854.0,4453.0,9682.0,9062.0,9687.0,9421.0,8596.0,5422.0,3782.0,1.528,0.196,174011066.0,128434505.0,83687842.0,152829015.0,131132652.0,119753751.0,3585240197880137.0,4.405,0.574,4.404,0.066,0.075,6.915,5.785,4.304,3.033,97.915,74.12,278.959,1120.0,8.346,9.083,8.701,8.44,1.753,2.251,0.105,1612610025.0,857732657.0,453843044.0,1643569146.0,576299641.0,751938281.0,1330709019.0,1657333580.0,1.413527946427534e+17,1.3352827466677536e+17,5.902,99.599,95.761,283.564,1162.0,1680.0,3.945,82.073,60.183,92.047,73.653,3.035,1.392,1.347,1.289,1.29,1.274,1.19,1.319,1.327,1.247,1.266,0.954,42889.0,459856995.0,1115915801.0,622354878.0,1.74,0.748,0.099,0.322,17934.0,80403360.0,0.324,56853.0,49088.0,20552.0,105592143.0,69446512.0,0.677,0.283,19.608,19.817,19.499,0.47,0.408,-0.273,0.174,0.042,-0.207,0.1,0.03,10.235,-1.368,0.889,82359.0,33938.0,287943484.0,1.882,0.852,41.677,149.395,151.492,96.276,68.074,120.4,150.154,1159.0,6.915,4.724,98.616,95.477,278.959,1120.0,0.0
2013/04/09,0.0977,6549674.0,1.891,0.344,2.9970560076263e+25,1.67,9913.0,8419.0,4578.0,11517.0,10135.0,11619.0,10472.0,9329.0,5618.0,4185.0,1.606,0.215,189189906.0,137541562.0,88974739.0,165461734.0,145523932.0,131209654.0,4303993317407992.0,4.481,0.623,4.392,0.072,0.086,9.62,6.435,4.608,3.161,98.732,76.92,119.952,1337.0,8.357,9.051,8.626,8.429,1.716,2.245,0.129,1838035096.0,913331396.0,476135446.0,1897335997.0,610910701.0,870274634.0,1667962182.0,2006316195.0,1.893444844507342e+17,1.6397771221867283e+17,6.538,99.759,96.548,345.233,1386.0,2133.0,4.021,91.009,65.897,106.857,82.231,3.222,1.36,1.341,1.244,1.266,1.263,1.188,1.248,1.295,1.24,1.263,0.953,41727.0,435282312.0,1105939032.0,624788508.0,1.535,0.805,0.122,0.321,17120.0,73273707.0,0.399,58710.0,50258.0,22177.0,122951117.0,80927400.0,0.721,0.289,19.618,19.777,19.506,0.465,0.413,-0.31,0.301,0.043,-0.196,0.095,0.032,24.636,-1.546,1.549,84790.0,35879.0,321822032.0,1.967,0.904,43.696,172.396,175.898,103.832,78.796,150.978,181.794,1552.0,9.62,4.995,99.033,96.314,339.904,1337.0,0.0
2013/04/10,0.0892,6661200.0,1.877,0.355,2.5085476365151e+25,1.669,10406.0,8884.0,4689.0,11911.0,10677.0,12290.0,11070.0,9847.0,5788.0,4459.0,1.69,0.235,205876465.0,150582704.0,96526912.0,184497673.0,175702618.0,151433519.0,5733027655108845.0,4.903,0.679,4.515,0.076,0.088,7.834,6.634,4.852,3.289,79.461,72.699,97.805,1198.0,8.315,9.026,8.479,8.377,1.212,2.258,0.115,1972320947.0,962494324.0,496351594.0,1931603329.0,640690041.0,933615576.0,1474887822.0,1819453286.0,2.179095110426944e+17,1.87020097431988e+17,6.722,80.11,87.849,300.395,1243.0,3159.0,4.419,110.751,76.337,139.942,99.86,3.576,1.323,1.308,1.268,1.276,1.268,1.191,1.244,1.295,1.248,1.264,0.756,41760.0,435978926.0,1104405178.0,625390165.0,1.17,0.817,0.141,0.32,17360.0,75345573.0,0.465,61072.0,51863.0,24551.0,150691678.0,99673358.0,0.775,0.295,19.628,19.76,19.513,0.464,0.418,-0.224,0.32,0.044,-0.126,0.09,0.033,48.395,-1.123,1.646,88482.0,40334.0,406710904.0,2.121,0.968,45.527,175.448,181.642,109.974,84.519,133.379,164.748,1786.0,7.834,5.205,84.478,87.615,295.611,1198.0,0.0
