Date,bitcoin-median_transaction_fee_raw,bitcoin-fee_to_reward_raw,bitcoin-mining_profitability_raw,difficulty-btc--trx30,difficulty-btc--trx90,difficulty-btc--rsi14,hashrate-btc--mom90,hashrate-btc--trx30,hashrate-btc--trx90,mining_profitability-btc--sma3,mining_profitability-btc--sma30,mining_profitability-btc--sma90,mining_profitability-btc--ema3,mining_profitability-btc--ema7,mining_profitability-btc--ema14,mining_profitability-btc--ema90,mining_profitability-btc--wma3,mining_profitability-btc--wma7,mining_profitability-btc--wma90,mining_profitability-btc--mom90,mining_profitability-btc--var14,mining_profitability-btc--var90,mining_profitability-btc--trx14,mining_profitability-btc--trx30,mining_profitability-btc--trx90,mining_profitability-btc--roc90,sentinusd-btc--trx90,transactionfees-btc--trx30,transactionfees-btc--trx90,median_transaction_fee-btc--trx30,confirmationtime-btc--sma90,confirmationtime-btc--ema90,confirmationtime-btc--wma90,marketcap-btc--var14,marketcap-btc--trx30,marketcap-btc--trx90,marketcap-btc--roc90,transactionvalue-btc--var90,transactionvalue-btc--trx90,mediantransactionvalue-btc--trx30,fee_to_reward-btc--sma3,fee_to_reward-btc--sma7,fee_to_reward-btc--sma30,fee_to_reward-btc--sma90,fee_to_reward-btc--ema7,fee_to_reward-btc--ema30,fee_to_reward-btc--ema90,fee_to_reward-btc--wma3,fee_to_reward-btc--wma7,fee_to_reward-btc--wma14,fee_to_reward-btc--wma30,fee_to_reward-btc--wma90,fee_to_reward-btc--std14,fee_to_reward-btc--mom90,fee_to_reward-btc--var14,fee_to_reward-btc--var30,fee_to_reward-btc--trx30,fee_to_reward-btc--trx90,size-btc--sma14,size-btc--sma30,size-btc--ema14,size-btc--ema30,size-btc--ema90,size-btc--wma14,size-btc--wma30,size-btc--wma90,size-btc--var90,size-btc--trx30,size-btc--trx90,transactions-btc--sma30,transactions-btc--sma90,transactions-btc--wma30,transactions-btc--trx90,sentbyaddress-btc--sma90,top100cap-btc--sma7,top100cap-btc--sma14,top100cap-btc--sma30,top100cap-btc--sma90,top100cap-btc--ema7,top100cap-btc--ema14,top100cap-btc--ema30,top100cap-btc--ema90,top100cap-btc--wma3,top100cap-btc--wma7,top100cap-btc--wma14,top100cap-btc--wma30,top100cap-btc--wma90,top100cap-btc--std90,top100cap-btc--mom90,top100cap-btc--var90,top100cap-btc--trx30,top100cap-btc--trx90,top100cap-btc--rsi30,top100cap-btc--rsi90,top100cap-btc--roc90,activeaddresses-btc--sma30,activeaddresses-btc--trx90,price-btc--trx90,price-btc--roc90,90d_binary_price_change
2013/04/01,0.0474,0.867,7220.0,1.046,0.271,99.825,41170572602891.0,1.373,0.372,6932.0,5449.0,3913.0,6990.0,6648.0,6242.0,4403.0,7035.0,6806.0,4650.0,4974.0,736163.0,1929846.0,1.522,1.215,0.091,221.516,0.276,2.712,1.218,2.482,9.146,8.93,8.698,2.026677460212429e+16,2.586,1.097,630.491,719749.0,-0.116,2.119,1.136,1.301,1.279,1.237,1.172,1.215,1.157,1.037,1.22,1.205,1.188,1.245,0.555,0.241,0.077,0.329,0.05,0.742,149845.0,154996.0,155480.0,154181.0,149099.0,158761.0,151140.0,156022.0,644540075.0,-0.019,0.334,54216.0,52541.0,52842.0,0.394,39879.0,19.799,19.59,19.499,19.396,19.799,19.671,19.545,19.501,19.922,19.86,19.706,19.568,19.428,0.322,0.426,0.026,0.011,-0.057,65.405,50.301,2.183,64764.0,0.27,1.025,606.456,0.0
2013/04/02,0.0539,1.338,7990.0,1.085,0.279,99.825,39040948935635.0,1.406,0.384,7394.0,5582.0,3977.0,7490.0,6984.0,6475.0,4482.0,7564.0,7164.0,4740.0,5757.0,751741.0,2079147.0,1.605,1.241,0.104,257.863,0.312,2.777,1.251,2.534,9.13,8.909,8.672,2.4130034807257856e+16,2.665,1.129,744.047,841849.0,-0.089,2.21,1.094,1.322,1.286,1.243,1.214,1.223,1.161,1.138,1.229,1.229,1.192,1.248,0.563,0.504,0.079,0.328,0.038,0.733,152916.0,155608.0,158142.0,155553.0,149678.0,162174.0,152459.0,156482.0,630754328.0,-0.015,0.331,54509.0,52806.0,53415.0,0.392,40218.0,19.861,19.639,19.522,19.401,19.855,19.718,19.576,19.513,19.974,19.917,19.764,19.602,19.442,0.345,0.427,0.03,0.014,-0.056,66.711,50.893,2.179,66291.0,0.274,1.057,716.218,0.0
2013/04/03,0.06,1.596,8852.0,1.122,0.288,99.825,36545481949172.0,1.435,0.396,8021.0,5743.0,4050.0,8171.0,7451.0,6792.0,4578.0,8293.0,7645.0,4847.0,6575.0,1116414.0,2305788.0,1.738,1.276,0.117,288.861,0.353,2.871,1.288,2.599,9.123,8.894,8.652,3.386564888213632e+16,2.756,1.163,839.301,964945.0,-0.059,2.327,1.267,1.292,1.299,1.25,1.31,1.247,1.17,1.389,1.297,1.287,1.212,1.255,0.541,0.671,0.073,0.331,0.036,0.725,158643.0,156259.0,161618.0,157402.0,150437.0,166346.0,154304.0,157119.0,614641815.0,-0.006,0.329,54506.0,53046.0,54012.0,0.391,40562.0,19.906,19.68,19.542,19.405,19.888,19.754,19.602,19.523,19.995,19.948,19.81,19.632,19.454,0.364,0.366,0.033,0.017,-0.056,65.191,50.53,1.864,68078.0,0.279,1.09,808.284,0.0
2013/04/04,0.0618,1.948,8777.0,1.154,0.296,99.825,32664274002648.0,1.456,0.407,8540.0,5910.0,4122.0,8474.0,7782.0,7057.0,4670.0,8671.0,7999.0,4951.0,6518.0,1418707.0,2513253.0,1.884,1.316,0.132,288.561,0.396,2.985,1.328,2.674,9.122,8.904,8.657,4.375436366728845e+16,2.854,1.2,866.699,1069102.0,-0.027,2.481,1.627,1.382,1.315,1.261,1.469,1.292,1.187,1.729,1.461,1.383,1.254,1.271,0.627,0.948,0.098,0.344,0.049,0.717,165396.0,157161.0,169611.0,161541.0,152000.0,174736.0,158518.0,158559.0,659287348.0,0.013,0.327,54839.0,53249.0,54801.0,0.389,40971.0,19.947,19.723,19.564,19.41,19.914,19.786,19.627,19.534,19.995,19.969,19.852,19.661,19.467,0.383,0.45,0.037,0.02,-0.055,65.257,50.559,2.302,69795.0,0.284,1.126,834.762,0.0
2013/04/05,0.0643,1.432,9950.0,1.184,0.305,99.867,29224759256222.0,1.468,0.419,9193.0,6087.0,4210.0,9212.0,8324.0,7443.0,4786.0,9376.0,8598.0,5079.0,7877.0,2082572.0,2836428.0,2.074,1.368,0.147,379.844,0.441,3.093,1.37,2.755,9.11,8.909,8.657,5.317116087660109e+16,2.957,1.238,910.125,1177635.0,0.006,2.658,1.659,1.389,1.232,1.267,1.46,1.301,1.193,1.631,1.474,1.4,1.261,1.274,0.627,0.547,0.098,0.113,0.063,0.71,169640.0,157013.0,172338.0,163382.0,152837.0,178026.0,160641.0,159287.0,654198460.0,0.034,0.326,54793.0,53491.0,55212.0,0.388,41318.0,19.943,19.757,19.578,19.413,19.893,19.792,19.64,19.54,19.911,19.94,19.866,19.678,19.477,0.392,0.29,0.038,0.023,-0.054,59.122,49.033,1.485,70824.0,0.29,1.164,876.762,0.0
2013/04/06,0.0671,0.947,8923.0,1.216,0.314,99.915,41061625785494.0,1.479,0.431,9217.0,6217.0,4283.0,9068.0,8474.0,7640.0,4877.0,9241.0,8816.0,5183.0,6611.0,2309302.0,3037954.0,2.225,1.419,0.163,285.864,0.486,3.173,1.411,2.84,9.098,8.907,8.651,5.994454975118029e+16,3.062,1.278,956.989,1226309.0,0.04,2.811,1.442,1.315,1.213,1.267,1.332,1.278,1.187,1.276,1.363,1.351,1.243,1.267,0.629,-0.009,0.099,0.113,0.068,0.702,172024.0,155571.0,170502.0,163071.0,152963.0,176549.0,160741.0,159305.0,617523242.0,0.052,0.324,54291.0,53699.0,55003.0,0.386,41563.0,19.925,19.792,19.593,19.416,19.878,19.797,19.653,19.547,19.859,19.913,19.876,19.695,19.486,0.4,0.23,0.04,0.026,-0.053,59.132,49.037,1.171,71381.0,0.296,1.203,922.051,0.0
2013/04/07,0.071,1.302,9411.0,1.248,0.324,99.915,39953437951617.0,1.489,0.443,9428.0,6370.0,4360.0,9240.0,8709.0,7876.0,4977.0,9339.0,9073.0,5295.0,6962.0,2274547.0,3286874.0,2.354,1.472,0.179,284.158,0.53,3.244,1.452,2.93,9.1,8.904,8.644,6.642518541482496e+16,3.168,1.321,1016.0,1235699.0,0.073,2.913,1.227,1.347,1.217,1.272,1.324,1.28,1.19,1.206,1.36,1.349,1.249,1.268,0.576,0.45,0.083,0.113,0.072,0.695,177415.0,157037.0,175157.0,165803.0,154115.0,181001.0,163956.0,160339.0,609668881.0,0.074,0.323,54547.0,53957.0,55590.0,0.384,41727.0,19.914,19.82,19.602,19.418,19.85,19.793,19.66,19.551,19.8,19.874,19.873,19.706,19.494,0.404,0.141,0.041,0.028,-0.052,56.711,48.404,0.72,72398.0,0.302,1.245,979.512,0.0
2013/04/08,0.0818,1.183,10124.0,1.279,0.334,99.915,38628952753648.0,1.498,0.455,9486.0,6535.0,4453.0,9682.0,9062.0,8176.0,5090.0,9687.0,9421.0,5422.0,8304.0,2134668.0,3575871.0,2.483,1.528,0.196,456.035,0.574,3.305,1.494,3.033,9.083,8.913,8.648,8.548788850801997e+16,3.286,1.366,1162.0,1317457.0,0.108,3.035,1.144,1.392,1.216,1.274,1.289,1.274,1.19,1.183,1.319,1.327,1.247,1.266,0.578,0.214,0.084,0.113,0.073,0.687,179311.0,158313.0,177818.0,167694.0,155017.0,183361.0,166413.0,161122.0,622354878.0,0.099,0.322,54752.0,54213.0,56040.0,0.383,42067.0,19.875,19.837,19.608,19.421,19.81,19.779,19.662,19.554,19.739,19.817,19.856,19.712,19.499,0.408,0.294,0.042,0.03,-0.051,54.048,47.679,1.514,74390.0,0.309,1.289,1120.0,0.0
2013/04/09,0.0977,1.11,13352.0,1.308,0.344,99.915,43948323606567.0,1.506,0.467,10963.0,6805.0,4578.0,11517.0,10135.0,8866.0,5272.0,11619.0,10472.0,5618.0,11242.0,3563293.0,4379283.0,2.722,1.606,0.215,532.828,0.623,3.369,1.538,3.161,9.051,8.897,8.628,1.3067712653486362e+17,3.427,1.416,1386.0,1560757.0,0.145,3.222,1.199,1.36,1.209,1.275,1.244,1.263,1.188,1.166,1.248,1.295,1.24,1.263,0.586,0.109,0.086,0.113,0.07,0.679,180579.0,158105.0,177993.0,168432.0,155546.0,183337.0,167756.0,161542.0,624788508.0,0.122,0.321,54524.0,54477.0,56817.0,0.382,42470.0,19.83,19.846,19.618,19.424,19.786,19.771,19.665,19.558,19.714,19.777,19.839,19.718,19.506,0.413,0.329,0.043,0.032,-0.051,54.763,47.935,1.699,76227.0,0.317,1.338,1337.0,0.0
2013/04/10,0.0892,1.34,12305.0,1.335,0.355,99.915,47104617887843.0,1.518,0.48,11927.0,7054.0,4689.0,11911.0,10677.0,9325.0,5426.0,12290.0,11070.0,5788.0,10026.0,3928726.0,4971618.0,2.957,1.69,0.235,439.973,0.679,3.457,1.585,3.289,9.026,8.867,8.595,1.4516543584849946e+17,3.567,1.468,1243.0,2050656.0,0.188,3.576,1.211,1.323,1.213,1.246,1.268,1.268,1.191,1.237,1.244,1.295,1.248,1.264,0.527,-2.677,0.069,0.113,0.069,0.672,178990.0,158038.0,176719.0,168432.0,155830.0,181719.0,168423.0,161720.0,625390165.0,0.141,0.32,54676.0,54602.0,57409.0,0.381,42930.0,19.798,19.852,19.628,19.429,19.78,19.77,19.672,19.562,19.734,19.76,19.828,19.728,19.513,0.418,0.413,0.044,0.033,-0.05,56.115,48.425,2.133,78891.0,0.325,1.389,1198.0,0.0
