Date,bitcoin-median_transaction_fee_raw,bitcoin-mining_profitability_raw,mining_profitability-btc--sma7,mining_profitability-btc--sma90,mining_profitability-btc--ema14,mining_profitability-btc--ema90,mining_profitability-btc--wma7,mining_profitability-btc--wma14,mining_profitability-btc--var30,mining_profitability-btc--trx7,median_transaction_fee-btc--wma3,median_transaction_fee-btc--std14,median_transaction_fee-btc--mom14,confirmationtime-btc--trx90,marketcap-btc--mom14,marketcap-btc--trx3,marketcap-btc--rsi14,marketcap-btc--rsi90,mediantransactionvalue-btc--rsi30,top100cap-btc--trx14,price-btc--rsi14,price-btc--rsi90,bitcoin-price_raw_1d
2013/04/01,0.0474,7220.0,6562.0,3913.0,6242.0,4403.0,6806.0,6442.0,1048771.0,1.855,0.046,0.013,0.024,-0.057,534757265.0,3.762,95.218,91.946,58.647,0.063,95.075,91.45,107.749
2013/04/02,0.0539,7990.0,6924.0,3977.0,6475.0,4482.0,7164.0,6670.0,1177343.0,2.171,0.05,0.014,0.028,-0.059,622208836.0,5.227,96.519,93.08,64.878,0.074,96.416,92.645,120.003
2013/04/03,0.06,8852.0,7363.0,4050.0,6792.0,4578.0,7645.0,6984.0,1426075.0,2.668,0.056,0.017,0.031,-0.061,687509928.0,7.014,97.272,93.897,66.21,0.085,97.19,93.508,123.562
2013/04/04,0.0618,8777.0,7555.0,4122.0,7057.0,4670.0,7999.0,7268.0,1574429.0,3.069,0.06,0.019,0.03,-0.063,658696391.0,7.226,97.446,94.103,69.492,0.094,97.368,93.724,128.664
2013/04/05,0.0643,9950.0,8052.0,4210.0,7443.0,4786.0,8598.0,7689.0,2035077.0,3.579,0.063,0.021,0.031,-0.065,695779610.0,6.695,97.675,94.378,69.765,0.1,97.602,94.013,134.114
2013/04/06,0.0671,8923.0,8384.0,4283.0,7640.0,4877.0,8816.0,7944.0,2248623.0,3.707,0.065,0.022,0.035,-0.066,779063458.0,6.022,97.892,94.647,59.446,0.103,97.825,94.297,142.08
2013/04/07,0.071,9411.0,8732.0,4360.0,7876.0,4977.0,9073.0,8243.0,2498776.0,3.702,0.069,0.023,0.039,-0.068,854281803.0,5.694,98.162,95.001,53.409,0.103,98.103,94.67,163.561
2013/04/08,0.0818,10124.0,9147.0,4453.0,8176.0,5090.0,9421.0,8596.0,2893644.0,3.727,0.076,0.026,0.047,-0.069,1043053011.0,6.957,98.658,95.761,63.295,0.1,98.616,95.477,195.397
2013/04/09,0.0977,13352.0,9913.0,4578.0,8866.0,5272.0,10472.0,9329.0,4316562.0,4.363,0.088,0.033,0.062,-0.07,1365900271.0,9.664,99.062,96.548,69.588,0.095,99.033,96.314,178.5
2013/04/10,0.0892,12305.0,10406.0,4689.0,9325.0,5426.0,11070.0,9847.0,5132843.0,4.775,0.091,0.034,0.05,-0.072,1097871966.0,7.874,84.586,87.849,78.495,0.09,84.478,87.615,115.0
2013/04/11,0.0575,7092.0,10166.0,4746.0,9027.0,5463.0,10242.0,9608.0,5018022.0,3.896,0.075,0.033,0.015,-0.073,327437616.0,0.366,53.076,65.378,53.584,0.089,52.971,65.226,92.446
2013/04/12,0.0462,6360.0,9653.0,4791.0,8671.0,5483.0,9290.0,9275.0,4890942.0,2.52,0.057,0.032,0.003,-0.074,69710266.0,-5.709,46.457,59.878,52.318,0.091,46.358,59.742,98.435
2013/04/13,0.0492,6595.0,9320.0,4839.0,8395.0,5507.0,8526.0,8974.0,4734797.0,1.205,0.05,0.032,0.005,-0.075,126306405.0,-7.892,48.316,60.772,50.25,0.094,48.207,60.631,91.849
2013/04/14,0.0459,5779.0,8801.0,4877.0,8046.0,5513.0,7641.0,8564.0,4552780.0,-0.041,0.047,0.031,0.001,-0.076,36187478.0,-8.479,46.429,59.319,48.657,0.097,46.316,59.178,87.108
2013/04/15,0.0436,5865.0,8193.0,4921.0,7755.0,5521.0,6907.0,8177.0,4406319.0,-1.062,0.045,0.032,-0.004,-0.077,-78337200.0,-8.253,45.065,58.305,50.178,0.103,44.949,58.164,75.043
2013/04/16,0.0375,4937.0,6991.0,4949.0,7379.0,5508.0,6093.0,7680.0,4406656.0,-2.006,0.041,0.034,-0.016,-0.078,-354743968.0,-8.53,41.695,55.839,49.129,0.112,41.586,55.706,77.734
2013/04/17,0.0389,5006.0,5948.0,4983.0,7063.0,5497.0,5596.0,7220.0,4345632.0,-2.762,0.039,0.037,-0.021,-0.079,-459778267.0,-7.663,42.739,56.262,50.285,0.121,42.618,56.125,94.679
2013/04/18,0.0473,4878.0,5631.0,5009.0,6772.0,5483.0,5329.0,6780.0,4342954.0,-3.339,0.043,0.037,-0.014,-0.08,-311886133.0,-3.972,48.886,58.757,51.861,0.129,48.753,58.612,106.7
2013/04/19,0.0534,6198.0,5608.0,5048.0,6695.0,5499.0,5471.0,6553.0,4376977.0,-3.471,0.049,0.037,-0.011,-0.08,-235262539.0,0.614,52.765,60.38,51.848,0.136,52.623,60.23,114.48
2013/04/20,0.0572,6887.0,5650.0,5099.0,6721.0,5530.0,5790.0,6454.0,4370125.0,-3.196,0.054,0.037,-0.01,-0.081,-209330178.0,3.989,55.142,61.377,49.609,0.143,54.992,61.222,114.295
2013/04/21,0.0571,6616.0,5770.0,5147.0,6707.0,5553.0,6032.0,6338.0,4381589.0,-2.776,0.057,0.036,-0.014,-0.081,-299126195.0,4.8,55.086,61.348,50.424,0.15,54.922,61.185,113.535
2013/04/22,0.0568,6062.0,5798.0,5183.0,6621.0,5565.0,6105.0,6175.0,4417617.0,-2.427,0.057,0.034,-0.025,-0.082,-544007067.0,4.106,54.794,61.204,51.332,0.154,54.613,61.033,120.78
2013/04/23,0.0604,7056.0,6100.0,5234.0,6679.0,5597.0,6419.0,6183.0,4262260.0,-1.905,0.059,0.025,-0.037,-0.082,-814504817.0,3.932,57.284,62.121,50.266,0.158,57.091,61.945,134.8
2013/04/24,0.0674,7469.0,6452.0,5282.0,6784.0,5638.0,6762.0,6307.0,4048582.0,-1.255,0.063,0.017,-0.022,-0.082,-473555748.0,4.984,61.675,63.793,50.713,0.157,61.475,63.61,139.74
2013/04/25,0.0699,8539.0,6975.0,5347.0,7018.0,5702.0,7283.0,6618.0,3951992.0,-0.378,0.067,0.019,0.012,-0.082,280489563.0,5.421,63.124,64.357,51.795,0.154,62.913,64.169,132.945
2013/04/26,0.0665,7248.0,7125.0,5391.0,7049.0,5736.0,7351.0,6744.0,3851778.0,0.167,0.068,0.02,0.02,-0.083,453941197.0,4.058,59.832,63.014,51.798,0.15,59.617,62.827,126.316
2013/04/27,0.0632,6431.0,7060.0,5430.0,6966.0,5751.0,7178.0,6753.0,3892969.0,0.29,0.065,0.02,0.014,-0.083,314601954.0,2.023,56.722,61.743,51.31,0.143,56.507,61.557,124.045
2013/04/28,0.062,7773.0,7225.0,5484.0,7074.0,5796.0,7356.0,6942.0,3855075.0,0.519,0.063,0.02,0.016,-0.083,362124328.0,0.493,55.666,61.319,50.123,0.133,55.44,61.129,130.56
2013/04/29,0.0653,7263.0,7397.0,5528.0,7099.0,5828.0,7366.0,7044.0,3826482.0,0.629,0.064,0.019,0.022,-0.083,486901495.0,0.376,58.139,62.094,51.75,0.12,57.896,61.898,134.465
2013/04/30,0.0672,6393.0,7302.0,5563.0,7005.0,5841.0,7115.0,7017.0,3861388.0,0.464,0.066,0.017,0.03,-0.083,663614936.0,0.828,59.602,62.552,50.332,0.106,59.342,62.349,124.662
2013/05/01,0.0623,6340.0,7141.0,5592.0,6916.0,5852.0,6874.0,6969.0,3907374.0,0.193,0.064,0.012,0.023,-0.083,525259965.0,0.066,54.537,60.722,51.43,0.092,54.299,60.529,111.049
2013/05/02,0.0555,5352.0,6686.0,5618.0,6708.0,5841.0,6427.0,6776.0,4054080.0,-0.306,0.06,0.01,0.008,-0.083,187056026.0,-1.786,48.377,58.321,49.875,0.08,48.176,58.146,102.694
2013/05/03,0.0513,5046.0,6371.0,5638.0,6486.0,5823.0,6017.0,6538.0,4167999.0,-0.891,0.055,0.01,-0.002,-0.082,-38557493.0,-3.496,45.019,56.925,49.878,0.07,44.834,56.759,105.04
2013/05/04,0.0525,5658.0,6261.0,5657.0,6376.0,5819.0,5838.0,6393.0,4181495.0,-1.278,0.053,0.011,-0.005,-0.082,-98512466.0,-3.769,46.169,57.221,47.629,0.06,45.967,57.05,113.464
2013/05/05,0.0567,6262.0,6045.0,5691.0,6360.0,5829.0,5839.0,6339.0,3951001.0,-1.368,0.054,0.011,-0.005,-0.081,-2863741.0,-2.395,50.166,58.254,48.875,0.052,49.944,58.074,113.005
2013/05/06,0.0565,5457.0,5787.0,5717.0,6240.0,5821.0,5692.0,6182.0,3918503.0,-1.485,0.056,0.011,-0.005,-0.081,405767.0,-1.199,49.969,58.184,49.351,0.043,49.729,57.998,110.375
2013/05/07,0.0552,5568.0,5669.0,5745.0,6150.0,5815.0,5637.0,6046.0,3774493.0,-1.551,0.056,0.012,-0.005,-0.08,-108986815.0,-0.751,48.691,57.748,49.908,0.034,48.444,57.561,109.595
2013/05/08,0.0548,5355.0,5528.0,5767.0,6044.0,5805.0,5559.0,5895.0,3470622.0,-1.616,0.055,0.012,-0.013,-0.08,-272924268.0,-0.613,48.311,57.623,50.506,0.026,48.047,57.431,108.42
2013/05/09,0.0542,5442.0,5541.0,5789.0,5964.0,5797.0,5537.0,5776.0,1981349.0,-1.628,0.055,0.01,-0.016,-0.079,-340799614.0,-0.635,47.695,57.431,48.901,0.019,47.417,57.234,110.54
