Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-transactionfees_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,bitcoin-mining_profitability_raw,difficulty-btc--sma14,difficulty-btc--sma30,difficulty-btc--std90,difficulty-btc--mom90,difficulty-btc--trx90,difficulty-btc--roc3,difficulty-btc--roc30,hashrate-btc--sma30,hashrate-btc--sma90,hashrate-btc--ema3,hashrate-btc--ema30,hashrate-btc--wma3,hashrate-btc--wma7,hashrate-btc--wma14,hashrate-btc--wma30,hashrate-btc--std7,hashrate-btc--std90,hashrate-btc--var7,hashrate-btc--trx7,hashrate-btc--trx14,mining_profitability-btc--sma30,mining_profitability-btc--sma90,mining_profitability-btc--ema7,mining_profitability-btc--ema14,mining_profitability-btc--ema30,mining_profitability-btc--ema90,mining_profitability-btc--wma14,mining_profitability-btc--wma30,mining_profitability-btc--wma90,mining_profitability-btc--std30,mining_profitability-btc--std90,mining_profitability-btc--var90,mining_profitability-btc--trx14,mining_profitability-btc--trx30,sentinusd-btc--sma7,sentinusd-btc--sma30,sentinusd-btc--ema30,sentinusd-btc--wma7,sentinusd-btc--wma30,sentinusd-btc--std30,sentinusd-btc--std90,sentinusd-btc--mom90,sentinusd-btc--var30,sentinusd-btc--var90,sentinusd-btc--trx30,sentinusd-btc--roc90,transactionfees-btc--sma30,transactionfees-btc--ema30,transactionfees-btc--ema90,transactionfees-btc--wma14,transactionfees-btc--wma30,transactionfees-btc--wma90,transactionfees-btc--std90,transactionfees-btc--var3,transactionfees-btc--var30,transactionfees-btc--trx7,median_transaction_fee-btc--sma3,median_transaction_fee-btc--sma14,median_transaction_fee-btc--ema3,median_transaction_fee-btc--wma3,median_transaction_fee-btc--std90,median_transaction_fee-btc--trx7,median_transaction_fee-btc--trx30,median_transaction_fee-btc--trx90,median_transaction_fee-btc--rsi90,confirmationtime-btc--sma14,confirmationtime-btc--trx14,confirmationtime-btc--trx30,confirmationtime-btc--trx90,marketcap-btc--sma3,marketcap-btc--sma7,marketcap-btc--sma14,marketcap-btc--sma30,marketcap-btc--sma90,marketcap-btc--ema3,marketcap-btc--ema14,marketcap-btc--ema30,marketcap-btc--ema90,marketcap-btc--wma3,marketcap-btc--wma7,marketcap-btc--wma90,marketcap-btc--var90,marketcap-btc--trx14,marketcap-btc--trx30,marketcap-btc--trx90,marketcap-btc--rsi14,marketcap-btc--rsi30,marketcap-btc--roc7,transactionvalue-btc--wma90,transactionvalue-btc--var30,transactionvalue-btc--trx3,transactionvalue-btc--trx7,mediantransactionvalue-btc--sma14,mediantransactionvalue-btc--sma30,mediantransactionvalue-btc--sma90,mediantransactionvalue-btc--ema30,mediantransactionvalue-btc--ema90,mediantransactionvalue-btc--std90,mediantransactionvalue-btc--var90,mediantransactionvalue-btc--trx14,mediantransactionvalue-btc--trx30,mediantransactionvalue-btc--trx90,fee_to_reward-btc--std90,size-btc--std14,size-btc--var14,size-btc--trx30,size-btc--trx90,transactions-btc--trx14,transactions-btc--trx30,transactions-btc--trx90,sentbyaddress-btc--sma14,sentbyaddress-btc--sma30,sentbyaddress-btc--wma90,sentbyaddress-btc--trx30,top100cap-btc--sma30,top100cap-btc--ema90,top100cap-btc--wma7,top100cap-btc--wma90,top100cap-btc--std30,top100cap-btc--std90,top100cap-btc--var90,top100cap-btc--trx7,top100cap-btc--trx14,top100cap-btc--trx30,top100cap-btc--rsi30,activeaddresses-btc--ema30,activeaddresses-btc--trx14,activeaddresses-btc--trx30,price-btc--sma3,price-btc--sma7,price-btc--ema3,price-btc--ema7,price-btc--wma3,price-btc--wma7,price-btc--wma90,price-btc--trx7,price-btc--trx14,price-btc--trx90,price-btc--rsi14,price-btc--rsi30,price-btc--rsi90,bitcoin-price_raw_7d
2013/04/01,1039517192.0,94.715,0.0777,0.0474,65502112131790.0,7220.0,5956136.0,5182950.0,2161986.0,3716190.0,0.271,4.618,53.297,44956251399826.0,31776180357082.0,60545619812057.0,46935502677847.0,60620238288447.0,57669081336507.0,55439878831239.0,49808994690260.0,11901094115686.0,22738053510663.0,3.5409010287602e+25,1.91,2.0,5449.0,3913.0,6648.0,6242.0,5603.0,4403.0,6442.0,5894.0,4650.0,2048.0,2778.0,1929846.0,1.522,1.215,139714681.0,91370923.0,97859408.0,136938285.0,108319605.0,99974157.0,83568369.0,108987059.0,2498708038563228.0,1745918089683000.0,3.029,578.504,0.056,0.06,0.038,0.079,0.065,0.042,0.045,0.001,0.001,4.663,0.045,0.037,0.045,0.046,0.023,4.009,2.482,1.11,65.414,8.088,-0.129,-0.275,-0.057,991852178.0,931090321.0,806312686.0,616948319.0,352418998.0,997954603.0,824742386.0,669282203.0,428855865.0,1005258635.0,966815475.0,468618640.0,5.195220233693293e+16,3.675,2.586,1.097,95.218,93.977,37.332,1380.0,1030745.0,1.371,2.682,54.928,41.397,26.683,44.502,31.061,28.818,207.617,3.449,2.119,0.207,0.956,51899.0,673384639.0,-0.019,0.334,-0.243,0.092,0.394,48248.0,43467.0,41505.0,0.406,19.499,19.501,19.86,19.428,0.367,0.322,0.026,0.191,0.063,0.011,65.405,66879.0,1.219,0.538,90.406,84.929,90.961,84.752,91.616,88.156,43.032,4.395,3.629,1.025,95.075,93.774,91.45,163.561
2013/04/02,1183101461.0,107.749,0.105,0.0539,61845596902013.0,7990.0,6088148.0,5260549.0,2230475.0,3716190.0,0.279,4.618,53.297,45919538052526.0,32209968678589.0,61195608357035.0,47897444240696.0,61849081751860.0,59321581487439.0,56553256710420.0,50898629883949.0,11887441553889.0,23513282442924.0,3.5327816674279e+25,2.016,2.017,5582.0,3977.0,6984.0,6475.0,5757.0,4482.0,6670.0,6058.0,4740.0,2170.0,2884.0,2079147.0,1.605,1.241,160510202.0,99082516.0,108146320.0,166336248.0,119025128.0,113391979.0,94000481.0,233454637.0,3214435238744518.0,2209022600061441.0,3.121,978.768,0.059,0.063,0.04,0.083,0.068,0.043,0.047,0.001,0.001,4.561,0.049,0.039,0.05,0.05,0.024,4.233,2.534,1.139,67.414,8.051,-0.129,-0.272,-0.059,1066526516.0,987933018.0,850756175.0,644647072.0,364007125.0,1090528032.0,872523596.0,702431833.0,445432691.0,1100883277.0,1029818260.0,486875397.0,5.898440351722694e+16,3.792,2.665,1.129,96.519,95.152,50.675,1454.0,1166540.0,8.567,3.561,57.343,44.077,27.577,47.757,32.466,32.06,256.962,3.531,2.21,0.23,0.953,52503.0,689152619.0,-0.015,0.331,-0.174,0.086,0.392,49382.0,44503.0,41997.0,0.432,19.522,19.513,19.917,19.442,0.408,0.345,0.03,0.209,0.074,0.014,66.711,68492.0,1.27,0.569,97.171,90.078,99.355,90.501,100.288,93.861,44.686,4.543,3.745,1.057,96.416,94.987,92.645,195.397
2013/04/03,1318189886.0,120.003,0.133,0.06,60270367548897.0,8852.0,6220161.0,5338147.0,2293952.0,3716190.0,0.288,4.618,53.297,46674364484225.0,32616029589136.0,60732987952966.0,48695697357354.0,61667401430421.0,60165619495677.0,57300567652967.0,51824489851457.0,7672492273609.0,24166298674113.0,1.4716784422149e+25,1.991,2.015,5743.0,4050.0,7451.0,6792.0,5957.0,4578.0,6984.0,6269.0,4847.0,2388.0,3037.0,2305788.0,1.738,1.276,168111305.0,106494613.0,117439750.0,189257322.0,128903321.0,122981011.0,102642361.0,231273200.0,3781082247256206.0,2633863588145095.0,3.248,1105.0,0.062,0.067,0.042,0.091,0.073,0.046,0.052,0.001,0.001,5.18,0.054,0.041,0.055,0.056,0.025,4.66,2.599,1.17,69.112,8.152,-0.126,-0.268,-0.061,1180269513.0,1052246046.0,899864027.0,676520635.0,377094375.0,1204358959.0,931945768.0,742158159.0,464614168.0,1226714962.0,1112382477.0,507846447.0,6.837353381290434e+16,3.958,2.756,1.163,97.272,95.925,51.865,1528.0,1276352.0,11.537,4.649,60.546,46.873,28.497,51.291,34.005,35.657,317.859,3.763,2.327,0.256,0.953,47145.0,555653079.0,-0.006,0.329,-0.078,0.084,0.391,51276.0,45581.0,42633.0,0.468,19.542,19.523,19.948,19.454,0.437,0.364,0.033,0.216,0.085,0.017,65.191,70985.0,1.403,0.611,107.489,95.902,109.679,97.877,111.703,101.342,46.586,4.91,3.911,1.09,97.19,95.785,93.508,178.5
2013/04/04,1357824968.0,123.562,0.141,0.0618,55272455140085.0,8777.0,6352174.0,5415745.0,2352822.0,3716190.0,0.296,4.618,53.297,47372797279589.0,32978965966943.0,58002721546526.0,49120004311079.0,58033949570014.0,59239759066545.0,57233203198374.0,52379205377642.0,7013418016731.0,24532541967280.0,1.2297008069352e+25,1.734,1.969,5910.0,4122.0,7782.0,7057.0,6139.0,4670.0,7268.0,6465.0,4951.0,2510.0,3171.0,2513253.0,1.884,1.316,180219729.0,111795343.0,124473962.0,203847003.0,136643670.0,129336259.0,108586735.0,196942416.0,4181966971339742.0,2947769732649600.0,3.379,666.977,0.066,0.072,0.044,0.099,0.078,0.048,0.056,0.001,0.001,5.965,0.059,0.043,0.058,0.06,0.027,5.036,2.674,1.203,69.578,8.348,-0.09,-0.261,-0.063,1286372105.0,1111986416.0,946913769.0,708525651.0,390620653.0,1281091963.0,988729661.0,781878598.0,484245175.0,1315492689.0,1188777207.0,529400965.0,7.825542515096218e+16,4.134,2.854,1.2,97.446,96.113,44.504,1597.0,1387167.0,9.466,5.326,65.817,50.029,29.741,55.938,35.968,40.642,412.95,4.166,2.481,0.285,0.963,53720.0,721463920.0,0.013,0.327,0.044,0.089,0.389,53186.0,46630.0,43319.0,0.514,19.564,19.534,19.969,19.467,0.459,0.383,0.037,0.214,0.094,0.02,65.257,73431.0,1.58,0.663,117.104,101.303,116.62,104.298,119.74,108.257,48.539,5.235,4.087,1.126,97.368,95.977,93.724,115.0
2013/04/05,1414392012.0,128.664,0.12,0.0643,51815454745655.0,9950.0,6506275.0,5503651.0,2423226.0,4025422.0,0.305,4.618,60.377,47974562797815.0,33303685514234.0,54909088146090.0,49293904339116.0,54376940344342.0,57385663183689.0,56680072340202.0,52665828439969.0,8735347100869.0,24746657364734.0,1.9076572243164e+25,1.299,1.873,6087.0,4210.0,8324.0,7443.0,6385.0,4786.0,7689.0,6726.0,5079.0,2853.0,3368.0,2836428.0,2.074,1.368,196246808.0,116695551.0,131112830.0,215636176.0,144100514.0,135208527.0,114080731.0,200524821.0,4570336442425772.0,3253603293525400.0,3.507,746.789,0.067,0.075,0.045,0.103,0.081,0.05,0.059,0.001,0.001,6.048,0.062,0.045,0.061,0.063,0.028,5.295,2.755,1.237,70.229,8.55,-0.04,-0.251,-0.065,1363468955.0,1178437837.0,996612312.0,741556324.0,404780326.0,1347741988.0,1045484641.0,822685915.0,504687962.0,1379502643.0,1264378606.0,551901435.0,8.90027940952962e+16,4.304,2.957,1.238,97.675,96.361,49.004,1667.0,1503864.0,7.042,5.634,70.974,53.308,30.977,60.405,37.929,45.16,509.864,4.619,2.658,0.317,0.96,51407.0,660679155.0,0.034,0.326,0.152,0.095,0.388,54514.0,47386.0,43942.0,0.564,19.578,19.54,19.94,19.477,0.464,0.392,0.038,0.193,0.1,0.023,59.122,75147.0,1.735,0.716,124.076,107.314,122.642,110.389,125.52,115.097,50.576,5.452,4.257,1.164,97.602,96.233,94.013,92.446
2013/04/06,1474827634.0,134.114,0.101,0.0671,61828214750416.0,8923.0,6708086.0,5613822.0,2526499.0,4693363.0,0.314,14.594,75.669,48957293289103.0,33759925800740.0,58368651448253.0,50102569526942.0,57398001480444.0,58293873861928.0,57489531610825.0,53559612436911.0,9094706513828.0,25312859842570.0,2.0678421643165e+25,1.134,1.8,6217.0,4283.0,8474.0,7640.0,6548.0,4877.0,7944.0,6909.0,5183.0,2999.0,3486.0,3037954.0,2.225,1.419,197131177.0,120066807.0,132822859.0,205979044.0,146740690.0,134073592.0,115485795.0,144069684.0,4493932018598450.0,3334242195953900.0,3.588,1063.0,0.069,0.077,0.047,0.104,0.084,0.051,0.06,0.001,0.001,5.354,0.064,0.048,0.064,0.065,0.03,5.433,2.84,1.274,70.901,8.707,0.009,-0.24,-0.066,1415681538.0,1252116292.0,1052259702.0,776234498.0,419616955.0,1411284811.0,1102730374.0,864759574.0,526009713.0,1435181982.0,1338476055.0,575418958.0,1.0072315767911875e+17,4.456,3.062,1.278,97.892,96.601,53.775,1716.0,1477977.0,1.982,5.108,74.44,55.459,31.783,62.325,39.077,46.74,546.156,4.84,2.811,0.35,0.96,45721.0,522608121.0,0.052,0.324,0.203,0.098,0.386,55165.0,47634.0,44178.0,0.607,19.593,19.547,19.913,19.486,0.467,0.4,0.04,0.164,0.103,0.026,59.132,75659.0,1.799,0.762,128.78,113.979,128.378,116.32,130.538,121.797,52.706,5.555,4.409,1.203,97.825,96.479,94.297,98.435
2013/04/07,1563013110.0,142.08,0.121,0.071,62710014647861.0,9411.0,6857511.0,5723993.0,2621567.0,4693363.0,0.324,14.594,75.669,49888014119461.0,34203852889091.0,60539333048057.0,50915953083130.0,60600321365015.0,59289674782452.0,58326586227485.0,54446884782637.0,8740512343785.0,25919505474601.0,1.9099139007964e+25,1.11,1.745,6370.0,4360.0,8709.0,7876.0,6733.0,4977.0,8243.0,7115.0,5295.0,3162.0,3626.0,3286874.0,2.354,1.472,196574161.0,122750551.0,132461825.0,188502958.0,147202627.0,131287264.0,115946907.0,108778918.0,4309086448057972.0,3360921285754477.0,3.616,589.654,0.072,0.08,0.048,0.108,0.087,0.053,0.062,0.001,0.001,4.788,0.067,0.051,0.068,0.069,0.032,5.511,2.93,1.312,71.841,8.79,0.052,-0.229,-0.068,1484077585.0,1335838037.0,1113279831.0,813375690.0,435428226.0,1487148960.0,1164101405.0,909808190.0,548800997.0,1508847768.0,1416200260.0,600548544.0,1.1413058805451376e+17,4.595,3.168,1.321,98.162,96.909,59.987,1743.0,1397038.0,-4.202,3.752,76.177,56.682,32.319,62.452,39.631,47.111,554.859,4.753,2.913,0.383,0.956,42268.0,446653947.0,0.074,0.323,0.266,0.104,0.384,55315.0,48027.0,44396.0,0.64,19.602,19.551,19.874,19.494,0.47,0.404,0.041,0.129,0.103,0.028,56.711,76397.0,1.813,0.803,134.952,121.555,135.229,122.76,137.188,128.822,54.981,5.606,4.547,1.245,98.103,96.797,94.67,91.849
2013/04/08,1799989332.0,163.561,0.123,0.0818,63348133569501.0,10124.0,6927309.0,5834164.0,2711968.0,4555363.0,0.334,9.535,75.669,50810250348052.0,34633063475243.0,61943733308779.0,51718029243541.0,62882107459111.0,60153700465301.0,59225424300777.0,55315279585865.0,8053492716857.0,26548753749922.0,1.6214686235118e+25,1.146,1.701,6535.0,4453.0,9062.0,8176.0,6952.0,5090.0,8596.0,7357.0,5422.0,3402.0,3782.0,3575871.0,2.483,1.528,208307450.0,128434505.0,137461679.0,191849307.0,152829015.0,131132652.0,119753751.0,182396890.0,4298943128844980.0,3585240197880137.0,3.64,661.753,0.074,0.082,0.05,0.111,0.09,0.055,0.064,0.001,0.001,4.311,0.073,0.054,0.075,0.076,0.034,5.785,3.033,1.352,74.12,8.739,0.105,-0.216,-0.069,1612610025.0,1444476915.0,1187783618.0,857732657.0,453843044.0,1643569146.0,1248886462.0,967239231.0,576299641.0,1666803642.0,1532238083.0,630538898.0,1.3352827466677536e+17,4.771,3.286,1.366,98.658,97.53,73.156,1804.0,1372963.0,-1.873,3.118,82.073,60.183,33.565,66.85,41.631,51.324,658.551,4.813,3.035,0.418,0.954,42889.0,459856995.0,0.099,0.322,0.324,0.111,0.383,56853.0,49088.0,44947.0,0.677,19.608,19.554,19.817,19.499,0.47,0.408,0.042,0.088,0.1,0.03,54.048,78816.0,1.882,0.852,146.585,131.39,149.395,132.96,151.492,139.324,57.696,5.859,4.724,1.289,98.616,97.44,95.477,87.108
2013/04/09,2151102847.0,195.397,0.144,0.0977,65111643775833.0,13352.0,6997107.0,5944335.0,2798086.0,4423450.0,0.344,9.004555555555555,75.669,51677790418136.0,35121378181982.0,63527688542306.0,52582133406915.0,64123535519064.0,61535531505530.0,60252315743341.0,56237950129593.0,8861372838837.0,27149681059982.0,1.9630982147221e+25,1.229,1.67,6805.0,4578.0,10135.0,8866.0,7365.0,5272.0,9329.0,7797.0,5618.0,4155.0,4185.0,4379283.0,2.722,1.606,217869610.0,137541562.0,149512000.0,220832858.0,165461734.0,145523932.0,131209654.0,302219969.0,5294303707697924.0,4303993317407992.0,3.71,1372.0,0.078,0.086,0.052,0.117,0.095,0.057,0.068,0.001,0.001,4.22,0.084,0.058,0.086,0.088,0.037,6.435,3.161,1.397,76.92,8.642,0.129,-0.205,-0.07,1838035096.0,1582762827.0,1285347923.0,913331396.0,476135446.0,1897335997.0,1369181980.0,1043617529.0,610910701.0,1936050053.0,1708894567.0,667841311.0,1.6397771221867283e+17,5.043,3.427,1.416,99.062,98.112,81.819,1909.0,1634615.0,7.716,3.815,91.009,65.897,35.483,74.998,44.961,61.185,935.916,5.217,3.222,0.459,0.953,41727.0,435282312.0,0.122,0.321,0.399,0.122,0.382,58710.0,50258.0,45662.0,0.721,19.618,19.558,19.777,19.506,0.465,0.413,0.043,0.053,0.095,0.032,54.763,80962.0,1.967,0.904,167.012,143.911,172.396,148.569,175.898,155.325,61.074,6.493,4.995,1.338,99.033,98.043,96.314,75.043
2013/04/10,1965870661.0,178.5,0.181,0.0892,70206503841325.0,12305.0,7066905.0,6054505.0,2878277.0,4423450.0,0.355,8.47411111111111,75.669,52725657551404.0,35644762825181.0,66867096191816.0,53719189563974.0,67365155440861.0,64074433030924.0,61816842038471.0,57433350995605.0,11374186667831.0,28005325368815.0,3.2343030588667e+25,1.436,1.669,7054.0,4689.0,10677.0,9325.0,7683.0,5426.0,9847.0,8152.0,5788.0,4531.0,4459.0,4971618.0,2.957,1.69,243641626.0,150582704.0,167775652.0,274515108.0,184497673.0,175702618.0,151433519.0,415361377.0,7717852482570384.0,5733027655108845.0,3.852,2410.0,0.083,0.093,0.055,0.127,0.101,0.06,0.074,0.001,0.001,4.785,0.09,0.062,0.088,0.091,0.04,6.634,3.289,1.445,72.699,8.396,0.115,-0.197,-0.072,1972320947.0,1675288652.0,1363767349.0,962494324.0,496351594.0,1931603329.0,1448740471.0,1103117731.0,640690041.0,1999967835.0,1804671525.0,700582744.0,1.87020097431988e+17,5.253,3.567,1.468,84.586,86.938,49.134,2058.0,2400528.0,18.094,5.763,110.751,76.337,39.108,92.04,51.427,88.13,1942.0,6.392,3.576,0.514,0.756,41760.0,435978926.0,0.141,0.32,0.465,0.134,0.381,61072.0,51863.0,46570.0,0.775,19.628,19.562,19.76,19.513,0.464,0.418,0.044,0.027,0.09,0.033,56.115,84349.0,2.121,0.968,179.152,152.268,175.448,156.052,181.642,163.972,64.037,6.678,5.205,1.389,84.478,86.819,87.615,77.734
