Date,bitcoin-median_transaction_fee_raw,bitcoin-mining_profitability_raw,difficulty-btc--sma30,difficulty-btc--sma90,difficulty-btc--ema3,difficulty-btc--ema7,difficulty-btc--ema90,difficulty-btc--wma7,difficulty-btc--wma90,difficulty-btc--std30,difficulty-btc--var30,difficulty-btc--trx14,difficulty-btc--trx30,difficulty-btc--trx90,hashrate-btc--sma3,hashrate-btc--sma7,hashrate-btc--sma14,hashrate-btc--sma30,hashrate-btc--sma90,hashrate-btc--ema3,hashrate-btc--ema30,hashrate-btc--ema90,hashrate-btc--wma3,hashrate-btc--wma7,hashrate-btc--wma30,hashrate-btc--wma90,hashrate-btc--std7,hashrate-btc--std14,hashrate-btc--std30,hashrate-btc--std90,hashrate-btc--var14,hashrate-btc--trx14,hashrate-btc--trx30,hashrate-btc--trx90,hashrate-btc--rsi30,mining_profitability-btc--sma3,mining_profitability-btc--sma14,mining_profitability-btc--sma30,mining_profitability-btc--sma90,mining_profitability-btc--ema3,mining_profitability-btc--ema14,mining_profitability-btc--ema30,mining_profitability-btc--ema90,mining_profitability-btc--wma7,mining_profitability-btc--wma30,mining_profitability-btc--wma90,mining_profitability-btc--std14,mining_profitability-btc--std30,mining_profitability-btc--std90,mining_profitability-btc--var30,mining_profitability-btc--trx14,mining_profitability-btc--trx90,sentinusd-btc--sma90,sentinusd-btc--std30,sentinusd-btc--trx14,sentinusd-btc--trx30,sentinusd-btc--trx90,transactionfees-btc--sma14,transactionfees-btc--sma90,transactionfees-btc--wma30,transactionfees-btc--std30,transactionfees-btc--var3,transactionfees-btc--var7,transactionfees-btc--var14,transactionfees-btc--var30,transactionfees-btc--trx3,transactionfees-btc--trx30,transactionfees-btc--trx90,median_transaction_fee-btc--sma3,median_transaction_fee-btc--sma7,median_transaction_fee-btc--sma14,median_transaction_fee-btc--ema3,median_transaction_fee-btc--wma7,median_transaction_fee-btc--wma30,median_transaction_fee-btc--trx30,median_transaction_fee-btc--trx90,confirmationtime-btc--sma90,confirmationtime-btc--ema90,confirmationtime-btc--wma90,confirmationtime-btc--std30,confirmationtime-btc--var30,confirmationtime-btc--trx7,confirmationtime-btc--trx30,confirmationtime-btc--trx90,marketcap-btc--sma14,marketcap-btc--sma90,marketcap-btc--std30,marketcap-btc--mom30,marketcap-btc--trx30,marketcap-btc--trx90,marketcap-btc--rsi90,marketcap-btc--roc30,transactionvalue-btc--sma90,transactionvalue-btc--std90,transactionvalue-btc--var90,transactionvalue-btc--trx14,transactionvalue-btc--trx90,mediantransactionvalue-btc--sma7,mediantransactionvalue-btc--sma14,mediantransactionvalue-btc--sma30,mediantransactionvalue-btc--sma90,mediantransactionvalue-btc--ema90,mediantransactionvalue-btc--wma14,mediantransactionvalue-btc--std7,mediantransactionvalue-btc--std30,mediantransactionvalue-btc--var7,mediantransactionvalue-btc--var30,mediantransactionvalue-btc--var90,mediantransactionvalue-btc--trx7,mediantransactionvalue-btc--trx14,mediantransactionvalue-btc--trx30,mediantransactionvalue-btc--trx90,mediantransactionvalue-btc--roc30,fee_to_reward-btc--sma7,fee_to_reward-btc--sma14,fee_to_reward-btc--sma30,fee_to_reward-btc--sma90,fee_to_reward-btc--ema30,fee_to_reward-btc--ema90,fee_to_reward-btc--wma30,fee_to_reward-btc--wma90,fee_to_reward-btc--std14,fee_to_reward-btc--std30,fee_to_reward-btc--std90,fee_to_reward-btc--var30,fee_to_reward-btc--var90,fee_to_reward-btc--trx14,fee_to_reward-btc--trx30,fee_to_reward-btc--trx90,size-btc--std30,size-btc--std90,size-btc--var30,size-btc--var90,size-btc--trx30,size-btc--trx90,transactions-btc--wma30,transactions-btc--trx14,transactions-btc--trx30,transactions-btc--trx90,sentbyaddress-btc--wma14,sentbyaddress-btc--std90,sentbyaddress-btc--var90,sentbyaddress-btc--trx14,sentbyaddress-btc--trx30,sentbyaddress-btc--trx90,top100cap-btc--sma30,top100cap-btc--sma90,top100cap-btc--ema90,top100cap-btc--wma90,top100cap-btc--std7,top100cap-btc--std30,top100cap-btc--std90,top100cap-btc--mom90,top100cap-btc--trx14,top100cap-btc--trx90,top100cap-btc--rsi14,activeaddresses-btc--sma3,activeaddresses-btc--sma90,activeaddresses-btc--std90,price-btc--sma90,price-btc--wma90,price-btc--mom30,price-btc--trx30,price-btc--trx90,price-btc--rsi90,price-btc--roc30,price-btc--roc90,bitcoin-price_raw_90d
2013/04/01,0.0474,7220.0,5182950.0,3906368.0,6690038.0,6526779.0,4296620.0,6695826.0,4430808.0,1899346.0,901878886924.0,1.93,1.046,0.271,59387909975187.0,55235596298287.0,53495262808157.0,44956251399826.0,31776180357082.0,60545619812057.0,46935502677847.0,35799562131248.0,60620238288447.0,57669081336507.0,49808994690260.0,37564285480092.0,11901094115686.0,11490406893431.0,19252887180085.0,22738053510663.0,3.3007362644153e+25,2.0,1.373,0.372,63.35,6932.0,6279.0,5449.0,3913.0,6990.0,6242.0,5603.0,4403.0,6806.0,5894.0,4650.0,1716.0,2048.0,2778.0,1048771.0,1.522,0.091,50015639.0,99974157.0,3.636,3.029,0.276,0.072,0.031,0.065,0.043,0.001,0.001,0.001,0.001,1.552,2.712,1.218,0.045,0.042,0.037,0.045,0.044,0.034,2.482,1.11,9.146,8.93,8.698,2.341,1.37,0.415,-0.275,-0.057,806312686.0,352418998.0,409268958.0,680338013.0,2.586,1.097,91.946,189.415,1039.0,1697.0,719749.0,3.688,-0.116,59.708,54.928,41.397,26.683,31.061,55.935,14.73,31.265,54.242,244.368,207.617,2.199,3.449,2.119,0.207,294.659,1.301,1.154,1.279,1.237,1.215,1.157,1.188,1.245,0.555,1.147,0.956,0.329,0.229,-0.381,0.05,0.742,61285.0,50776.0,938951276.0,644540075.0,-0.019,0.334,52842.0,-0.243,0.092,0.394,49095.0,10848.0,29422322.0,0.982,0.406,0.253,19.499,19.396,19.501,19.428,0.268,0.367,0.322,0.426,0.063,-0.057,73.605,72688.0,57136.0,18183.0,32.485,43.032,61.597,2.538,1.025,91.45,185.993,606.456,89.829
2013/04/02,0.0539,7990.0,5260549.0,3947659.0,6692932.0,6569041.0,4349349.0,6695826.0,4492115.0,1949365.0,950005633515.0,1.948,1.085,0.279,60633728191775.0,56894215515944.0,54665535479792.0,45919538052526.0,32209968678589.0,61195608357035.0,47897444240696.0,36372002455880.0,61849081751860.0,59321581487439.0,50898629883949.0,38225151777783.0,11887441553889.0,11315233330806.0,19640918710600.0,23513282442924.0,3.2008626332648e+25,2.017,1.406,0.384,61.015,7394.0,6503.0,5582.0,3977.0,7490.0,6475.0,5757.0,4482.0,7164.0,6058.0,4740.0,1734.0,2170.0,2884.0,1177343.0,1.605,0.104,52609580.0,113391979.0,3.89,3.121,0.312,0.075,0.032,0.068,0.045,0.001,0.001,0.001,0.001,3.267,2.777,1.251,0.049,0.045,0.039,0.05,0.047,0.036,2.534,1.139,9.13,8.909,8.672,2.337,1.366,0.144,-0.272,-0.059,850756175.0,364007125.0,444769123.0,830962611.0,2.665,1.129,93.08,235.976,1081.0,1835.0,841849.0,3.769,-0.089,63.554,57.343,44.077,27.577,32.466,61.272,28.777,35.145,207.029,308.786,256.962,3.113,3.531,2.21,0.23,552.337,1.322,1.163,1.286,1.243,1.223,1.161,1.192,1.248,0.563,1.145,0.953,0.328,0.227,-0.33,0.038,0.733,61721.0,50230.0,952368214.0,630754328.0,-0.015,0.331,53415.0,-0.174,0.086,0.392,50966.0,11689.0,34157477.0,1.036,0.432,0.256,19.522,19.401,19.513,19.442,0.246,0.408,0.345,0.427,0.074,-0.056,75.389,77297.0,57678.0,19348.0,33.536,44.686,75.291,2.617,1.057,92.645,231.964,716.218,85.608
2013/04/03,0.06,8852.0,5338147.0,3988950.0,6694379.0,6600737.0,4400920.0,6695826.0,4552514.0,1986041.0,986089374520.0,1.943,1.122,0.288,62539358860900.0,58975896856611.0,55777688549531.0,46674364484225.0,32616029589136.0,60732987952966.0,48695697357354.0,36897241249133.0,61667401430421.0,60165619495677.0,51824489851457.0,38841863840867.0,7672492273609.0,10182774073258.0,20044305085355.0,24166298674113.0,2.5922221956753e+25,2.015,1.435,0.396,60.029,8021.0,6645.0,5743.0,4050.0,8171.0,6792.0,5957.0,4578.0,7645.0,6269.0,4847.0,2113.0,2388.0,3037.0,1426075.0,1.738,0.117,55179282.0,122981011.0,4.28,3.248,0.353,0.081,0.034,0.073,0.051,0.001,0.001,0.001,0.001,8.329,2.871,1.288,0.054,0.048,0.041,0.055,0.051,0.037,2.599,1.17,9.123,8.894,8.652,2.335,1.363,-0.002,-0.268,-0.061,899864027.0,377094375.0,493549055.0,956206879.0,2.756,1.163,93.897,264.158,1125.0,1965.0,964945.0,3.964,-0.059,69.235,60.546,46.873,28.497,34.005,67.298,39.584,39.665,391.727,393.331,317.859,4.432,3.763,2.327,0.256,449.577,1.292,1.227,1.299,1.25,1.247,1.17,1.212,1.255,0.541,1.151,0.953,0.331,0.227,-0.212,0.036,0.725,62497.0,49584.0,976467593.0,614641815.0,-0.006,0.329,54012.0,-0.078,0.084,0.391,53605.0,13162.0,43309807.0,1.163,0.468,0.26,19.542,19.405,19.523,19.454,0.201,0.437,0.364,0.366,0.085,-0.056,72.249,91591.0,58298.0,21903.0,34.722,46.586,86.649,2.707,1.09,93.508,259.795,808.284,83.204
2013/04/04,0.0618,8777.0,5415745.0,4030241.0,6695103.0,6624509.0,4451358.0,6695826.0,4612006.0,2010105.0,1010130109937.0,1.917,1.154,0.296,59129473196998.0,59231838277080.0,55963936181944.0,47372797279589.0,32978965966943.0,58002721546526.0,49120004311079.0,37301092103880.0,58033949570014.0,59239759066545.0,52379205377642.0,39339807259569.0,7013418016731.0,10042649490131.0,19731382020831.0,24532541967280.0,2.5213702195409e+25,1.969,1.456,0.407,57.005,8540.0,6794.0,5910.0,4122.0,8474.0,7057.0,6139.0,4670.0,7999.0,6465.0,4951.0,2382.0,2510.0,3171.0,1574429.0,1.884,0.132,57367531.0,129336259.0,4.617,3.379,0.396,0.087,0.035,0.078,0.057,0.001,0.001,0.001,0.001,10.577,2.985,1.328,0.059,0.051,0.043,0.058,0.054,0.039,2.674,1.203,9.122,8.904,8.657,2.247,1.262,0.14,-0.261,-0.063,946913769.0,390620653.0,539459089.0,960150478.0,2.854,1.2,94.103,241.441,1165.0,2068.0,1069102.0,4.155,-0.027,78.292,65.817,50.029,29.741,35.968,75.667,53.483,47.626,715.096,567.056,412.95,6.106,4.166,2.481,0.285,330.659,1.382,1.3,1.315,1.261,1.292,1.187,1.254,1.271,0.627,1.173,0.963,0.344,0.232,0.014,0.049,0.717,65394.0,51353.0,1069093010.0,659287348.0,0.013,0.327,54801.0,0.044,0.089,0.389,56335.0,14643.0,53607673.0,1.339,0.514,0.264,19.564,19.41,19.534,19.467,0.125,0.459,0.383,0.45,0.094,-0.055,72.35,102636.0,58982.0,24213.0,35.948,48.539,86.935,2.805,1.126,93.724,237.355,834.762,81.424
2013/04/05,0.0643,9950.0,5503651.0,4074968.0,6850081.0,6719647.0,4507483.0,6773134.0,4677386.0,2049389.0,1049998827349.0,1.888,1.184,0.305,55786092478212.0,58195372037459.0,55757270220747.0,47974562797815.0,33303685514234.0,54909088146090.0,49293904339116.0,37620089085017.0,54376940344342.0,57385663183689.0,52665828439969.0,39753796023936.0,8735347100869.0,10254314157412.0,19126208338407.0,24746657364734.0,2.6287739709724e+25,1.873,1.468,0.419,55.022,9193.0,7008.0,6087.0,4210.0,9212.0,7443.0,6385.0,4786.0,8598.0,6726.0,5079.0,2886.0,2853.0,3368.0,2035077.0,2.074,0.147,59595584.0,135208527.0,4.872,3.507,0.441,0.091,0.036,0.081,0.059,0.001,0.001,0.001,0.001,6.964,3.093,1.37,0.062,0.054,0.045,0.061,0.058,0.041,2.755,1.237,9.11,8.909,8.657,2.238,1.252,0.333,-0.251,-0.065,996612312.0,404780326.0,585022130.0,990920185.0,2.957,1.238,94.378,233.999,1205.0,2170.0,1177635.0,4.321,0.006,86.938,70.974,53.308,30.977,37.929,83.582,60.924,53.912,927.921,726.635,509.864,7.398,4.619,2.658,0.317,366.6,1.389,1.319,1.232,1.267,1.301,1.193,1.261,1.274,0.627,0.672,0.96,0.113,0.23,0.199,0.063,0.71,65074.0,51155.0,1058645352.0,654198460.0,0.034,0.326,55212.0,0.152,0.095,0.388,58485.0,15788.0,62312782.0,1.518,0.564,0.269,19.578,19.413,19.54,19.477,0.137,0.464,0.392,0.29,0.1,-0.054,60.032,105355.0,59500.0,25666.0,37.231,50.576,89.674,2.907,1.164,94.013,229.992,876.762,78.461
2013/04/06,0.0671,8923.0,5613822.0,4127116.0,7261540.0,6957985.0,4577055.0,7006384.0,4756464.0,2146374.0,1151730788639.0,1.885,1.216,0.314,56305374878719.0,58726810965768.0,56432105022907.0,48957293289103.0,33759925800740.0,58368651448253.0,50102569526942.0,38152135802938.0,57398001480444.0,58293873861928.0,53559612436911.0,40380708754402.0,9094706513828.0,10516744526294.0,18840725883715.0,25312859842570.0,2.7650478857832e+25,1.8,1.479,0.431,59.268,9217.0,7170.0,6217.0,4283.0,9068.0,7640.0,6548.0,4877.0,8816.0,6909.0,5183.0,3039.0,2999.0,3486.0,2248623.0,2.225,0.163,61196359.0,134073592.0,4.858,3.588,0.486,0.093,0.037,0.084,0.059,0.001,0.001,0.001,0.001,1.726,3.173,1.411,0.064,0.057,0.048,0.064,0.061,0.043,2.84,1.274,9.098,8.907,8.651,2.232,1.246,0.458,-0.24,-0.066,1052259702.0,419616955.0,629729766.0,1040345240.0,3.062,1.278,94.647,239.445,1239.0,2215.0,1226309.0,4.329,0.04,93.173,74.44,55.459,31.783,39.077,86.141,51.27,54.471,657.16,741.764,546.156,7.151,4.84,2.811,0.35,251.734,1.315,1.318,1.213,1.267,1.278,1.187,1.243,1.267,0.629,0.671,0.96,0.113,0.23,0.254,0.068,0.702,62919.0,49700.0,989697975.0,617523242.0,0.052,0.324,55003.0,0.203,0.098,0.386,58158.0,15763.0,62117197.0,1.589,0.607,0.274,19.593,19.416,19.547,19.486,0.156,0.467,0.4,0.23,0.103,-0.053,60.051,97337.0,59954.0,25872.0,38.576,52.706,94.124,3.011,1.203,94.297,235.372,922.051,73.017
2013/04/07,0.071,9411.0,5723993.0,4179265.0,7467270.0,7136739.0,4645098.0,7204734.0,4834395.0,2217375.0,1229187540768.0,1.89,1.248,0.324,58784561381311.0,59892030838102.0,56606848019815.0,49888014119461.0,34203852889091.0,60539333048057.0,50915953083130.0,38691869403926.0,60600321365015.0,59289674782452.0,54446884782637.0,41016974443350.0,8740512343785.0,10841862131140.0,18707180146223.0,25919505474601.0,2.9386493617664e+25,1.745,1.489,0.443,59.615,9428.0,7477.0,6370.0,4360.0,9240.0,7876.0,6733.0,4977.0,9073.0,7115.0,5295.0,3016.0,3162.0,3626.0,2498776.0,2.354,0.179,62405013.0,131287264.0,4.603,3.616,0.53,0.098,0.038,0.087,0.061,0.001,0.001,0.001,0.001,1.025,3.244,1.452,0.067,0.061,0.051,0.068,0.064,0.046,2.93,1.312,9.1,8.904,8.644,2.225,1.237,0.518,-0.229,-0.068,1113279831.0,435428226.0,677702511.0,1114235739.0,3.168,1.321,95.001,248.283,1261.0,2223.0,1235699.0,4.11,0.073,95.062,76.177,56.682,32.319,39.631,84.789,45.584,53.553,519.486,716.987,554.859,5.674,4.753,2.913,0.383,133.008,1.347,1.349,1.217,1.272,1.28,1.19,1.249,1.268,0.576,0.672,0.956,0.113,0.229,0.289,0.072,0.695,65397.0,49383.0,1069205906.0,609668881.0,0.074,0.323,55590.0,0.266,0.104,0.384,57667.0,15865.0,62923228.0,1.581,0.64,0.278,19.602,19.418,19.551,19.494,0.186,0.47,0.404,0.141,0.103,-0.052,55.41,90072.0,60321.0,26457.0,40.008,54.981,100.79,3.117,1.245,94.67,244.103,979.512,66.0
2013/04/08,0.0818,10124.0,5834164.0,4229880.0,7570135.0,7270804.0,4711645.0,7368185.0,4911181.0,2264835.0,1282369083736.0,1.894,1.279,0.334,62628787655926.0,59584319614918.0,57409957956603.0,50810250348052.0,34633063475243.0,61943733308779.0,51718029243541.0,39233765319653.0,62882107459111.0,60153700465301.0,55315279585865.0,41657508084677.0,8053492716857.0,11052546653601.0,18541883113718.0,26548753749922.0,3.0539696882506e+25,1.701,1.498,0.455,59.871,9486.0,7854.0,6535.0,4453.0,9682.0,8176.0,6952.0,5090.0,9421.0,7357.0,5422.0,2922.0,3402.0,3782.0,2893644.0,2.483,0.196,64431646.0,131132652.0,4.405,3.64,0.574,0.103,0.04,0.09,0.062,0.001,0.001,0.001,0.001,1.276,3.305,1.494,0.073,0.066,0.054,0.075,0.07,0.048,3.033,1.352,9.083,8.913,8.648,2.251,1.267,0.626,-0.216,-0.069,1187783618.0,453843044.0,751938281.0,1330709019.0,3.286,1.366,95.761,283.564,1297.0,2296.0,1317457.0,3.945,0.108,104.438,82.073,60.183,33.565,41.631,92.047,43.953,58.47,482.967,854.698,658.551,5.455,4.813,3.035,0.418,410.621,1.392,1.347,1.216,1.274,1.274,1.19,1.247,1.266,0.578,0.672,0.954,0.113,0.228,0.287,0.073,0.687,66811.0,49894.0,1115915801.0,622354878.0,0.099,0.322,56040.0,0.324,0.111,0.383,59197.0,16667.0,69446512.0,1.6,0.677,0.283,19.608,19.421,19.554,19.499,0.236,0.47,0.408,0.294,0.1,-0.051,50.519,94692.0,60965.0,28724.0,41.677,57.696,120.4,3.234,1.289,95.477,278.959,1120.0,69.751
2013/04/09,0.0977,13352.0,5944335.0,4279029.0,7621567.0,7371353.0,4776730.0,7496738.0,4986854.0,2290219.0,1311275417545.0,1.891,1.308,0.344,63723263997732.0,60050897739750.0,58472556627847.0,51677790418136.0,35121378181982.0,63527688542306.0,52582133406915.0,39802509901107.0,64123535519064.0,61535531505530.0,56237950129593.0,42327366992383.0,8861372838837.0,10949074860693.0,18701125323864.0,27149681059982.0,2.9970560076263e+25,1.67,1.506,0.467,60.586,10963.0,8419.0,6805.0,4578.0,11517.0,8866.0,7365.0,5272.0,10472.0,7797.0,5618.0,3775.0,4155.0,4185.0,4316562.0,2.722,0.215,67789645.0,145523932.0,4.481,3.71,0.623,0.108,0.041,0.095,0.066,0.001,0.001,0.001,0.001,3.608,3.369,1.538,0.084,0.072,0.058,0.086,0.078,0.052,3.161,1.397,9.051,8.897,8.628,2.245,1.26,0.522,-0.205,-0.07,1285347923.0,476135446.0,870274634.0,1667962182.0,3.427,1.416,96.548,345.233,1359.0,2499.0,1560757.0,4.021,0.145,118.465,91.009,65.897,35.483,44.961,106.857,74.766,73.811,1397.0,1362.0,935.916,6.885,5.217,3.222,0.459,789.06,1.36,1.341,1.209,1.275,1.263,1.188,1.24,1.263,0.586,0.672,0.953,0.113,0.227,0.245,0.07,0.679,66511.0,49992.0,1105939032.0,624788508.0,0.122,0.321,56817.0,0.399,0.122,0.382,61569.0,17992.0,80927400.0,1.669,0.721,0.289,19.618,19.424,19.558,19.506,0.224,0.465,0.413,0.329,0.095,-0.051,52.004,104355.0,61586.0,30637.0,43.696,61.074,150.978,3.375,1.338,96.314,339.904,1337.0,73.549
2013/04/10,0.0892,12305.0,6054505.0,4328179.0,7647284.0,7446765.0,4840384.0,7590391.0,5061446.0,2294259.0,1315906542194.0,1.877,1.335,0.355,66222093728887.0,61470345781525.0,60223121319068.0,52725657551404.0,35644762825181.0,66867096191816.0,53719189563974.0,40470729548145.0,67365155440861.0,64074433030924.0,57433350995605.0,43098468655225.0,11374186667831.0,10017080685539.0,19206820698080.0,28005325368815.0,2.5085476365151e+25,1.669,1.518,0.48,62.578,11927.0,8884.0,7054.0,4689.0,11911.0,9325.0,7683.0,5426.0,11070.0,8152.0,5788.0,3964.0,4531.0,4459.0,5132843.0,2.957,0.235,72404772.0,175702618.0,4.903,3.852,0.679,0.115,0.043,0.101,0.074,0.001,0.001,0.001,0.001,8.273,3.457,1.585,0.09,0.076,0.062,0.088,0.082,0.055,3.289,1.445,9.026,8.867,8.595,2.258,1.274,0.22,-0.197,-0.072,1363767349.0,496351594.0,933615576.0,1474887822.0,3.567,1.468,87.849,300.395,1445.0,2864.0,2050656.0,4.419,0.188,152.267,110.751,76.337,39.108,51.427,139.942,169.423,121.47,7176.0,3689.0,1942.0,11.198,6.392,3.576,0.514,1207.0,1.323,1.308,1.213,1.246,1.268,1.191,1.248,1.264,0.527,0.673,0.756,0.113,0.143,0.224,0.069,0.672,66465.0,50016.0,1104405178.0,625390165.0,0.141,0.32,57409.0,0.465,0.134,0.381,64911.0,19967.0,99673358.0,1.805,0.775,0.295,19.628,19.429,19.562,19.513,0.186,0.464,0.418,0.413,0.09,-0.05,54.798,119807.0,62389.0,34140.0,45.527,64.037,133.379,3.514,1.389,87.615,295.611,1198.0,72.494
