Date,bitcoin-median_transaction_fee_raw,difficulty-btc--var14,mining_profitability-btc--sma7,mining_profitability-btc--sma14,mining_profitability-btc--sma30,mining_profitability-btc--ema7,mining_profitability-btc--ema14,mining_profitability-btc--ema30,mining_profitability-btc--wma14,mining_profitability-btc--wma30,mining_profitability-btc--std30,mining_profitability-btc--var90,mining_profitability-btc--roc14,transactionfees-btc--var7,transactionfees-btc--rsi30,median_transaction_fee-btc--sma3,median_transaction_fee-btc--wma3,median_transaction_fee-btc--rsi14,median_transaction_fee-btc--rsi30,median_transaction_fee-btc--rsi90,marketcap-btc--rsi14,marketcap-btc--rsi90,marketcap-btc--roc14,marketcap-btc--roc90,activeaddresses-btc--ema90,price-btc--mom7,price-btc--rsi90,bitcoin-price_raw_1d
2013/04/01,0.0474,761539976695.0,6562.0,6279.0,5449.0,6648.0,6242.0,5603.0,6442.0,5894.0,2048.0,1929846.0,55.716,0.001,56.924,0.045,0.046,74.007,68.162,65.414,95.218,91.946,105.943,630.491,57827.0,25.57,91.45,107.749
2013/04/02,0.0539,695426590110.0,6924.0,6503.0,5582.0,6984.0,6475.0,5757.0,6670.0,6058.0,2170.0,2079147.0,64.347,0.001,61.462,0.049,0.05,78.528,71.179,67.414,96.519,93.08,110.932,744.047,58575.0,36.045,92.645,120.003
2013/04/03,0.06,594458447418.0,7363.0,6645.0,5743.0,7451.0,6792.0,5957.0,6984.0,6269.0,2388.0,2305788.0,28.977,0.001,65.489,0.054,0.056,81.743,73.612,69.112,97.272,93.897,109.011,839.301,59642.0,40.765,93.508,123.562
2013/04/04,0.0618,458635548619.0,7555.0,6794.0,5910.0,7782.0,7057.0,6139.0,7268.0,6465.0,2510.0,2513253.0,31.33,0.001,66.506,0.059,0.06,82.56,74.264,69.578,97.446,94.103,94.217,866.699,60725.0,37.81,93.724,128.664
2013/04/05,0.0643,303649731270.0,8052.0,7008.0,6087.0,8324.0,7443.0,6385.0,7689.0,6726.0,2853.0,2836428.0,42.951,0.001,61.622,0.062,0.063,83.687,75.175,70.229,97.675,94.378,96.823,910.125,61589.0,42.073,94.013,134.114
2013/04/06,0.0671,163650815957.0,8384.0,7170.0,6217.0,8474.0,7640.0,6548.0,7944.0,6909.0,2999.0,3037954.0,34.137,0.001,57.603,0.064,0.065,84.815,76.109,70.901,97.892,94.647,111.972,956.989,62061.0,46.659,94.297,142.08
2013/04/07,0.071,117098288072.0,8732.0,7477.0,6370.0,8709.0,7876.0,6733.0,8243.0,7115.0,3162.0,3286874.0,83.748,0.001,60.369,0.067,0.069,86.307,77.395,71.841,98.162,95.001,120.537,1016.0,62611.0,53.03,94.67,163.561
2013/04/08,0.0818,157860879016.0,9147.0,7854.0,6535.0,9062.0,8176.0,6952.0,8596.0,7357.0,3402.0,3575871.0,109.346,0.001,60.641,0.073,0.076,89.345,80.346,74.12,98.658,95.761,137.799,1162.0,63739.0,68.845,95.477,195.397
2013/04/09,0.0977,188879915695.0,9913.0,8419.0,6805.0,10135.0,8866.0,7365.0,9329.0,7797.0,4155.0,4379283.0,144.858,0.001,63.338,0.084,0.088,92.132,83.624,76.92,99.062,96.548,173.955,1386.0,64801.0,87.647,96.314,178.5
2013/04/10,0.0892,210155398108.0,10406.0,8884.0,7054.0,10677.0,9325.0,7683.0,9847.0,8152.0,4531.0,4971618.0,112.789,0.001,67.401,0.09,0.091,80.15,76.609,72.699,84.586,87.849,126.483,1243.0,66310.0,58.497,87.615,115.0
