Date,difficulty-btc--trx90,hashrate-btc--trx90,sentbyaddress-btc--var30,sentbyaddress-btc--trx90,top100cap-btc--sma90,top100cap-btc--ema30,top100cap-btc--ema90,top100cap-btc--wma90,activeaddresses-btc--ema90,activeaddresses-btc--std30,activeaddresses-btc--trx90,bitcoin-price_raw_1d
2013/04/01,0.271,0.372,41786951.0,0.253,19.396,19.545,19.501,19.428,57827.0,20592.0,0.27,107.749
2013/04/02,0.279,0.384,47486125.0,0.256,19.401,19.576,19.513,19.442,58575.0,21588.0,0.274,120.003
2013/04/03,0.288,0.396,64654761.0,0.26,19.405,19.602,19.523,19.454,59642.0,25575.0,0.279,123.562
2013/04/04,0.296,0.407,85452388.0,0.264,19.41,19.627,19.534,19.467,60725.0,29141.0,0.284,128.664
2013/04/05,0.305,0.419,102026223.0,0.269,19.413,19.64,19.54,19.477,61589.0,31093.0,0.29,134.114
2013/04/06,0.314,0.431,102441468.0,0.274,19.416,19.653,19.547,19.486,62061.0,31352.0,0.296,142.08
2013/04/07,0.324,0.443,100672517.0,0.278,19.418,19.66,19.551,19.494,62611.0,31346.0,0.302,163.561
2013/04/08,0.334,0.455,105592143.0,0.283,19.421,19.662,19.554,19.499,63739.0,33938.0,0.309,195.397
2013/04/09,0.344,0.467,122951117.0,0.289,19.424,19.665,19.558,19.506,64801.0,35879.0,0.317,178.5
2013/04/10,0.355,0.48,150691678.0,0.295,19.429,19.672,19.562,19.513,66310.0,40334.0,0.325,115.0
2013/04/11,0.365,0.493,163781316.0,0.303,19.438,19.705,19.576,19.53,67591.0,42871.0,0.335,92.446
2013/04/12,0.376,0.505,165857321.0,0.31,19.446,19.733,19.589,19.545,68368.0,43031.0,0.344,98.435
2013/04/13,0.387,0.518,160688634.0,0.317,19.456,19.759,19.601,19.561,68686.0,42300.0,0.353,91.849
2013/04/14,0.398,0.53,161081756.0,0.323,19.466,19.784,19.613,19.576,68746.0,41904.0,0.361,87.108
2013/04/15,0.409,0.542,146702119.0,0.329,19.479,19.823,19.63,19.596,69438.0,40530.0,0.37,75.043
2013/04/16,0.419,0.554,135844174.0,0.336,19.494,19.868,19.649,19.619,70118.0,38960.0,0.378,77.734
2013/04/17,0.43,0.566,128369152.0,0.342,19.507,19.901,19.665,19.639,70890.0,38102.0,0.387,94.679
2013/04/18,0.442,0.578,124833894.0,0.348,19.52,19.935,19.682,19.659,71137.0,37491.0,0.395,106.7
2013/04/19,0.453,0.59,120649547.0,0.354,19.534,19.967,19.698,19.679,71882.0,36673.0,0.403,114.48
2013/04/20,0.465,0.601,117540312.0,0.359,19.549,20.004,19.717,19.701,71939.0,36359.0,0.41,114.295
2013/04/21,0.477,0.613,120594363.0,0.364,19.564,20.037,19.735,19.722,71894.0,36688.0,0.417,113.535
2013/04/22,0.488,0.624,113490931.0,0.369,19.578,20.068,19.752,19.743,72329.0,35679.0,0.424,120.78
2013/04/23,0.5,0.635,111475887.0,0.374,19.592,20.098,19.769,19.764,72788.0,34752.0,0.43,134.8
