Date,difficulty-btc--trx14,difficulty-btc--trx30,difficulty-btc--trx90,difficulty-btc--rsi30,difficulty-btc--rsi90,hashrate-btc--trx90,mining_profitability-btc--trx7,mining_profitability-btc--trx90,transactionfees-btc--trx14,confirmationtime-btc--trx90,marketcap-btc--trx14,transactionvalue-btc--trx30,transactionvalue-btc--roc90,fee_to_reward-btc--trx30,size-btc--trx30,transactions-btc--std14,transactions-btc--var30,transactions-btc--trx14,transactions-btc--trx30,transactions-btc--trx90,sentbyaddress-btc--trx7,sentbyaddress-btc--trx90,top100cap-btc--sma14,top100cap-btc--sma90,top100cap-btc--ema14,top100cap-btc--ema30,top100cap-btc--ema90,top100cap-btc--wma14,top100cap-btc--wma90,top100cap-btc--std14,top100cap-btc--trx14,activeaddresses-btc--trx7,activeaddresses-btc--trx90,price-btc--trx30,price-btc--rsi90,bitcoin-price_raw_7d
2013/04/01,1.93,1.046,0.271,97.889,91.841,0.372,1.855,0.091,3.644,-0.057,3.675,3.059,314.433,0.05,-0.019,11454.0,74247499.0,-0.243,0.092,0.394,1.151,0.253,19.59,19.396,19.671,19.545,19.501,19.706,19.428,0.462,0.063,1.516,0.27,2.538,91.45,163.561
2013/04/02,1.948,1.085,0.279,97.889,91.841,0.384,2.171,0.104,3.733,-0.059,3.792,3.125,576.302,0.038,-0.015,11873.0,76789294.0,-0.174,0.086,0.392,1.319,0.256,19.639,19.401,19.718,19.576,19.513,19.764,19.442,0.49,0.074,1.611,0.274,2.617,92.645,195.397
2013/04/03,1.943,1.122,0.288,97.889,91.841,0.396,2.668,0.117,3.956,-0.061,3.958,3.214,725.071,0.036,-0.006,11938.0,76727861.0,-0.078,0.084,0.391,1.885,0.26,19.68,19.405,19.754,19.602,19.523,19.81,19.454,0.503,0.085,2.166,0.279,2.707,93.508,178.5
2013/04/04,1.917,1.154,0.296,97.889,91.841,0.407,3.069,0.132,4.254,-0.063,4.134,3.307,571.837,0.049,0.013,13290.0,81439397.0,0.044,0.089,0.389,2.554,0.264,19.723,19.41,19.786,19.627,19.534,19.852,19.467,0.497,0.094,2.797,0.284,2.805,93.724,115.0
2013/04/05,1.888,1.184,0.305,98.186,92.508,0.419,3.579,0.147,4.452,-0.065,4.304,3.4,523.341,0.063,0.034,13374.0,80782038.0,0.152,0.095,0.388,3.009,0.269,19.757,19.413,19.792,19.64,19.54,19.866,19.477,0.457,0.1,3.094,0.29,2.907,94.013,92.446
2013/04/06,1.885,1.216,0.314,98.62,93.644,0.431,3.707,0.163,4.475,-0.066,4.456,3.465,692.881,0.068,0.052,13473.0,76225007.0,0.203,0.098,0.386,2.704,0.274,19.792,19.416,19.797,19.653,19.547,19.876,19.486,0.396,0.103,2.801,0.296,3.011,94.297,98.435
2013/04/07,1.89,1.248,0.324,98.62,93.644,0.443,3.702,0.179,4.457,-0.068,4.595,3.48,402.77,0.072,0.074,13637.0,78845320.0,0.266,0.104,0.384,2.1,0.278,19.82,19.418,19.793,19.66,19.551,19.873,19.494,0.325,0.103,2.365,0.302,3.117,94.67,91.849
2013/04/08,1.894,1.279,0.334,98.62,93.644,0.455,3.727,0.196,4.404,-0.069,4.771,3.493,443.236,0.073,0.099,13004.0,80403360.0,0.324,0.111,0.383,1.898,0.283,19.837,19.421,19.779,19.662,19.554,19.856,19.499,0.263,0.1,2.425,0.309,3.234,95.477,87.108
2013/04/09,1.891,1.308,0.344,98.62,93.644,0.467,4.363,0.215,4.392,-0.07,5.043,3.546,1023.0,0.07,0.122,12705.0,73273707.0,0.399,0.122,0.382,2.076,0.289,19.846,19.424,19.771,19.665,19.558,19.839,19.506,0.237,0.095,2.582,0.317,3.375,96.314,75.043
2013/04/10,1.877,1.335,0.355,98.62,93.644,0.48,4.775,0.235,4.515,-0.072,5.253,3.666,2232.0,0.069,0.141,12405.0,75345573.0,0.465,0.134,0.381,2.587,0.295,19.852,19.429,19.77,19.672,19.562,19.828,19.513,0.222,0.09,3.087,0.325,3.514,87.615,77.734
2013/04/11,1.851,1.358,0.365,98.62,93.644,0.493,3.896,0.254,4.425,-0.073,5.171,3.742,1043.0,0.075,0.166,13114.0,79710752.0,0.541,0.149,0.38,2.875,0.303,19.887,19.438,19.826,19.705,19.576,19.873,19.53,0.267,0.089,3.406,0.335,3.601,65.226,94.679
2013/04/12,1.814,1.378,0.376,98.62,93.644,0.505,2.52,0.273,4.149,-0.074,4.842,3.755,832.053,0.079,0.185,13123.0,79995518.0,0.576,0.162,0.379,2.677,0.31,19.906,19.446,19.867,19.733,19.589,19.906,19.545,0.295,0.091,3.149,0.344,3.629,59.742,106.7
2013/04/13,1.767,1.394,0.387,98.62,93.644,0.518,1.205,0.291,3.728,-0.075,4.405,3.712,863.511,0.075,0.197,13595.0,79907573.0,0.559,0.17,0.378,2.006,0.317,19.919,19.456,19.903,19.759,19.601,19.937,19.561,0.318,0.094,2.33,0.353,3.616,60.631,114.48
2013/04/14,1.71,1.405,0.398,98.62,93.644,0.53,-0.041,0.307,3.287,-0.076,3.908,3.608,297.852,0.074,0.207,10694.0,78047862.0,0.517,0.175,0.376,0.985,0.323,19.941,19.466,19.936,19.784,19.613,19.968,19.576,0.336,0.097,1.22,0.361,3.566,59.178,114.295
2013/04/15,1.646,1.413,0.409,98.62,93.644,0.542,-1.062,0.323,2.943,-0.077,3.387,3.467,157.839,0.084,0.214,10345.0,62905985.0,0.456,0.177,0.375,0.331,0.329,19.971,19.479,19.996,19.823,19.63,20.027,19.596,0.406,0.103,0.622,0.37,3.486,58.164,113.535
2013/04/16,1.576,1.418,0.419,98.62,93.644,0.554,-2.006,0.338,2.494,-0.078,2.845,3.306,235.725,0.089,0.221,10876.0,52394940.0,0.441,0.182,0.373,0.122,0.336,20.006,19.494,20.065,19.868,19.649,20.1,19.619,0.495,0.112,0.314,0.378,3.377,55.706,120.78
2013/04/17,1.516,1.42,0.43,98.84,94.189,0.566,-2.762,0.351,2.154,-0.079,2.324,3.14,321.062,0.105,0.225,11015.0,46149014.0,0.407,0.185,0.372,-0.015,0.342,20.035,19.507,20.108,19.901,19.665,20.151,19.639,0.532,0.121,0.246,0.387,3.25,56.125,134.8
2013/04/18,1.496,1.426,0.442,99.185,95.245,0.578,-3.339,0.363,1.825,-0.08,1.883,3.126,2206.0,0.115,0.223,12628.0,45748251.0,0.322,0.182,0.37,-0.272,0.348,20.066,19.52,20.151,19.935,19.682,20.203,19.659,0.568,0.129,-0.082,0.395,3.119,58.612,139.74
2013/04/19,1.497,1.434,0.453,99.185,95.245,0.59,-3.471,0.375,1.549,-0.08,1.54,3.086,699.913,0.129,0.228,12579.0,41551302.0,0.26,0.179,0.369,-0.215,0.354,20.109,19.534,20.187,19.967,19.698,20.251,19.679,0.58,0.136,-0.104,0.403,2.993,60.23,132.945
2013/04/20,1.505,1.442,0.465,99.185,95.245,0.601,-3.196,0.386,1.344,-0.081,1.289,3.014,486.68,0.138,0.229,13263.0,44338031.0,0.169,0.171,0.366,-0.483,0.359,20.159,19.549,20.235,20.004,19.717,20.309,19.701,0.599,0.143,-0.476,0.41,2.876,61.222,126.316
2013/04/21,1.514,1.45,0.477,99.185,95.245,0.613,-2.776,0.397,1.128,-0.081,1.106,2.918,462.485,0.132,0.22,14986.0,49731354.0,0.046,0.157,0.364,-0.926,0.364,20.213,19.564,20.273,20.037,19.735,20.357,19.722,0.584,0.15,-1.009,0.417,2.766,61.185,124.045
2013/04/22,1.517,1.457,0.488,99.185,95.245,0.624,-2.427,0.407,0.981,-0.082,0.969,2.825,612.959,0.124,0.209,15695.0,52343484.0,-0.079,0.139,0.361,-1.164,0.369,20.273,19.578,20.306,20.068,19.752,20.398,19.743,0.524,0.154,-1.17,0.424,2.661,61.033,130.56
2013/04/23,1.512,1.462,0.5,99.185,95.245,0.635,-1.905,0.416,0.903,-0.082,0.883,2.724,261.371,0.121,0.2,14908.0,51962594.0,-0.14,0.127,0.359,-1.022,0.374,20.33,19.592,20.334,20.098,19.769,20.431,19.764,0.436,0.158,-1.106,0.43,2.566,61.945,134.465
2013/04/24,1.497,1.465,0.512,99.185,95.245,0.647,-1.255,0.426,0.893,-0.082,0.864,2.637,672.395,0.122,0.198,15091.0,51472378.0,-0.142,0.119,0.356,-0.718,0.378,20.369,19.605,20.331,20.111,19.781,20.428,19.78,0.303,0.157,-0.782,0.436,2.483,63.61,124.662
2013/04/25,1.473,1.465,0.524,99.185,95.245,0.658,-0.378,0.435,0.94,-0.082,0.898,2.549,578.364,0.124,0.197,14007.0,49536226.0,-0.115,0.115,0.354,-0.398,0.383,20.383,19.618,20.338,20.129,19.794,20.43,19.797,0.286,0.154,-0.576,0.443,2.413,64.169,111.049
2013/04/26,1.44,1.463,0.536,99.185,95.245,0.669,0.167,0.444,0.923,-0.083,0.945,2.451,558.563,0.117,0.193,13920.0,49001091.0,-0.101,0.11,0.352,-0.225,0.388,20.403,19.63,20.349,20.148,19.808,20.435,19.814,0.251,0.15,-0.52,0.448,2.349,62.827,102.694
2013/04/27,1.399,1.459,0.548,99.185,95.245,0.68,0.29,0.453,0.898,-0.083,0.98,2.337,400.244,0.106,0.185,15058.0,54868952.0,-0.141,0.1,0.349,-0.461,0.391,20.405,19.639,20.325,20.149,19.816,20.403,19.826,0.243,0.143,-0.663,0.453,2.287,61.557,105.04
2013/04/28,1.351,1.452,0.559,99.185,95.245,0.69,0.519,0.461,0.834,-0.083,0.997,2.207,197.481,0.084,0.17,16485.0,62086958.0,-0.224,0.083,0.346,-0.853,0.395,20.408,19.648,20.306,20.151,19.824,20.374,19.838,0.232,0.133,-0.188,0.459,2.226,61.129,113.464
2013/04/29,1.298,1.442,0.571,99.185,95.245,0.701,0.629,0.469,0.789,-0.083,1.014,2.103,448.345,0.06,0.153,16521.0,62794121.0,-0.29,0.066,0.343,-1.0,0.398,20.384,19.655,20.273,20.145,19.829,20.327,19.847,0.295,0.12,-0.044,0.464,2.168,61.898,113.005
2013/04/30,1.269,1.434,0.582,99.426,96.022,0.711,0.464,0.476,0.79,-0.083,1.036,1.997,128.193,0.039,0.14,14818.0,60118962.0,-0.358,0.048,0.339,-1.279,0.4,20.354,19.662,20.248,20.141,19.835,20.287,19.857,0.321,0.106,-0.235,0.469,2.114,62.349,110.375
2013/05/01,1.259,1.428,0.593,99.467,96.181,0.721,0.193,0.483,0.729,-0.083,1.035,1.892,404.748,0.017,0.13,14720.0,59614011.0,-0.392,0.032,0.336,-1.291,0.402,20.337,19.669,20.236,20.142,19.842,20.261,19.868,0.336,0.092,-0.421,0.473,2.059,60.529,109.595
2013/05/02,1.258,1.422,0.605,99.467,96.181,0.731,-0.306,0.488,0.663,-0.083,0.987,1.776,193.876,0.005,0.126,14460.0,58314583.0,-0.401,0.019,0.332,-1.215,0.404,20.322,19.678,20.233,20.147,19.85,20.245,19.88,0.338,0.08,-0.598,0.477,1.999,58.146,108.42
