Date,bitcoin-size_raw,top100cap-btc_raw,difficulty-btc-sma-7,difficulty-btc-sma-90,difficulty-btc-ema-7,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-3,difficulty-btc-wma-7,difficulty-btc-wma-90,difficulty-btc-std-14,difficulty-btc-std-90,difficulty-btc-var-14,difficulty-btc-trx-7,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-rsi-14,difficulty-btc-rsi-30,difficulty-btc-rsi-90,difficulty-btc-roc-3,hashrate-btc-sma-3,hashrate-btc-sma-14,hashrate-btc-ema-3,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-3,hashrate-btc-wma-7,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-trx-7,hashrate-btc-trx-14,hashrate-btc-trx-30,hashrate-btc-trx-90,hashrate-btc-roc-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-90,mining_profitability-btc-var-14,mining_profitability-btc-var-90,mining_profitability-btc-trx-7,mining_profitability-btc-trx-14,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,sentinusd-btc-sma-7,sentinusd-btc-sma-14,sentinusd-btc-sma-30,sentinusd-btc-ema-30,sentinusd-btc-ema-90,sentinusd-btc-wma-7,sentinusd-btc-wma-14,sentinusd-btc-std-90,sentinusd-btc-mom-14,sentinusd-btc-var-30,sentinusd-btc-var-90,sentinusd-btc-trx-7,sentinusd-btc-trx-14,sentinusd-btc-trx-30,sentinusd-btc-trx-90,sentinusd-btc-rsi-90,transactionfees-btc-sma-7,transactionfees-btc-sma-90,transactionfees-btc-ema-30,transactionfees-btc-ema-90,transactionfees-btc-std-30,transactionfees-btc-trx-7,transactionfees-btc-trx-30,transactionfees-btc-trx-90,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-sma-7,median_transaction_fee-btc-sma-90,median_transaction_fee-btc-ema-30,median_transaction_fee-btc-wma-14,median_transaction_fee-btc-std-7,median_transaction_fee-btc-std-30,median_transaction_fee-btc-trx-30,confirmationtime-btc-sma-30,confirmationtime-btc-sma-90,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,confirmationtime-btc-std-14,confirmationtime-btc-var-14,confirmationtime-btc-trx-14,confirmationtime-btc-trx-30,confirmationtime-btc-trx-90,marketcap-btc-sma-30,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-30,marketcap-btc-wma-90,marketcap-btc-std-14,marketcap-btc-std-30,marketcap-btc-std-90,marketcap-btc-var-14,marketcap-btc-var-30,marketcap-btc-var-90,marketcap-btc-trx-7,marketcap-btc-rsi-90,marketcap-btc-roc-7,marketcap-btc-roc-14,marketcap-btc-roc-90,transactionvalue-btc-sma-14,transactionvalue-btc-sma-90,transactionvalue-btc-ema-7,transactionvalue-btc-ema-14,transactionvalue-btc-ema-90,transactionvalue-btc-wma-14,transactionvalue-btc-wma-90,transactionvalue-btc-std-30,transactionvalue-btc-var-30,transactionvalue-btc-trx-7,transactionvalue-btc-trx-30,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-14,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-30,mediantransactionvalue-btc-wma-30,mediantransactionvalue-btc-std-7,mediantransactionvalue-btc-std-90,mediantransactionvalue-btc-var-7,mediantransactionvalue-btc-trx-30,fee_to_reward-btc-sma-7,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-14,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,fee_to_reward-btc-trx-7,fee_to_reward-btc-trx-14,fee_to_reward-btc-trx-90,size-btc-ema-3,size-btc-std-7,size-btc-std-30,size-btc-std-90,size-btc-var-7,size-btc-var-14,size-btc-var-90,size-btc-trx-7,size-btc-trx-30,transactions-btc-sma-30,transactions-btc-sma-90,transactions-btc-std-90,transactions-btc-var-14,transactions-btc-var-90,transactions-btc-trx-30,transactions-btc-trx-90,sentbyaddress-btc-sma-14,sentbyaddress-btc-sma-30,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,sentbyaddress-btc-var-30,sentbyaddress-btc-trx-14,sentbyaddress-btc-trx-90,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-wma-90,top100cap-btc-std-30,top100cap-btc-std-90,top100cap-btc-var-14,top100cap-btc-var-90,top100cap-btc-trx-14,top100cap-btc-rsi-30,top100cap-btc-roc-30,activeaddresses-btc-sma-90,activeaddresses-btc-std-7,activeaddresses-btc-var-90,activeaddresses-btc-trx-30,activeaddresses-btc-trx-90,price-btc-ema-30,price-btc-ema-90,price-btc-wma-30,price-btc-wma-90,price-btc-std-90,price-btc-trx-7,price-btc-trx-90,price-btc-rsi-90,bitcoin-price_raw_30d
2013-04-01,139256,19.962,6695826,3906368,6526779,5385392,4296620,6695826,6695826,4430808,1745325,2161986,761539976695.0,2.593,1.93,1.046,0.271,99.825,97.889,91.841,4.618,59387909975187.0,53495262808157.0,60545619812057.0,57115545498179.0,53347760970783.0,46935502677847.0,35799562131248.0,60620238288447.0,57669081336507.0,55439878831239.0,49808994690260.0,37564285480092.0,19252887180085.0,22738053510663.0,1.91,2.0,1.373,0.372,169.207,6932.0,6562.0,6279.0,3913.0,6990.0,6648.0,6242.0,5603.0,4403.0,7035.0,6806.0,6442.0,5894.0,4650.0,1716.0,2778.0,736163.0,1929846.0,1.855,1.522,1.215,0.091,139714681,114652550,91370923,97859408,62957053,136938285,124388332,83568369,-42602090,2498708038563228.0,1745918089683000.0,3.421,3.636,3.029,0.276,52.504,0.085,0.031,0.06,0.038,0.043,4.663,2.712,1.218,0.045,0.042,0.017,0.032,0.04,0.007,0.019,2.482,8.4,9.146,8.93,8.698,2.656,1.763,-0.129,-0.275,-0.057,616948319,669282203,428855865,725365498,468618640,284722845,409268958,455860515,20266774602124288,4.187527004296205e+16,5.195220233693293e+16,4.438,91.946,37.332,105.943,630.491,2385,1039,2644,2446,1335,2542,1380,2031.0,1030745,2.682,3.059,-0.116,54.928,41.397,26.683,44.502,48.928,14.73,28.818,54.242,2.119,1.301,1.154,1.237,1.157,1.205,1.245,0.956,0.229,1.014,-0.381,0.742,152041,36476,61285,50776,332631544,673384639,644540075,1.572,-0.019,54216,52541,16078,32799583,64627438,0.092,0.394,48248,43467,44836,45856,41786951,0.982,0.253,19.499,19.396,19.428,0.367,0.322,0.053,0.026,0.063,65.405,3.6,57136,17602,82659141,0.538,0.27,61.215,39.444,66.298,43.032,41.348,4.395,1.025,91.45,124.662
2013-04-02,175443,20.024,6695826,3947659,6569041,5469936,4349349,6695826,6695826,4492115,1667845,2230475,695426590110.0,2.333,1.948,1.085,0.279,99.825,97.889,91.841,4.618,60633728191775.0,54665535479792.0,61195608357035.0,58298058349138.0,54480805761613.0,47897444240696.0,36372002455880.0,61849081751860.0,59321581487439.0,56553256710420.0,50898629883949.0,38225151777783.0,19640918710600.0,23513282442924.0,2.016,2.017,1.406,0.384,171.197,7394.0,6924.0,6503.0,3977.0,7490.0,6984.0,6475.0,5757.0,4482.0,7564.0,7164.0,6670.0,6058.0,4740.0,1734.0,2884.0,751741.0,2079147.0,2.171,1.605,1.241,0.104,160510202,126344266,99082516,108146320,67228470,166336248,143408864,94000481,163684036,3214435238744518.0,2209022600061440.8,4.752,3.89,3.121,0.312,56.112,0.09,0.032,0.063,0.04,0.045,4.561,2.777,1.251,0.049,0.045,0.017,0.033,0.042,0.008,0.02,2.534,8.367,9.13,8.909,8.672,2.648,1.753,-0.129,-0.272,-0.059,644647072,702431833,445432691,761891508,486875397,310676905,444769123,485734098,24130034807257856,4.945489328610125e+16,5.898440351722694e+16,4.586,93.08,50.675,110.932,744.047,2545,1081,3083,2706,1403,2811,1454,2160.0,1166540,3.561,3.125,-0.089,57.343,44.077,27.577,47.757,52.383,28.777,32.06,207.029,2.21,1.322,1.163,1.243,1.161,1.229,1.248,0.953,0.227,0.73,-0.33,0.733,163742,36220,61721,50230,327964049,689152619,630754328,1.368,-0.015,54509,52806,15980,35244893,63840999,0.086,0.392,49382,44503,45961,47069,47486125,1.036,0.256,19.522,19.401,19.442,0.408,0.345,0.06,0.03,0.074,66.711,3.498,57678,19754,93587018,0.569,0.274,64.217,40.945,69.605,44.686,44.05,4.543,1.057,92.645,111.049
2013-04-03,184209,19.987,6695826,3988950,6600737,5549026,4400920,6695826,6695826,4552514,1542023,2293952,594458447418.0,2.064,1.943,1.122,0.288,99.825,97.889,91.841,4.618,62539358860900.0,55777688549531.0,60732987952966.0,58791135649077.0,55252747333251.0,48695697357354.0,36897241249133.0,61667401430421.0,60165619495677.0,57300567652967.0,51824489851457.0,38841863840867.0,20044305085355.0,24166298674113.0,1.991,2.015,1.435,0.396,154.039,8021.0,7363.0,6645.0,4050.0,8171.0,7451.0,6792.0,5957.0,4578.0,8293.0,7645.0,6984.0,6269.0,4847.0,2113.0,3037.0,1116414.0,2305788.0,2.668,1.738,1.276,0.117,168111305,137048586,106494613,117439750,71293657,189257322,160188894,102642361,149860474,3781082247256207.0,2633863588145095.0,6.252,4.28,3.248,0.353,55.943,0.096,0.034,0.067,0.042,0.051,5.18,2.871,1.288,0.054,0.048,0.018,0.035,0.045,0.012,0.023,2.599,8.373,9.123,8.894,8.652,2.559,1.638,-0.126,-0.268,-0.061,676520635,742158159,464614168,805345883,507846447,368052436,493549055,522966667,33865648882136320,6.089766752797075e+16,6.837353381290434e+16,4.954,93.897,51.865,109.011,839.301,2697,1125,3432,2942,1470,3068,1528,2260.0,1276352,4.649,3.214,-0.059,60.546,46.873,28.497,51.291,56.154,39.584,35.657,391.727,2.327,1.292,1.227,1.25,1.17,1.287,1.255,0.953,0.227,1.028,-0.212,0.725,173975,34402,62497,49584,295869877,555653079,614641815,1.386,-0.006,54506,53046,15982,35628625,63855681,0.084,0.391,51276,45581,47459,48661,64654761,1.163,0.26,19.542,19.405,19.454,0.437,0.364,0.063,0.033,0.085,65.191,3.051,58298,26120,119931071,0.611,0.279,67.816,42.682,73.541,46.586,47.421,4.91,1.09,93.508,102.694
2013-04-04,221568,19.99,6695826,4030241,6624509,5623013,4451358,6695826,6695826,4612006,1354453,2352822,458635548619.0,1.801,1.917,1.154,0.296,99.825,97.889,91.841,4.618,59129473196998.0,55963936181944.0,58002721546526.0,57911465521829.0,55255375040829.0,49120004311079.0,37301092103880.0,58033949570014.0,59239759066545.0,57233203198374.0,52379205377642.0,39339807259569.0,19731382020831.0,24532541967280.0,1.734,1.969,1.456,0.407,144.48,8540.0,7555.0,6794.0,4122.0,8474.0,7782.0,7057.0,6139.0,4670.0,8671.0,7999.0,7268.0,6465.0,4951.0,2382.0,3171.0,1418707.0,2513253.0,3.069,1.884,1.316,0.132,180219729,144813868,111795343,124473962,74704127,203847003,172111754,108586735,108713941,4181966971339743.0,2947769732649600.0,6.961,4.617,3.379,0.396,55.095,0.104,0.035,0.072,0.044,0.057,5.965,2.985,1.328,0.059,0.051,0.019,0.036,0.048,0.015,0.024,2.674,8.339,9.122,8.904,8.657,2.475,1.531,-0.09,-0.261,-0.063,708525651,781878598,484245175,849301001,529400965,418350875,539459089,559483423,43754363667288448,7.27540271846002e+16,7.825542515096218e+16,5.28,94.103,44.504,94.217,866.699,2833,1165,3636,3117,1531,3275,1597,2356.0,1387167,5.326,3.307,-0.027,65.817,50.029,29.741,55.938,61.086,53.483,40.642,715.096,2.481,1.382,1.3,1.261,1.187,1.383,1.271,0.963,0.232,1.951,0.014,0.717,197772,50305,65394,51353,632653615,721463920,659287348,1.843,0.013,54839,53249,16206,44155072,65661184,0.089,0.389,53186,46630,49026,50349,85452388,1.339,0.264,19.564,19.41,19.467,0.459,0.383,0.062,0.037,0.094,65.257,3.408,58982,30670,146568407,0.663,0.284,71.413,44.46,77.521,48.539,50.724,5.235,1.126,93.724,105.04
2013-04-05,190067,19.833,6740002,4074968,6719647,5712177,4507483,6850442,6773134,4677386,1102088,2423226,303649731270.0,1.634,1.888,1.184,0.305,99.867,98.186,92.508,4.618,55786092478212.0,55757270220747.0,54909088146090.0,56387462827786.0,54796719001473.0,49293904339116.0,37620089085017.0,54376940344342.0,57385663183689.0,56680072340202.0,52665828439969.0,39753796023936.0,19126208338407.0,24746657364734.0,1.299,1.873,1.468,0.419,129.366,9193.0,8052.0,7008.0,4210.0,9212.0,8324.0,7443.0,6385.0,4786.0,9376.0,8598.0,7689.0,6726.0,5079.0,2886.0,3368.0,2082572.0,2836428.0,3.579,2.074,1.368,0.147,196246808,154976440,116695551,131112830,78059562,215636176,183120094,114080731,142276021,4570336442425772.0,3253603293525400.0,7.056,4.872,3.507,0.441,55.119,0.109,0.036,0.075,0.045,0.059,6.048,3.093,1.37,0.062,0.054,0.019,0.038,0.051,0.016,0.026,2.755,8.334,9.11,8.909,8.657,2.217,1.229,-0.04,-0.251,-0.065,741556324,822685915,504687962,894840766,551901435,461177453,585022130,596666721,53171160876601088,8.556272309817466e+16,8.90027940952962e+16,5.497,94.378,49.004,96.823,910.125,3026,1205,3814,3281,1593,3477,1667,2453.0,1503864,5.634,3.4,0.006,70.974,53.308,30.977,60.405,65.935,60.924,45.16,927.921,2.658,1.389,1.319,1.267,1.193,1.4,1.274,0.96,0.23,2.262,0.199,0.71,193919,51243,65074,51155,656453039,660679155,654198460,2.045,0.034,54793,53491,16024,44713414,64193454,0.095,0.388,54514,47386,50335,51813,102026223,1.518,0.269,19.578,19.413,19.477,0.464,0.392,0.052,0.038,0.1,59.122,2.285,59500,31721,164680970,0.716,0.29,75.106,46.311,81.643,50.576,54.087,5.452,1.164,94.013,113.464
2013-04-06,158566,19.833,6879599,4127116,6957985,5838682,4577055,7287490,7006384,4756464,809076,2526499,163650815957.0,1.673,1.885,1.216,0.314,99.915,98.62,93.644,14.594,56305374878719.0,56432105022907.0,58368651448253.0,57747650808443.0,55734251767998.0,50102569526942.0,38152135802938.0,57398001480444.0,58293873861928.0,57489531610825.0,53559612436911.0,40380708754402.0,18840725883715.0,25312859842570.0,1.134,1.8,1.479,0.431,197.729,9217.0,8384.0,7170.0,4283.0,9068.0,8474.0,7640.0,6548.0,4877.0,9241.0,8816.0,7944.0,6909.0,5183.0,3039.0,3486.0,2309302.0,3037954.0,3.707,2.225,1.419,0.163,197131177,160747888,120066807,132822859,79808105,205979044,183472339,115485795,80800268,4493932018598449.5,3334242195953900.0,5.963,4.858,3.588,0.486,52.897,0.11,0.037,0.077,0.047,0.059,5.354,3.173,1.411,0.064,0.057,0.02,0.04,0.054,0.016,0.028,2.84,8.328,9.098,8.907,8.651,1.948,0.949,0.009,-0.24,-0.066,776234498,864759574,526009713,942148593,575418958,489671522,629729766,634738238,59944549751180288,9.913989447586125e+16,1.0072315767911875e+17,5.599,94.647,53.775,111.972,956.989,3150,1239,3725,3304,1634,3535,1716,2431.0,1477977,5.108,3.465,0.04,74.44,55.459,31.783,62.325,68.313,51.27,46.74,657.16,2.811,1.315,1.318,1.267,1.187,1.351,1.267,0.96,0.23,1.628,0.254,0.702,176243,52138,62919,49700,679604633,522608121,617523242,1.765,0.052,54291,53699,15424,45382999,59472284,0.098,0.386,55165,47634,50446,52114,102441468,1.589,0.274,19.593,19.416,19.486,0.467,0.4,0.039,0.04,0.103,59.132,2.292,59954,30872,167334419,0.762,0.296,78.913,48.24,85.923,52.706,57.528,5.555,1.203,94.297,113.005
2013-04-07,205411,19.767,7019195,4179265,7136739,5957025,4645098,7561676,7204734,4834395,684393,2621567,117098288072.0,1.756,1.89,1.248,0.324,99.915,98.62,93.644,14.594,58784561381311.0,56606848019815.0,60539333048057.0,58988241768298.0,56664353485313.0,50915953083130.0,38691869403926.0,60600321365015.0,59289674782452.0,58326586227485.0,54446884782637.0,41016974443350.0,18707180146223.0,25919505474601.0,1.11,1.745,1.489,0.443,175.569,9428.0,8732.0,7477.0,4360.0,9240.0,8709.0,7876.0,6733.0,4977.0,9339.0,9073.0,8243.0,7115.0,5295.0,3016.0,3626.0,2274547.0,3286874.0,3.702,2.354,1.472,0.179,196574161,165829787,122750551,132461825,80850275,188502958,179002866,115946907,71146590,4309086448057972.0,3360921285754477.0,4.269,4.603,3.616,0.53,51.975,0.114,0.038,0.08,0.048,0.061,4.788,3.244,1.452,0.067,0.061,0.021,0.042,0.057,0.015,0.03,2.93,8.321,9.1,8.904,8.644,1.852,0.858,0.052,-0.229,-0.068,813375690,909808190,548800997,992908503,600548544,515461678,677702511,675664378,66425185414824960,1.148201734889614e+17,1.1413058805451376e+17,5.649,95.001,59.987,120.537,1016.0,3236,1261,3405,3190,1652,3441,1743,2364.0,1397038,3.752,3.48,0.073,76.177,56.682,32.319,62.452,68.883,45.584,47.111,519.486,2.913,1.347,1.349,1.272,1.19,1.349,1.268,0.956,0.229,1.142,0.289,0.695,190827,51285,65397,49383,657543447,446653947,609668881,1.763,0.074,54547,53957,15284,46492838,58397618,0.104,0.384,55315,48027,50513,52363,100672517,1.581,0.278,19.602,19.418,19.494,0.47,0.404,0.026,0.041,0.103,56.711,1.339,60321,23084,174998891,0.803,0.302,82.989,50.303,90.515,54.981,61.227,5.606,1.245,94.67,110.375
2013-04-08,195118,19.689,7158791,4229880,7270804,6067733,4711645,7673000,7368185,4911181,794634,2711968,157860879016.0,1.81,1.894,1.279,0.334,99.915,98.62,93.644,9.535,62628787655926.0,57409957956603.0,61943733308779.0,60078214718599.0,57555524163205.0,51718029243541.0,39233765319653.0,62882107459111.0,60153700465301.0,59225424300777.0,55315279585865.0,41657508084677.0,18541883113718.0,26548753749922.0,1.146,1.701,1.498,0.455,156.271,9486.0,9147.0,7854.0,4453.0,9682.0,9062.0,8176.0,6952.0,5090.0,9687.0,9421.0,8596.0,7357.0,5422.0,2922.0,3782.0,2134668.0,3575871.0,3.727,2.483,1.528,0.196,208307450,174011066,128434505,137461679,83687842,191849307,184886835,119753751,114537894,4298943128844980.0,3585240197880137.0,3.451,4.405,3.64,0.574,54.176,0.121,0.04,0.082,0.05,0.062,4.311,3.305,1.494,0.073,0.066,0.022,0.045,0.061,0.017,0.033,3.033,8.346,9.083,8.913,8.648,1.753,0.768,0.105,-0.216,-0.069,857732657,967239231,576299641,1056560996,630538898,584766239,751938281,730830417,85487888508019968,1.413527946427534e+17,1.3352827466677536e+17,5.902,95.761,73.156,137.799,1162.0,3369,1297,3565,3304,1705,3548,1804,2343.0,1372963,3.118,3.493,0.108,82.073,60.183,33.565,66.85,73.653,43.953,51.324,482.967,3.035,1.392,1.347,1.274,1.19,1.327,1.266,0.954,0.228,0.631,0.287,0.687,192973,37749,66811,49894,356244249,459856995,622354878,1.74,0.099,54752,54213,15008,42275610,56310715,0.111,0.383,56853,49088,51564,53573,105592143,1.6,0.283,19.608,19.421,19.499,0.47,0.408,0.017,0.042,0.1,54.048,0.889,60965,21812,206269076,0.852,0.309,88.187,52.792,96.276,57.696,66.216,5.859,1.289,95.477,109.595
2013-04-09,179129,19.714,7298387,4279029,7371353,6171299,4776730,7673000,7496738,4986854,869206,2798086,188879915695.0,1.809,1.891,1.308,0.344,99.915,98.62,93.644,9.004555555555555,63723263997732.0,58472556627847.0,63527688542306.0,61336571982907.0,58563006778222.0,52582133406915.0,39802509901107.0,64123535519064.0,61535531505530.0,60252315743341.0,56237950129593.0,42327366992383.0,18701125323864.0,27149681059982.0,1.229,1.67,1.506,0.467,207.663,10963.0,9913.0,8419.0,4578.0,11517.0,10135.0,8866.0,7365.0,5272.0,11619.0,10472.0,9329.0,7797.0,5618.0,3775.0,4185.0,3563293.0,4379283.0,4.363,2.722,1.606,0.215,217869610,189189906,137541562,149512000,88974739,220832858,204917580,131209654,212503765,5294303707697924.0,4303993317407992.0,4.138,4.481,3.71,0.623,56.933,0.126,0.041,0.086,0.052,0.066,4.22,3.369,1.538,0.084,0.072,0.023,0.048,0.067,0.025,0.039,3.161,8.357,9.051,8.897,8.628,1.716,0.736,0.129,-0.205,-0.07,913331396,1043617529,610910701,1140004234,667841311,722985827,870274634,809883232,130677126534863616,1.893444844507342e+17,1.6397771221867283e+17,6.538,96.548,81.819,173.955,1386.0,3610,1359,4192,3673,1801,3909,1909,2557.0,1634615,3.815,3.546,0.145,91.009,65.897,35.483,74.998,82.231,74.766,61.185,1397.0,3.222,1.36,1.341,1.275,1.188,1.295,1.263,0.953,0.227,0.095,0.245,0.679,186051,37015,66511,49992,342522929,435282312,624788508,1.535,0.122,54524,54477,15049,40355673,56620209,0.122,0.382,58710,50258,53052,55222,122951117,1.669,0.289,19.618,19.424,19.506,0.465,0.413,0.014,0.043,0.095,54.763,1.549,61586,22680,234652099,0.904,0.317,95.104,55.926,103.832,61.074,73.372,6.493,1.338,96.314,108.42
2013-04-10,168442,19.762,7437983,4328179,7446765,6268182,4840384,7673000,7590391,5061446,916854,2878277,210155398108.0,1.755,1.877,1.335,0.355,99.915,98.62,93.644,8.47411111111111,66222093728887.0,60223121319068.0,66867096191816.0,63554054947512.0,60115473053303.0,53719189563974.0,40470729548145.0,67365155440861.0,64074433030924.0,61816842038471.0,57433350995605.0,43098468655225.0,19206820698080.0,28005325368815.0,1.436,1.669,1.518,0.48,203.899,11927.0,10406.0,8884.0,4689.0,11911.0,10677.0,9325.0,7683.0,5426.0,12290.0,11070.0,9847.0,8152.0,5788.0,3964.0,4459.0,3928726.0,4971618.0,4.775,2.957,1.69,0.235,243641626,205876465,150582704,167775652,96526912,274515108,237372074,151433519,233611834,7717852482570384.0,5733027655108845.0,6.149,4.903,3.852,0.679,59.282,0.133,0.043,0.093,0.055,0.074,4.785,3.457,1.585,0.09,0.076,0.023,0.051,0.071,0.025,0.042,3.289,8.315,9.026,8.867,8.595,1.212,0.367,0.115,-0.197,-0.072,962494324,1103117731,640690041,1207909993,700582744,762011643,933615576,864916406,145165435848499456,2.179095110426944e+17,1.87020097431988e+17,6.722,87.849,49.134,126.483,1243.0,3900,1445,5175,4267,1940,4511,2058,3099.0,2400528,5.763,3.666,0.188,110.751,76.337,39.108,92.04,99.86,169.423,88.13,7176.0,3.576,1.323,1.308,1.246,1.191,1.295,1.264,0.756,0.143,-0.095,0.224,0.672,177246,40083,66465,50016,401668889,435978926,625390165,1.17,0.141,54676,54602,15166,38471363,57499297,0.134,0.381,61072,51863,55035,57384,150691678,1.805,0.295,19.628,19.429,19.513,0.464,0.418,0.012,0.044,0.09,56.115,1.646,62389,31870,291393310,0.968,0.325,100.484,58.62,109.974,64.037,78.344,6.678,1.389,87.615,110.54
