Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-sma-14,difficulty-btc-ema-3,difficulty-btc-wma-90,difficulty-btc-std-30,difficulty-btc-std-90,difficulty-btc-mom-14,hashrate-btc-sma-7,hashrate-btc-sma-30,hashrate-btc-ema-7,hashrate-btc-ema-30,hashrate-btc-wma-14,hashrate-btc-wma-30,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-90,mining_profitability-btc-var-30,mining_profitability-btc-var-90,mining_profitability-btc-roc-14,transactionfees-btc-var-7,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-wma-3,median_transaction_fee-btc-rsi-14,median_transaction_fee-btc-rsi-90,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-30,marketcap-btc-mom-7,marketcap-btc-mom-90,marketcap-btc-rsi-14,marketcap-btc-rsi-90,marketcap-btc-roc-14,marketcap-btc-roc-90,mediantransactionvalue-btc-mom-7,mediantransactionvalue-btc-roc-7,activeaddresses-btc-ema-90,price-btc-sma-3,price-btc-sma-7,price-btc-sma-14,price-btc-sma-90,price-btc-ema-3,price-btc-ema-7,price-btc-ema-30,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7,price-btc-wma-14,price-btc-wma-30,price-btc-mom-90,price-btc-rsi-14,price-btc-rsi-90,price-btc-roc-90,bitcoin-price_raw_1d
2013-04-01,1039517192,94.715,0.0474,65502112131790.0,5956136,6690038,4430808,1899346,2161986,1848179,55235596298287.0,44956251399826.0,57115545498179.0,46935502677847.0,55439878831239.0,49808994690260.0,6562.0,6279.0,5449.0,3913.0,5603.0,4403.0,6442.0,5894.0,4650.0,2778.0,1048771.0,1929846.0,55.716,0.001,0.045,0.046,74.007,65.414,352418998,997954603,929243159,824742386,669282203,428855865,1005258635,725365498,282580870,897213385,95.218,91.946,105.943,630.491,16.907,35.164,57827,90.406,84.929,73.635,32.485,90.961,84.752,61.215,39.444,91.616,88.156,80.404,66.298,81.308,95.075,91.45,606.456,107.749
2013-04-02,1183101461,107.749,0.0539,61845596902013.0,6088148,6692932,4492115,1949365,2230475,1848179,56894215515944.0,45919538052526.0,58298058349138.0,47897444240696.0,56553256710420.0,50898629883949.0,6924.0,6503.0,5582.0,3977.0,5757.0,4482.0,6670.0,6058.0,4740.0,2884.0,1177343.0,2079147.0,64.347,0.001,0.049,0.05,78.528,67.414,364007125,1090528032,992707735,872523596,702431833,445432691,1100883277,761891508,397898885,1042931435,96.519,93.08,110.932,744.047,26.922,39.571,58575,97.171,90.078,77.661,33.536,99.355,90.501,64.217,40.945,100.288,93.861,84.952,69.605,94.548,96.416,92.645,716.218,120.003
2013-04-03,1318189886,120.003,0.06,60270367548897.0,6220161,6694379,4552514,1986041,2293952,1848179,58975896856611.0,46674364484225.0,58791135649077.0,48695697357354.0,57300567652967.0,51824489851457.0,7363.0,6645.0,5743.0,4050.0,5957.0,4578.0,6984.0,6269.0,4847.0,3037.0,1426075.0,2305788.0,28.977,0.001,0.054,0.056,81.743,69.112,377094375,1204358959,1074078272,931945768,742158159,464614168,1226714962,805345883,450191191,1177852524,97.272,93.897,109.011,839.301,39.764,63.35,59642,107.489,95.902,82.108,34.722,109.679,97.877,67.816,42.682,111.703,101.342,90.598,73.541,106.79,97.19,93.508,808.284,123.562
2013-04-04,1357824968,123.562,0.0618,55272455140085.0,6352174,6695103,4612006,2010105,2352822,1848179,59231838277080.0,47372797279589.0,57911465521829.0,49120004311079.0,57233203198374.0,52379205377642.0,7555.0,6794.0,5910.0,4122.0,6139.0,4670.0,7268.0,6465.0,4951.0,3171.0,1574429.0,2513253.0,31.33,0.001,0.059,0.06,82.56,69.578,390620653,1281091963,1145014946,988729661,781878598,484245175,1315492689,849301001,418182595,1217365028,97.446,94.103,94.217,866.699,63.398,105.812,60725,117.104,101.303,86.363,35.948,116.62,104.298,71.413,44.46,119.74,108.257,96.125,77.521,110.343,97.368,93.724,834.762,128.664
2013-04-05,1414392012,128.664,0.0643,51815454745655.0,6506275,6850081,4677386,2049389,2423226,2157411,58195372037459.0,47974562797815.0,56387462827786.0,49293904339116.0,56680072340202.0,52665828439969.0,8052.0,7008.0,6087.0,4210.0,6385.0,4786.0,7689.0,6726.0,5079.0,3368.0,2035077.0,2836428.0,42.951,0.001,0.062,0.063,83.687,70.229,404780326,1347741988,1212359213,1045484641,822685915,504687962,1379502643,894840766,465159946,1274370485,97.675,94.378,96.823,910.125,60.522,93.598,61589,124.076,107.314,90.858,37.231,122.642,110.389,75.106,46.311,125.52,115.097,101.765,81.643,115.491,97.602,94.013,876.762,134.114
2013-04-06,1474827634,134.114,0.0671,61828214750416.0,6708086,7261540,4756464,2146374,2526499,2825353,58726810965768.0,48957293289103.0,57747650808443.0,50102569526942.0,57489531610825.0,53559612436911.0,8384.0,7170.0,6217.0,4283.0,6548.0,4877.0,7944.0,6909.0,5183.0,3486.0,2248623.0,3037954.0,34.137,0.001,0.064,0.065,84.815,70.901,419616955,1411284811,1277976318,1102730374,864759574,526009713,1435181982,942148593,515749187,1335296658,97.892,94.647,111.972,956.989,43.646,93.822,62061,128.78,113.979,95.893,38.576,128.378,116.32,78.913,48.24,130.538,121.797,107.532,85.923,120.991,97.825,94.297,922.051,142.08
2013-04-07,1563013110,142.08,0.071,62710014647861.0,6857511,7467270,4834395,2217375,2621567,2091948,59892030838102.0,49888014119461.0,58988241768298.0,50915953083130.0,58326586227485.0,54446884782637.0,8732.0,7477.0,6370.0,4360.0,6733.0,4977.0,8243.0,7115.0,5295.0,3626.0,2498776.0,3286874.0,83.748,0.001,0.067,0.069,86.307,71.841,435428226,1487148960,1349235516,1164101405,909808190,548800997,1508847768,992908503,586052215,1423014406,98.162,95.001,120.537,1016.0,13.225,25.896,62611,134.952,121.555,101.415,40.008,135.229,122.76,82.989,50.303,137.188,128.822,113.691,90.515,128.918,98.103,94.67,979.512,163.561
2013-04-08,1799989332,163.561,0.0818,63348133569501.0,6927309,7570135,4911181,2264835,2711968,977174,59584319614918.0,50810250348052.0,60078214718599.0,51718029243541.0,59225424300777.0,55315279585865.0,9147.0,7854.0,6535.0,4453.0,6952.0,5090.0,8596.0,7357.0,5422.0,3782.0,2893644.0,3575871.0,109.346,0.001,0.073,0.076,89.345,74.12,453843044,1643569146,1461923970,1248886462,967239231,576299641,1666803642,1056560996,760472140,1657333580,98.658,95.761,137.799,1162.0,65.63,100.99,63739,146.585,131.39,108.159,41.677,149.395,132.96,88.187,52.792,151.492,139.324,121.977,96.276,150.154,98.616,95.477,1120.0,195.397
2013-04-09,2151102847,195.397,0.0977,65111643775833.0,6997107,7621567,4986854,2290219,2798086,977174,60050897739750.0,51677790418136.0,61336571982907.0,52582133406915.0,60252315743341.0,56237950129593.0,9913.0,8419.0,6805.0,4578.0,7365.0,5272.0,9329.0,7797.0,5618.0,4185.0,4316562.0,4379283.0,144.858,0.001,0.084,0.088,92.132,76.92,476135446,1897335997,1634218689,1369181980,1043617529,610910701,1936050053,1140004234,968001386,2006316195,99.062,96.548,173.955,1386.0,98.189,103.405,64801,167.012,143.911,116.995,43.696,172.396,148.569,95.104,55.926,175.898,155.325,133.608,103.832,181.794,99.033,96.314,1337.0,178.5
2013-04-10,1965870661,178.5,0.0892,70206503841325.0,7066905,7647284,5061446,2294259,2878277,977174,61470345781525.0,52725657551404.0,63554054947512.0,53719189563974.0,61816842038471.0,57433350995605.0,10406.0,8884.0,7054.0,4689.0,7683.0,5426.0,9847.0,8152.0,5788.0,4459.0,5132843.0,4971618.0,112.789,0.001,0.09,0.091,80.15,72.699,496351594,1931603329,1717131682,1448740471,1103117731,640690041,1999967835,1207909993,647680776,1819453286,84.586,87.849,126.483,1243.0,236.616,230.769,66310,179.152,152.268,124.085,45.527,175.448,156.052,100.484,58.62,181.642,163.972,141.809,109.974,164.748,84.478,87.615,1198.0,115.0
2013-04-11,1267079990,115.0,0.0575,65886778608137.0,7136703,7660142,5134959,2277070,2953023,977174,62986677705533.0,53954152826930.0,64137235862668.0,54504195308758.0,62571996343681.0,58282455579911.0,10166.0,8860.0,7116.0,4746.0,7645.0,5463.0,9608.0,8154.0,5840.0,4449.0,5018022.0,4949018.0,-4.592,0.001,0.081,0.075,52.512,60.154,508774849,1599341659,1604618759,1424519073,1113695941,654456853,1647347356,1227560681,-90744978,1118093015,53.076,65.378,34.847,750.464,-8.199,-6.649,67591,162.965,151.045,126.174,46.649,145.224,145.789,101.42,59.859,149.566,154.655,140.598,111.731,101.012,52.971,65.226,722.163,92.446
2013-04-12,1018942331,92.446,0.0462,63688279726654.0,7206501,7666571,5207391,2238163,3022728,977174,64682795559961.0,54950625608863.0,64024996828665.0,55096716884106.0,62915865908394.0,58910463766990.0,9653.0,8853.0,7160.0,4791.0,7562.0,5483.0,9275.0,8105.0,5876.0,4431.0,4890942.0,4908464.0,-1.637,0.001,0.064,0.057,46.393,56.643,518441394,1309141995,1458199652,1370442174,1107582805,662467523,1259476272,1229510169,-395449681,869989024,46.457,59.878,7.344,584.068,-26.585,-21.236,68368,128.648,145.871,126.592,47.521,118.835,132.453,100.841,60.575,114.306,140.006,136.1,111.881,78.465,46.358,59.742,561.246,98.435
2013-04-13,1085384852,98.435,0.0492,62912871328188.0,7276299,7669785,5278743,2210075,3087734,977174,64837746499643.0,55725770086524.0,63746965453545.0,55600984912757.0,63112370912324.0,59424157039204.0,9320.0,8852.0,7215.0,4839.0,7500.0,5507.0,8974.0,8069.0,5915.0,4415.0,4734797.0,4872858.0,-0.157,0.001,0.051,0.05,48.122,57.312,528852702,1197263424,1364995952,1332434531,1106150679,671762409,1093519868,1234556942,-389442782,937017691,48.316,60.772,13.17,631.553,-19.367,-21.479,68686,101.96,140.774,127.377,48.46,108.635,123.949,100.686,61.407,99.199,128.147,132.346,112.311,84.513,48.207,60.631,607.072,91.849
2013-04-14,1013148373,91.849,0.0459,61636671163390.0,7346097,7671393,5349015,2182310,3148331,977174,64684411716147.0,56365301454215.0,63219391881007.0,55990384025701.0,63092956569749.0,59805505495776.0,8801.0,8767.0,7258.0,4877.0,7389.0,5513.0,8564.0,7976.0,5936.0,4388.0,4552780.0,4813521.0,-17.099,0.001,0.047,0.047,46.351,56.345,538453760,1105205898,1277034057,1289863044,1100150530,679265397,1038192859,1233623555,-549864737,864095279,46.429,59.319,3.704,579.723,-15.761,-24.513,68746,94.243,133.598,127.577,49.325,100.242,115.924,100.116,62.076,94.144,115.915,127.609,112.197,77.867,46.316,59.178,556.932,87.108
2013-04-15,961179992,87.108,0.0436,61994386305362.0,7415895,7672196,5418207,2137654,3204770,977174,64491019249841.0,57066213968040.0,62913140487095.0,56377739011486.0,63053778573514.0,60168672260366.0,8193.0,8670.0,7296.0,4921.0,7291.0,5521.0,8177.0,7886.0,5958.0,4348.0,4406319.0,4725580.0,-18.764,0.001,0.046,0.045,45.066,55.662,547478560,1033192945,1198070541,1246038637,1091184689,685461322,999203596,1228180256,-838809340,812231991,45.065,58.305,-7.536,545.312,-61.364,-46.98,69438,92.464,122.676,127.033,50.138,93.675,108.72,99.277,62.627,90.576,104.293,122.213,111.674,73.141,44.949,58.164,523.689,75.043
2013-04-16,828357493,75.043,0.0375,68054656188210.0,7485694,7672598,5486319,2075018,3257267,977174,64911449594467.0,57776120065725.0,64198519412374.0,57131088506758.0,63856043474291.0,60877604016506.0,6991.0,8452.0,7295.0,4949.0,7139.0,5508.0,7680.0,7734.0,5958.0,4314.0,4406656.0,4652684.0,-38.215,0.001,0.042,0.041,41.883,53.977,554999586,930775219,1105642279,1190347818,1074228096,688601898,903430139,1213136003,-1322745355,676892339,41.695,55.839,-29.984,446.896,-138.324,-71.617,70118,84.666,105.483,124.697,50.814,84.359,100.3,97.713,62.899,81.865,92.384,115.281,110.28,60.844,41.586,55.706,428.524,77.734
2013-04-17,858411619,77.734,0.0389,67652617934419.0,7581583,7855437,5561378,2019357,3321596,1342450,64546608750623.0,58438944183005.0,65062044042885.0,57809896856930.0,64545569376599.0,61514797427390.0,5948.0,8177.0,7308.0,4983.0,7001.0,5497.0,7220.0,7586.0,5959.0,4268.0,4345632.0,4554470.0,-43.451,0.001,0.04,0.039,42.853,54.289,562776132,894593419,1043834614,1146089658,1060304452,692333979,865521639,1199279672,-1107459042,699889144,42.739,56.262,-34.88,441.508,-268.805,-79.259,70890,79.961,91.088,121.678,51.513,81.046,94.659,96.424,63.225,78.399,85.447,109.019,108.993,62.878,42.618,56.125,423.267,94.679
2013-04-18,1045938834,94.679,0.0473,72151171083871.0,7744331,8414867,5655840,2040554,3427443,2278470,65441521961442.0,59328590569163.0,66834325803132.0,58735140355442.0,65764595218972.0,62399457227446.0,5631.0,7899.0,7308.0,5009.0,6864.0,5483.0,6780.0,7430.0,5957.0,4235.0,4342954.0,4484198.0,-44.421,0.001,0.041,0.043,48.66,56.181,572582902,970266127,1044360669,1132736215,1059377638,700105515,947166206,1196761330,-221141155,882609311,48.886,58.757,-22.97,540.386,-23.158,-20.118,71137,82.485,88.185,119.615,52.395,87.863,94.664,96.312,63.917,85.758,86.345,105.42,108.731,79.377,48.753,58.612,518.736,106.7
2013-04-19,1179129473,106.7,0.0534,59918797331804.0,7884991,8694581,5748904,2024487,3525530,1969238,64903024476464.0,59835876327805.0,65105443685300.0,58811505321659.0,65191888218748.0,62437535083100.0,5608.0,7630.0,7286.0,5048.0,6821.0,5499.0,6553.0,7358.0,5983.0,4214.0,4376977.0,4439211.0,-37.715,0.001,0.047,0.049,52.359,57.445,583869469,1074697800,1078052870,1138921982,1067103563,710633514,1081279618,1201792822,160187142,1015791030,52.765,60.38,-16.633,621.893,-6.805,-6.901,71882,93.038,90.221,118.046,53.41,97.281,97.673,96.982,64.857,97.865,90.974,103.698,109.151,91.401,52.623,60.23,597.454,114.48
2013-04-20,1265497456,114.48,0.0572,64763702820794.0,7977940,8834439,5840570,1970245,3616489,1301296,65167428975407.0,60239166812288.0,65020008469174.0,59195518063539.0,65187993925759.0,62755459372970.0,5650.0,7485.0,7293.0,5099.0,6825.0,5530.0,6454.0,7332.0,6024.0,4191.0,4370125.0,4391660.0,-22.82,0.001,0.053,0.054,54.637,58.233,596110754,1170097628,1124914017,1155798712,1079903169,722828326,1200115025,1211216981,180112604,1101715612,55.142,61.377,-14.194,672.673,-7.777,-10.984,71939,105.286,92.513,116.643,54.512,105.881,101.875,98.111,65.948,108.586,97.039,103.222,109.969,99.145,54.992,61.222,646.552,114.295
2013-04-21,1263886915,114.295,0.0571,76580830433678.0,8070890,8904367,5930837,1874516,3700845,1301296,67302308871163.0,60968235219997.0,67910213960300.0,60317151119677.0,66731759618579.0,63809760251770.0,5770.0,7285.0,7281.0,5147.0,6812.0,5553.0,6338.0,7289.0,6057.0,4161.0,4381589.0,4328140.0,-29.703,0.001,0.056,0.057,54.57,58.207,608275600,1216992271,1159657241,1170210473,1091773088,734719723,1250297522,1219319236,250738542,1094836167,55.086,61.348,-19.138,647.638,25.086,51.688,71894,111.825,95.72,114.659,55.606,110.088,104.98,99.155,67.01,113.091,102.484,102.909,110.665,98.471,54.922,61.185,622.331,113.535
2013-04-22,1255982265,113.535,0.0568,72513318955570.0,8163840,8939332,6019707,1730429,3779040,1301296,68805013535478.0,61639328267843.0,69060990209117.0,61104000657476.0,67601087440168.0,64554604363742.0,5798.0,6995.0,7262.0,5183.0,6764.0,5565.0,6175.0,7210.0,6077.0,4135.0,4417617.0,4274100.0,-40.129,0.001,0.057,0.057,54.276,58.1,620254784,1236487268,1183738497,1181646712,1102367228,746176043,1260203013,1225738880,294802273,1078126516,54.794,61.204,-30.223,606.18,16.172,23.351,72329,114.103,99.495,111.086,56.683,111.811,107.118,100.083,68.033,113.945,106.938,102.759,111.208,96.892,54.613,61.033,582.217,120.78
2013-04-23,1336598030,120.78,0.0604,72944892922583.0,8256789,8956814,6107179,1669036,3850125,1301296,69503618783246.0,62062037608891.0,70031965887484.0,61867929190709.0,68440670977491.0,65283995631790.0,6100.0,6545.0,7326.0,5234.0,6782.0,5597.0,6183.0,7197.0,6118.0,4114.0,4262260.0,4231763.0,-47.157,0.001,0.058,0.059,56.67,58.832,633083834,1286542649,1221953380,1202306887,1117478893,759152350,1297607589,1236154772,508240537,1154614534,57.284,62.121,-37.865,634.461,17.379,31.702,72788,116.203,106.029,105.756,57.836,116.296,110.534,101.418,69.192,117.284,112.259,104.052,112.112,103.757,57.091,61.945,609.532,134.8
2013-04-24,1492314913,134.8,0.0674,74219362802875.0,8349739,8965555,6193238,1710781,3910624,1301296,70441725193025.0,62799196553838.0,71078815116332.0,62664795875365.0,69375581459360.0,66068339192692.0,6452.0,6200.0,7414.0,5282.0,6827.0,5638.0,6307.0,7206.0,6167.0,4117.0,4048582.0,4236623.0,-39.298,0.001,0.062,0.063,60.932,60.195,647652576,1389428781,1289543764,1240974624,1141661862,775265813,1401020511,1255266663,633903294,1311186780,61.675,63.793,-24.089,723.9,7.443,10.58,73441,123.038,114.181,102.634,59.145,125.548,116.6,103.572,70.634,126.582,119.452,107.924,113.799,117.862,61.475,63.61,695.867,139.74
2013-04-25,1547569552,139.74,0.0699,71363029014717.0,8442689,8969925,6277830,1738309,3965714,1301296,70329133468860.0,63503455441715.0,71149868590928.0,63225972206936.0,69891429731746.0,66620844512749.0,6975.0,6303.0,7517.0,5347.0,6937.0,5702.0,6618.0,7278.0,6239.0,4136.0,3951992.0,4276867.0,20.394,0.001,0.066,0.067,62.338,60.658,662848016,1468499167,1354050211,1281853948,1167849455,792239522,1493989419,1276361910,501630718,1367589564,63.124,64.357,22.137,759.856,-0.706,-0.768,73822,131.773,120.618,104.402,60.511,132.644,122.385,105.905,72.153,134.933,125.841,112.872,115.664,122.916,62.913,64.169,730.599,132.945
2013-04-26,1472883529,132.945,0.0665,79161241475573.0,8535639,8972111,6360955,1752289,4015615,1301296,73078054060827.0,64618876885426.0,73152711812089.0,64254054095235.0,71394884899802.0,67631024256869.0,7125.0,6367.0,7566.0,5391.0,6957.0,5736.0,6744.0,7261.0,6281.0,4131.0,3851778.0,4266292.0,13.961,0.001,0.068,0.068,59.183,59.691,677172306,1470691348,1383758540,1307324559,1187529073,807198731,1501017434,1290999205,293754055,1289186095,59.832,63.014,44.55,701.799,-0.508,-0.553,74094,135.828,124.368,107.294,61.797,132.794,125.025,107.65,73.489,135.519,128.923,116.677,116.944,115.778,59.617,62.827,674.464,126.316
2013-04-27,1399986806,126.316,0.0632,72946223747758.0,8628588,8973203,6442615,1753046,4060520,1301296,74246985621822.0,65267722170458.0,73101089796006.0,64814839234108.0,71922309497017.0,68168272441535.0,7060.0,6355.0,7532.0,5430.0,6923.0,5751.0,6753.0,7188.0,6304.0,4103.0,3892969.0,4208232.0,-2.487,0.001,0.067,0.065,56.196,58.766,690671853,1435339077,1387815607,1319679525,1201236023,820227040,1448882838,1299632658,134489350,1214959219,56.722,61.743,28.985,656.637,22.81,36.193,74186,133.0,126.058,109.286,63.009,129.555,125.348,108.854,74.65,130.763,129.41,119.214,117.681,109.032,56.507,61.557,630.826,124.045
2013-04-28,1375272701,124.045,0.062,71142720780228.0,8721538,8973750,6522807,1740597,4100593,1301296,73470112814186.0,65670122249032.0,72611497542062.0,65223089656438.0,72113711294565.0,68547304609908.0,7225.0,6497.0,7576.0,5484.0,6978.0,5796.0,6942.0,7203.0,6355.0,4097.0,3855075.0,4196867.0,34.488,0.001,0.064,0.063,55.168,58.453,703845028,1405305889,1384679880,1327091948,1212464196,832425846,1399779207,1305681665,111385786,1185585743,55.666,61.319,35.742,625.022,-1.038,-1.41,75150,127.768,127.451,111.586,64.19,126.8,125.022,109.834,75.736,126.285,128.907,121.182,118.185,106.332,55.44,61.129,600.305,130.56
2013-04-29,1448081487,130.56,0.0653,79016812809824.0,8814488,8974023,6601533,1714654,4135974,1301296,74399183364794.0,66367077934285.0,74212826359002.0,66113007279237.0,73264458223519.0,69408381420281.0,7397.0,6597.0,7598.0,5528.0,6996.0,5828.0,7044.0,7183.0,6394.0,4088.0,3826482.0,4177618.0,23.833,0.001,0.063,0.064,57.565,59.086,717728148,1426693688,1400530282,1343223887,1227665312,845956739,1415796111,1315511796,192099222,1249480838,58.139,62.094,50.657,629.142,5.836,6.832,75410,126.974,129.884,114.689,65.435,128.68,126.407,111.171,76.94,127.681,129.684,123.711,119.028,112.021,57.896,61.898,604.245,134.465
