Date,bitcoin-price_raw,bitcoin-hashrate_raw,bitcoin-mining_profitability_raw,difficulty-btc-sma-14,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-wma-3,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-std-3,difficulty-btc-std-30,difficulty-btc-std-90,difficulty-btc-mom-7,difficulty-btc-var-30,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-roc-7,hashrate-btc-sma-3,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-ema-3,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-3,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-14,hashrate-btc-std-90,hashrate-btc-var-14,hashrate-btc-var-30,hashrate-btc-trx-30,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-30,mining_profitability-btc-mom-90,mining_profitability-btc-var-30,mining_profitability-btc-var-90,mining_profitability-btc-trx-14,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,sentinusd-btc-sma-7,sentinusd-btc-sma-14,sentinusd-btc-sma-30,sentinusd-btc-sma-90,sentinusd-btc-ema-30,sentinusd-btc-std-30,sentinusd-btc-std-90,sentinusd-btc-var-30,sentinusd-btc-var-90,sentinusd-btc-trx-30,sentinusd-btc-trx-90,transactionfees-btc-sma-14,transactionfees-btc-sma-30,transactionfees-btc-wma-30,transactionfees-btc-var-3,transactionfees-btc-var-7,transactionfees-btc-trx-3,transactionfees-btc-trx-14,transactionfees-btc-trx-30,transactionfees-btc-trx-90,transactionfees-btc-roc-90,median_transaction_fee-btc-std-90,median_transaction_fee-btc-trx-14,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,median_transaction_fee-btc-roc-90,confirmationtime-btc-sma-30,confirmationtime-btc-std-30,confirmationtime-btc-var-30,confirmationtime-btc-trx-14,confirmationtime-btc-trx-90,marketcap-btc-trx-14,marketcap-btc-trx-30,marketcap-btc-trx-90,transactionvalue-btc-sma-7,transactionvalue-btc-sma-14,transactionvalue-btc-sma-90,transactionvalue-btc-ema-7,transactionvalue-btc-ema-30,transactionvalue-btc-ema-90,transactionvalue-btc-wma-30,transactionvalue-btc-trx-14,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-wma-14,mediantransactionvalue-btc-std-7,mediantransactionvalue-btc-std-14,mediantransactionvalue-btc-std-30,mediantransactionvalue-btc-var-7,mediantransactionvalue-btc-var-30,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-30,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-14,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-14,fee_to_reward-btc-std-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-14,fee_to_reward-btc-var-30,fee_to_reward-btc-var-90,fee_to_reward-btc-trx-14,fee_to_reward-btc-trx-30,fee_to_reward-btc-trx-90,size-btc-sma-7,size-btc-sma-90,size-btc-ema-7,size-btc-wma-7,size-btc-wma-14,size-btc-wma-90,size-btc-std-30,size-btc-std-90,size-btc-var-30,size-btc-var-90,size-btc-trx-30,size-btc-trx-90,transactions-btc-sma-90,transactions-btc-trx-7,transactions-btc-trx-30,sentbyaddress-btc-sma-14,sentbyaddress-btc-std-90,sentbyaddress-btc-var-90,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-ema-90,top100cap-btc-wma-14,top100cap-btc-wma-30,top100cap-btc-wma-90,top100cap-btc-std-30,top100cap-btc-std-90,top100cap-btc-var-30,top100cap-btc-var-90,top100cap-btc-trx-14,top100cap-btc-trx-30,top100cap-btc-trx-90,top100cap-btc-rsi-7,top100cap-btc-rsi-30,top100cap-btc-roc-30,activeaddresses-btc-sma-30,activeaddresses-btc-sma-90,activeaddresses-btc-wma-90,activeaddresses-btc-var-30,activeaddresses-btc-trx-90,price-btc-sma-14,price-btc-std-30,price-btc-mom-30,price-btc-trx-3,price-btc-trx-30,price-btc-trx-90,bitcoin-price_raw_90d
2013-04-01,94.715,65502112131790.0,7220.0,5956136,5182950,3906368,6690038,6526779,6096133,5385392,6695826,6695826,6368099,5652157,4430808,291547.0,1899346,2161986,309232.0,901878886924.0,1.046,0.271,4.618,59387909975187.0,55235596298287.0,53495262808157.0,44956251399826.0,60545619812057.0,53347760970783.0,46935502677847.0,35799562131248.0,60620238288447.0,49808994690260.0,37564285480092.0,11490406893431.0,22738053510663.0,3.3007362644153e+25,9.2668416192271e+25,1.373,0.372,6932.0,6562.0,6279.0,5449.0,3913.0,6990.0,6242.0,5603.0,4403.0,7035.0,5894.0,4650.0,2048.0,4974.0,1048771.0,1929846.0,1.522,1.215,0.091,139714681,114652550,91370923,50015639,97859408,99974157,83568369,2498708038563228.0,1745918089683000.0,3.029,0.276,0.072,0.056,0.065,0.001,0.001,1.552,3.644,2.712,1.218,624.061,0.023,2.987,2.482,1.11,606.456,8.4,2.341,1.37,-0.129,-0.057,3.675,2.586,1.097,2821,2385,1039,2644,2019,1335,2254,3.688,26.683,31.061,55.935,14.73,17.452,31.265,54.242,244.368,2.119,0.207,1.154,1.279,1.237,1.215,1.157,1.205,1.245,0.555,1.147,0.956,0.077,0.329,0.229,-0.381,0.05,0.742,168568,154528,158345,163582,158761,156022,61285,50776,938951276,644540075,-0.019,0.334,52541,0.437,0.092,48248,10848,29422322,0.406,0.253,19.501,19.706,19.568,19.428,0.367,0.322,0.034,0.026,0.063,0.011,-0.057,77.854,65.405,3.6,64764,57136,60273,106005219,0.27,73.635,37.068,61.597,3.723,2.538,1.025,89.829
2013-04-02,107.749,61845596902013.0,7990.0,6088148,5260549,3947659,6692932,6569041,6176092,5469936,6695826,6695826,6466725,5749761,4492115,291547.0,1949365,2230475,309232.0,950005633515.0,1.085,0.279,4.618,60633728191775.0,56894215515944.0,54665535479792.0,45919538052526.0,61195608357035.0,54480805761613.0,47897444240696.0,36372002455880.0,61849081751860.0,50898629883949.0,38225151777783.0,11315233330806.0,23513282442924.0,3.2008626332648e+25,9.6441421949099e+25,1.406,0.384,7394.0,6924.0,6503.0,5582.0,3977.0,7490.0,6475.0,5757.0,4482.0,7564.0,6058.0,4740.0,2170.0,5757.0,1177343.0,2079147.0,1.605,1.241,0.104,160510202,126344266,99082516,52609580,108146320,113391979,94000481,3214435238744518.0,2209022600061440.8,3.121,0.312,0.075,0.059,0.068,0.001,0.001,3.267,3.733,2.777,1.251,869.772,0.024,3.127,2.534,1.139,716.218,8.367,2.337,1.366,-0.129,-0.059,3.792,2.665,1.129,3064,2545,1081,3083,2172,1403,2417,3.769,27.577,32.466,61.272,28.777,26.981,35.145,207.029,308.786,2.21,0.23,1.163,1.286,1.243,1.223,1.161,1.229,1.248,0.563,1.145,0.953,0.079,0.328,0.227,-0.33,0.038,0.733,170577,155210,162620,165301,162174,156482,61721,50230,952368214,630754328,-0.015,0.331,52806,0.587,0.086,49382,11689,34157477,0.432,0.256,19.513,19.764,19.602,19.442,0.408,0.345,0.042,0.03,0.074,0.014,-0.056,80.298,66.711,3.498,66291,57678,61036,116511566,0.274,77.661,40.279,75.291,5.184,2.617,1.057,85.608
2013-04-03,120.003,60270367548897.0,8852.0,6220161,5338147,3988950,6694379,6600737,6245390,5549026,6695826,6695826,6547748,5842360,4552514,291547.0,1986041,2293952,309232.0,986089374520.0,1.122,0.288,4.618,62539358860900.0,58975896856611.0,55777688549531.0,46674364484225.0,60732987952966.0,55252747333251.0,48695697357354.0,36897241249133.0,61667401430421.0,51824489851457.0,38841863840867.0,10182774073258.0,24166298674113.0,2.5922221956753e+25,1.004435415887e+26,1.435,0.396,8021.0,7363.0,6645.0,5743.0,4050.0,8171.0,6792.0,5957.0,4578.0,8293.0,6269.0,4847.0,2388.0,6575.0,1426075.0,2305788.0,1.738,1.276,0.117,168111305,137048586,106494613,55179282,117439750,122981011,102642361,3781082247256207.0,2633863588145095.0,3.248,0.353,0.081,0.062,0.073,0.001,0.001,8.329,3.956,2.871,1.288,1028.0,0.025,3.319,2.599,1.17,808.284,8.373,2.335,1.363,-0.126,-0.061,3.958,2.756,1.163,3122,2697,1125,3432,2321,1470,2576,3.964,28.497,34.005,67.298,39.584,35.642,39.665,391.727,393.331,2.327,0.256,1.227,1.299,1.25,1.247,1.17,1.287,1.255,0.541,1.151,0.953,0.073,0.331,0.227,-0.212,0.036,0.725,169651,156056,168017,168709,166346,157119,62497,49584,976467593,614641815,-0.006,0.329,53046,0.871,0.084,51276,13162,43309807,0.468,0.26,19.523,19.81,19.632,19.454,0.437,0.364,0.048,0.033,0.085,0.017,-0.056,74.565,65.191,3.051,68078,58298,62124,163523465,0.279,82.108,44.695,86.649,6.968,2.707,1.09,83.204
2013-04-04,123.562,55272455140085.0,8777.0,6352174,5415745,4030241,6695103,6624509,6305448,5623013,6695826,6695826,6611170,5929952,4612006,291547.0,2010105,2352822,309232.0,1010130109937.0,1.154,0.296,4.618,59129473196998.0,59231838277080.0,55963936181944.0,47372797279589.0,58002721546526.0,55255375040829.0,49120004311079.0,37301092103880.0,58033949570014.0,52379205377642.0,39339807259569.0,10042649490131.0,24532541967280.0,2.5213702195409e+25,9.7331859112988e+25,1.456,0.407,8540.0,7555.0,6794.0,5910.0,4122.0,8474.0,7057.0,6139.0,4670.0,8671.0,6465.0,4951.0,2510.0,6518.0,1574429.0,2513253.0,1.884,1.316,0.132,180219729,144813868,111795343,57367531,124473962,129336259,108586735,4181966971339743.0,2947769732649600.0,3.379,0.396,0.087,0.066,0.078,0.001,0.001,10.577,4.254,2.985,1.328,1244.0,0.027,3.525,2.674,1.203,834.762,8.339,2.247,1.262,-0.09,-0.063,4.134,2.854,1.2,3363,2833,1165,3636,2446,1531,2712,4.155,29.741,35.968,75.667,53.483,47.437,47.626,715.096,567.056,2.481,0.285,1.3,1.315,1.261,1.292,1.187,1.383,1.271,0.627,1.173,0.963,0.098,0.344,0.232,0.014,0.049,0.717,176267,156943,181405,181688,174736,158559,65394,51353,1069093010,659287348,0.013,0.327,53249,1.234,0.089,53186,14643,53607673,0.514,0.264,19.534,19.852,19.661,19.467,0.459,0.383,0.053,0.037,0.094,0.02,-0.055,74.737,65.257,3.408,69795,58982,63235,212292466,0.284,86.363,48.85,86.935,7.181,2.805,1.126,81.424
2013-04-05,128.664,51815454745655.0,9950.0,6506275,5503651,4074968,6850081,6719647,6398730,5712177,6850442,6773134,6698222,6032489,4677386,291547.0,2049389,2423226,309232.0,1049998827349.0,1.184,0.305,4.618,55786092478212.0,58195372037459.0,55757270220747.0,47974562797815.0,54909088146090.0,54796719001473.0,49293904339116.0,37620089085017.0,54376940344342.0,52665828439969.0,39753796023936.0,10254314157412.0,24746657364734.0,2.6287739709724e+25,9.1452961351038e+25,1.468,0.419,9193.0,8052.0,7008.0,6087.0,4210.0,9212.0,7443.0,6385.0,4786.0,9376.0,6726.0,5079.0,2853.0,7877.0,2035077.0,2836428.0,2.074,1.368,0.147,196246808,154976440,116695551,59595584,131112830,135208527,114080731,4570336442425772.0,3253603293525400.0,3.507,0.441,0.091,0.067,0.081,0.001,0.001,6.964,4.452,3.093,1.37,1049.0,0.028,3.728,2.755,1.237,876.762,8.334,2.238,1.252,-0.04,-0.065,4.304,2.957,1.238,3695,3026,1205,3814,2568,1593,2847,4.321,30.977,37.929,83.582,60.924,55.711,53.912,927.921,726.635,2.658,0.317,1.319,1.232,1.267,1.301,1.193,1.4,1.274,0.627,0.672,0.96,0.098,0.113,0.23,0.199,0.063,0.71,178017,157741,183570,185138,178026,159287,65074,51155,1058645352,654198460,0.034,0.326,53491,1.386,0.095,54514,15788,62312782,0.564,0.269,19.54,19.866,19.678,19.477,0.464,0.392,0.054,0.038,0.1,0.023,-0.054,52.947,59.122,2.285,70824,59500,64138,241699636,0.29,90.858,52.973,89.674,6.652,2.907,1.164,78.461
2013-04-06,134.114,61828214750416.0,8923.0,6708086,5613822,4127116,7261540,6957985,6568632,5838682,7287490,7006384,6853785,6172446,4756464,815581.0,2146374,2526499,977174.0,1151730788639.0,1.216,0.314,14.594,56305374878719.0,58726810965768.0,56432105022907.0,48957293289103.0,58368651448253.0,55734251767998.0,50102569526942.0,38152135802938.0,57398001480444.0,53559612436911.0,40380708754402.0,10516744526294.0,25312859842570.0,2.7650478857832e+25,8.8743237956317e+25,1.479,0.431,9217.0,8384.0,7170.0,6217.0,4283.0,9068.0,7640.0,6548.0,4877.0,9241.0,6909.0,5183.0,2999.0,6611.0,2248623.0,3037954.0,2.225,1.419,0.163,197131177,160747888,120066807,61196359,132822859,134073592,115485795,4493932018598449.5,3334242195953900.0,3.588,0.486,0.093,0.069,0.084,0.001,0.001,1.726,4.475,3.173,1.411,626.386,0.03,3.916,2.84,1.274,922.051,8.328,2.232,1.246,0.009,-0.066,4.456,3.062,1.278,3805,3150,1239,3725,2626,1634,2919,4.329,31.783,39.077,86.141,51.27,53.993,54.471,657.16,741.764,2.811,0.35,1.318,1.213,1.267,1.278,1.187,1.351,1.267,0.629,0.671,0.96,0.099,0.113,0.23,0.254,0.068,0.702,173848,158385,177319,180275,176549,159305,62919,49700,989697975,617523242,0.052,0.324,53699,1.127,0.098,55165,15763,62117197,0.607,0.274,19.547,19.876,19.695,19.486,0.467,0.4,0.055,0.04,0.103,0.026,-0.053,52.989,59.132,2.292,71381,59954,64656,245738742,0.296,95.893,57.016,94.124,5.982,3.011,1.203,73.017
2013-04-07,142.08,62710014647861.0,9411.0,6857511,5723993,4179265,7467270,7136739,6715881,5957025,7561676,7204734,6982440,6305297,4834395,629741.0,2217375,2621567,977174.0,1229187540768.0,1.248,0.324,14.594,58784561381311.0,59892030838102.0,56606848019815.0,49888014119461.0,60539333048057.0,56664353485313.0,50915953083130.0,38691869403926.0,60600321365015.0,54446884782637.0,41016974443350.0,10841862131140.0,25919505474601.0,2.9386493617664e+25,8.7489647255807e+25,1.489,0.443,9428.0,8732.0,7477.0,6370.0,4360.0,9240.0,7876.0,6733.0,4977.0,9339.0,7115.0,5295.0,3162.0,6962.0,2498776.0,3286874.0,2.354,1.472,0.179,196574161,165829787,122750551,62405013,132461825,131287264,115946907,4309086448057972.0,3360921285754477.0,3.616,0.53,0.098,0.072,0.087,0.001,0.001,1.025,4.457,3.244,1.452,925.944,0.032,4.092,2.93,1.312,979.512,8.321,2.225,1.237,0.052,-0.068,4.595,3.168,1.321,3710,3236,1261,3405,2614,1652,2921,4.11,32.319,39.631,84.789,45.584,50.921,53.553,519.486,716.987,2.913,0.383,1.349,1.217,1.272,1.28,1.19,1.349,1.268,0.576,0.672,0.956,0.083,0.113,0.229,0.289,0.072,0.695,182074,159496,184342,188166,181001,160339,65397,49383,1069205906,609668881,0.074,0.323,53957,1.06,0.104,55315,15865,62923228,0.64,0.278,19.551,19.873,19.706,19.494,0.47,0.404,0.055,0.041,0.103,0.028,-0.052,45.356,56.711,1.339,72398,60321,65253,245649879,0.302,101.415,61.353,100.79,5.654,3.117,1.245,66.0
2013-04-08,163.561,63348133569501.0,10124.0,6927309,5834164,4229880,7570135,7270804,6843497,6067733,7673000,7368185,7091172,6431039,4911181,601205.5,2264835,2711968,977174.0,1282369083736.0,1.279,0.334,14.594,62628787655926.0,59584319614918.0,57409957956603.0,50810250348052.0,61943733308779.0,57555524163205.0,51718029243541.0,39233765319653.0,62882107459111.0,55315279585865.0,41657508084677.0,11052546653601.0,26548753749922.0,3.0539696882506e+25,8.5950357350694e+25,1.498,0.455,9486.0,9147.0,7854.0,6535.0,4453.0,9682.0,8176.0,6952.0,5090.0,9687.0,7357.0,5422.0,3402.0,8304.0,2893644.0,3575871.0,2.483,1.528,0.196,208307450,174011066,128434505,64431646,137461679,131132652,119753751,4298943128844980.0,3585240197880137.0,3.64,0.574,0.103,0.074,0.09,0.001,0.001,1.276,4.404,3.305,1.494,989.802,0.034,4.304,3.033,1.352,1120.0,8.346,2.251,1.267,0.105,-0.069,4.771,3.286,1.366,3917,3369,1297,3565,2706,1705,3022,3.945,33.565,41.631,92.047,43.953,55.454,58.47,482.967,854.698,3.035,0.418,1.347,1.216,1.274,1.274,1.19,1.327,1.266,0.578,0.672,0.954,0.084,0.113,0.228,0.287,0.073,0.687,190055,160005,187036,191427,183361,161122,66811,49894,1115915801,622354878,0.099,0.322,54213,1.012,0.111,56853,16667,69446512,0.677,0.283,19.554,19.856,19.712,19.499,0.47,0.408,0.055,0.042,0.1,0.03,-0.051,37.941,54.048,0.889,74390,60965,66430,287943484,0.309,108.159,68.074,120.4,6.915,3.234,1.289,69.751
2013-04-09,195.397,65111643775833.0,13352.0,6997107,5944335,4279029,7621567,7371353,6954098,6171299,7673000,7496738,7190598,6549674,4986854,572670.0,2290219,2798086,977174.0,1311275417545.0,1.308,0.344,14.594,63723263997732.0,60050897739750.0,58472556627847.0,51677790418136.0,63527688542306.0,58563006778222.0,52582133406915.0,39802509901107.0,64123535519064.0,56237950129593.0,42327366992383.0,10949074860693.0,27149681059982.0,2.9970560076263e+25,8.743302209472e+25,1.506,0.467,10963.0,9913.0,8419.0,6805.0,4578.0,11517.0,8866.0,7365.0,5272.0,11619.0,7797.0,5618.0,4155.0,11242.0,4316562.0,4379283.0,2.722,1.606,0.215,217869610,189189906,137541562,67789645,149512000,145523932,131209654,5294303707697924.0,4303993317407992.0,3.71,0.623,0.108,0.078,0.095,0.001,0.001,3.608,4.392,3.369,1.538,1292.0,0.037,4.608,3.161,1.397,1337.0,8.357,2.245,1.26,0.129,-0.07,5.043,3.427,1.416,4156,3610,1359,4192,2923,1801,3247,4.021,35.483,44.961,106.857,74.766,78.894,73.811,1397.0,1362.0,3.222,0.459,1.341,1.209,1.275,1.263,1.188,1.295,1.263,0.586,0.672,0.953,0.086,0.113,0.227,0.245,0.07,0.679,190581,160347,185059,188696,183337,161542,66511,49992,1105939032,624788508,0.122,0.321,54477,1.108,0.122,58710,17992,80927400,0.721,0.289,19.558,19.839,19.718,19.506,0.465,0.413,0.054,0.043,0.095,0.032,-0.051,41.567,54.763,1.549,76227,61586,67553,321822032,0.317,116.995,78.796,150.978,9.62,3.375,1.338,73.549
2013-04-10,178.5,70206503841325.0,12305.0,7066905,6054505,4328179,7647284,7446765,7049951,6268182,7673000,7590391,7280717,6661200,5061446,544134.5,2294259,2878277,977174.0,1315906542194.0,1.335,0.355,14.594,66222093728887.0,61470345781525.0,60223121319068.0,52725657551404.0,66867096191816.0,60115473053303.0,53719189563974.0,40470729548145.0,67365155440861.0,57433350995605.0,43098468655225.0,10017080685539.0,28005325368815.0,2.5085476365151e+25,9.2225490332046e+25,1.518,0.48,11927.0,10406.0,8884.0,7054.0,4689.0,11911.0,9325.0,7683.0,5426.0,12290.0,8152.0,5788.0,4531.0,10026.0,5132843.0,4971618.0,2.957,1.69,0.235,243641626,205876465,150582704,72404772,167775652,175702618,151433519,7717852482570384.0,5733027655108845.0,3.852,0.679,0.115,0.083,0.101,0.001,0.001,8.273,4.515,3.457,1.585,350.16,0.04,4.852,3.289,1.445,1198.0,8.315,2.258,1.274,0.115,-0.072,5.253,3.567,1.468,4677,3900,1445,5175,3259,1940,3593,4.419,39.108,51.427,139.942,169.423,148.424,121.47,7176.0,3689.0,3.576,0.514,1.308,1.213,1.246,1.268,1.191,1.295,1.264,0.527,0.673,0.756,0.069,0.113,0.143,0.224,0.069,0.672,188329,160400,180905,183161,181719,161720,66465,50016,1104405178,625390165,0.141,0.32,54602,1.142,0.134,61072,19967,99673358,0.775,0.295,19.562,19.828,19.728,19.513,0.464,0.418,0.054,0.044,0.09,0.033,-0.05,48.31,56.115,1.646,78891,62389,69133,406710904,0.325,124.085,84.519,133.379,7.834,3.514,1.389,72.494
