Date,difficulty-btc-trx-90,hashrate-btc-trx-90,confirmationtime-btc-sma-90,transactionvalue-btc-sma-90,transactionvalue-btc-ema-90,transactionvalue-btc-wma-90,transactions-btc-var-30,sentbyaddress-btc-trx-90,top100cap-btc-sma-90,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-90,activeaddresses-btc-trx-90,bitcoin-price_raw_1d
2013-04-01,0.271,0.372,9.146,1039,1335,1380,74247499,0.253,19.396,19.545,19.501,19.428,0.27,107.749
2013-04-02,0.279,0.384,9.13,1081,1403,1454,76789294,0.256,19.401,19.576,19.513,19.442,0.274,120.003
2013-04-03,0.288,0.396,9.123,1125,1470,1528,76727861,0.26,19.405,19.602,19.523,19.454,0.279,123.562
2013-04-04,0.296,0.407,9.122,1165,1531,1597,81439397,0.264,19.41,19.627,19.534,19.467,0.284,128.664
2013-04-05,0.305,0.419,9.11,1205,1593,1667,80782038,0.269,19.413,19.64,19.54,19.477,0.29,134.114
2013-04-06,0.314,0.431,9.098,1239,1634,1716,76225007,0.274,19.416,19.653,19.547,19.486,0.296,142.08
2013-04-07,0.324,0.443,9.1,1261,1652,1743,78845320,0.278,19.418,19.66,19.551,19.494,0.302,163.561
2013-04-08,0.334,0.455,9.083,1297,1705,1804,80403360,0.283,19.421,19.662,19.554,19.499,0.309,195.397
2013-04-09,0.344,0.467,9.051,1359,1801,1909,73273707,0.289,19.424,19.665,19.558,19.506,0.317,178.5
2013-04-10,0.355,0.48,9.026,1445,1940,2058,75345573,0.295,19.429,19.672,19.562,19.513,0.325,115.0
2013-04-11,0.365,0.493,8.989,1486,1985,2115,79710752,0.303,19.438,19.705,19.576,19.53,0.335,92.446
2013-04-12,0.376,0.505,8.95,1514,2003,2143,79995518,0.31,19.446,19.733,19.589,19.545,0.344,98.435
2013-04-13,0.387,0.518,8.926,1538,2012,2163,79907573,0.317,19.456,19.759,19.601,19.561,0.353,91.849
2013-04-14,0.398,0.53,8.928,1549,1998,2159,78047862,0.323,19.466,19.784,19.613,19.576,0.361,87.108
2013-04-15,0.409,0.542,8.894,1560,1991,2162,62905985,0.329,19.479,19.823,19.63,19.596,0.37,75.043
2013-04-16,0.419,0.554,8.862,1576,1991,2171,52394940,0.336,19.494,19.868,19.649,19.619,0.378,77.734
2013-04-17,0.43,0.566,8.812,1596,1999,2189,46149014,0.342,19.507,19.901,19.665,19.639,0.387,94.679
2013-04-18,0.442,0.578,8.788,1722,2216,2415,45748251,0.348,19.52,19.935,19.682,19.659,0.395,106.7
2013-04-19,0.453,0.59,8.801,1755,2241,2450,41551302,0.354,19.534,19.967,19.698,19.679,0.403,114.48
2013-04-20,0.465,0.601,8.782,1779,2249,2469,44338031,0.359,19.549,20.004,19.717,19.701,0.41,114.295
2013-04-21,0.477,0.613,8.752,1802,2255,2486,49731354,0.364,19.564,20.037,19.735,19.722,0.417,113.535
2013-04-22,0.488,0.624,8.745,1840,2293,2533,52343484,0.369,19.578,20.068,19.752,19.743,0.424,120.78
2013-04-23,0.5,0.635,8.713,1865,2312,2562,51962594,0.374,19.592,20.098,19.769,19.764,0.43,134.8
2013-04-24,0.512,0.647,8.709,1909,2362,2622,51472378,0.378,19.605,20.111,19.781,19.78,0.436,139.74
2013-04-25,0.524,0.658,8.686,1944,2390,2660,49536226,0.383,19.618,20.129,19.794,19.797,0.443,132.945
2013-04-26,0.536,0.669,8.677,1971,2401,2681,49001091,0.388,19.63,20.148,19.808,19.814,0.448,126.316
2013-04-27,0.548,0.68,8.68,1992,2399,2688,54868952,0.391,19.639,20.149,19.816,19.826,0.453,124.045
2013-04-28,0.559,0.69,8.661,2004,2384,2682,62086958,0.395,19.648,20.151,19.824,19.838,0.459,130.56
2013-04-29,0.571,0.701,8.652,2048,2436,2743,62794121,0.398,19.655,20.145,19.829,19.847,0.464,134.465
2013-04-30,0.582,0.711,8.655,2065,2444,2760,60118962,0.4,19.662,20.141,19.835,19.857,0.469,124.662
2013-05-01,0.593,0.721,8.678,2092,2458,2781,59614011,0.402,19.669,20.142,19.842,19.868,0.473,111.049
2013-05-02,0.605,0.731,8.688,2106,2444,2775,58314583,0.404,19.678,20.147,19.85,19.88,0.477,102.694
2013-05-03,0.616,0.74,8.7,2118,2425,2764,57346461,0.406,19.687,20.152,19.858,19.892,0.48,105.04
