Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-transactionfees_raw,bitcoin-median_transaction_fee_raw,bitcoin-fee_to_reward_raw,bitcoin-mining_profitability_raw,top100cap-btc_raw,difficulty-btc-sma-3,difficulty-btc-sma-14,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-ema-30,difficulty-btc-wma-3,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-std-90,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-rsi-7,difficulty-btc-rsi-30,difficulty-btc-rsi-90,difficulty-btc-roc-90,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-30,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-mom-90,mining_profitability-btc-var-90,mining_profitability-btc-trx-14,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,mining_profitability-btc-rsi-90,mining_profitability-btc-roc-90,sentinusd-btc-ema-30,sentinusd-btc-std-90,sentinusd-btc-trx-90,transactionfees-btc-sma-3,transactionfees-btc-ema-7,transactionfees-btc-ema-30,transactionfees-btc-wma-3,transactionfees-btc-wma-7,transactionfees-btc-trx-30,transactionfees-btc-trx-90,transactionfees-btc-rsi-30,transactionfees-btc-rsi-90,transactionfees-btc-roc-30,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-sma-90,median_transaction_fee-btc-ema-3,median_transaction_fee-btc-wma-3,median_transaction_fee-btc-wma-7,median_transaction_fee-btc-wma-14,median_transaction_fee-btc-std-90,median_transaction_fee-btc-mom-90,median_transaction_fee-btc-trx-14,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-rsi-90,median_transaction_fee-btc-roc-90,confirmationtime-btc-sma-90,confirmationtime-btc-wma-90,confirmationtime-btc-std-90,marketcap-btc-sma-3,marketcap-btc-sma-7,marketcap-btc-sma-14,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-wma-30,marketcap-btc-std-30,marketcap-btc-std-90,marketcap-btc-mom-30,marketcap-btc-mom-90,marketcap-btc-var-14,marketcap-btc-var-30,marketcap-btc-var-90,marketcap-btc-trx-30,marketcap-btc-trx-90,marketcap-btc-rsi-30,marketcap-btc-rsi-90,marketcap-btc-roc-90,transactionvalue-btc-sma-30,transactionvalue-btc-ema-90,transactionvalue-btc-wma-90,transactionvalue-btc-std-14,transactionvalue-btc-std-90,transactionvalue-btc-var-14,transactionvalue-btc-var-30,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-ema-14,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-wma-7,mediantransactionvalue-btc-std-90,mediantransactionvalue-btc-var-90,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-roc-90,fee_to_reward-btc-sma-3,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-7,fee_to_reward-btc-ema-14,fee_to_reward-btc-ema-30,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-3,fee_to_reward-btc-wma-7,fee_to_reward-btc-wma-14,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-7,fee_to_reward-btc-std-14,fee_to_reward-btc-std-30,fee_to_reward-btc-var-14,fee_to_reward-btc-trx-90,size-btc-sma-30,size-btc-ema-30,size-btc-ema-90,size-btc-wma-3,size-btc-wma-7,size-btc-wma-14,size-btc-wma-30,size-btc-wma-90,size-btc-std-90,size-btc-var-90,size-btc-trx-30,transactions-btc-sma-7,transactions-btc-sma-90,transactions-btc-ema-30,transactions-btc-ema-90,transactions-btc-std-90,transactions-btc-var-90,transactions-btc-trx-30,sentbyaddress-btc-wma-90,sentbyaddress-btc-std-90,sentbyaddress-btc-var-14,sentbyaddress-btc-var-90,top100cap-btc-sma-3,top100cap-btc-sma-7,top100cap-btc-sma-14,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-3,top100cap-btc-ema-7,top100cap-btc-ema-14,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-3,top100cap-btc-wma-14,top100cap-btc-wma-90,top100cap-btc-std-90,top100cap-btc-mom-30,top100cap-btc-mom-90,top100cap-btc-var-90,top100cap-btc-trx-30,top100cap-btc-rsi-30,top100cap-btc-rsi-90,top100cap-btc-roc-90,activeaddresses-btc-ema-7,activeaddresses-btc-wma-90,price-btc-sma-3,price-btc-sma-14,price-btc-sma-90,price-btc-ema-3,price-btc-ema-7,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7,price-btc-wma-14,price-btc-wma-30,price-btc-std-14,price-btc-std-30,price-btc-std-90,price-btc-mom-90,price-btc-var-14,price-btc-var-30,price-btc-var-90,price-btc-trx-30,price-btc-trx-90,price-btc-rsi-30,price-btc-roc-30,price-btc-roc-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_90d,1d_binary_price_change,7d_binary_price_change,30d_binary_price_change,90d_binary_price_change
2013-04-01,1039517192,94.715,0.0777,0.0474,0.867,7220.0,19.962,6695826,5956136,5182950,3906368,6690038,6526779,5385392,6695826,6695826,6368099,5652157,4430808,2161986,1.93,1.046,0.271,99.999,97.889,91.841,124.72,53495262808157.0,44956251399826.0,31776180357082.0,57115545498179.0,53347760970783.0,46935502677847.0,35799562131248.0,49808994690260.0,37564285480092.0,19252887180085.0,22738053510663.0,9.2668416192271e+25,1.2925476936344e+26,1.373,6932.0,6562.0,5449.0,3913.0,6990.0,6648.0,6242.0,5603.0,4403.0,7035.0,6442.0,5894.0,4650.0,4974.0,1929846.0,1.522,1.215,0.091,54.763,221.516,97859408,83568369,0.276,0.089,0.082,0.06,0.086,0.086,2.712,1.218,56.924,55.785,155.409,0.045,0.017,0.045,0.046,0.044,0.04,0.023,0.041,2.987,2.482,65.414,606.456,9.146,8.698,2.697,991852178,931090321,806312686,352418998,997954603,929243159,824742386,669282203,1005258635,966815475,881124856,725365498,409268958,455860515,680338013,897213385,20266774602124288,4.187527004296205e+16,5.195220233693293e+16,2.586,1.097,93.977,91.946,630.491,1883,1335,1380,1325.0,1697.0,438600,1030745,-0.116,41.397,53.027,31.061,58.068,28.818,207.617,2.119,347.641,1.136,1.154,1.279,1.237,1.172,1.189,1.215,1.157,1.037,1.22,1.205,1.188,1.245,0.554,0.555,1.147,0.077,0.742,154996,154181,149099,150195,163582,158761,151140,156022,50776,644540075,-0.019,54327,52541,53711,51153,16078,64627438,0.092,41505,10848,23846595,29422322,19.921,19.799,19.59,19.499,19.396,19.906,19.799,19.671,19.545,19.501,19.922,19.706,19.428,0.322,0.694,0.426,0.026,0.011,65.405,50.301,2.183,74692,60273,90.406,73.635,32.485,90.961,84.752,39.444,91.616,88.156,80.404,66.298,25.772,37.068,41.348,81.308,166.051,343.518,427.406,2.538,1.025,93.774,185.993,606.456,107.749,163.561,89.829,1,1,1,0
2013-04-02,1183101461,107.749,0.105,0.0539,1.338,7990.0,20.024,6695826,6088148,5260549,3947659,6692932,6569041,5469936,6695826,6695826,6466725,5749761,4492115,2230475,1.948,1.085,0.279,99.999,97.889,91.841,124.72,54665535479792.0,45919538052526.0,32209968678589.0,58298058349138.0,54480805761613.0,47897444240696.0,36372002455880.0,50898629883949.0,38225151777783.0,19640918710600.0,23513282442924.0,9.6441421949099e+25,1.3821861281017e+26,1.406,7394.0,6924.0,5582.0,3977.0,7490.0,6984.0,6475.0,5757.0,4482.0,7564.0,6670.0,6058.0,4740.0,5757.0,2079147.0,1.605,1.241,0.104,55.757,257.863,108146320,94000481,0.312,0.092,0.088,0.063,0.094,0.091,2.777,1.251,61.462,58.315,288.8,0.049,0.017,0.05,0.05,0.047,0.042,0.024,0.047,3.127,2.534,67.414,716.218,9.13,8.672,2.708,1066526516,987933018,850756175,364007125,1090528032,992707735,872523596,702431833,1100883277,1029818260,931363359,761891508,444769123,485734098,830962611,1042931435,24130034807257856,4.945489328610125e+16,5.898440351722694e+16,2.665,1.129,95.152,93.08,744.047,2012,1403,1454,1673.0,1835.0,699432,1166540,-0.089,44.077,58.618,32.466,66.879,32.06,256.962,2.21,554.221,1.094,1.163,1.286,1.243,1.214,1.209,1.223,1.161,1.138,1.229,1.229,1.192,1.248,0.547,0.563,1.145,0.079,0.733,155608,155553,149678,158778,165301,162174,152459,156482,50230,630754328,-0.015,56353,52806,54317,51415,15980,63840999,0.086,41997,11689,36372129,34157477,19.944,19.861,19.639,19.522,19.401,19.965,19.855,19.718,19.576,19.513,19.974,19.764,19.442,0.345,0.677,0.427,0.03,0.014,66.711,50.893,2.179,78988,61036,97.171,77.661,33.536,99.355,90.501,40.945,100.288,93.861,84.952,69.605,28.113,40.279,44.05,94.548,197.592,405.594,485.111,2.617,1.057,94.987,231.964,716.218,120.003,195.397,85.608,1,1,1,0
2013-04-03,1318189886,120.003,0.133,0.06,1.596,8852.0,19.987,6695826,6220161,5338147,3988950,6694379,6600737,5549026,6695826,6695826,6547748,5842360,4552514,2293952,1.943,1.122,0.288,99.999,97.889,91.841,124.72,55777688549531.0,46674364484225.0,32616029589136.0,58791135649077.0,55252747333251.0,48695697357354.0,36897241249133.0,51824489851457.0,38841863840867.0,20044305085355.0,24166298674113.0,1.004435415887e+26,1.4600249790161e+26,1.435,8021.0,7363.0,5743.0,4050.0,8171.0,7451.0,6792.0,5957.0,4578.0,8293.0,6984.0,6269.0,4847.0,6575.0,2305788.0,1.738,1.276,0.117,56.831,288.861,117439750,102642361,0.353,0.105,0.099,0.067,0.114,0.102,2.871,1.288,65.489,60.746,361.681,0.054,0.018,0.055,0.056,0.051,0.045,0.025,0.053,3.319,2.599,69.112,808.284,9.123,8.652,2.714,1180269513,1052246046,899864027,377094375,1204358959,1074078272,931945768,742158159,1226714962,1112382477,993687854,805345883,493549055,522966667,956206879,1177852524,33865648882136320,6.089766752797075e+16,6.837353381290434e+16,2.756,1.163,95.925,93.897,839.301,2144,1470,1528,1939.0,1965.0,940396,1276352,-0.059,46.873,64.473,34.005,76.624,35.657,317.859,2.327,419.627,1.267,1.227,1.299,1.25,1.31,1.26,1.247,1.17,1.389,1.297,1.287,1.212,1.255,0.453,0.541,1.151,0.073,0.725,156259,157402,150437,173795,168709,166346,154304,157119,49584,614641815,-0.006,57881,53046,54926,51687,15982,63855681,0.084,42633,13162,57535955,43309807,19.991,19.906,19.68,19.542,19.405,19.976,19.888,19.754,19.602,19.523,19.995,19.81,19.454,0.364,0.592,0.366,0.033,0.017,65.191,50.53,1.864,86026,62124,107.489,82.108,34.722,109.679,97.877,42.682,111.703,101.342,90.598,73.541,33.32,44.695,47.421,106.79,277.562,499.422,562.186,2.707,1.09,95.785,259.795,808.284,123.562,178.5,83.204,1,1,0,0
2013-04-04,1357824968,123.562,0.141,0.0618,1.948,8777.0,19.99,6695826,6352174,5415745,4030241,6695103,6624509,5623013,6695826,6695826,6611170,5929952,4612006,2352822,1.917,1.154,0.296,99.999,97.889,91.841,124.72,55963936181944.0,47372797279589.0,32978965966943.0,57911465521829.0,55255375040829.0,49120004311079.0,37301092103880.0,52379205377642.0,39339807259569.0,19731382020831.0,24532541967280.0,9.7331859112988e+25,1.5046140384409e+26,1.456,8540.0,7555.0,5910.0,4122.0,8474.0,7782.0,7057.0,6139.0,4670.0,8671.0,7268.0,6465.0,4951.0,6518.0,2513253.0,1.884,1.316,0.132,56.71,288.561,124473962,108586735,0.396,0.126,0.11,0.072,0.132,0.113,2.985,1.328,66.506,61.387,325.724,0.059,0.019,0.058,0.06,0.054,0.048,0.027,0.055,3.525,2.674,69.578,834.762,9.122,8.657,2.714,1286372105,1111986416,946913769,390620653,1281091963,1145014946,988729661,781878598,1315492689,1188777207,1054749313,849301001,539459089,559483423,960150478,1217365028,43754363667288448,7.27540271846002e+16,7.825542515096218e+16,2.854,1.2,96.113,94.103,866.699,2244,1531,1597,2083.0,2068.0,1085025,1387167,-0.027,50.029,72.319,35.968,90.144,40.642,412.95,2.481,983.208,1.627,1.3,1.315,1.261,1.469,1.352,1.292,1.187,1.729,1.461,1.383,1.254,1.271,0.647,0.627,1.173,0.098,0.717,157161,161541,152000,201427,181688,174736,158518,158559,51353,659287348,0.013,58728,53249,55688,52017,16206,65661184,0.089,43319,14643,81043871,53607673,20.0,19.947,19.723,19.564,19.41,19.983,19.914,19.786,19.627,19.534,19.995,19.852,19.467,0.383,0.659,0.45,0.037,0.02,65.257,50.559,2.302,91742,63235,117.104,86.363,35.948,116.62,104.298,44.46,119.74,108.257,96.125,77.521,37.881,48.85,50.724,110.343,358.748,596.59,643.239,2.805,1.126,95.977,237.355,834.762,128.664,115.0,81.424,1,0,0,0
2013-04-05,1414392012,128.664,0.12,0.0643,1.432,9950.0,19.833,6798904,6506275,5503651,4074968,6850081,6719647,5712177,6850442,6773134,6698222,6032489,4677386,2423226,1.888,1.184,0.305,99.999,98.186,92.508,135.098,55757270220747.0,47974562797815.0,33303685514234.0,56387462827786.0,54796719001473.0,49293904339116.0,37620089085017.0,52665828439969.0,39753796023936.0,19126208338407.0,24746657364734.0,9.1452961351038e+25,1.5309926268188e+26,1.468,9193.0,8052.0,6087.0,4210.0,9212.0,8324.0,7443.0,6385.0,4786.0,9376.0,7689.0,6726.0,5079.0,7877.0,2836428.0,2.074,1.368,0.147,58.121,379.844,131112830,114080731,0.441,0.132,0.112,0.075,0.129,0.117,3.093,1.37,61.622,58.864,22.83,0.062,0.019,0.061,0.063,0.058,0.051,0.028,0.058,3.728,2.755,70.229,876.762,9.11,8.657,2.704,1363468955,1178437837,996612312,404780326,1347741988,1212359213,1045484641,822685915,1379502643,1264378606,1117079745,894840766,585022130,596666721,990920185,1274370485,53171160876601088,8.556272309817466e+16,8.90027940952962e+16,2.957,1.238,96.361,94.378,910.125,2341,1593,1667,2108.0,2170.0,1110469,1503864,0.006,53.308,79.367,37.929,101.867,45.16,509.864,2.658,797.696,1.659,1.319,1.232,1.267,1.46,1.363,1.301,1.193,1.631,1.474,1.4,1.261,1.274,0.648,0.627,0.672,0.098,0.71,157013,163382,152837,199591,185138,178026,160641,159287,51155,654198460,0.034,58604,53491,56045,52220,16024,64193454,0.095,43942,15788,97410265,62312782,19.937,19.943,19.757,19.578,19.413,19.908,19.893,19.792,19.64,19.54,19.911,19.866,19.477,0.392,0.443,0.29,0.038,0.023,59.122,49.033,1.485,93815,64138,124.076,90.858,37.231,122.642,110.389,46.311,125.52,115.097,101.765,81.643,41.76,52.973,54.087,115.491,435.977,701.54,731.342,2.907,1.164,96.233,229.992,876.762,134.114,92.446,78.461,1,0,0,0
2013-04-06,1474827634,134.114,0.101,0.0671,0.947,8923.0,19.833,7124628,6708086,5613822,4127116,7261540,6957985,5838682,7287490,7006384,6853785,6172446,4756464,2526499,1.885,1.216,0.314,100.0,98.62,93.644,157.515,56432105022907.0,48957293289103.0,33759925800740.0,57747650808443.0,55734251767998.0,50102569526942.0,38152135802938.0,53559612436911.0,40380708754402.0,18840725883715.0,25312859842570.0,8.8743237956317e+25,1.6018521835239e+26,1.479,9217.0,8384.0,6217.0,4283.0,9068.0,8474.0,7640.0,6548.0,4877.0,9241.0,7944.0,6909.0,5183.0,6611.0,3037954.0,2.225,1.419,0.163,56.491,285.864,132822859,115485795,0.486,0.121,0.109,0.077,0.114,0.115,3.173,1.411,57.603,56.7,173.006,0.064,0.02,0.064,0.065,0.061,0.054,0.03,0.06,3.916,2.84,70.901,922.051,9.098,8.651,2.699,1415681538,1252116292,1052259702,419616955,1411284811,1277976318,1102730374,864759574,1435181982,1338476055,1180841788,942148593,629729766,634738238,1040345240,1335296658,59944549751180288,9.913989447586125e+16,1.0072315767911875e+17,3.062,1.278,96.601,94.647,956.989,2423,1634,1716,1987.0,2215.0,987019,1477977,0.04,55.459,80.807,39.077,102.674,46.74,546.156,2.811,411.787,1.442,1.318,1.213,1.267,1.332,1.307,1.278,1.187,1.276,1.363,1.351,1.243,1.267,0.711,0.629,0.671,0.099,0.702,155571,163071,152963,179567,180275,176549,160741,159305,49700,617523242,0.052,57537,53699,55755,52205,15424,59472284,0.098,44178,15763,87879471,62117197,19.885,19.925,19.792,19.593,19.416,19.871,19.878,19.797,19.653,19.547,19.859,19.876,19.486,0.4,0.444,0.23,0.04,0.026,59.132,49.037,1.171,91133,64656,128.78,95.893,38.576,128.378,116.32,48.24,130.538,121.797,107.532,85.923,44.329,57.016,57.528,120.991,491.259,812.71,827.367,3.011,1.203,96.479,235.372,922.051,142.08,98.435,73.017,1,0,0,0
2013-04-07,1563013110,142.08,0.121,0.071,1.302,9411.0,19.767,7450353,6857511,5723993,4179265,7467270,7136739,5957025,7561676,7204734,6982440,6305297,4834395,2621567,1.89,1.248,0.324,100.0,98.62,93.644,157.515,56606848019815.0,49888014119461.0,34203852889091.0,58988241768298.0,56664353485313.0,50915953083130.0,38691869403926.0,54446884782637.0,41016974443350.0,18707180146223.0,25919505474601.0,8.7489647255807e+25,1.6795519101196e+26,1.489,9428.0,8732.0,6370.0,4360.0,9240.0,8709.0,7876.0,6733.0,4977.0,9339.0,8243.0,7115.0,5295.0,6962.0,3286874.0,2.354,1.472,0.179,57.07,284.158,132461825,115946907,0.53,0.114,0.112,0.08,0.114,0.118,3.244,1.452,60.369,58.303,242.65,0.067,0.021,0.068,0.069,0.064,0.057,0.032,0.064,4.092,2.93,71.841,979.512,9.1,8.644,2.697,1484077585,1335838037,1113279831,435428226,1487148960,1349235516,1164101405,909808190,1508847768,1416200260,1248942242,992908503,677702511,675664378,1114235739,1423014406,66425185414824960,1.148201734889614e+17,1.1413058805451376e+17,3.168,1.321,96.909,95.001,1016.0,2475,1652,1743,1741.0,2223.0,757413,1397038,0.073,56.682,78.605,39.631,95.455,47.111,554.859,2.913,300.925,1.227,1.349,1.217,1.272,1.324,1.307,1.28,1.19,1.206,1.36,1.349,1.249,1.268,0.685,0.576,0.672,0.083,0.695,157037,165803,154115,187239,188166,181001,163956,160339,49383,609668881,0.074,60331,53957,56247,52451,15284,58397618,0.104,44396,15865,86427867,62923228,19.811,19.914,19.82,19.602,19.418,19.819,19.85,19.793,19.66,19.551,19.8,19.873,19.494,0.404,0.261,0.141,0.041,0.028,56.711,48.404,0.72,90124,65253,134.952,101.415,40.008,135.229,122.76,50.303,137.188,128.822,113.691,90.515,46.645,61.353,61.227,128.918,543.945,941.058,937.173,3.117,1.245,96.797,244.103,979.512,163.561,91.849,66.0,1,0,0,0
2013-04-08,1799989332,163.561,0.123,0.0818,1.183,10124.0,19.689,7673000,6927309,5834164,4229880,7570135,7270804,6067733,7673000,7368185,7091172,6431039,4911181,2711968,1.894,1.279,0.334,100.0,98.62,93.644,146.116,57409957956603.0,50810250348052.0,34633063475243.0,60078214718599.0,57555524163205.0,51718029243541.0,39233765319653.0,55315279585865.0,41657508084677.0,18541883113718.0,26548753749922.0,8.5950357350694e+25,1.762090814185e+26,1.498,9486.0,9147.0,6535.0,4453.0,9682.0,9062.0,8176.0,6952.0,5090.0,9687.0,8596.0,7357.0,5422.0,8304.0,3575871.0,2.483,1.528,0.196,57.897,456.035,137461679,119753751,0.574,0.115,0.115,0.082,0.119,0.12,3.305,1.494,60.641,58.463,202.833,0.073,0.022,0.075,0.076,0.07,0.061,0.034,0.075,4.304,3.033,74.12,1120.0,9.083,8.648,2.673,1612610025,1444476915,1187783618,453843044,1643569146,1461923970,1248886462,967239231,1666803642,1532238083,1340503509,1056560996,751938281,730830417,1330709019,1657333580,85487888508019968,1.413527946427534e+17,1.3352827466677536e+17,3.286,1.366,97.53,95.761,1162.0,2583,1705,1804,1680.0,2296.0,705941,1372963,0.108,60.183,85.54,41.631,104.343,51.324,658.551,3.035,605.596,1.144,1.347,1.216,1.274,1.289,1.29,1.274,1.19,1.183,1.319,1.327,1.247,1.266,0.588,0.578,0.672,0.084,0.687,158313,167694,155017,192457,191427,183361,166413,161122,49894,622354878,0.099,61610,54213,56587,52650,15008,56310715,0.111,44947,16667,86261370,69446512,19.763,19.875,19.837,19.608,19.421,19.754,19.81,19.779,19.662,19.554,19.739,19.856,19.499,0.408,0.174,0.294,0.042,0.03,54.048,47.679,1.514,96066,66430,146.585,108.159,41.677,149.395,132.96,52.792,151.492,139.324,121.977,96.276,52.913,68.074,66.216,150.154,699.937,1159.0,1096.0,3.234,1.289,97.44,278.959,1120.0,195.397,87.108,69.751,1,0,0,0
2013-04-09,2151102847,195.397,0.144,0.0977,1.11,13352.0,19.714,7673000,6997107,5944335,4279029,7621567,7371353,6171299,7673000,7496738,7190598,6549674,4986854,2798086,1.891,1.308,0.344,100.0,98.62,93.644,136.125,58472556627847.0,51677790418136.0,35121378181982.0,61336571982907.0,58563006778222.0,52582133406915.0,39802509901107.0,56237950129593.0,42327366992383.0,18701125323864.0,27149681059982.0,8.743302209472e+25,1.8427629541468e+26,1.506,10963.0,9913.0,6805.0,4578.0,11517.0,10135.0,8866.0,7365.0,5272.0,11619.0,9329.0,7797.0,5618.0,11242.0,4379283.0,2.722,1.606,0.215,61.31,532.828,149512000,131209654,0.623,0.129,0.122,0.086,0.133,0.126,3.369,1.538,63.338,60.061,289.868,0.084,0.023,0.086,0.088,0.078,0.067,0.037,0.091,4.608,3.161,76.92,1337.0,9.051,8.628,2.646,1838035096,1582762827,1285347923,476135446,1897335997,1634218689,1369181980,1043617529,1936050053,1708894567,1468946073,1140004234,870274634,809883232,1667962182,2006316195,130677126534863616,1.893444844507342e+17,1.6397771221867283e+17,3.427,1.416,98.112,96.548,1386.0,2761,1801,1909,2133.0,2499.0,1137748,1634615,0.145,65.897,99.887,44.961,126.52,61.185,935.916,3.222,843.444,1.199,1.341,1.209,1.275,1.244,1.266,1.263,1.188,1.166,1.248,1.295,1.24,1.263,0.62,0.586,0.672,0.086,0.679,158105,168432,155546,188839,188696,183337,167756,161542,49992,624788508,0.122,62140,54477,57247,52961,15049,56620209,0.122,45662,17992,100595818,80927400,19.723,19.83,19.846,19.618,19.424,19.734,19.786,19.771,19.665,19.558,19.714,19.839,19.506,0.413,0.301,0.329,0.043,0.032,54.763,47.935,1.699,100069,67553,167.012,116.995,43.696,172.396,148.569,55.926,175.898,155.325,133.608,103.832,65.438,78.796,73.372,181.794,1071.0,1552.0,1346.0,3.375,1.338,98.043,339.904,1337.0,178.5,75.043,73.549,0,0,0,0
2013-04-10,1965870661,178.5,0.181,0.0892,1.34,12305.0,19.762,7673000,7066905,6054505,4328179,7647284,7446765,6268182,7673000,7590391,7280717,6661200,5061446,2878277,1.877,1.335,0.355,100.0,98.62,93.644,136.125,60223121319068.0,52725657551404.0,35644762825181.0,63554054947512.0,60115473053303.0,53719189563974.0,40470729548145.0,57433350995605.0,43098468655225.0,19206820698080.0,28005325368815.0,9.2225490332046e+25,1.9607456225329e+26,1.518,11927.0,10406.0,7054.0,4689.0,11911.0,10677.0,9325.0,7683.0,5426.0,12290.0,9847.0,8152.0,5788.0,10026.0,4971618.0,2.957,1.69,0.235,59.722,439.973,167775652,151433519,0.679,0.149,0.137,0.093,0.159,0.14,3.457,1.585,67.401,62.619,375.759,0.09,0.023,0.088,0.091,0.082,0.071,0.04,0.082,4.852,3.289,72.699,1198.0,9.026,8.595,2.66,1972320947,1675288652,1363767349,496351594,1931603329,1717131682,1448740471,1103117731,1999967835,1804671525,1559682438,1207909993,933615576,864916406,1474887822,1819453286,145165435848499456,2.179095110426944e+17,1.87020097431988e+17,3.567,1.468,86.938,87.849,1243.0,3006,1940,2058,3159.0,2864.0,2494634,2400528,0.188,76.337,131.789,51.427,181.691,88.13,1942.0,3.576,2520.0,1.211,1.308,1.213,1.246,1.268,1.276,1.268,1.191,1.237,1.244,1.295,1.248,1.264,0.59,0.527,0.673,0.069,0.672,158038,168432,155830,176450,183161,181719,168423,161720,50016,625390165,0.141,62129,54602,57662,53197,15166,57499297,0.134,46570,19967,135317838,99673358,19.722,19.798,19.852,19.628,19.429,19.748,19.78,19.77,19.672,19.562,19.734,19.828,19.513,0.418,0.32,0.413,0.044,0.033,56.115,48.425,2.133,108415,69133,179.152,124.085,45.527,175.448,156.052,58.62,181.642,163.972,141.809,109.974,68.953,84.519,78.344,164.748,1189.0,1786.0,1534.0,3.514,1.389,86.819,295.611,1198.0,115.0,77.734,72.494,0,0,0,0
