Date,bitcoin-median_transaction_fee_raw,bitcoin-fee_to_reward_raw,bitcoin-mining_profitability_raw,top100cap-btc_raw,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-rsi-90,difficulty-btc-roc-90,hashrate-btc-mom-90,hashrate-btc-trx-30,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-30,mining_profitability-btc-std-90,mining_profitability-btc-mom-30,mining_profitability-btc-var-30,mining_profitability-btc-trx-14,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,mining_profitability-btc-rsi-30,mining_profitability-btc-rsi-90,sentinusd-btc-trx-14,sentinusd-btc-trx-30,sentinusd-btc-trx-90,transactionfees-btc-wma-3,transactionfees-btc-std-30,transactionfees-btc-mom-90,transactionfees-btc-trx-30,transactionfees-btc-trx-90,transactionfees-btc-rsi-90,median_transaction_fee-btc-mom-90,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,median_transaction_fee-btc-rsi-14,median_transaction_fee-btc-rsi-30,median_transaction_fee-btc-rsi-90,median_transaction_fee-btc-roc-30,median_transaction_fee-btc-roc-90,confirmationtime-btc-sma-30,confirmationtime-btc-sma-90,confirmationtime-btc-ema-90,confirmationtime-btc-wma-30,confirmationtime-btc-std-30,confirmationtime-btc-var-30,confirmationtime-btc-trx-14,confirmationtime-btc-trx-30,marketcap-btc-var-30,marketcap-btc-trx-3,marketcap-btc-trx-14,marketcap-btc-trx-30,marketcap-btc-trx-90,marketcap-btc-rsi-7,marketcap-btc-rsi-14,marketcap-btc-rsi-30,marketcap-btc-rsi-90,marketcap-btc-roc-30,marketcap-btc-roc-90,transactionvalue-btc-wma-7,transactionvalue-btc-std-30,transactionvalue-btc-var-14,transactionvalue-btc-var-90,transactionvalue-btc-trx-30,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-7,mediantransactionvalue-btc-ema-7,mediantransactionvalue-btc-ema-14,mediantransactionvalue-btc-wma-14,mediantransactionvalue-btc-var-30,mediantransactionvalue-btc-trx-14,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-3,fee_to_reward-btc-sma-7,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-7,fee_to_reward-btc-ema-14,fee_to_reward-btc-ema-30,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-3,fee_to_reward-btc-wma-7,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-30,fee_to_reward-btc-trx-14,fee_to_reward-btc-trx-30,fee_to_reward-btc-trx-90,size-btc-sma-7,size-btc-sma-14,size-btc-sma-30,size-btc-sma-90,size-btc-ema-30,size-btc-ema-90,size-btc-wma-30,size-btc-wma-90,size-btc-std-30,size-btc-std-90,size-btc-var-30,size-btc-trx-30,size-btc-trx-90,transactions-btc-sma-30,transactions-btc-sma-90,transactions-btc-wma-30,transactions-btc-wma-90,transactions-btc-std-30,transactions-btc-std-90,transactions-btc-var-30,transactions-btc-trx-30,transactions-btc-trx-90,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,sentbyaddress-btc-wma-90,sentbyaddress-btc-std-30,sentbyaddress-btc-std-90,sentbyaddress-btc-var-30,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-sma-3,top100cap-btc-sma-14,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-3,top100cap-btc-ema-14,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-3,top100cap-btc-wma-7,top100cap-btc-wma-14,top100cap-btc-wma-30,top100cap-btc-wma-90,top100cap-btc-std-30,top100cap-btc-std-90,top100cap-btc-var-30,top100cap-btc-var-90,top100cap-btc-trx-14,top100cap-btc-trx-30,top100cap-btc-trx-90,top100cap-btc-roc-30,top100cap-btc-roc-90,activeaddresses-btc-wma-30,activeaddresses-btc-wma-90,activeaddresses-btc-std-30,activeaddresses-btc-var-30,activeaddresses-btc-var-90,activeaddresses-btc-trx-14,activeaddresses-btc-trx-30,activeaddresses-btc-trx-90,price-btc-trx-3,price-btc-trx-7,price-btc-trx-14,price-btc-trx-30,price-btc-trx-90,price-btc-rsi-7,price-btc-rsi-30,price-btc-rsi-90,price-btc-roc-30,price-btc-roc-90,bitcoin-price_raw_30d,bitcoin-price_raw_90d,1d_binary_price_change,7d_binary_price_change,30d_binary_price_change,90d_binary_price_change
2013-04-01,0.0474,0.867,7220.0,19.962,1.93,1.046,0.271,91.841,124.72,41170572602891.0,1.373,0.372,6932.0,6562.0,6279.0,5449.0,3913.0,6990.0,6648.0,6242.0,5603.0,4403.0,7035.0,6806.0,6442.0,5894.0,4650.0,2048.0,2778.0,3441.0,1048771.0,1.522,1.215,0.091,59.099,54.763,3.636,3.029,0.276,0.086,0.043,0.067,2.712,1.218,55.785,0.041,2.482,1.11,74.007,68.162,65.414,185.993,606.456,8.4,9.146,8.93,8.24,2.341,1.37,-0.129,-0.275,4.187527004296205e+16,3.762,3.675,2.586,1.097,97.077,95.218,93.977,91.946,189.415,630.491,2746,2031.0,438600,719749,3.059,-0.116,59.708,56.845,53.027,55.935,244.368,3.449,2.119,0.207,1.136,1.301,1.154,1.279,1.237,1.172,1.189,1.215,1.157,1.037,1.22,1.188,1.245,1.147,0.956,0.329,-0.381,0.05,0.742,168568,149845,154996,154528,154181,149099,151140,156022,61285,50776,938951276,-0.019,0.334,54216,52541,52842,54403,17233,16078,74247499,0.092,0.394,39879,44836,45856,41505,12929,10848,41786951,0.406,0.253,19.921,19.59,19.499,19.396,19.906,19.671,19.545,19.501,19.922,19.86,19.706,19.568,19.428,0.367,0.322,0.034,0.026,0.063,0.011,-0.057,3.6,2.183,68908,60273,20592,106005219,82659141,1.219,0.538,0.27,3.723,4.395,3.629,2.538,1.025,96.992,93.774,91.45,185.993,606.456,124.662,89.829,1,1,1,0
2013-04-02,0.0539,1.338,7990.0,20.024,1.948,1.085,0.279,91.841,124.72,39040948935635.0,1.406,0.384,7394.0,6924.0,6503.0,5582.0,3977.0,7490.0,6984.0,6475.0,5757.0,4482.0,7564.0,7164.0,6670.0,6058.0,4740.0,2170.0,2884.0,3981.0,1177343.0,1.605,1.241,0.104,61.39,55.757,3.89,3.121,0.312,0.094,0.045,0.094,2.777,1.251,58.315,0.047,2.534,1.139,78.528,71.179,67.414,231.964,716.218,8.367,9.13,8.909,8.212,2.337,1.366,-0.129,-0.272,4.945489328610125e+16,5.227,3.792,2.665,1.129,98.25,96.519,95.152,93.08,235.976,744.047,3140,2160.0,699432,841849,3.125,-0.089,63.554,66.372,58.618,61.272,308.786,3.531,2.21,0.23,1.094,1.322,1.163,1.286,1.243,1.214,1.209,1.223,1.161,1.138,1.229,1.192,1.248,1.145,0.953,0.328,-0.33,0.038,0.733,170577,152916,155608,155210,155553,149678,152459,156482,61721,50230,952368214,-0.015,0.331,54509,52806,53415,54635,17526,15980,76789294,0.086,0.392,40218,45961,47069,41997,13782,11689,47486125,0.432,0.256,19.944,19.639,19.522,19.401,19.965,19.718,19.576,19.513,19.974,19.917,19.764,19.602,19.442,0.408,0.345,0.042,0.03,0.074,0.014,-0.056,3.498,2.179,70657,61036,21588,116511566,93587018,1.27,0.569,0.274,5.184,4.543,3.745,2.617,1.057,98.201,94.987,92.645,231.964,716.218,111.049,85.608,1,1,1,0
2013-04-03,0.06,1.596,8852.0,19.987,1.943,1.122,0.288,91.841,124.72,36545481949172.0,1.435,0.396,8021.0,7363.0,6645.0,5743.0,4050.0,8171.0,7451.0,6792.0,5957.0,4578.0,8293.0,7645.0,6984.0,6269.0,4847.0,2388.0,3037.0,4836.0,1426075.0,1.738,1.276,0.117,63.741,56.831,4.28,3.248,0.353,0.114,0.051,0.121,2.871,1.288,60.746,0.053,2.599,1.17,81.743,73.612,69.112,79.898,808.284,8.373,9.123,8.894,8.203,2.335,1.363,-0.126,-0.268,6.089766752797075e+16,7.014,3.958,2.756,1.163,98.785,97.272,95.925,93.897,264.158,839.301,3494,2260.0,940396,964945,3.214,-0.059,69.235,75.413,64.473,67.298,393.331,3.763,2.327,0.256,1.267,1.292,1.227,1.299,1.25,1.31,1.26,1.247,1.17,1.389,1.297,1.212,1.255,1.151,0.953,0.331,-0.212,0.036,0.725,169651,158643,156259,156056,157402,150437,154304,157119,62497,49584,976467593,-0.006,0.329,54506,53046,54012,54876,17519,15982,76727861,0.084,0.391,40562,47459,48661,42633,16082,13162,64654761,0.468,0.26,19.991,19.68,19.542,19.405,19.976,19.754,19.602,19.523,19.995,19.948,19.81,19.632,19.454,0.437,0.364,0.048,0.033,0.085,0.017,-0.056,3.051,1.864,73293,62124,25575,163523465,119931071,1.403,0.611,0.279,6.968,4.91,3.911,2.707,1.09,98.752,95.785,93.508,259.795,808.284,102.694,83.204,1,1,0,0
2013-04-04,0.0618,1.948,8777.0,19.99,1.917,1.154,0.296,91.841,124.72,32664274002648.0,1.456,0.407,8540.0,7555.0,6794.0,5910.0,4122.0,8474.0,7782.0,7057.0,6139.0,4670.0,8671.0,7999.0,7268.0,6465.0,4951.0,2510.0,3171.0,5014.0,1574429.0,1.884,1.316,0.132,63.395,56.71,4.617,3.379,0.396,0.132,0.057,0.131,2.985,1.328,61.387,0.055,2.674,1.203,82.56,74.264,69.578,237.355,834.762,8.339,9.122,8.904,8.266,2.247,1.262,-0.09,-0.261,7.27540271846002e+16,7.226,4.134,2.854,1.2,98.9,97.446,96.113,94.103,241.441,866.699,3775,2356.0,1085025,1069102,3.307,-0.027,78.292,87.388,72.319,75.667,567.056,4.166,2.481,0.285,1.627,1.382,1.3,1.315,1.261,1.469,1.352,1.292,1.187,1.729,1.461,1.254,1.271,1.173,0.963,0.344,0.014,0.049,0.717,176267,165396,157161,156943,161541,152000,158518,158559,65394,51353,1069093010,0.013,0.327,54839,53249,54801,55177,18049,16206,81439397,0.089,0.389,40971,49026,50349,43319,18488,14643,85452388,0.514,0.264,20.0,19.723,19.564,19.41,19.983,19.786,19.627,19.534,19.995,19.969,19.852,19.661,19.467,0.459,0.383,0.053,0.037,0.094,0.02,-0.055,3.408,2.302,75926,63235,29141,212292466,146568407,1.58,0.663,0.284,7.181,5.235,4.087,2.805,1.126,98.869,95.977,93.724,237.355,834.762,105.04,81.424,1,0,0,0
2013-04-05,0.0643,1.432,9950.0,19.833,1.888,1.184,0.305,92.508,135.098,29224759256222.0,1.468,0.419,9193.0,8052.0,7008.0,6087.0,4210.0,9212.0,8324.0,7443.0,6385.0,4786.0,9376.0,8598.0,7689.0,6726.0,5079.0,2853.0,3368.0,5294.0,2035077.0,2.074,1.368,0.147,66.363,58.121,4.872,3.507,0.441,0.129,0.059,0.11,3.093,1.37,58.864,0.058,2.755,1.237,83.687,75.175,70.229,229.992,876.762,8.334,9.11,8.909,8.316,2.238,1.252,-0.04,-0.251,8.556272309817466e+16,6.695,4.304,2.957,1.238,99.05,97.675,96.361,94.378,233.999,910.125,4022,2453.0,1110469,1177635,3.4,0.006,86.938,96.837,79.367,83.582,726.635,4.619,2.658,0.317,1.659,1.389,1.319,1.232,1.267,1.46,1.363,1.301,1.193,1.631,1.474,1.261,1.274,0.672,0.96,0.113,0.199,0.063,0.71,178017,169640,157013,157741,163382,152837,160641,159287,65074,51155,1058645352,0.034,0.326,54793,53491,55212,55352,17976,16024,80782038,0.095,0.388,41318,50335,51813,43942,20202,15788,102026223,0.564,0.269,19.937,19.757,19.578,19.413,19.908,19.792,19.64,19.54,19.911,19.94,19.866,19.678,19.477,0.464,0.392,0.054,0.038,0.1,0.023,-0.054,2.285,1.485,77877,64138,31093,241699636,164680970,1.735,0.716,0.29,6.652,5.452,4.257,2.907,1.164,99.022,96.233,94.013,229.992,876.762,113.464,78.461,1,0,0,0
2013-04-06,0.0671,0.947,8923.0,19.833,1.885,1.216,0.314,93.644,157.515,41061625785494.0,1.479,0.431,9217.0,8384.0,7170.0,6217.0,4283.0,9068.0,8474.0,7640.0,6548.0,4877.0,9241.0,8816.0,7944.0,6909.0,5183.0,2999.0,3486.0,3902.0,2248623.0,2.225,1.419,0.163,61.824,56.491,4.858,3.588,0.486,0.114,0.059,0.087,3.173,1.411,56.7,0.06,2.84,1.274,84.815,76.109,70.901,235.372,922.051,8.328,9.098,8.907,8.348,2.232,1.246,0.009,-0.24,9.913989447586125e+16,6.022,4.456,3.062,1.278,99.188,97.892,96.601,94.647,239.445,956.989,3962,2431.0,987019,1226309,3.465,0.04,93.173,95.169,80.807,86.141,741.764,4.84,2.811,0.35,1.442,1.315,1.318,1.213,1.267,1.332,1.307,1.278,1.187,1.276,1.363,1.243,1.267,0.671,0.96,0.113,0.254,0.068,0.702,173848,172024,155571,158385,163071,152963,160741,159305,62919,49700,989697975,0.052,0.324,54291,53699,55003,55309,17461,15424,76225007,0.098,0.386,41563,50446,52114,44178,20243,15763,102441468,0.607,0.274,19.885,19.792,19.593,19.416,19.871,19.797,19.653,19.547,19.859,19.913,19.876,19.695,19.486,0.467,0.4,0.055,0.04,0.103,0.026,-0.053,2.292,1.171,78668,64656,31352,245738742,167334419,1.799,0.762,0.296,5.982,5.555,4.409,3.011,1.203,99.164,96.479,94.297,235.372,922.051,113.005,73.017,1,0,0,0
2013-04-07,0.071,1.302,9411.0,19.767,1.89,1.248,0.324,93.644,157.515,39953437951617.0,1.489,0.443,9428.0,8732.0,7477.0,6370.0,4360.0,9240.0,8709.0,7876.0,6733.0,4977.0,9339.0,9073.0,8243.0,7115.0,5295.0,3162.0,3626.0,4607.0,2498776.0,2.354,1.472,0.179,63.066,57.07,4.603,3.616,0.53,0.114,0.061,0.109,3.244,1.452,58.303,0.064,2.93,1.312,86.307,77.395,71.841,244.103,979.512,8.321,9.1,8.904,8.377,2.225,1.237,0.052,-0.229,1.148201734889614e+17,5.694,4.595,3.168,1.321,99.349,98.162,96.909,95.001,248.283,1016.0,3622,2364.0,757413,1235699,3.48,0.073,95.062,87.45,78.605,84.789,716.987,4.753,2.913,0.383,1.227,1.347,1.349,1.217,1.272,1.324,1.307,1.28,1.19,1.206,1.36,1.249,1.268,0.672,0.956,0.113,0.289,0.072,0.695,182074,177415,157037,159496,165803,154115,163956,160339,65397,49383,1069205906,0.074,0.323,54547,53957,55590,55522,17759,15284,78845320,0.104,0.384,41727,50513,52363,44396,20067,15865,100672517,0.64,0.278,19.811,19.82,19.602,19.418,19.819,19.793,19.66,19.551,19.8,19.874,19.873,19.706,19.494,0.47,0.404,0.055,0.041,0.103,0.028,-0.052,1.339,0.72,79682,65253,31346,245649879,174998891,1.813,0.803,0.302,5.654,5.606,4.547,3.117,1.245,99.329,96.797,94.67,244.103,979.512,110.375,66.0,1,0,0,0
2013-04-08,0.0818,1.183,10124.0,19.689,1.894,1.279,0.334,93.644,146.116,38628952753648.0,1.498,0.455,9486.0,9147.0,7854.0,6535.0,4453.0,9682.0,9062.0,8176.0,6952.0,5090.0,9687.0,9421.0,8596.0,7357.0,5422.0,3402.0,3782.0,4951.0,2893644.0,2.483,1.528,0.196,64.797,57.897,4.405,3.64,0.574,0.119,0.062,0.112,3.305,1.494,58.463,0.075,3.033,1.352,89.345,80.346,74.12,278.959,1120.0,8.346,9.083,8.913,8.44,2.251,1.267,0.105,-0.216,1.413527946427534e+17,6.957,4.771,3.286,1.366,99.599,98.658,97.53,95.761,283.564,1162.0,3706,2343.0,705941,1317457,3.493,0.108,104.438,98.242,85.54,92.047,854.698,4.813,3.035,0.418,1.144,1.392,1.347,1.216,1.274,1.289,1.29,1.274,1.19,1.183,1.319,1.247,1.266,0.672,0.954,0.113,0.287,0.073,0.687,190055,179311,158313,160005,167694,155017,166413,161122,66811,49894,1115915801,0.099,0.322,54752,54213,56040,55688,17934,15008,80403360,0.111,0.383,42067,51564,53573,44947,20552,16667,105592143,0.677,0.283,19.763,19.837,19.608,19.421,19.754,19.779,19.662,19.554,19.739,19.817,19.856,19.712,19.499,0.47,0.408,0.055,0.042,0.1,0.03,-0.051,0.889,1.514,82359,66430,33938,287943484,206269076,1.882,0.852,0.309,6.915,5.859,4.724,3.234,1.289,99.587,97.44,95.477,278.959,1120.0,109.595,69.751,1,0,0,0
2013-04-09,0.0977,1.11,13352.0,19.714,1.891,1.308,0.344,93.644,136.125,43948323606567.0,1.506,0.467,10963.0,9913.0,8419.0,6805.0,4578.0,11517.0,10135.0,8866.0,7365.0,5272.0,11619.0,10472.0,9329.0,7797.0,5618.0,4155.0,4185.0,8083.0,4316562.0,2.722,1.606,0.215,71.132,61.31,4.481,3.71,0.623,0.133,0.066,0.134,3.369,1.538,60.061,0.091,3.161,1.397,92.132,83.624,76.92,119.952,1337.0,8.357,9.051,8.897,8.429,2.245,1.26,0.129,-0.205,1.893444844507342e+17,9.664,5.043,3.427,1.416,99.759,99.062,98.112,96.548,345.233,1386.0,4245,2557.0,1137748,1560757,3.546,0.145,118.465,121.968,99.887,106.857,1362.0,5.217,3.222,0.459,1.199,1.36,1.341,1.209,1.275,1.244,1.266,1.263,1.188,1.166,1.248,1.24,1.263,0.672,0.953,0.113,0.245,0.07,0.679,190581,180579,158105,160347,168432,155546,167756,161542,66511,49992,1105939032,0.122,0.321,54524,54477,56817,55965,17120,15049,73273707,0.122,0.382,42470,53052,55222,45662,22177,17992,122951117,0.721,0.289,19.723,19.846,19.618,19.424,19.734,19.771,19.665,19.558,19.714,19.777,19.839,19.718,19.506,0.465,0.413,0.054,0.043,0.095,0.032,-0.051,1.549,1.699,84790,67553,35879,321822032,234652099,1.967,0.904,0.317,9.62,6.493,4.995,3.375,1.338,99.752,98.043,96.314,339.904,1337.0,108.42,73.549,0,0,0,0
2013-04-10,0.0892,1.34,12305.0,19.762,1.877,1.335,0.355,93.644,136.125,47104617887843.0,1.518,0.48,11927.0,10406.0,8884.0,7054.0,4689.0,11911.0,10677.0,9325.0,7683.0,5426.0,12290.0,11070.0,9847.0,8152.0,5788.0,4531.0,4459.0,7475.0,5132843.0,2.957,1.69,0.235,67.08,59.722,4.903,3.852,0.679,0.159,0.074,0.141,3.457,1.585,62.619,0.082,3.289,1.445,80.15,76.609,72.699,97.805,1198.0,8.315,9.026,8.867,8.377,2.258,1.274,0.115,-0.197,2.179095110426944e+17,7.874,5.253,3.567,1.468,80.11,84.586,86.938,87.849,300.395,1243.0,5237,3099.0,2494634,2050656,3.666,0.188,152.267,176.263,131.789,139.942,3689.0,6.392,3.576,0.514,1.211,1.323,1.308,1.213,1.246,1.268,1.276,1.268,1.191,1.237,1.244,1.248,1.264,0.673,0.756,0.113,0.224,0.069,0.672,188329,178990,158038,160400,168432,155830,168423,161720,66465,50016,1104405178,0.141,0.32,54676,54602,57409,56167,17360,15166,75345573,0.134,0.381,42930,55035,57384,46570,24551,19967,150691678,0.775,0.295,19.722,19.852,19.628,19.429,19.748,19.77,19.672,19.562,19.734,19.76,19.828,19.728,19.513,0.464,0.418,0.054,0.044,0.09,0.033,-0.05,1.646,2.133,88482,69133,40334,406710904,291393310,2.121,0.968,0.325,7.834,6.678,5.205,3.514,1.389,79.994,86.819,87.615,295.611,1198.0,110.54,72.494,0,0,0,0
