Date,bitcoin-median_transaction_fee_raw,bitcoin-fee_to_reward_raw,bitcoin-mining_profitability_raw,top100cap-btc_raw,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-rsi-14,difficulty-btc-rsi-90,difficulty-btc-roc-30,difficulty-btc-roc-90,hashrate-btc-trx-30,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-90,mining_profitability-btc-mom-90,mining_profitability-btc-var-90,mining_profitability-btc-trx-14,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,mining_profitability-btc-roc-90,sentinusd-btc-trx-90,transactionfees-btc-mom-90,transactionfees-btc-trx-30,transactionfees-btc-trx-90,transactionfees-btc-rsi-90,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-sma-7,median_transaction_fee-btc-wma-7,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,confirmationtime-btc-sma-30,confirmationtime-btc-sma-90,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,confirmationtime-btc-std-90,confirmationtime-btc-var-90,confirmationtime-btc-trx-90,marketcap-btc-std-30,marketcap-btc-trx-30,marketcap-btc-trx-90,marketcap-btc-rsi-30,marketcap-btc-rsi-90,marketcap-btc-roc-90,transactionvalue-btc-var-30,transactionvalue-btc-var-90,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-14,mediantransactionvalue-btc-ema-7,mediantransactionvalue-btc-std-14,mediantransactionvalue-btc-var-14,mediantransactionvalue-btc-var-30,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-3,fee_to_reward-btc-sma-7,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-3,fee_to_reward-btc-ema-7,fee_to_reward-btc-ema-14,fee_to_reward-btc-ema-30,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-3,fee_to_reward-btc-wma-7,fee_to_reward-btc-wma-14,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-14,fee_to_reward-btc-std-30,fee_to_reward-btc-mom-90,fee_to_reward-btc-var-14,fee_to_reward-btc-trx-30,fee_to_reward-btc-trx-90,fee_to_reward-btc-rsi-90,size-btc-sma-7,size-btc-sma-14,size-btc-sma-30,size-btc-sma-90,size-btc-ema-14,size-btc-ema-30,size-btc-ema-90,size-btc-wma-3,size-btc-wma-7,size-btc-wma-14,size-btc-wma-30,size-btc-wma-90,size-btc-trx-30,size-btc-trx-90,transactions-btc-sma-90,transactions-btc-ema-14,transactions-btc-wma-14,transactions-btc-wma-90,transactions-btc-std-90,transactions-btc-trx-30,transactions-btc-trx-90,sentbyaddress-btc-sma-90,sentbyaddress-btc-std-90,sentbyaddress-btc-trx-90,top100cap-btc-sma-3,top100cap-btc-sma-7,top100cap-btc-sma-14,top100cap-btc-sma-30,top100cap-btc-ema-3,top100cap-btc-ema-7,top100cap-btc-ema-14,top100cap-btc-ema-90,top100cap-btc-wma-3,top100cap-btc-wma-14,top100cap-btc-wma-90,top100cap-btc-std-90,top100cap-btc-mom-90,top100cap-btc-var-90,top100cap-btc-trx-14,top100cap-btc-trx-30,top100cap-btc-trx-90,top100cap-btc-rsi-30,top100cap-btc-rsi-90,top100cap-btc-roc-90,activeaddresses-btc-sma-30,activeaddresses-btc-sma-90,activeaddresses-btc-wma-90,activeaddresses-btc-std-90,activeaddresses-btc-trx-30,price-btc-std-7,price-btc-trx-30,price-btc-trx-90,price-btc-rsi-90,price-btc-roc-90,bitcoin-price_raw_90d,1d_binary_price_change,7d_binary_price_change,30d_binary_price_change,90d_binary_price_change
2013-04-01,0.0474,0.867,7220.0,19.962,1.93,1.046,0.271,99.825,91.841,53.297,124.72,1.373,0.372,6932.0,6562.0,5449.0,3913.0,6990.0,6648.0,6242.0,5603.0,4403.0,7035.0,6806.0,6442.0,5894.0,4650.0,1716.0,2778.0,4974.0,1929846.0,1.522,1.215,0.091,221.516,0.276,0.067,2.712,1.218,55.785,0.045,0.042,0.044,2.482,1.11,8.4,9.146,8.93,8.698,2.697,1.818,-0.057,409268958,2.586,1.097,93.977,91.946,630.491,1030745,719749,-0.116,54.928,56.845,17.452,76.139,244.368,2.119,0.207,1.136,1.301,1.154,1.279,1.237,1.06,1.172,1.189,1.215,1.157,1.037,1.22,1.205,1.188,1.245,0.555,1.147,0.241,0.077,0.05,0.742,49.775,168568,149845,154996,154528,155480,154181,149099,150195,163582,158761,151140,156022,-0.019,0.334,52541,53166,53635,54403,16078,0.092,0.394,39879,10848,0.253,19.921,19.799,19.59,19.499,19.906,19.799,19.671,19.501,19.922,19.706,19.428,0.322,0.426,0.026,0.063,0.011,-0.057,65.405,50.301,2.183,64764,57136,60273,18183,0.538,13.729,2.538,1.025,91.45,606.456,89.829,1,1,1,0
2013-04-02,0.0539,1.338,7990.0,20.024,1.948,1.085,0.279,99.825,91.841,53.297,124.72,1.406,0.384,7394.0,6924.0,5582.0,3977.0,7490.0,6984.0,6475.0,5757.0,4482.0,7564.0,7164.0,6670.0,6058.0,4740.0,1734.0,2884.0,5757.0,2079147.0,1.605,1.241,0.104,257.863,0.312,0.094,2.777,1.251,58.315,0.049,0.045,0.047,2.534,1.139,8.367,9.13,8.909,8.672,2.708,1.833,-0.059,444769123,2.665,1.129,95.152,93.08,744.047,1166540,841849,-0.089,57.343,66.372,26.981,181.992,308.786,2.21,0.23,1.094,1.322,1.163,1.286,1.243,1.199,1.214,1.209,1.223,1.161,1.138,1.229,1.229,1.192,1.248,0.563,1.145,0.504,0.079,0.038,0.733,50.838,170577,152916,155608,155210,158142,155553,149678,158778,165301,162174,152459,156482,-0.015,0.331,52806,54489,54994,54635,15980,0.086,0.392,40218,11689,0.256,19.944,19.861,19.639,19.522,19.965,19.855,19.718,19.513,19.974,19.764,19.442,0.345,0.427,0.03,0.074,0.014,-0.056,66.711,50.893,2.179,66291,57678,61036,19348,0.569,16.735,2.617,1.057,92.645,716.218,85.608,1,1,1,0
2013-04-03,0.06,1.596,8852.0,19.987,1.943,1.122,0.288,99.825,91.841,53.297,124.72,1.435,0.396,8021.0,7363.0,5743.0,4050.0,8171.0,7451.0,6792.0,5957.0,4578.0,8293.0,7645.0,6984.0,6269.0,4847.0,2113.0,3037.0,6575.0,2305788.0,1.738,1.276,0.117,288.861,0.353,0.121,2.871,1.288,60.746,0.054,0.048,0.051,2.599,1.17,8.373,9.123,8.894,8.652,2.714,1.841,-0.061,493549055,2.756,1.163,95.925,93.897,839.301,1276352,964945,-0.059,60.546,75.413,35.642,317.592,393.331,2.327,0.256,1.267,1.292,1.227,1.299,1.25,1.398,1.31,1.26,1.247,1.17,1.389,1.297,1.287,1.212,1.255,0.541,1.151,0.671,0.073,0.036,0.725,51.407,169651,158643,156259,156056,161618,157402,150437,173795,168709,166346,154304,157119,-0.006,0.329,53046,55726,56278,54876,15982,0.084,0.391,40562,13162,0.26,19.991,19.906,19.68,19.542,19.976,19.888,19.754,19.523,19.995,19.81,19.454,0.364,0.366,0.033,0.085,0.017,-0.056,65.191,50.53,1.864,68078,58298,62124,21903,0.611,24.268,2.707,1.09,93.508,808.284,83.204,1,1,0,0
2013-04-04,0.0618,1.948,8777.0,19.99,1.917,1.154,0.296,99.825,91.841,53.297,124.72,1.456,0.407,8540.0,7555.0,5910.0,4122.0,8474.0,7782.0,7057.0,6139.0,4670.0,8671.0,7999.0,7268.0,6465.0,4951.0,2382.0,3171.0,6518.0,2513253.0,1.884,1.316,0.132,288.561,0.396,0.131,2.985,1.328,61.387,0.059,0.051,0.054,2.674,1.203,8.339,9.122,8.904,8.657,2.714,1.841,-0.063,539459089,2.854,1.2,96.113,94.103,866.699,1387167,1069102,-0.027,65.817,87.388,47.437,562.561,567.056,2.481,0.285,1.627,1.382,1.3,1.315,1.261,1.673,1.469,1.352,1.292,1.187,1.729,1.461,1.383,1.254,1.271,0.627,1.173,0.948,0.098,0.049,0.717,52.17,176267,165396,157161,156943,169611,161541,152000,201427,181688,174736,158518,158559,0.013,0.327,53249,57195,57791,55177,16206,0.089,0.389,40971,14643,0.264,20.0,19.947,19.723,19.564,19.983,19.914,19.786,19.534,19.995,19.852,19.467,0.383,0.45,0.037,0.094,0.02,-0.055,65.257,50.559,2.302,69795,58982,63235,24213,0.663,29.164,2.805,1.126,93.724,834.762,81.424,1,0,0,0
2013-04-05,0.0643,1.432,9950.0,19.833,1.888,1.184,0.305,99.867,92.508,60.377,135.098,1.468,0.419,9193.0,8052.0,6087.0,4210.0,9212.0,8324.0,7443.0,6385.0,4786.0,9376.0,8598.0,7689.0,6726.0,5079.0,2886.0,3368.0,7877.0,2836428.0,2.074,1.368,0.147,379.844,0.441,0.11,3.093,1.37,58.864,0.062,0.054,0.058,2.755,1.237,8.334,9.11,8.909,8.657,2.704,1.828,-0.065,585022130,2.957,1.238,96.361,94.378,910.125,1503864,1177635,0.006,70.974,96.837,55.711,775.935,726.635,2.658,0.317,1.659,1.389,1.319,1.232,1.267,1.552,1.46,1.363,1.301,1.193,1.631,1.474,1.4,1.261,1.274,0.627,0.672,0.547,0.098,0.063,0.71,50.982,178017,169640,157013,157741,172338,163382,152837,199591,185138,178026,160641,159287,0.034,0.326,53491,57731,58458,55352,16024,0.095,0.388,41318,15788,0.269,19.937,19.943,19.757,19.578,19.908,19.893,19.792,19.54,19.911,19.866,19.477,0.392,0.29,0.038,0.1,0.023,-0.054,59.122,49.033,1.485,70824,59500,64138,25666,0.716,31.783,2.907,1.164,94.013,876.762,78.461,1,0,0,0
2013-04-06,0.0671,0.947,8923.0,19.833,1.885,1.216,0.314,99.915,93.644,75.669,157.515,1.479,0.431,9217.0,8384.0,6217.0,4283.0,9068.0,8474.0,7640.0,6548.0,4877.0,9241.0,8816.0,7944.0,6909.0,5183.0,3039.0,3486.0,6611.0,3037954.0,2.225,1.419,0.163,285.864,0.486,0.087,3.173,1.411,56.7,0.064,0.057,0.061,2.84,1.274,8.328,9.098,8.907,8.651,2.699,1.821,-0.066,629729766,3.062,1.278,96.601,94.647,956.989,1477977,1226309,0.04,74.44,95.169,53.993,728.799,741.764,2.811,0.35,1.442,1.315,1.318,1.213,1.267,1.25,1.332,1.307,1.278,1.187,1.276,1.363,1.351,1.243,1.267,0.629,0.671,-0.009,0.099,0.068,0.702,49.902,173848,172024,155571,158385,170502,163071,152963,179567,180275,176549,160741,159305,0.052,0.324,53699,56907,57829,55309,15424,0.098,0.386,41563,15763,0.274,19.885,19.925,19.792,19.593,19.871,19.878,19.797,19.547,19.859,19.876,19.486,0.4,0.23,0.04,0.103,0.026,-0.053,59.132,49.037,1.171,71381,59954,64656,25872,0.762,31.898,3.011,1.203,94.297,922.051,73.017,1,0,0,0
2013-04-07,0.071,1.302,9411.0,19.767,1.89,1.248,0.324,99.915,93.644,75.669,157.515,1.489,0.443,9428.0,8732.0,6370.0,4360.0,9240.0,8709.0,7876.0,6733.0,4977.0,9339.0,9073.0,8243.0,7115.0,5295.0,3016.0,3626.0,6962.0,3286874.0,2.354,1.472,0.179,284.158,0.53,0.109,3.244,1.452,58.303,0.067,0.061,0.064,2.93,1.312,8.321,9.1,8.904,8.644,2.697,1.819,-0.068,677702511,3.168,1.321,96.909,95.001,1016.0,1397038,1235699,0.073,76.177,87.45,50.921,648.241,716.987,2.913,0.383,1.227,1.347,1.349,1.217,1.272,1.276,1.324,1.307,1.28,1.19,1.206,1.36,1.349,1.249,1.268,0.576,0.672,0.45,0.083,0.072,0.695,50.676,182074,177415,157037,159496,175157,165803,154115,187239,188166,181001,163956,160339,0.074,0.323,53957,57770,58787,55522,15284,0.104,0.384,41727,15865,0.278,19.811,19.914,19.82,19.602,19.819,19.85,19.793,19.551,19.8,19.873,19.494,0.404,0.141,0.041,0.103,0.028,-0.052,56.711,48.404,0.72,72398,60321,65253,26457,0.803,29.732,3.117,1.245,94.67,979.512,66.0,1,0,0,0
2013-04-08,0.0818,1.183,10124.0,19.689,1.894,1.279,0.334,99.915,93.644,75.669,146.116,1.498,0.455,9486.0,9147.0,6535.0,4453.0,9682.0,9062.0,8176.0,6952.0,5090.0,9687.0,9421.0,8596.0,7357.0,5422.0,2922.0,3782.0,8304.0,3575871.0,2.483,1.528,0.196,456.035,0.574,0.112,3.305,1.494,58.463,0.073,0.066,0.07,3.033,1.352,8.346,9.083,8.913,8.648,2.673,1.786,-0.069,751938281,3.286,1.366,97.53,95.761,1162.0,1372963,1317457,0.108,82.073,98.242,55.454,768.788,854.698,3.035,0.418,1.144,1.392,1.347,1.216,1.274,1.229,1.289,1.29,1.274,1.19,1.183,1.319,1.327,1.247,1.266,0.578,0.672,0.214,0.084,0.073,0.687,50.411,190055,179311,158313,160005,177818,167694,155017,192457,191427,183361,166413,161122,0.099,0.322,54213,58271,59382,55688,15008,0.111,0.383,42067,16667,0.283,19.763,19.875,19.837,19.608,19.754,19.81,19.779,19.554,19.739,19.856,19.499,0.408,0.294,0.042,0.1,0.03,-0.051,54.048,47.679,1.514,74390,60965,66430,28724,0.852,33.071,3.234,1.289,95.477,1120.0,69.751,1,0,0,0
2013-04-09,0.0977,1.11,13352.0,19.714,1.891,1.308,0.344,99.915,93.644,75.669,136.125,1.506,0.467,10963.0,9913.0,6805.0,4578.0,11517.0,10135.0,8866.0,7365.0,5272.0,11619.0,10472.0,9329.0,7797.0,5618.0,3775.0,4185.0,11242.0,4379283.0,2.722,1.606,0.215,532.828,0.623,0.134,3.369,1.538,60.061,0.084,0.072,0.078,3.161,1.397,8.357,9.051,8.897,8.628,2.646,1.75,-0.07,870274634,3.427,1.416,98.112,96.548,1386.0,1634615,1560757,0.145,91.009,121.968,78.894,1556.0,1362.0,3.222,0.459,1.199,1.36,1.341,1.209,1.275,1.17,1.244,1.266,1.263,1.188,1.166,1.248,1.295,1.24,1.263,0.586,0.672,0.109,0.086,0.07,0.679,50.25,190581,180579,158105,160347,177993,168432,155546,188839,188696,183337,167756,161542,0.122,0.321,54477,59408,60560,55965,15049,0.122,0.382,42470,17992,0.289,19.723,19.83,19.846,19.618,19.734,19.786,19.771,19.558,19.714,19.839,19.506,0.413,0.329,0.043,0.095,0.032,-0.051,54.763,47.935,1.699,76227,61586,67553,30637,0.904,49.882,3.375,1.338,96.314,1337.0,73.549,0,0,0,0
2013-04-10,0.0892,1.34,12305.0,19.762,1.877,1.335,0.355,99.915,93.644,75.669,136.125,1.518,0.48,11927.0,10406.0,7054.0,4689.0,11911.0,10677.0,9325.0,7683.0,5426.0,12290.0,11070.0,9847.0,8152.0,5788.0,3964.0,4459.0,10026.0,4971618.0,2.957,1.69,0.235,439.973,0.679,0.141,3.457,1.585,62.619,0.09,0.076,0.082,3.289,1.445,8.315,9.026,8.867,8.595,2.66,1.768,-0.072,933615576,3.567,1.468,86.938,87.849,1243.0,2400528,2050656,0.188,110.751,176.263,148.424,5507.0,3689.0,3.576,0.514,1.211,1.323,1.308,1.213,1.246,1.255,1.268,1.276,1.268,1.191,1.237,1.244,1.295,1.248,1.264,0.527,0.673,-2.677,0.069,0.069,0.672,50.755,188329,178990,158038,160400,176719,168432,155830,176450,183161,181719,168423,161720,0.141,0.32,54602,59979,61153,56167,15166,0.134,0.381,42930,19967,0.295,19.722,19.798,19.852,19.628,19.748,19.78,19.77,19.562,19.734,19.828,19.513,0.418,0.413,0.044,0.09,0.033,-0.05,56.115,48.425,2.133,78891,62389,69133,34140,0.968,50.654,3.514,1.389,87.615,1198.0,72.494,0,0,0,0
