Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-std-30,difficulty-btc-var-30,hashrate-btc-ema-3,hashrate-btc-wma-3,hashrate-btc-var-14,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-wma-7,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-90,mining_profitability-btc-var-90,mining_profitability-btc-trx-7,mining_profitability-btc-roc-14,transactionfees-btc-mom-14,median_transaction_fee-btc-std-14,median_transaction_fee-btc-mom-14,median_transaction_fee-btc-rsi-14,median_transaction_fee-btc-rsi-90,confirmationtime-btc-trx-90,marketcap-btc-sma-90,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-wma-3,marketcap-btc-mom-7,marketcap-btc-trx-3,marketcap-btc-rsi-14,marketcap-btc-rsi-90,top100cap-btc-trx-14,price-btc-sma-3,price-btc-ema-3,price-btc-ema-7,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7,price-btc-wma-30,price-btc-rsi-14,price-btc-rsi-90,bitcoin-price_raw_1d
2013-04-01,1039517192,94.715,0.0474,65502112131790.0,1899346,901878886924.0,60545619812057.0,60620238288447.0,3.3007362644153e+25,6562.0,6279.0,6242.0,5603.0,6806.0,5894.0,4650.0,2778.0,1929846.0,1.855,55.716,0.037,0.013,0.024,74.007,65.414,-0.057,352418998,824742386,669282203,1005258635,282580870,3.762,95.218,91.946,0.063,90.406,90.961,84.752,39.444,91.616,88.156,66.298,95.075,91.45,107.749
2013-04-02,1183101461,107.749,0.0539,61845596902013.0,1949365,950005633515.0,61195608357035.0,61849081751860.0,3.2008626332648e+25,6924.0,6503.0,6475.0,5757.0,7164.0,6058.0,4740.0,2884.0,2079147.0,2.171,64.347,0.047,0.014,0.028,78.528,67.414,-0.059,364007125,872523596,702431833,1100883277,397898885,5.227,96.519,93.08,0.074,97.171,99.355,90.501,40.945,100.288,93.861,69.605,96.416,92.645,120.003
2013-04-03,1318189886,120.003,0.06,60270367548897.0,1986041,986089374520.0,60732987952966.0,61667401430421.0,2.5922221956753e+25,7363.0,6645.0,6792.0,5957.0,7645.0,6269.0,4847.0,3037.0,2305788.0,2.668,28.977,0.087,0.017,0.031,81.743,69.112,-0.061,377094375,931945768,742158159,1226714962,450191191,7.014,97.272,93.897,0.085,107.489,109.679,97.877,42.682,111.703,101.342,73.541,97.19,93.508,123.562
2013-04-04,1357824968,123.562,0.0618,55272455140085.0,2010105,1010130109937.0,58002721546526.0,58033949570014.0,2.5213702195409e+25,7555.0,6794.0,7057.0,6139.0,7999.0,6465.0,4951.0,3171.0,2513253.0,3.069,31.33,0.083,0.019,0.03,82.56,69.578,-0.063,390620653,988729661,781878598,1315492689,418182595,7.226,97.446,94.103,0.094,117.104,116.62,104.298,44.46,119.74,108.257,77.521,97.368,93.724,128.664
2013-04-05,1414392012,128.664,0.0643,51815454745655.0,2049389,1049998827349.0,54909088146090.0,54376940344342.0,2.6287739709724e+25,8052.0,7008.0,7443.0,6385.0,8598.0,6726.0,5079.0,3368.0,2836428.0,3.579,42.951,0.046,0.021,0.031,83.687,70.229,-0.065,404780326,1045484641,822685915,1379502643,465159946,6.695,97.675,94.378,0.1,124.076,122.642,110.389,46.311,125.52,115.097,81.643,97.602,94.013,134.114
2013-04-06,1474827634,134.114,0.0671,61828214750416.0,2146374,1151730788639.0,58368651448253.0,57398001480444.0,2.7650478857832e+25,8384.0,7170.0,7640.0,6548.0,8816.0,6909.0,5183.0,3486.0,3037954.0,3.707,34.137,0.038,0.022,0.035,84.815,70.901,-0.066,419616955,1102730374,864759574,1435181982,515749187,6.022,97.892,94.647,0.103,128.78,128.378,116.32,48.24,130.538,121.797,85.923,97.825,94.297,142.08
2013-04-07,1563013110,142.08,0.071,62710014647861.0,2217375,1229187540768.0,60539333048057.0,60600321365015.0,2.9386493617664e+25,8732.0,7477.0,7876.0,6733.0,9073.0,7115.0,5295.0,3626.0,3286874.0,3.702,83.748,0.07,0.023,0.039,86.307,71.841,-0.068,435428226,1164101405,909808190,1508847768,586052215,5.694,98.162,95.001,0.103,134.952,135.229,122.76,50.303,137.188,128.822,90.515,98.103,94.67,163.561
2013-04-08,1799989332,163.561,0.0818,63348133569501.0,2264835,1282369083736.0,61943733308779.0,62882107459111.0,3.0539696882506e+25,9147.0,7854.0,8176.0,6952.0,9421.0,7357.0,5422.0,3782.0,3575871.0,3.727,109.346,0.06,0.026,0.047,89.345,74.12,-0.069,453843044,1248886462,967239231,1666803642,760472140,6.957,98.658,95.761,0.1,146.585,149.395,132.96,52.792,151.492,139.324,96.276,98.616,95.477,195.397
2013-04-09,2151102847,195.397,0.0977,65111643775833.0,2290219,1311275417545.0,63527688542306.0,64123535519064.0,2.9970560076263e+25,9913.0,8419.0,8866.0,7365.0,10472.0,7797.0,5618.0,4185.0,4379283.0,4.363,144.858,0.078,0.033,0.062,92.132,76.92,-0.07,476135446,1369181980,1043617529,1936050053,968001386,9.664,99.062,96.548,0.095,167.012,172.396,148.569,55.926,175.898,155.325,103.832,99.033,96.314,178.5
2013-04-10,1965870661,178.5,0.0892,70206503841325.0,2294259,1315906542194.0,66867096191816.0,67365155440861.0,2.5085476365151e+25,10406.0,8884.0,9325.0,7683.0,11070.0,8152.0,5788.0,4459.0,4971618.0,4.775,112.789,0.092,0.034,0.05,80.15,72.699,-0.072,496351594,1448740471,1103117731,1999967835,647680776,7.874,84.586,87.849,0.09,179.152,175.448,156.052,58.62,181.642,163.972,109.974,84.478,87.615,115.0
2013-04-11,1267079990,115.0,0.0575,65886778608137.0,2277070,1296262457682.0,66376937399976.0,67197497880486.0,2.3344452182536e+25,10166.0,8860.0,9027.0,7645.0,10242.0,8154.0,5840.0,4449.0,4949018.0,3.896,-4.592,0.021,0.033,0.015,52.512,60.154,-0.073,508774849,1424519073,1113695941,1647347356,-90744978,0.366,53.076,65.378,0.089,162.965,145.224,145.789,59.859,149.566,154.655,111.731,52.971,65.226,92.446
2013-04-12,1018942331,92.446,0.0462,63688279726654.0,2238163,1252343164010.0,65032608563315.0,65507483372931.0,2.3413932086439e+25,9653.0,8853.0,8671.0,7562.0,9290.0,8105.0,5876.0,4431.0,4908464.0,2.52,-1.637,0.004,0.032,0.003,46.393,56.643,-0.074,518441394,1370442174,1107582805,1259476272,-395449681,-5.709,46.457,59.878,0.091,128.648,118.835,132.453,60.575,114.306,140.006,111.881,46.358,59.742,98.435
