Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-transactionfees_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-sma-3,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-std-30,difficulty-btc-std-90,difficulty-btc-mom-30,difficulty-btc-mom-90,difficulty-btc-roc-3,difficulty-btc-roc-30,hashrate-btc-sma-7,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-3,hashrate-btc-ema-7,hashrate-btc-wma-3,hashrate-btc-wma-30,hashrate-btc-std-7,hashrate-btc-std-14,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-var-7,hashrate-btc-var-14,hashrate-btc-trx-7,hashrate-btc-trx-30,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-7,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-90,mining_profitability-btc-var-7,mining_profitability-btc-var-30,mining_profitability-btc-var-90,mining_profitability-btc-trx-14,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,sentinusd-btc-sma-30,sentinusd-btc-ema-30,sentinusd-btc-wma-7,sentinusd-btc-wma-30,sentinusd-btc-std-30,sentinusd-btc-std-90,sentinusd-btc-var-7,sentinusd-btc-var-30,sentinusd-btc-var-90,sentinusd-btc-trx-30,transactionfees-btc-sma-3,transactionfees-btc-sma-7,transactionfees-btc-sma-14,transactionfees-btc-sma-30,transactionfees-btc-ema-7,transactionfees-btc-ema-30,transactionfees-btc-ema-90,transactionfees-btc-wma-30,transactionfees-btc-wma-90,transactionfees-btc-std-90,transactionfees-btc-var-30,transactionfees-btc-trx-3,transactionfees-btc-trx-7,transactionfees-btc-trx-14,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-wma-3,median_transaction_fee-btc-std-90,median_transaction_fee-btc-trx-7,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,median_transaction_fee-btc-rsi-90,confirmationtime-btc-wma-90,confirmationtime-btc-std-30,confirmationtime-btc-var-30,confirmationtime-btc-var-90,confirmationtime-btc-trx-14,confirmationtime-btc-trx-30,confirmationtime-btc-trx-90,marketcap-btc-sma-3,marketcap-btc-sma-7,marketcap-btc-sma-14,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-30,marketcap-btc-trx-14,marketcap-btc-trx-90,marketcap-btc-rsi-14,marketcap-btc-rsi-30,marketcap-btc-rsi-90,transactionvalue-btc-sma-14,transactionvalue-btc-sma-30,transactionvalue-btc-wma-90,transactionvalue-btc-std-30,transactionvalue-btc-mom-3,transactionvalue-btc-trx-3,transactionvalue-btc-rsi-14,mediantransactionvalue-btc-sma-14,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-std-90,mediantransactionvalue-btc-var-90,mediantransactionvalue-btc-trx-7,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,size-btc-std-14,size-btc-var-30,size-btc-trx-30,size-btc-trx-90,transactions-btc-trx-14,sentbyaddress-btc-wma-90,sentbyaddress-btc-trx-14,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-wma-90,top100cap-btc-std-14,top100cap-btc-std-30,top100cap-btc-std-90,top100cap-btc-mom-30,top100cap-btc-mom-90,top100cap-btc-var-90,top100cap-btc-trx-7,top100cap-btc-trx-14,top100cap-btc-trx-30,top100cap-btc-rsi-30,top100cap-btc-roc-30,top100cap-btc-roc-90,activeaddresses-btc-sma-30,activeaddresses-btc-ema-30,activeaddresses-btc-trx-14,activeaddresses-btc-trx-30,price-btc-sma-3,price-btc-sma-14,price-btc-sma-90,price-btc-ema-3,price-btc-ema-14,price-btc-ema-90,price-btc-wma-3,price-btc-wma-14,price-btc-wma-30,price-btc-mom-14,price-btc-mom-30,price-btc-trx-14,price-btc-trx-90,price-btc-rsi-14,price-btc-rsi-30,price-btc-rsi-90,bitcoin-price_raw_7d
2013-04-01,1039517192,94.715,0.0777,0.0474,65502112131790.0,6695826,6690038,6526779,1899346,2161986,2327950,3716190,4.618,53.297,55235596298287.0,44956251399826.0,31776180357082.0,60545619812057.0,57115545498179.0,60620238288447.0,49808994690260.0,11901094115686.0,11490406893431.0,19252887180085.0,22738053510663.0,3.5409010287602e+25,3.3007362644153e+25,1.91,1.373,6279.0,5449.0,3913.0,6648.0,5603.0,4403.0,7035.0,6442.0,5894.0,4650.0,1716.0,2778.0,458425.0,1048771.0,1929846.0,1.522,1.215,0.091,91370923,97859408,136938285,108319605,99974157,83568369,750538663727116.0,2498708038563228.0,1745918089683000.0,3.029,0.089,0.085,0.072,0.056,0.082,0.06,0.038,0.065,0.042,0.045,0.001,1.552,4.663,3.644,0.045,0.046,0.023,4.009,2.482,1.11,65.414,8.698,2.341,1.37,1.818,-0.129,-0.275,-0.057,991852178,931090321,806312686,352418998,997954603,929243159,824742386,669282203,428855865,1005258635,966815475,725365498,3.675,1.097,95.218,93.977,91.946,2385,1883,1380,2031.0,566.836,1.371,52.81,54.928,41.397,26.683,31.061,28.818,207.617,2.199,2.119,0.207,51899,938951276,-0.019,0.334,-0.243,41505,0.982,0.406,0.253,19.499,19.396,19.428,0.462,0.367,0.322,0.694,0.426,0.026,0.191,0.063,0.011,65.405,3.6,2.183,64764,66879,1.219,0.538,90.406,73.635,32.485,90.961,75.294,39.444,91.616,80.404,66.298,48.455,61.597,3.629,1.025,95.075,93.774,91.45,163.561
2013-04-02,1183101461,107.749,0.105,0.0539,61845596902013.0,6695826,6692932,6569041,1949365,2230475,2327950,3716190,4.618,53.297,56894215515944.0,45919538052526.0,32209968678589.0,61195608357035.0,58298058349138.0,61849081751860.0,50898629883949.0,11887441553889.0,11315233330806.0,19640918710600.0,23513282442924.0,3.5327816674279e+25,3.2008626332648e+25,2.016,1.406,6503.0,5582.0,3977.0,6984.0,5757.0,4482.0,7564.0,6670.0,6058.0,4740.0,1734.0,2884.0,442945.0,1177343.0,2079147.0,1.605,1.241,0.104,99082516,108146320,166336248,119025128,113391979,94000481,2181676812812860.0,3214435238744518.0,2209022600061440.8,3.121,0.092,0.09,0.075,0.059,0.088,0.063,0.04,0.068,0.043,0.047,0.001,3.267,4.561,3.733,0.049,0.05,0.024,4.233,2.534,1.139,67.414,8.672,2.337,1.366,1.833,-0.129,-0.272,-0.059,1066526516,987933018,850756175,364007125,1090528032,992707735,872523596,702431833,445432691,1100883277,1029818260,761891508,3.792,1.129,96.519,95.152,93.08,2545,2012,1454,2160.0,1713.0,8.567,60.736,57.343,44.077,27.577,32.466,32.06,256.962,3.113,2.21,0.23,52503,952368214,-0.015,0.331,-0.174,41997,1.036,0.432,0.256,19.522,19.401,19.442,0.49,0.408,0.345,0.677,0.427,0.03,0.209,0.074,0.014,66.711,3.498,2.179,66291,68492,1.27,0.569,97.171,77.661,33.536,99.355,79.621,40.945,100.288,84.952,69.605,56.367,75.291,3.745,1.057,96.416,94.987,92.645,195.397
2013-04-03,1318189886,120.003,0.133,0.06,60270367548897.0,6695826,6694379,6600737,1986041,2293952,2327950,3716190,4.618,53.297,58975896856611.0,46674364484225.0,32616029589136.0,60732987952966.0,58791135649077.0,61667401430421.0,51824489851457.0,7672492273609.0,10182774073258.0,20044305085355.0,24166298674113.0,1.4716784422149e+25,2.5922221956753e+25,1.991,1.435,6645.0,5743.0,4050.0,7451.0,5957.0,4578.0,8293.0,6984.0,6269.0,4847.0,2113.0,3037.0,595387.0,1426075.0,2305788.0,1.738,1.276,0.117,106494613,117439750,189257322,128903321,122981011,102642361,3113266217989468.0,3781082247256207.0,2633863588145095.0,3.248,0.105,0.096,0.081,0.062,0.099,0.067,0.042,0.073,0.046,0.052,0.001,8.329,5.18,3.956,0.054,0.056,0.025,4.66,2.599,1.17,69.112,8.652,2.335,1.363,1.841,-0.126,-0.268,-0.061,1180269513,1052246046,899864027,377094375,1204358959,1074078272,931945768,742158159,464614168,1226714962,1112382477,805345883,3.958,1.163,97.272,95.925,93.897,2697,2144,1528,2260.0,1367.0,11.537,61.039,60.546,46.873,28.497,34.005,35.657,317.859,4.432,2.327,0.256,47145,976467593,-0.006,0.329,-0.078,42633,1.163,0.468,0.26,19.542,19.405,19.454,0.503,0.437,0.364,0.592,0.366,0.033,0.216,0.085,0.017,65.191,3.051,1.864,68078,70985,1.403,0.611,107.489,82.108,34.722,109.679,85.006,42.682,111.703,90.598,73.541,62.25,86.649,3.911,1.09,97.19,95.785,93.508,178.5
2013-04-04,1357824968,123.562,0.141,0.0618,55272455140085.0,6695826,6695103,6624509,2010105,2352822,2327950,3716190,4.618,53.297,59231838277080.0,47372797279589.0,32978965966943.0,58002721546526.0,57911465521829.0,58033949570014.0,52379205377642.0,7013418016731.0,10042649490131.0,19731382020831.0,24532541967280.0,1.2297008069352e+25,2.5213702195409e+25,1.734,1.456,6794.0,5910.0,4122.0,7782.0,6139.0,4670.0,8671.0,7268.0,6465.0,4951.0,2382.0,3171.0,843694.0,1574429.0,2513253.0,1.884,1.316,0.132,111795343,124473962,203847003,136643670,129336259,108586735,3353619075944136.0,4181966971339743.0,2947769732649600.0,3.379,0.126,0.104,0.087,0.066,0.11,0.072,0.044,0.078,0.048,0.056,0.001,10.577,5.965,4.254,0.059,0.06,0.027,5.036,2.674,1.203,69.578,8.657,2.247,1.262,1.841,-0.09,-0.261,-0.063,1286372105,1111986416,946913769,390620653,1281091963,1145014946,988729661,781878598,484245175,1315492689,1188777207,849301001,4.134,1.2,97.446,96.113,94.103,2833,2244,1597,2356.0,1657.0,9.466,59.58,65.817,50.029,29.741,35.968,40.642,412.95,6.106,2.481,0.285,53720,1069093010,0.013,0.327,0.044,43319,1.339,0.514,0.264,19.564,19.41,19.467,0.497,0.459,0.383,0.659,0.45,0.037,0.214,0.094,0.02,65.257,3.408,2.302,69795,73431,1.58,0.663,117.104,86.363,35.948,116.62,90.146,44.46,119.74,96.125,77.521,59.572,86.935,4.087,1.126,97.368,95.977,93.724,115.0
2013-04-05,1414392012,128.664,0.12,0.0643,51815454745655.0,6798904,6850081,6719647,2049389,2423226,2637182,4025422,4.618,60.377,58195372037459.0,47974562797815.0,33303685514234.0,54909088146090.0,56387462827786.0,54376940344342.0,52665828439969.0,8735347100869.0,10254314157412.0,19126208338407.0,24746657364734.0,1.9076572243164e+25,2.6287739709724e+25,1.299,1.468,7008.0,6087.0,4210.0,8324.0,6385.0,4786.0,9376.0,7689.0,6726.0,5079.0,2886.0,3368.0,1246477.0,2035077.0,2836428.0,2.074,1.368,0.147,116695551,131112830,215636176,144100514,135208527,114080731,2810249080422272.0,4570336442425772.0,3253603293525400.0,3.507,0.132,0.109,0.091,0.067,0.112,0.075,0.045,0.081,0.05,0.059,0.001,6.964,6.048,4.452,0.062,0.063,0.028,5.295,2.755,1.237,70.229,8.657,2.238,1.252,1.828,-0.04,-0.251,-0.065,1363468955,1178437837,996612312,404780326,1347741988,1212359213,1045484641,822685915,504687962,1379502643,1264378606,894840766,4.304,1.238,97.675,96.361,94.378,3026,2341,1667,2453.0,-51.982,7.042,60.026,70.974,53.308,30.977,37.929,45.16,509.864,7.398,2.658,0.317,51407,1058645352,0.034,0.326,0.152,43942,1.518,0.564,0.269,19.578,19.413,19.477,0.457,0.464,0.392,0.443,0.29,0.038,0.193,0.1,0.023,59.122,2.285,1.485,70824,75147,1.735,0.716,124.076,90.858,37.231,122.642,95.282,46.311,125.52,101.765,81.643,62.924,89.674,4.257,1.164,97.602,96.233,94.013,92.446
2013-04-06,1474827634,134.114,0.101,0.0671,61828214750416.0,7124628,7261540,6957985,2146374,2526499,3305124,4693363,14.594,75.669,58726810965768.0,48957293289103.0,33759925800740.0,58368651448253.0,57747650808443.0,57398001480444.0,53559612436911.0,9094706513828.0,10516744526294.0,18840725883715.0,25312859842570.0,2.0678421643165e+25,2.7650478857832e+25,1.134,1.479,7170.0,6217.0,4283.0,8474.0,6548.0,4877.0,9241.0,7944.0,6909.0,5183.0,3039.0,3486.0,946223.0,2248623.0,3037954.0,2.225,1.419,0.163,120066807,132822859,205979044,146740690,134073592,115485795,2735668458713424.0,4493932018598449.5,3334242195953900.0,3.588,0.121,0.11,0.093,0.069,0.109,0.077,0.047,0.084,0.051,0.06,0.001,1.726,5.354,4.475,0.064,0.065,0.03,5.433,2.84,1.274,70.901,8.651,2.232,1.246,1.821,0.009,-0.24,-0.066,1415681538,1252116292,1052259702,419616955,1411284811,1277976318,1102730374,864759574,526009713,1435181982,1338476055,942148593,4.456,1.278,97.892,96.601,94.647,3150,2423,1716,2431.0,-1020.0,1.982,54.246,74.44,55.459,31.783,39.077,46.74,546.156,7.151,2.811,0.35,45721,989697975,0.052,0.324,0.203,44178,1.589,0.607,0.274,19.593,19.416,19.486,0.396,0.467,0.4,0.444,0.23,0.04,0.164,0.103,0.026,59.132,2.292,1.171,71381,75659,1.799,0.762,128.78,95.893,38.576,128.378,100.46,48.24,130.538,107.532,85.923,70.497,94.124,4.409,1.203,97.825,96.479,94.297,98.435
2013-04-07,1563013110,142.08,0.121,0.071,62710014647861.0,7450353,7467270,7136739,2217375,2621567,3305124,4693363,14.594,75.669,59892030838102.0,49888014119461.0,34203852889091.0,60539333048057.0,58988241768298.0,60600321365015.0,54446884782637.0,8740512343785.0,10841862131140.0,18707180146223.0,25919505474601.0,1.9099139007964e+25,2.9386493617664e+25,1.11,1.489,7477.0,6370.0,4360.0,8709.0,6733.0,4977.0,9339.0,8243.0,7115.0,5295.0,3016.0,3626.0,690831.0,2498776.0,3286874.0,2.354,1.472,0.179,122750551,132461825,188502958,147202627,131287264,115946907,2811061999712368.0,4309086448057972.0,3360921285754477.0,3.616,0.114,0.114,0.098,0.072,0.112,0.08,0.048,0.087,0.053,0.062,0.001,1.025,4.788,4.457,0.067,0.069,0.032,5.511,2.93,1.312,71.841,8.644,2.225,1.237,1.819,0.052,-0.229,-0.068,1484077585,1335838037,1113279831,435428226,1487148960,1349235516,1164101405,909808190,548800997,1508847768,1416200260,992908503,4.595,1.321,98.162,96.909,95.001,3236,2475,1743,2364.0,-1804.0,-4.202,48.521,76.177,56.682,32.319,39.631,47.111,554.859,5.674,2.913,0.383,42268,1069205906,0.074,0.323,0.266,44396,1.581,0.64,0.278,19.602,19.418,19.494,0.325,0.47,0.404,0.261,0.141,0.041,0.129,0.103,0.028,56.711,1.339,0.72,72398,76397,1.813,0.803,134.952,101.415,40.008,135.229,106.009,50.303,137.188,113.691,90.515,77.31,100.79,4.547,1.245,98.103,96.797,94.67,91.849
2013-04-08,1799989332,163.561,0.123,0.0818,63348133569501.0,7673000,7570135,7270804,2264835,2711968,3305124,4555363,9.535,75.669,59584319614918.0,50810250348052.0,34633063475243.0,61943733308779.0,60078214718599.0,62882107459111.0,55315279585865.0,8053492716857.0,11052546653601.0,18541883113718.0,26548753749922.0,1.6214686235118e+25,3.0539696882506e+25,1.146,1.498,7854.0,6535.0,4453.0,9062.0,6952.0,5090.0,9687.0,8596.0,7357.0,5422.0,2922.0,3782.0,468986.0,2893644.0,3575871.0,2.483,1.528,0.196,128434505,137461679,191849307,152829015,131132652,119753751,2023810799398008.0,4298943128844980.0,3585240197880137.0,3.64,0.115,0.121,0.103,0.074,0.115,0.082,0.05,0.09,0.055,0.064,0.001,1.276,4.311,4.404,0.073,0.076,0.034,5.785,3.033,1.352,74.12,8.648,2.251,1.267,1.786,0.105,-0.216,-0.069,1612610025,1444476915,1187783618,453843044,1643569146,1461923970,1248886462,967239231,576299641,1666803642,1532238083,1056560996,4.771,1.366,98.658,97.53,95.761,3369,2583,1804,2343.0,-304.427,-1.873,56.351,82.073,60.183,33.565,41.631,51.324,658.551,5.455,3.035,0.418,42889,1115915801,0.099,0.322,0.324,44947,1.6,0.677,0.283,19.608,19.421,19.499,0.263,0.47,0.408,0.174,0.294,0.042,0.088,0.1,0.03,54.048,0.889,1.514,74390,78816,1.882,0.852,146.585,108.159,41.677,149.395,113.683,52.792,151.492,121.977,96.276,94.415,120.4,4.724,1.289,98.616,97.44,95.477,87.108
2013-04-09,2151102847,195.397,0.144,0.0977,65111643775833.0,7673000,7621567,7371353,2290219,2798086,3305124,4423450,9.004555555555555,75.669,60050897739750.0,51677790418136.0,35121378181982.0,63527688542306.0,61336571982907.0,64123535519064.0,56237950129593.0,8861372838837.0,10949074860693.0,18701125323864.0,27149681059982.0,1.9630982147221e+25,2.9970560076263e+25,1.229,1.506,8419.0,6805.0,4578.0,10135.0,7365.0,5272.0,11619.0,9329.0,7797.0,5618.0,3775.0,4185.0,2217095.0,4316562.0,4379283.0,2.722,1.606,0.215,137541562,149512000,220832858,165461734,145523932,131209654,3509494364536184.0,5294303707697924.0,4303993317407992.0,3.71,0.129,0.126,0.108,0.078,0.122,0.086,0.052,0.095,0.057,0.068,0.001,3.608,4.22,4.392,0.084,0.088,0.037,6.435,3.161,1.397,76.92,8.628,2.245,1.26,1.75,0.129,-0.205,-0.07,1838035096,1582762827,1285347923,476135446,1897335997,1634218689,1369181980,1043617529,610910701,1936050053,1708894567,1140004234,5.043,1.416,99.062,98.112,96.548,3610,2761,1909,2557.0,2615.0,7.716,63.864,91.009,65.897,35.483,44.961,61.185,935.916,6.885,3.222,0.459,41727,1105939032,0.122,0.321,0.399,45662,1.669,0.721,0.289,19.618,19.424,19.506,0.237,0.465,0.413,0.301,0.329,0.043,0.053,0.095,0.032,54.763,1.549,1.699,76227,80962,1.967,0.904,167.012,116.995,43.696,172.396,124.578,55.926,175.898,133.608,103.832,123.693,150.978,4.995,1.338,99.033,98.043,96.314,75.043
2013-04-10,1965870661,178.5,0.181,0.0892,70206503841325.0,7673000,7647284,7446765,2294259,2878277,3305124,4423450,8.47411111111111,75.669,61470345781525.0,52725657551404.0,35644762825181.0,66867096191816.0,63554054947512.0,67365155440861.0,57433350995605.0,11374186667831.0,10017080685539.0,19206820698080.0,28005325368815.0,3.2343030588667e+25,2.5085476365151e+25,1.436,1.518,8884.0,7054.0,4689.0,10677.0,7683.0,5426.0,12290.0,9847.0,8152.0,5788.0,3964.0,4459.0,2630164.0,5132843.0,4971618.0,2.957,1.69,0.235,150582704,167775652,274515108,184497673,175702618,151433519,9263918412207048.0,7717852482570384.0,5733027655108845.0,3.852,0.149,0.133,0.115,0.083,0.137,0.093,0.055,0.101,0.06,0.074,0.001,8.273,4.785,4.515,0.09,0.091,0.04,6.634,3.289,1.445,72.699,8.595,2.258,1.274,1.768,0.115,-0.197,-0.072,1972320947,1675288652,1363767349,496351594,1931603329,1717131682,1448740471,1103117731,640690041,1999967835,1804671525,1207909993,5.253,1.468,84.586,86.938,87.849,3900,3006,2058,3099.0,5680.0,18.094,69.567,110.751,76.337,39.108,51.427,88.13,1942.0,11.198,3.576,0.514,41760,1104405178,0.141,0.32,0.465,46570,1.805,0.775,0.295,19.628,19.429,19.513,0.222,0.464,0.418,0.32,0.413,0.044,0.027,0.09,0.033,56.115,1.646,2.133,78891,84349,2.121,0.968,179.152,124.085,45.527,175.448,131.767,58.62,181.642,141.809,109.974,99.262,133.379,5.205,1.389,84.478,86.819,87.615,77.734
