Date,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-sma-30,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-14,difficulty-btc-wma-90,difficulty-btc-std-30,difficulty-btc-std-90,difficulty-btc-var-30,difficulty-btc-trx-7,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,hashrate-btc-sma-3,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-14,hashrate-btc-ema-90,hashrate-btc-wma-3,hashrate-btc-wma-7,hashrate-btc-wma-14,hashrate-btc-wma-90,hashrate-btc-std-14,hashrate-btc-std-30,hashrate-btc-var-30,hashrate-btc-trx-7,hashrate-btc-trx-30,hashrate-btc-trx-90,hashrate-btc-rsi-30,hashrate-btc-roc-90,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-7,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-30,mining_profitability-btc-var-30,mining_profitability-btc-var-90,mining_profitability-btc-trx-14,mining_profitability-btc-trx-90,sentinusd-btc-sma-90,sentinusd-btc-var-30,sentinusd-btc-trx-30,transactionfees-btc-sma-14,transactionfees-btc-sma-90,transactionfees-btc-std-30,transactionfees-btc-var-3,transactionfees-btc-var-7,transactionfees-btc-var-14,transactionfees-btc-var-30,transactionfees-btc-trx-3,transactionfees-btc-trx-30,transactionfees-btc-trx-90,median_transaction_fee-btc-sma-7,median_transaction_fee-btc-ema-7,median_transaction_fee-btc-ema-14,median_transaction_fee-btc-wma-3,median_transaction_fee-btc-wma-7,median_transaction_fee-btc-wma-14,median_transaction_fee-btc-wma-30,median_transaction_fee-btc-std-90,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,median_transaction_fee-btc-rsi-14,confirmationtime-btc-sma-30,confirmationtime-btc-sma-90,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,confirmationtime-btc-std-30,confirmationtime-btc-trx-30,marketcap-btc-sma-14,marketcap-btc-sma-90,marketcap-btc-wma-14,marketcap-btc-mom-30,marketcap-btc-mom-90,marketcap-btc-var-30,marketcap-btc-var-90,marketcap-btc-trx-14,marketcap-btc-trx-30,marketcap-btc-trx-90,marketcap-btc-roc-90,transactionvalue-btc-sma-30,transactionvalue-btc-sma-90,transactionvalue-btc-std-90,transactionvalue-btc-var-30,transactionvalue-btc-var-90,transactionvalue-btc-trx-14,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-14,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-wma-30,mediantransactionvalue-btc-std-7,mediantransactionvalue-btc-std-30,mediantransactionvalue-btc-std-90,mediantransactionvalue-btc-var-7,mediantransactionvalue-btc-var-30,mediantransactionvalue-btc-var-90,mediantransactionvalue-btc-trx-7,mediantransactionvalue-btc-trx-14,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,mediantransactionvalue-btc-roc-30,fee_to_reward-btc-sma-7,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-30,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-14,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-14,fee_to_reward-btc-var-30,fee_to_reward-btc-var-90,fee_to_reward-btc-trx-14,fee_to_reward-btc-trx-30,fee_to_reward-btc-trx-90,size-btc-std-30,size-btc-var-30,size-btc-var-90,size-btc-trx-30,size-btc-trx-90,transactions-btc-trx-14,sentbyaddress-btc-sma-14,sentbyaddress-btc-wma-14,sentbyaddress-btc-std-90,sentbyaddress-btc-var-90,sentbyaddress-btc-trx-14,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-wma-90,top100cap-btc-std-30,top100cap-btc-mom-30,top100cap-btc-mom-90,top100cap-btc-trx-90,top100cap-btc-roc-30,activeaddresses-btc-sma-90,activeaddresses-btc-trx-14,price-btc-sma-90,price-btc-mom-30,price-btc-mom-90,price-btc-trx-14,price-btc-trx-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,0.0474,65502112131790.0,5182950,5385392,4296620,6368099,4430808,1899346,2161986,901878886924.0,2.593,1.93,1.046,0.271,59387909975187.0,55235596298287.0,53495262808157.0,44956251399826.0,31776180357082.0,53347760970783.0,35799562131248.0,60620238288447.0,57669081336507.0,55439878831239.0,37564285480092.0,11490406893431.0,19252887180085.0,9.2668416192271e+25,1.91,1.373,0.372,63.35,169.207,6562.0,6279.0,5449.0,3913.0,6648.0,5603.0,4403.0,7035.0,6806.0,5894.0,4650.0,2048.0,1048771.0,1929846.0,1.522,0.091,50015639,2498708038563228.0,3.029,0.072,0.031,0.043,0.001,0.001,0.001,0.001,1.552,2.712,1.218,0.042,0.042,0.038,0.046,0.044,0.04,0.034,0.023,2.482,1.11,74.007,8.4,9.146,8.93,8.698,2.341,-0.275,806312686,352418998,881124856,680338013,897213385,4.187527004296205e+16,5.195220233693293e+16,3.675,2.586,1.097,630.491,1883,1039,1697.0,1030745,719749,3.688,-0.116,54.928,26.683,31.061,48.928,14.73,31.265,28.818,54.242,244.368,207.617,2.199,3.449,2.119,0.207,294.659,1.301,1.154,1.279,1.237,1.215,1.157,1.205,1.188,1.245,1.147,0.956,0.077,0.329,0.229,-0.381,0.05,0.742,61285,938951276,644540075,-0.019,0.334,-0.243,48248,49095,10848,29422322,0.982,0.406,0.253,19.499,19.396,19.428,0.367,0.694,0.426,-0.057,3.6,57136,1.219,32.485,61.597,81.308,3.629,1.025,107.749,163.561,124.662,89.829
2013-04-02,0.0539,61845596902013.0,5260549,5469936,4349349,6466725,4492115,1949365,2230475,950005633515.0,2.333,1.948,1.085,0.279,60633728191775.0,56894215515944.0,54665535479792.0,45919538052526.0,32209968678589.0,54480805761613.0,36372002455880.0,61849081751860.0,59321581487439.0,56553256710420.0,38225151777783.0,11315233330806.0,19640918710600.0,9.6441421949099e+25,2.016,1.406,0.384,61.015,171.197,6924.0,6503.0,5582.0,3977.0,6984.0,5757.0,4482.0,7564.0,7164.0,6058.0,4740.0,2170.0,1177343.0,2079147.0,1.605,0.104,52609580,3214435238744518.0,3.121,0.075,0.032,0.045,0.001,0.001,0.001,0.001,3.267,2.777,1.251,0.045,0.045,0.04,0.05,0.047,0.042,0.036,0.024,2.534,1.139,78.528,8.367,9.13,8.909,8.672,2.337,-0.272,850756175,364007125,931363359,830962611,1042931435,4.945489328610125e+16,5.898440351722694e+16,3.792,2.665,1.129,744.047,2012,1081,1835.0,1166540,841849,3.769,-0.089,57.343,27.577,32.466,52.383,28.777,35.145,32.06,207.029,308.786,256.962,3.113,3.531,2.21,0.23,552.337,1.322,1.163,1.286,1.243,1.223,1.161,1.229,1.192,1.248,1.145,0.953,0.079,0.328,0.227,-0.33,0.038,0.733,61721,952368214,630754328,-0.015,0.331,-0.174,49382,50966,11689,34157477,1.036,0.432,0.256,19.522,19.401,19.442,0.408,0.677,0.427,-0.056,3.498,57678,1.27,33.536,75.291,94.548,3.745,1.057,120.003,195.397,111.049,85.608
2013-04-03,0.06,60270367548897.0,5338147,5549026,4400920,6547748,4552514,1986041,2293952,986089374520.0,2.064,1.943,1.122,0.288,62539358860900.0,58975896856611.0,55777688549531.0,46674364484225.0,32616029589136.0,55252747333251.0,36897241249133.0,61667401430421.0,60165619495677.0,57300567652967.0,38841863840867.0,10182774073258.0,20044305085355.0,1.004435415887e+26,1.991,1.435,0.396,60.029,154.039,7363.0,6645.0,5743.0,4050.0,7451.0,5957.0,4578.0,8293.0,7645.0,6269.0,4847.0,2388.0,1426075.0,2305788.0,1.738,0.117,55179282,3781082247256207.0,3.248,0.081,0.034,0.051,0.001,0.001,0.001,0.001,8.329,2.871,1.288,0.048,0.049,0.043,0.056,0.051,0.045,0.037,0.025,2.599,1.17,81.743,8.373,9.123,8.894,8.652,2.335,-0.268,899864027,377094375,993687854,956206879,1177852524,6.089766752797075e+16,6.837353381290434e+16,3.958,2.756,1.163,839.301,2144,1125,1965.0,1276352,964945,3.964,-0.059,60.546,28.497,34.005,56.154,39.584,39.665,35.657,391.727,393.331,317.859,4.432,3.763,2.327,0.256,449.577,1.292,1.227,1.299,1.25,1.247,1.17,1.287,1.212,1.255,1.151,0.953,0.073,0.331,0.227,-0.212,0.036,0.725,62497,976467593,614641815,-0.006,0.329,-0.078,51276,53605,13162,43309807,1.163,0.468,0.26,19.542,19.405,19.454,0.437,0.592,0.366,-0.056,3.051,58298,1.403,34.722,86.649,106.79,3.911,1.09,123.562,178.5,102.694,83.204
2013-04-04,0.0618,55272455140085.0,5415745,5623013,4451358,6611170,4612006,2010105,2352822,1010130109937.0,1.801,1.917,1.154,0.296,59129473196998.0,59231838277080.0,55963936181944.0,47372797279589.0,32978965966943.0,55255375040829.0,37301092103880.0,58033949570014.0,59239759066545.0,57233203198374.0,39339807259569.0,10042649490131.0,19731382020831.0,9.7331859112988e+25,1.734,1.456,0.407,57.005,144.48,7555.0,6794.0,5910.0,4122.0,7782.0,6139.0,4670.0,8671.0,7999.0,6465.0,4951.0,2510.0,1574429.0,2513253.0,1.884,0.132,57367531,4181966971339743.0,3.379,0.087,0.035,0.057,0.001,0.001,0.001,0.001,10.577,2.985,1.328,0.051,0.052,0.045,0.06,0.054,0.048,0.039,0.027,2.674,1.203,82.56,8.339,9.122,8.904,8.657,2.247,-0.261,946913769,390620653,1054749313,960150478,1217365028,7.27540271846002e+16,7.825542515096218e+16,4.134,2.854,1.2,866.699,2244,1165,2068.0,1387167,1069102,4.155,-0.027,65.817,29.741,35.968,61.086,53.483,47.626,40.642,715.096,567.056,412.95,6.106,4.166,2.481,0.285,330.659,1.382,1.3,1.315,1.261,1.292,1.187,1.383,1.254,1.271,1.173,0.963,0.098,0.344,0.232,0.014,0.049,0.717,65394,1069093010,659287348,0.013,0.327,0.044,53186,56335,14643,53607673,1.339,0.514,0.264,19.564,19.41,19.467,0.459,0.659,0.45,-0.055,3.408,58982,1.58,35.948,86.935,110.343,4.087,1.126,128.664,115.0,105.04,81.424
2013-04-05,0.0643,51815454745655.0,5503651,5712177,4507483,6698222,4677386,2049389,2423226,1049998827349.0,1.634,1.888,1.184,0.305,55786092478212.0,58195372037459.0,55757270220747.0,47974562797815.0,33303685514234.0,54796719001473.0,37620089085017.0,54376940344342.0,57385663183689.0,56680072340202.0,39753796023936.0,10254314157412.0,19126208338407.0,9.1452961351038e+25,1.299,1.468,0.419,55.022,129.366,8052.0,7008.0,6087.0,4210.0,8324.0,6385.0,4786.0,9376.0,8598.0,6726.0,5079.0,2853.0,2035077.0,2836428.0,2.074,0.147,59595584,4570336442425772.0,3.507,0.091,0.036,0.059,0.001,0.001,0.001,0.001,6.964,3.093,1.37,0.054,0.055,0.048,0.063,0.058,0.051,0.041,0.028,2.755,1.237,83.687,8.334,9.11,8.909,8.657,2.238,-0.251,996612312,404780326,1117079745,990920185,1274370485,8.556272309817466e+16,8.90027940952962e+16,4.304,2.957,1.238,910.125,2341,1205,2170.0,1503864,1177635,4.321,0.006,70.974,30.977,37.929,65.935,60.924,53.912,45.16,927.921,726.635,509.864,7.398,4.619,2.658,0.317,366.6,1.389,1.319,1.232,1.267,1.301,1.193,1.4,1.261,1.274,0.672,0.96,0.098,0.113,0.23,0.199,0.063,0.71,65074,1058645352,654198460,0.034,0.326,0.152,54514,58485,15788,62312782,1.518,0.564,0.269,19.578,19.413,19.477,0.464,0.443,0.29,-0.054,2.285,59500,1.735,37.231,89.674,115.491,4.257,1.164,134.114,92.446,113.464,78.461
2013-04-06,0.0671,61828214750416.0,5613822,5838682,4577055,6853785,4756464,2146374,2526499,1151730788639.0,1.673,1.885,1.216,0.314,56305374878719.0,58726810965768.0,56432105022907.0,48957293289103.0,33759925800740.0,55734251767998.0,38152135802938.0,57398001480444.0,58293873861928.0,57489531610825.0,40380708754402.0,10516744526294.0,18840725883715.0,8.8743237956317e+25,1.134,1.479,0.431,59.268,197.729,8384.0,7170.0,6217.0,4283.0,8474.0,6548.0,4877.0,9241.0,8816.0,6909.0,5183.0,2999.0,2248623.0,3037954.0,2.225,0.163,61196359,4493932018598449.5,3.588,0.093,0.037,0.059,0.001,0.001,0.001,0.001,1.726,3.173,1.411,0.057,0.058,0.05,0.065,0.061,0.054,0.043,0.03,2.84,1.274,84.815,8.328,9.098,8.907,8.651,2.232,-0.24,1052259702,419616955,1180841788,1040345240,1335296658,9.913989447586125e+16,1.0072315767911875e+17,4.456,3.062,1.278,956.989,2423,1239,2215.0,1477977,1226309,4.329,0.04,74.44,31.783,39.077,68.313,51.27,54.471,46.74,657.16,741.764,546.156,7.151,4.84,2.811,0.35,251.734,1.315,1.318,1.213,1.267,1.278,1.187,1.351,1.243,1.267,0.671,0.96,0.099,0.113,0.23,0.254,0.068,0.702,62919,989697975,617523242,0.052,0.324,0.203,55165,58158,15763,62117197,1.589,0.607,0.274,19.593,19.416,19.486,0.467,0.444,0.23,-0.053,2.292,59954,1.799,38.576,94.124,120.991,4.409,1.203,142.08,98.435,113.005,73.017
2013-04-07,0.071,62710014647861.0,5723993,5957025,4645098,6982440,4834395,2217375,2621567,1229187540768.0,1.756,1.89,1.248,0.324,58784561381311.0,59892030838102.0,56606848019815.0,49888014119461.0,34203852889091.0,56664353485313.0,38691869403926.0,60600321365015.0,59289674782452.0,58326586227485.0,41016974443350.0,10841862131140.0,18707180146223.0,8.7489647255807e+25,1.11,1.489,0.443,59.615,175.569,8732.0,7477.0,6370.0,4360.0,8709.0,6733.0,4977.0,9339.0,9073.0,7115.0,5295.0,3162.0,2498776.0,3286874.0,2.354,0.179,62405013,4309086448057972.0,3.616,0.098,0.038,0.061,0.001,0.001,0.001,0.001,1.025,3.244,1.452,0.061,0.061,0.053,0.069,0.064,0.057,0.046,0.032,2.93,1.312,86.307,8.321,9.1,8.904,8.644,2.225,-0.229,1113279831,435428226,1248942242,1114235739,1423014406,1.148201734889614e+17,1.1413058805451376e+17,4.595,3.168,1.321,1016.0,2475,1261,2223.0,1397038,1235699,4.11,0.073,76.177,32.319,39.631,68.883,45.584,53.553,47.111,519.486,716.987,554.859,5.674,4.753,2.913,0.383,133.008,1.347,1.349,1.217,1.272,1.28,1.19,1.349,1.249,1.268,0.672,0.956,0.083,0.113,0.229,0.289,0.072,0.695,65397,1069205906,609668881,0.074,0.323,0.266,55315,57667,15865,62923228,1.581,0.64,0.278,19.602,19.418,19.494,0.47,0.261,0.141,-0.052,1.339,60321,1.813,40.008,100.79,128.918,4.547,1.245,163.561,91.849,110.375,66.0
2013-04-08,0.0818,63348133569501.0,5834164,6067733,4711645,7091172,4911181,2264835,2711968,1282369083736.0,1.81,1.894,1.279,0.334,62628787655926.0,59584319614918.0,57409957956603.0,50810250348052.0,34633063475243.0,57555524163205.0,39233765319653.0,62882107459111.0,60153700465301.0,59225424300777.0,41657508084677.0,11052546653601.0,18541883113718.0,8.5950357350694e+25,1.146,1.498,0.455,59.871,156.271,9147.0,7854.0,6535.0,4453.0,9062.0,6952.0,5090.0,9687.0,9421.0,7357.0,5422.0,3402.0,2893644.0,3575871.0,2.483,0.196,64431646,4298943128844980.0,3.64,0.103,0.04,0.062,0.001,0.001,0.001,0.001,1.276,3.305,1.494,0.066,0.066,0.057,0.076,0.07,0.061,0.048,0.034,3.033,1.352,89.345,8.346,9.083,8.913,8.648,2.251,-0.216,1187783618,453843044,1340503509,1330709019,1657333580,1.413527946427534e+17,1.3352827466677536e+17,4.771,3.286,1.366,1162.0,2583,1297,2296.0,1372963,1317457,3.945,0.108,82.073,33.565,41.631,73.653,43.953,58.47,51.324,482.967,854.698,658.551,5.455,4.813,3.035,0.418,410.621,1.392,1.347,1.216,1.274,1.274,1.19,1.327,1.247,1.266,0.672,0.954,0.084,0.113,0.228,0.287,0.073,0.687,66811,1115915801,622354878,0.099,0.322,0.324,56853,59197,16667,69446512,1.6,0.677,0.283,19.608,19.421,19.499,0.47,0.174,0.294,-0.051,0.889,60965,1.882,41.677,120.4,150.154,4.724,1.289,195.397,87.108,109.595,69.751
2013-04-09,0.0977,65111643775833.0,5944335,6171299,4776730,7190598,4986854,2290219,2798086,1311275417545.0,1.809,1.891,1.308,0.344,63723263997732.0,60050897739750.0,58472556627847.0,51677790418136.0,35121378181982.0,58563006778222.0,39802509901107.0,64123535519064.0,61535531505530.0,60252315743341.0,42327366992383.0,10949074860693.0,18701125323864.0,8.743302209472e+25,1.229,1.506,0.467,60.586,207.663,9913.0,8419.0,6805.0,4578.0,10135.0,7365.0,5272.0,11619.0,10472.0,7797.0,5618.0,4155.0,4316562.0,4379283.0,2.722,0.215,67789645,5294303707697924.0,3.71,0.108,0.041,0.066,0.001,0.001,0.001,0.001,3.608,3.369,1.538,0.072,0.074,0.062,0.088,0.078,0.067,0.052,0.037,3.161,1.397,92.132,8.357,9.051,8.897,8.628,2.245,-0.205,1285347923,476135446,1468946073,1667962182,2006316195,1.893444844507342e+17,1.6397771221867283e+17,5.043,3.427,1.416,1386.0,2761,1359,2499.0,1634615,1560757,4.021,0.145,91.009,35.483,44.961,82.231,74.766,73.811,61.185,1397.0,1362.0,935.916,6.885,5.217,3.222,0.459,789.06,1.36,1.341,1.209,1.275,1.263,1.188,1.295,1.24,1.263,0.672,0.953,0.086,0.113,0.227,0.245,0.07,0.679,66511,1105939032,624788508,0.122,0.321,0.399,58710,61569,17992,80927400,1.669,0.721,0.289,19.618,19.424,19.506,0.465,0.301,0.329,-0.051,1.549,61586,1.967,43.696,150.978,181.794,4.995,1.338,178.5,75.043,108.42,73.549
2013-04-10,0.0892,70206503841325.0,6054505,6268182,4840384,7280717,5061446,2294259,2878277,1315906542194.0,1.755,1.877,1.335,0.355,66222093728887.0,61470345781525.0,60223121319068.0,52725657551404.0,35644762825181.0,60115473053303.0,40470729548145.0,67365155440861.0,64074433030924.0,61816842038471.0,43098468655225.0,10017080685539.0,19206820698080.0,9.2225490332046e+25,1.436,1.518,0.48,62.578,203.899,10406.0,8884.0,7054.0,4689.0,10677.0,7683.0,5426.0,12290.0,11070.0,8152.0,5788.0,4531.0,5132843.0,4971618.0,2.957,0.235,72404772,7717852482570384.0,3.852,0.115,0.043,0.074,0.001,0.001,0.001,0.001,8.273,3.457,1.585,0.076,0.078,0.066,0.091,0.082,0.071,0.055,0.04,3.289,1.445,80.15,8.315,9.026,8.867,8.595,2.258,-0.197,1363767349,496351594,1559682438,1474887822,1819453286,2.179095110426944e+17,1.87020097431988e+17,5.253,3.567,1.468,1243.0,3006,1445,2864.0,2400528,2050656,4.419,0.188,110.751,39.108,51.427,99.86,169.423,121.47,88.13,7176.0,3689.0,1942.0,11.198,6.392,3.576,0.514,1207.0,1.323,1.308,1.213,1.246,1.268,1.191,1.295,1.248,1.264,0.673,0.756,0.069,0.113,0.143,0.224,0.069,0.672,66465,1104405178,625390165,0.141,0.32,0.465,61072,64911,19967,99673358,1.805,0.775,0.295,19.628,19.429,19.513,0.464,0.32,0.413,-0.05,1.646,62389,2.121,45.527,133.379,164.748,5.205,1.389,115.0,77.734,110.54,72.494
