Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-sma-3,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-std-30,difficulty-btc-mom-14,hashrate-btc-sma-3,hashrate-btc-wma-3,hashrate-btc-wma-7,hashrate-btc-wma-14,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-90,mining_profitability-btc-var-30,mining_profitability-btc-var-90,transactionfees-btc-var-7,transactionfees-btc-rsi-14,median_transaction_fee-btc-sma-3,marketcap-btc-sma-14,marketcap-btc-sma-90,marketcap-btc-ema-7,marketcap-btc-ema-14,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-wma-90,marketcap-btc-mom-90,marketcap-btc-rsi-90,marketcap-btc-roc-14,marketcap-btc-roc-90,transactionvalue-btc-ema-7,mediantransactionvalue-btc-mom-7,transactions-btc-trx-14,activeaddresses-btc-ema-90,price-btc-sma-3,price-btc-sma-14,price-btc-sma-30,price-btc-sma-90,price-btc-ema-3,price-btc-ema-14,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7,price-btc-wma-14,price-btc-mom-7,price-btc-mom-90,price-btc-rsi-14,price-btc-rsi-90,price-btc-roc-14,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,1039517192,94.715,0.0474,65502112131790.0,6695826,5182950,3906368,6690038,6096133,5385392,1899346,1848179,59387909975187.0,60620238288447.0,57669081336507.0,55439878831239.0,6562.0,6279.0,5449.0,3913.0,6242.0,5603.0,4403.0,5894.0,4650.0,2778.0,1048771.0,1929846.0,0.001,56.505,0.045,806312686,352418998,929243159,824742386,428855865,1005258635,966815475,881124856,468618640,897213385,91.946,105.943,630.491,2644,16.907,-0.243,57827,90.406,73.635,56.481,32.485,90.961,75.294,39.444,91.616,88.156,80.404,25.57,81.308,95.075,91.45,104.747,107.749,163.561,124.662,89.829
2013-04-02,1183101461,107.749,0.0539,61845596902013.0,6695826,5260549,3947659,6692932,6176092,5469936,1949365,1848179,60633728191775.0,61849081751860.0,59321581487439.0,56553256710420.0,6924.0,6503.0,5582.0,3977.0,6475.0,5757.0,4482.0,6058.0,4740.0,2884.0,1177343.0,2079147.0,0.001,64.356,0.049,850756175,364007125,992707735,872523596,445432691,1100883277,1029818260,931363359,486875397,1042931435,93.08,110.932,744.047,3083,26.922,-0.174,58575,97.171,77.661,58.991,33.536,99.355,79.621,40.945,100.288,93.861,84.952,36.045,94.548,96.416,92.645,109.704,120.003,195.397,111.049,85.608
2013-04-03,1318189886,120.003,0.06,60270367548897.0,6695826,5338147,3988950,6694379,6245390,5549026,1986041,1848179,62539358860900.0,61667401430421.0,60165619495677.0,57300567652967.0,7363.0,6645.0,5743.0,4050.0,6792.0,5957.0,4578.0,6269.0,4847.0,3037.0,1426075.0,2305788.0,0.001,70.496,0.054,899864027,377094375,1074078272,931945768,464614168,1226714962,1112382477,993687854,507846447,1177852524,93.897,109.011,839.301,3432,39.764,-0.078,59642,107.489,82.108,61.879,34.722,109.679,85.006,42.682,111.703,101.342,90.598,40.765,106.79,97.19,93.508,107.789,123.562,178.5,102.694,83.204
2013-04-04,1357824968,123.562,0.0618,55272455140085.0,6695826,5415745,4030241,6695103,6305448,5623013,2010105,1848179,59129473196998.0,58033949570014.0,59239759066545.0,57233203198374.0,7555.0,6794.0,5910.0,4122.0,7057.0,6139.0,4670.0,6465.0,4951.0,3171.0,1574429.0,2513253.0,0.001,71.958,0.059,946913769,390620653,1145014946,988729661,484245175,1315492689,1188777207,1054749313,529400965,1217365028,94.103,94.217,866.699,3636,63.398,0.044,60725,117.104,86.363,64.777,35.948,116.62,90.146,44.46,119.74,108.257,96.125,37.81,110.343,97.368,93.724,93.098,128.664,115.0,105.04,81.424
2013-04-05,1414392012,128.664,0.0643,51815454745655.0,6798904,5503651,4074968,6850081,6398730,5712177,2049389,2157411,55786092478212.0,54376940344342.0,57385663183689.0,56680072340202.0,8052.0,7008.0,6087.0,4210.0,7443.0,6385.0,4786.0,6726.0,5079.0,3368.0,2035077.0,2836428.0,0.001,63.194,0.062,996612312,404780326,1212359213,1045484641,504687962,1379502643,1264378606,1117079745,551901435,1274370485,94.378,96.823,910.125,3814,60.522,0.152,61589,124.076,90.858,67.766,37.231,122.642,95.282,46.311,125.52,115.097,101.765,42.073,115.491,97.602,94.013,95.718,134.114,92.446,113.464,78.461
2013-04-06,1474827634,134.114,0.0671,61828214750416.0,7124628,5613822,4127116,7261540,6568632,5838682,2146374,2825353,56305374878719.0,57398001480444.0,58293873861928.0,57489531610825.0,8384.0,7170.0,6217.0,4283.0,7640.0,6548.0,4877.0,6909.0,5183.0,3486.0,2248623.0,3037954.0,0.001,56.4,0.064,1052259702,419616955,1277976318,1102730374,526009713,1435181982,1338476055,1180841788,575418958,1335296658,94.647,111.972,956.989,3725,43.646,0.203,62061,128.78,95.893,70.904,38.576,128.378,100.46,48.24,130.538,121.797,107.532,46.659,120.991,97.825,94.297,110.817,142.08,98.435,113.005,73.017
2013-04-07,1563013110,142.08,0.071,62710014647861.0,7450353,5723993,4179265,7467270,6715881,5957025,2217375,2091948,58784561381311.0,60600321365015.0,59289674782452.0,58326586227485.0,8732.0,7477.0,6370.0,4360.0,7876.0,6733.0,4977.0,7115.0,5295.0,3626.0,2498776.0,3286874.0,0.001,61.063,0.067,1113279831,435428226,1349235516,1164101405,548800997,1508847768,1416200260,1248942242,600548544,1423014406,95.001,120.537,1016.0,3405,13.225,0.266,62611,134.952,101.415,74.263,40.008,135.229,106.009,50.303,137.188,128.822,113.691,53.03,128.918,98.103,94.67,119.363,163.561,91.849,110.375,66.0
2013-04-08,1799989332,163.561,0.0818,63348133569501.0,7673000,5834164,4229880,7570135,6843497,6067733,2264835,977174,62628787655926.0,62882107459111.0,60153700465301.0,59225424300777.0,9147.0,7854.0,6535.0,4453.0,8176.0,6952.0,5090.0,7357.0,5422.0,3782.0,2893644.0,3575871.0,0.001,61.518,0.073,1187783618,453843044,1461923970,1248886462,576299641,1666803642,1532238083,1340503509,630538898,1657333580,95.761,137.799,1162.0,3565,65.63,0.324,63739,146.585,108.159,78.277,41.677,149.395,113.683,52.792,151.492,139.324,121.977,68.845,150.154,98.616,95.477,136.547,195.397,87.108,109.595,69.751
2013-04-09,2151102847,195.397,0.0977,65111643775833.0,7673000,5944335,4279029,7621567,6954098,6171299,2290219,977174,63723263997732.0,64123535519064.0,61535531505530.0,60252315743341.0,9913.0,8419.0,6805.0,4578.0,8866.0,7365.0,5272.0,7797.0,5618.0,4185.0,4316562.0,4379283.0,0.001,65.946,0.084,1285347923,476135446,1634218689,1369181980,610910701,1936050053,1708894567,1468946073,667841311,2006316195,96.548,173.955,1386.0,4192,98.189,0.399,64801,167.012,116.995,83.309,43.696,172.396,124.578,55.926,175.898,155.325,133.608,87.647,181.794,99.033,96.314,172.506,178.5,75.043,108.42,73.549
2013-04-10,1965870661,178.5,0.0892,70206503841325.0,7673000,6054505,4328179,7647284,7049951,6268182,2294259,977174,66222093728887.0,67365155440861.0,64074433030924.0,61816842038471.0,10406.0,8884.0,7054.0,4689.0,9325.0,7683.0,5426.0,8152.0,5788.0,4459.0,5132843.0,4971618.0,0.001,72.04,0.09,1363767349,496351594,1717131682,1448740471,640690041,1999967835,1804671525,1559682438,700582744,1819453286,87.849,126.483,1243.0,5175,236.616,0.465,66310,179.152,124.085,87.755,45.527,175.448,131.767,58.62,181.642,163.972,141.809,58.497,164.748,84.478,87.615,125.273,115.0,77.734,110.54,72.494
