Date,bitcoin-hashrate_raw,bitcoin-mining_profitability_raw,top100cap-btc_raw,difficulty-btc-sma-3,difficulty-btc-sma-7,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-3,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-std-14,difficulty-btc-std-30,difficulty-btc-std-90,difficulty-btc-mom-3,difficulty-btc-mom-90,difficulty-btc-var-30,difficulty-btc-trx-7,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-rsi-14,difficulty-btc-rsi-30,difficulty-btc-rsi-90,difficulty-btc-roc-3,difficulty-btc-roc-14,hashrate-btc-sma-3,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-3,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-3,hashrate-btc-wma-7,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-7,hashrate-btc-std-14,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-var-30,hashrate-btc-trx-7,hashrate-btc-trx-14,hashrate-btc-trx-30,hashrate-btc-trx-90,hashrate-btc-roc-30,hashrate-btc-roc-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-7,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-90,mining_profitability-btc-mom-7,mining_profitability-btc-var-14,mining_profitability-btc-var-90,mining_profitability-btc-trx-7,mining_profitability-btc-trx-90,sentinusd-btc-sma-7,sentinusd-btc-sma-14,sentinusd-btc-ema-7,sentinusd-btc-wma-3,sentinusd-btc-wma-14,sentinusd-btc-std-90,sentinusd-btc-var-30,sentinusd-btc-var-90,sentinusd-btc-trx-14,sentinusd-btc-trx-30,sentinusd-btc-trx-90,sentinusd-btc-rsi-30,transactionfees-btc-ema-90,transactionfees-btc-wma-7,transactionfees-btc-std-30,transactionfees-btc-var-3,transactionfees-btc-trx-7,transactionfees-btc-trx-30,transactionfees-btc-trx-90,transactionfees-btc-rsi-90,median_transaction_fee-btc-sma-7,median_transaction_fee-btc-sma-14,median_transaction_fee-btc-sma-90,median_transaction_fee-btc-ema-30,median_transaction_fee-btc-ema-90,median_transaction_fee-btc-wma-7,median_transaction_fee-btc-std-7,median_transaction_fee-btc-std-30,median_transaction_fee-btc-mom-14,median_transaction_fee-btc-trx-7,confirmationtime-btc-sma-7,confirmationtime-btc-sma-14,confirmationtime-btc-sma-30,confirmationtime-btc-sma-90,confirmationtime-btc-wma-14,confirmationtime-btc-wma-90,confirmationtime-btc-std-14,confirmationtime-btc-std-90,confirmationtime-btc-var-14,confirmationtime-btc-var-90,confirmationtime-btc-trx-30,marketcap-btc-sma-30,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-90,marketcap-btc-std-90,marketcap-btc-mom-14,marketcap-btc-var-90,marketcap-btc-trx-3,marketcap-btc-trx-7,marketcap-btc-trx-14,marketcap-btc-rsi-30,marketcap-btc-rsi-90,marketcap-btc-roc-14,marketcap-btc-roc-90,transactionvalue-btc-ema-3,transactionvalue-btc-wma-3,transactionvalue-btc-std-30,transactionvalue-btc-var-30,transactionvalue-btc-trx-14,transactionvalue-btc-trx-30,transactionvalue-btc-trx-90,mediantransactionvalue-btc-ema-30,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-var-14,mediantransactionvalue-btc-trx-14,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-wma-30,fee_to_reward-btc-std-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-30,fee_to_reward-btc-var-90,fee_to_reward-btc-trx-14,fee_to_reward-btc-trx-30,fee_to_reward-btc-trx-90,size-btc-sma-3,size-btc-sma-7,size-btc-sma-90,size-btc-ema-3,size-btc-std-7,size-btc-std-90,size-btc-mom-30,size-btc-var-7,size-btc-var-90,size-btc-trx-30,transactions-btc-sma-90,transactions-btc-wma-30,transactions-btc-std-14,transactions-btc-std-90,transactions-btc-var-90,transactions-btc-trx-7,transactions-btc-trx-30,transactions-btc-trx-90,sentbyaddress-btc-sma-14,sentbyaddress-btc-sma-30,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-ema-90,sentbyaddress-btc-wma-14,sentbyaddress-btc-wma-30,sentbyaddress-btc-wma-90,sentbyaddress-btc-var-30,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,sentbyaddress-btc-rsi-90,top100cap-btc-sma-90,top100cap-btc-wma-14,top100cap-btc-std-14,top100cap-btc-std-30,top100cap-btc-std-90,top100cap-btc-mom-14,top100cap-btc-mom-30,top100cap-btc-var-14,top100cap-btc-var-90,top100cap-btc-trx-14,top100cap-btc-trx-30,top100cap-btc-trx-90,top100cap-btc-rsi-90,top100cap-btc-roc-14,activeaddresses-btc-sma-90,activeaddresses-btc-std-14,activeaddresses-btc-var-14,activeaddresses-btc-trx-14,activeaddresses-btc-trx-30,price-btc-sma-90,price-btc-ema-90,price-btc-trx-3,price-btc-trx-7,price-btc-trx-14,price-btc-trx-30,price-btc-trx-90,price-btc-rsi-30,price-btc-rsi-90,price-btc-roc-14,price-btc-roc-90,bitcoin-price_raw_30d
2013-04-01,65502112131790.0,7220.0,19.962,6695826,6695826,5182950,3906368,6690038,6526779,6096133,5385392,4296620,6695826,6695826,6368099,5652157,4430808,1745325,1899346,2161986,309232.0,3716190,901878886924.0,2.593,1.93,1.046,0.271,99.825,97.889,91.841,4.618,38.125,59387909975187.0,55235596298287.0,53495262808157.0,44956251399826.0,31776180357082.0,60545619812057.0,57115545498179.0,53347760970783.0,46935502677847.0,35799562131248.0,60620238288447.0,57669081336507.0,55439878831239.0,49808994690260.0,37564285480092.0,11901094115686.0,11490406893431.0,19252887180085.0,22738053510663.0,9.2668416192271e+25,1.91,2.0,1.373,0.372,103.342,169.207,6932.0,6562.0,6279.0,5449.0,3913.0,6990.0,6648.0,6242.0,5603.0,4403.0,7035.0,6806.0,6442.0,5894.0,4650.0,1716.0,2778.0,2384.0,736163.0,1929846.0,1.855,0.091,139714681,114652550,129648871,132859864,124388332,83568369,2498708038563228.0,1745918089683000.0,3.636,3.029,0.276,53.374,0.038,0.086,0.043,0.001,4.663,2.712,1.218,55.785,0.042,0.037,0.017,0.032,0.021,0.044,0.007,0.019,0.024,4.009,8.684,8.088,8.4,9.146,8.318,8.698,2.656,2.697,1.763,1.818,-0.275,616948319,669282203,428855865,468618640,455860515,534757265,5.195220233693293e+16,3.762,4.438,3.675,93.977,91.946,105.943,630.491,2716,2781,2031.0,1030745,3.688,3.059,-0.116,44.502,31.061,76.139,3.449,2.119,0.207,1.154,1.279,1.188,1.147,0.956,0.329,0.229,-0.381,0.05,0.742,158276,168568,154528,152041,36476,50776,-41100.0,332631544,644540075,-0.019,52541,52842,11454,16078,64627438,0.437,0.092,0.394,48248,43467,39879,44836,39824,49095,45856,41505,41786951,0.406,0.253,52.0,19.396,19.706,0.462,0.367,0.322,0.607,0.694,0.053,0.026,0.063,0.011,-0.057,50.301,3.135,57136,16122,64982806,1.219,0.538,32.485,39.444,3.723,4.395,3.629,2.538,1.025,93.774,91.45,104.747,606.456,124.662
2013-04-02,61845596902013.0,7990.0,20.024,6695826,6695826,5260549,3947659,6692932,6569041,6176092,5469936,4349349,6695826,6695826,6466725,5749761,4492115,1667845,1949365,2230475,309232.0,3716190,950005633515.0,2.333,1.948,1.085,0.279,99.825,97.889,91.841,4.618,38.125,60633728191775.0,56894215515944.0,54665535479792.0,45919538052526.0,32209968678589.0,61195608357035.0,58298058349138.0,54480805761613.0,47897444240696.0,36372002455880.0,61849081751860.0,59321581487439.0,56553256710420.0,50898629883949.0,38225151777783.0,11887441553889.0,11315233330806.0,19640918710600.0,23513282442924.0,9.6441421949099e+25,2.016,2.017,1.406,0.384,87.712,171.197,7394.0,6924.0,6503.0,5582.0,3977.0,7490.0,6984.0,6475.0,5757.0,4482.0,7564.0,7164.0,6670.0,6058.0,4740.0,1734.0,2884.0,2537.0,751741.0,2079147.0,2.171,0.104,160510202,126344266,161563287,193116435,143408864,94000481,3214435238744518.0,2209022600061440.8,3.89,3.121,0.312,60.03,0.04,0.091,0.045,0.001,4.561,2.777,1.251,58.315,0.045,0.039,0.017,0.033,0.021,0.047,0.008,0.02,0.028,4.233,8.459,8.051,8.367,9.13,8.3,8.672,2.648,2.708,1.753,1.833,-0.272,644647072,702431833,445432691,486875397,485734098,622208836,5.898440351722694e+16,5.227,4.586,3.792,95.152,93.08,110.932,744.047,3558,3583,2160.0,1166540,3.769,3.125,-0.089,47.757,32.466,181.992,3.531,2.21,0.23,1.163,1.286,1.192,1.145,0.953,0.328,0.227,-0.33,0.038,0.733,154176,170577,155210,163742,36220,50230,18361.0,327964049,630754328,-0.015,52806,53415,11873,15980,63840999,0.587,0.086,0.392,49382,44503,40218,45961,40318,50966,47069,41997,47486125,0.432,0.256,53.889,19.401,19.764,0.49,0.408,0.345,0.682,0.677,0.06,0.03,0.074,0.014,-0.056,50.893,3.526,57678,18640,86865914,1.27,0.569,33.536,40.945,5.184,4.543,3.745,2.617,1.057,94.987,92.645,109.704,716.218,111.049
2013-04-03,60270367548897.0,8852.0,19.987,6695826,6695826,5338147,3988950,6694379,6600737,6245390,5549026,4400920,6695826,6695826,6547748,5842360,4552514,1542023,1986041,2293952,309232.0,3716190,986089374520.0,2.064,1.943,1.122,0.288,99.825,97.889,91.841,4.618,38.125,62539358860900.0,58975896856611.0,55777688549531.0,46674364484225.0,32616029589136.0,60732987952966.0,58791135649077.0,55252747333251.0,48695697357354.0,36897241249133.0,61667401430421.0,60165619495677.0,57300567652967.0,51824489851457.0,38841863840867.0,7672492273609.0,10182774073258.0,20044305085355.0,24166298674113.0,1.004435415887e+26,1.991,2.015,1.435,0.396,60.185,154.039,8021.0,7363.0,6645.0,5743.0,4050.0,8171.0,7451.0,6792.0,5957.0,4578.0,8293.0,7645.0,6984.0,6269.0,4847.0,2113.0,3037.0,3069.0,1116414.0,2305788.0,2.668,0.117,168111305,137048586,184221089,233170515,160188894,102642361,3781082247256207.0,2633863588145095.0,4.28,3.248,0.353,59.682,0.042,0.102,0.051,0.001,5.18,2.871,1.288,60.746,0.048,0.041,0.018,0.035,0.022,0.051,0.012,0.023,0.031,4.66,8.064,8.152,8.373,9.123,8.324,8.652,2.559,2.714,1.638,1.841,-0.268,676520635,742158159,464614168,507846447,522966667,687509928,6.837353381290434e+16,7.014,4.954,3.958,95.925,93.897,109.011,839.301,4018,4138,2260.0,1276352,3.964,3.214,-0.059,51.291,34.005,317.592,3.763,2.327,0.256,1.227,1.299,1.212,1.151,0.953,0.331,0.227,-0.212,0.036,0.725,166303,169651,156056,173975,34402,49584,19528.0,295869877,614641815,-0.006,53046,54012,11938,15982,63855681,0.871,0.084,0.391,51276,45581,40562,47459,40952,53605,48661,42633,64654761,0.468,0.26,54.81,19.405,19.81,0.503,0.437,0.364,0.575,0.592,0.063,0.033,0.085,0.017,-0.056,50.53,2.964,58298,23932,143182571,1.403,0.611,34.722,42.682,6.968,4.91,3.911,2.707,1.09,95.785,93.508,107.789,808.284,102.694
2013-04-04,55272455140085.0,8777.0,19.99,6695826,6695826,5415745,4030241,6695103,6624509,6305448,5623013,4451358,6695826,6695826,6611170,5929952,4612006,1354453,2010105,2352822,309232.0,3716190,1010130109937.0,1.801,1.917,1.154,0.296,99.825,97.889,91.841,4.618,38.125,59129473196998.0,59231838277080.0,55963936181944.0,47372797279589.0,32978965966943.0,58002721546526.0,57911465521829.0,55255375040829.0,49120004311079.0,37301092103880.0,58033949570014.0,59239759066545.0,57233203198374.0,52379205377642.0,39339807259569.0,7013418016731.0,10042649490131.0,19731382020831.0,24532541967280.0,9.7331859112988e+25,1.734,1.969,1.456,0.407,61.053,144.48,8540.0,7555.0,6794.0,5910.0,4122.0,8474.0,7782.0,7057.0,6139.0,4670.0,8671.0,7999.0,7268.0,6465.0,4951.0,2382.0,3171.0,1344.0,1418707.0,2513253.0,3.069,0.132,180219729,144813868,194783324,240184269,172111754,108586735,4181966971339743.0,2947769732649600.0,4.617,3.379,0.396,57.934,0.044,0.113,0.057,0.001,5.965,2.985,1.328,61.387,0.051,0.043,0.019,0.036,0.023,0.054,0.015,0.024,0.03,5.036,8.275,8.348,8.339,9.122,8.484,8.657,2.475,2.714,1.531,1.841,-0.261,708525651,781878598,484245175,529400965,559483423,658696391,7.825542515096218e+16,7.226,5.28,4.134,96.113,94.103,94.217,866.699,4133,4350,2356.0,1387167,4.155,3.307,-0.027,55.938,35.968,562.561,4.166,2.481,0.285,1.3,1.315,1.254,1.173,0.963,0.344,0.232,0.014,0.049,0.717,193740,176267,156943,197772,50305,51353,27072.0,632653615,659287348,0.013,53249,54801,13290,16206,65661184,1.234,0.089,0.389,53186,46630,40971,49026,41629,56335,50349,43319,85452388,0.514,0.264,55.149,19.41,19.852,0.497,0.459,0.383,0.608,0.659,0.062,0.037,0.094,0.02,-0.055,50.559,3.139,58982,28315,200432683,1.58,0.663,35.948,44.46,7.181,5.235,4.087,2.805,1.126,95.977,93.724,93.098,834.762,105.04
2013-04-05,51815454745655.0,9950.0,19.833,6798904,6740002,5503651,4074968,6850081,6719647,6398730,5712177,4507483,6850442,6773134,6698222,6032489,4677386,1102088,2049389,2423226,309232.0,4025422,1049998827349.0,1.634,1.888,1.184,0.305,99.867,98.186,92.508,4.618,44.504,55786092478212.0,58195372037459.0,55757270220747.0,47974562797815.0,33303685514234.0,54909088146090.0,56387462827786.0,54796719001473.0,49293904339116.0,37620089085017.0,54376940344342.0,57385663183689.0,56680072340202.0,52665828439969.0,39753796023936.0,8735347100869.0,10254314157412.0,19126208338407.0,24746657364734.0,9.1452961351038e+25,1.299,1.873,1.468,0.419,53.47,129.366,9193.0,8052.0,7008.0,6087.0,4210.0,9212.0,8324.0,7443.0,6385.0,4786.0,9376.0,8598.0,7689.0,6726.0,5079.0,2886.0,3368.0,3485.0,2082572.0,2836428.0,3.579,0.147,196246808,154976440,202931598,231210636,183120094,114080731,4570336442425772.0,3253603293525400.0,4.872,3.507,0.441,57.979,0.045,0.117,0.059,0.001,6.048,3.093,1.37,58.864,0.054,0.045,0.019,0.038,0.024,0.058,0.016,0.026,0.031,5.295,8.395,8.55,8.334,9.11,8.586,8.657,2.217,2.704,1.229,1.828,-0.251,741556324,822685915,504687962,551901435,596666721,695779610,8.90027940952962e+16,6.695,5.497,4.304,96.361,94.378,96.823,910.125,4241,4337,2453.0,1503864,4.321,3.4,0.006,60.405,37.929,775.935,4.619,2.658,0.317,1.319,1.232,1.261,0.672,0.96,0.113,0.23,0.199,0.063,0.71,198614,178017,157741,193919,51243,51155,-4451.0,656453039,654198460,0.034,53491,55212,13374,16024,64193454,1.386,0.095,0.388,54514,47386,41318,50335,42237,58485,51813,43942,102026223,0.564,0.269,54.756,19.413,19.866,0.457,0.464,0.392,0.472,0.443,0.052,0.038,0.1,0.023,-0.054,49.033,2.439,59500,29826,222392877,1.735,0.716,37.231,46.311,6.652,5.452,4.257,2.907,1.164,96.233,94.013,95.718,876.762,113.464
2013-04-06,61828214750416.0,8923.0,19.833,7124628,6879599,5613822,4127116,7261540,6957985,6568632,5838682,4577055,7287490,7006384,6853785,6172446,4756464,809076,2146374,2526499,977174.0,4693363,1151730788639.0,1.673,1.885,1.216,0.314,99.915,98.62,93.644,14.594,58.283,56305374878719.0,58726810965768.0,56432105022907.0,48957293289103.0,33759925800740.0,58368651448253.0,57747650808443.0,55734251767998.0,50102569526942.0,38152135802938.0,57398001480444.0,58293873861928.0,57489531610825.0,53559612436911.0,40380708754402.0,9094706513828.0,10516744526294.0,18840725883715.0,25312859842570.0,8.8743237956317e+25,1.134,1.8,1.479,0.431,91.145,197.729,9217.0,8384.0,7170.0,6217.0,4283.0,9068.0,8474.0,7640.0,6548.0,4877.0,9241.0,8816.0,7944.0,6909.0,5183.0,3039.0,3486.0,2318.0,2309302.0,3037954.0,3.707,0.163,197131177,160747888,191603269,192346286,183472339,115485795,4493932018598449.5,3334242195953900.0,4.858,3.588,0.486,53.441,0.047,0.115,0.059,0.001,5.354,3.173,1.411,56.7,0.057,0.048,0.02,0.04,0.025,0.061,0.016,0.028,0.035,5.433,8.468,8.707,8.328,9.098,8.624,8.651,1.948,2.699,0.949,1.821,-0.24,776234498,864759574,526009713,575418958,634738238,779063458,1.0072315767911875e+17,6.022,5.599,4.456,96.601,94.647,111.972,956.989,3849,3886,2431.0,1477977,4.329,3.465,0.04,62.325,39.077,728.799,4.84,2.811,0.35,1.318,1.213,1.243,0.671,0.96,0.113,0.23,0.254,0.068,0.702,190067,173848,158385,176243,52138,49700,-43262.0,679604633,617523242,0.052,53699,55003,13473,15424,59472284,1.127,0.098,0.386,55165,47634,41563,50446,42453,58158,52114,44178,102441468,0.607,0.274,52.103,19.416,19.876,0.396,0.467,0.4,0.489,0.444,0.039,0.04,0.103,0.026,-0.053,49.037,2.527,59954,28597,204447338,1.799,0.762,38.576,48.24,5.982,5.555,4.409,3.011,1.203,96.479,94.297,110.817,922.051,113.005
2013-04-07,62710014647861.0,9411.0,19.767,7450353,7019195,5723993,4179265,7467270,7136739,6715881,5957025,4645098,7561676,7204734,6982440,6305297,4834395,684393,2217375,2621567,977174.0,4693363,1229187540768.0,1.756,1.89,1.248,0.324,99.915,98.62,93.644,14.594,37.483,58784561381311.0,59892030838102.0,56606848019815.0,49888014119461.0,34203852889091.0,60539333048057.0,58988241768298.0,56664353485313.0,50915953083130.0,38691869403926.0,60600321365015.0,59289674782452.0,58326586227485.0,54446884782637.0,41016974443350.0,8740512343785.0,10841862131140.0,18707180146223.0,25919505474601.0,8.7489647255807e+25,1.11,1.745,1.489,0.443,80.261,175.569,9428.0,8732.0,7477.0,6370.0,4360.0,9240.0,8709.0,7876.0,6733.0,4977.0,9339.0,9073.0,8243.0,7115.0,5295.0,3016.0,3626.0,2440.0,2274547.0,3286874.0,3.702,0.179,196574161,165829787,175509160,154048914,179002866,115946907,4309086448057972.0,3360921285754477.0,4.603,3.616,0.53,51.62,0.048,0.118,0.061,0.001,4.788,3.244,1.452,58.303,0.061,0.051,0.021,0.042,0.026,0.064,0.015,0.03,0.039,5.511,8.505,8.79,8.321,9.1,8.634,8.644,1.852,2.697,0.858,1.819,-0.229,813375690,909808190,548800997,600548544,675664378,854281803,1.1413058805451376e+17,5.694,5.649,4.595,96.909,95.001,120.537,1016.0,3147,3100,2364.0,1397038,4.11,3.48,0.073,62.452,39.631,648.241,4.753,2.913,0.383,1.349,1.217,1.249,0.672,0.956,0.113,0.229,0.289,0.072,0.695,184681,182074,159496,190827,51285,49383,43978.0,657543447,609668881,0.074,53957,55590,13637,15284,58397618,1.06,0.104,0.384,55315,48027,41727,50513,42652,57667,52363,44396,100672517,0.64,0.278,52.018,19.418,19.873,0.325,0.47,0.404,0.385,0.261,0.026,0.041,0.103,0.028,-0.052,48.404,1.984,60321,27493,188964667,1.813,0.803,40.008,50.303,5.654,5.606,4.547,3.117,1.245,96.797,94.67,119.363,979.512,110.375
2013-04-08,63348133569501.0,10124.0,19.689,7673000,7158791,5834164,4229880,7570135,7270804,6843497,6067733,4711645,7673000,7368185,7091172,6431039,4911181,794634,2264835,2711968,667941.0,4555363,1282369083736.0,1.81,1.894,1.279,0.334,99.915,98.62,93.644,9.535,14.594,62628787655926.0,59584319614918.0,57409957956603.0,50810250348052.0,34633063475243.0,61943733308779.0,60078214718599.0,57555524163205.0,51718029243541.0,39233765319653.0,62882107459111.0,60153700465301.0,59225424300777.0,55315279585865.0,41657508084677.0,8053492716857.0,11052546653601.0,18541883113718.0,26548753749922.0,8.5950357350694e+25,1.146,1.701,1.498,0.455,77.54,156.271,9486.0,9147.0,7854.0,6535.0,4453.0,9682.0,9062.0,8176.0,6952.0,5090.0,9687.0,9421.0,8596.0,7357.0,5422.0,2922.0,3782.0,2904.0,2134668.0,3575871.0,3.727,0.196,208307450,174011066,184121759,173658436,184886835,119753751,4298943128844980.0,3585240197880137.0,4.405,3.64,0.574,55.856,0.05,0.12,0.062,0.001,4.311,3.305,1.494,58.463,0.066,0.054,0.022,0.045,0.027,0.07,0.017,0.033,0.047,5.785,8.793,8.739,8.346,9.083,8.701,8.648,1.753,2.673,0.768,1.786,-0.216,857732657,967239231,576299641,630538898,730830417,1043053011,1.3352827466677536e+17,6.957,5.902,4.771,97.53,95.761,137.799,1162.0,3595,3413,2343.0,1372963,3.945,3.493,0.108,66.85,41.631,768.788,4.813,3.035,0.418,1.347,1.216,1.247,0.672,0.954,0.113,0.228,0.287,0.073,0.687,186365,190055,160005,192973,37749,49894,38287.0,356244249,622354878,0.099,54213,56040,13004,15008,56310715,1.012,0.111,0.383,56853,49088,42067,51564,43182,59197,53573,44947,105592143,0.677,0.283,54.036,19.421,19.856,0.263,0.47,0.408,0.244,0.174,0.017,0.042,0.1,0.03,-0.051,47.679,1.255,60965,29235,213677509,1.882,0.852,41.677,52.792,6.915,5.859,4.724,3.234,1.289,97.44,95.477,136.547,1120.0,109.595
2013-04-09,65111643775833.0,13352.0,19.714,7673000,7298387,5944335,4279029,7621567,7371353,6954098,6171299,4776730,7673000,7496738,7190598,6549674,4986854,869206,2290219,2798086,634311.5555555555,4423450,1311275417545.0,1.809,1.891,1.308,0.344,99.915,98.62,93.644,9.004555555555555,14.594,63723263997732.0,60050897739750.0,58472556627847.0,51677790418136.0,35121378181982.0,63527688542306.0,61336571982907.0,58563006778222.0,52582133406915.0,39802509901107.0,64123535519064.0,61535531505530.0,60252315743341.0,56237950129593.0,42327366992383.0,8861372838837.0,10949074860693.0,18701125323864.0,27149681059982.0,8.743302209472e+25,1.229,1.67,1.506,0.467,66.588,207.663,10963.0,9913.0,8419.0,6805.0,4578.0,11517.0,10135.0,8866.0,7365.0,5272.0,11619.0,10472.0,9329.0,7797.0,5618.0,3775.0,4185.0,5362.0,3563293.0,4379283.0,4.363,0.215,217869610,189189906,219151733,253311817,204917580,131209654,5294303707697924.0,4303993317407992.0,4.481,3.71,0.623,60.765,0.052,0.126,0.066,0.001,4.22,3.369,1.538,60.061,0.072,0.058,0.023,0.048,0.029,0.078,0.025,0.039,0.062,6.435,8.826,8.642,8.357,9.051,8.626,8.628,1.716,2.646,0.736,1.75,-0.205,913331396,1043617529,610910701,667841311,809883232,1365900271,1.6397771221867283e+17,9.664,6.538,5.043,98.112,96.548,173.955,1386.0,4834,4792,2557.0,1634615,4.021,3.546,0.145,74.998,44.961,1556.0,5.217,3.222,0.459,1.341,1.209,1.24,0.672,0.953,0.113,0.227,0.245,0.07,0.679,193219,190581,160347,186051,37015,49992,-6227.0,342522929,624788508,0.122,54477,56817,12705,15049,56620209,1.108,0.122,0.382,58710,50258,42470,53052,43874,61569,55222,45662,122951117,0.721,0.289,55.016,19.424,19.839,0.237,0.465,0.413,0.123,0.301,0.014,0.043,0.095,0.032,-0.051,47.935,0.626,61586,30372,230615669,1.967,0.904,43.696,55.926,9.62,6.493,4.995,3.375,1.338,98.043,96.314,172.506,1337.0,108.42
2013-04-10,70206503841325.0,12305.0,19.762,7673000,7437983,6054505,4328179,7647284,7446765,7049951,6268182,4840384,7673000,7590391,7280717,6661200,5061446,916854,2294259,2878277,600682.1111111111,4423450,1315906542194.0,1.755,1.877,1.335,0.355,99.915,98.62,93.644,8.47411111111111,14.594,66222093728887.0,61470345781525.0,60223121319068.0,52725657551404.0,35644762825181.0,66867096191816.0,63554054947512.0,60115473053303.0,53719189563974.0,40470729548145.0,67365155440861.0,64074433030924.0,61816842038471.0,57433350995605.0,43098468655225.0,11374186667831.0,10017080685539.0,19206820698080.0,28005325368815.0,9.2225490332046e+25,1.436,1.669,1.518,0.48,81.082,203.899,11927.0,10406.0,8884.0,7054.0,4689.0,11911.0,10677.0,9325.0,7683.0,5426.0,12290.0,11070.0,9847.0,8152.0,5788.0,3964.0,4459.0,3453.0,3928726.0,4971618.0,4.775,0.235,243641626,205876465,272513452,359373116,237372074,151433519,7717852482570384.0,5733027655108845.0,4.903,3.852,0.679,64.623,0.055,0.14,0.074,0.001,4.785,3.457,1.585,62.619,0.076,0.062,0.023,0.051,0.03,0.082,0.025,0.042,0.05,6.634,8.727,8.396,8.315,9.026,8.479,8.595,1.212,2.66,0.367,1.768,-0.197,962494324,1103117731,640690041,700582744,864916406,1097871966,1.87020097431988e+17,7.874,6.722,5.253,86.938,87.849,126.483,1243.0,6480,6761,3099.0,2400528,4.419,3.666,0.188,92.04,51.427,5507.0,6.392,3.576,0.514,1.308,1.213,1.248,0.673,0.756,0.113,0.143,0.224,0.069,0.672,180896,188329,160400,177246,40083,50016,-2022.0,401668889,625390165,0.141,54602,57409,12405,15166,57499297,1.142,0.134,0.381,61072,51863,42930,55035,44751,64911,57384,46570,150691678,0.775,0.295,56.118,19.429,19.828,0.222,0.464,0.418,0.093,0.32,0.012,0.044,0.09,0.033,-0.05,48.425,0.471,62389,35644,317615334,2.121,0.968,45.527,58.62,7.834,6.678,5.205,3.514,1.389,86.819,87.615,125.273,1198.0,110.54
