Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-hashrate_raw,difficulty-btc-sma-3,difficulty-btc-sma-14,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-7,difficulty-btc-wma-30,difficulty-btc-std-3,difficulty-btc-std-30,difficulty-btc-std-90,difficulty-btc-var-30,difficulty-btc-trx-90,hashrate-btc-sma-3,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-ema-3,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-7,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-7,hashrate-btc-std-14,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-mom-14,hashrate-btc-var-14,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-3,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-3,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-30,mining_profitability-btc-var-30,mining_profitability-btc-trx-14,mining_profitability-btc-trx-30,mining_profitability-btc-trx-90,sentinusd-btc-sma-14,sentinusd-btc-sma-90,sentinusd-btc-std-30,sentinusd-btc-var-7,sentinusd-btc-var-30,sentinusd-btc-var-90,sentinusd-btc-trx-30,transactionfees-btc-sma-14,transactionfees-btc-sma-30,transactionfees-btc-sma-90,transactionfees-btc-ema-14,transactionfees-btc-wma-30,transactionfees-btc-var-3,transactionfees-btc-var-7,transactionfees-btc-trx-3,transactionfees-btc-trx-30,transactionfees-btc-trx-90,median_transaction_fee-btc-std-90,median_transaction_fee-btc-trx-30,median_transaction_fee-btc-trx-90,median_transaction_fee-btc-roc-90,confirmationtime-btc-sma-7,confirmationtime-btc-sma-30,confirmationtime-btc-sma-90,confirmationtime-btc-std-30,confirmationtime-btc-var-30,confirmationtime-btc-trx-14,confirmationtime-btc-trx-90,marketcap-btc-wma-90,marketcap-btc-trx-30,marketcap-btc-trx-90,transactionvalue-btc-sma-7,transactionvalue-btc-sma-14,transactionvalue-btc-sma-90,transactionvalue-btc-ema-7,transactionvalue-btc-ema-14,transactionvalue-btc-ema-30,transactionvalue-btc-ema-90,transactionvalue-btc-wma-7,transactionvalue-btc-wma-30,transactionvalue-btc-var-90,transactionvalue-btc-trx-14,transactionvalue-btc-trx-30,mediantransactionvalue-btc-sma-7,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-wma-14,mediantransactionvalue-btc-std-30,mediantransactionvalue-btc-var-7,mediantransactionvalue-btc-var-30,mediantransactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-14,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-14,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-14,fee_to_reward-btc-std-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-14,fee_to_reward-btc-var-90,fee_to_reward-btc-trx-14,fee_to_reward-btc-trx-30,fee_to_reward-btc-trx-90,fee_to_reward-btc-roc-7,size-btc-sma-7,size-btc-sma-90,size-btc-ema-90,size-btc-wma-90,size-btc-std-30,size-btc-std-90,size-btc-var-30,size-btc-var-90,size-btc-trx-30,size-btc-trx-90,transactions-btc-var-30,transactions-btc-var-90,transactions-btc-trx-30,transactions-btc-trx-90,sentbyaddress-btc-std-90,sentbyaddress-btc-var-90,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-ema-90,top100cap-btc-wma-14,top100cap-btc-wma-30,top100cap-btc-wma-90,top100cap-btc-std-30,top100cap-btc-std-90,top100cap-btc-var-30,top100cap-btc-var-90,top100cap-btc-trx-7,top100cap-btc-trx-14,top100cap-btc-trx-30,top100cap-btc-trx-90,top100cap-btc-roc-30,activeaddresses-btc-sma-30,activeaddresses-btc-ema-30,activeaddresses-btc-wma-90,activeaddresses-btc-trx-30,activeaddresses-btc-trx-90,price-btc-sma-14,price-btc-wma-3,price-btc-trx-30,price-btc-trx-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,1039517192,94.715,65502112131790.0,6695826,5956136,5182950,3906368,6690038,6096133,5385392,4296620,6695826,5652157,291547.0,1899346,2161986,901878886924.0,0.271,59387909975187.0,53495262808157.0,44956251399826.0,60545619812057.0,57115545498179.0,53347760970783.0,46935502677847.0,35799562131248.0,57669081336507.0,55439878831239.0,49808994690260.0,37564285480092.0,11901094115686.0,11490406893431.0,19252887180085.0,22738053510663.0,17734217715780.0,3.3007362644153e+25,9.2668416192271e+25,1.2925476936344e+26,3.2,0.372,6932.0,6279.0,5449.0,3913.0,6990.0,6242.0,5603.0,4403.0,7035.0,6806.0,6442.0,5894.0,4650.0,2048.0,1048771.0,1.522,1.215,0.091,114652550,50015639,99974157,750538663727116.0,2498708038563228.0,1745918089683000.0,3.029,0.072,0.056,0.031,0.073,0.065,0.001,0.001,1.552,2.712,1.218,0.023,2.482,1.11,606.456,8.684,8.4,9.146,2.341,1.37,-0.129,-0.057,468618640,2.586,1.097,2821,2385,1039,2644,2446,2019,1335,2746,2254,719749,3.688,3.059,59.708,26.683,31.061,55.935,31.265,54.242,244.368,2.119,0.207,1.154,1.279,1.237,1.157,1.205,1.245,0.555,1.147,0.956,0.077,0.229,-0.381,0.05,0.742,-28.973,168568,154528,149099,156022,61285,50776,938951276,644540075,-0.019,0.334,74247499,64627438,0.092,0.394,10848,29422322,0.406,0.253,19.501,19.706,19.568,19.428,0.367,0.322,0.034,0.026,0.191,0.063,0.011,-0.057,3.6,64764,66879,60273,0.538,0.27,73.635,91.616,2.538,1.025,107.749,163.561,124.662,89.829
2013-04-02,1183101461,107.749,61845596902013.0,6695826,6088148,5260549,3947659,6692932,6176092,5469936,4349349,6695826,5749761,291547.0,1949365,2230475,950005633515.0,0.279,60633728191775.0,54665535479792.0,45919538052526.0,61195608357035.0,58298058349138.0,54480805761613.0,47897444240696.0,36372002455880.0,59321581487439.0,56553256710420.0,50898629883949.0,38225151777783.0,11887441553889.0,11315233330806.0,19640918710600.0,23513282442924.0,16383817402884.0,3.2008626332648e+25,9.6441421949099e+25,1.3821861281017e+26,3.023,0.384,7394.0,6503.0,5582.0,3977.0,7490.0,6475.0,5757.0,4482.0,7564.0,7164.0,6670.0,6058.0,4740.0,2170.0,1177343.0,1.605,1.241,0.104,126344266,52609580,113391979,2181676812812860.0,3214435238744518.0,2209022600061440.8,3.121,0.075,0.059,0.032,0.078,0.068,0.001,0.001,3.267,2.777,1.251,0.024,2.534,1.139,716.218,8.459,8.367,9.13,2.337,1.366,-0.129,-0.059,486875397,2.665,1.129,3064,2545,1081,3083,2706,2172,1403,3140,2417,841849,3.769,3.125,63.554,27.577,32.466,61.272,35.145,207.029,308.786,2.21,0.23,1.163,1.286,1.243,1.161,1.229,1.248,0.563,1.145,0.953,0.079,0.227,-0.33,0.038,0.733,12.433,170577,155210,149678,156482,61721,50230,952368214,630754328,-0.015,0.331,76789294,63840999,0.086,0.392,11689,34157477,0.432,0.256,19.513,19.764,19.602,19.442,0.408,0.345,0.042,0.03,0.209,0.074,0.014,-0.056,3.498,66291,68492,61036,0.569,0.274,77.661,100.288,2.617,1.057,120.003,195.397,111.049,85.608
2013-04-03,1318189886,120.003,60270367548897.0,6695826,6220161,5338147,3988950,6694379,6245390,5549026,4400920,6695826,5842360,291547.0,1986041,2293952,986089374520.0,0.288,62539358860900.0,55777688549531.0,46674364484225.0,60732987952966.0,58791135649077.0,55252747333251.0,48695697357354.0,36897241249133.0,60165619495677.0,57300567652967.0,51824489851457.0,38841863840867.0,7672492273609.0,10182774073258.0,20044305085355.0,24166298674113.0,15570142976346.0,2.5922221956753e+25,1.004435415887e+26,1.4600249790161e+26,1.982,0.396,8021.0,6645.0,5743.0,4050.0,8171.0,6792.0,5957.0,4578.0,8293.0,7645.0,6984.0,6269.0,4847.0,2388.0,1426075.0,1.738,1.276,0.117,137048586,55179282,122981011,3113266217989468.0,3781082247256207.0,2633863588145095.0,3.248,0.081,0.062,0.034,0.085,0.073,0.001,0.001,8.329,2.871,1.288,0.025,2.599,1.17,808.284,8.064,8.373,9.123,2.335,1.363,-0.126,-0.061,507846447,2.756,1.163,3122,2697,1125,3432,2942,2321,1470,3494,2576,964945,3.964,3.214,69.235,28.497,34.005,67.298,39.665,391.727,393.331,2.327,0.256,1.227,1.299,1.25,1.17,1.287,1.255,0.541,1.151,0.953,0.073,0.227,-0.212,0.036,0.725,-11.535,169651,156056,150437,157119,62497,49584,976467593,614641815,-0.006,0.329,76727861,63855681,0.084,0.391,13162,43309807,0.468,0.26,19.523,19.81,19.632,19.454,0.437,0.364,0.048,0.033,0.216,0.085,0.017,-0.056,3.051,68078,70985,62124,0.611,0.279,82.108,111.703,2.707,1.09,123.562,178.5,102.694,83.204
2013-04-04,1357824968,123.562,55272455140085.0,6695826,6352174,5415745,4030241,6695103,6305448,5623013,4451358,6695826,5929952,291547.0,2010105,2352822,1010130109937.0,0.296,59129473196998.0,55963936181944.0,47372797279589.0,58002721546526.0,57911465521829.0,55255375040829.0,49120004311079.0,37301092103880.0,59239759066545.0,57233203198374.0,52379205377642.0,39339807259569.0,7013418016731.0,10042649490131.0,19731382020831.0,24532541967280.0,2607466853785.0,2.5213702195409e+25,9.7331859112988e+25,1.5046140384409e+26,0.067,0.407,8540.0,6794.0,5910.0,4122.0,8474.0,7057.0,6139.0,4670.0,8671.0,7999.0,7268.0,6465.0,4951.0,2510.0,1574429.0,1.884,1.316,0.132,144813868,57367531,129336259,3353619075944136.0,4181966971339743.0,2947769732649600.0,3.379,0.087,0.066,0.035,0.093,0.078,0.001,0.001,10.577,2.985,1.328,0.027,2.674,1.203,834.762,8.275,8.339,9.122,2.247,1.262,-0.09,-0.063,529400965,2.854,1.2,3363,2833,1165,3636,3117,2446,1531,3775,2712,1069102,4.155,3.307,78.292,29.741,35.968,75.667,47.626,715.096,567.056,2.481,0.285,1.3,1.315,1.261,1.187,1.383,1.271,0.627,1.173,0.963,0.098,0.232,0.014,0.049,0.717,47.185,176267,156943,152000,158559,65394,51353,1069093010,659287348,0.013,0.327,81439397,65661184,0.089,0.389,14643,53607673,0.514,0.264,19.534,19.852,19.661,19.467,0.459,0.383,0.053,0.037,0.214,0.094,0.02,-0.055,3.408,69795,73431,63235,0.663,0.284,86.363,119.74,2.805,1.126,128.664,115.0,105.04,81.424
2013-04-05,1414392012,128.664,51815454745655.0,6798904,6506275,5503651,4074968,6850081,6398730,5712177,4507483,6773134,6032489,291547.0,2049389,2423226,1049998827349.0,0.305,55786092478212.0,55757270220747.0,47974562797815.0,54909088146090.0,56387462827786.0,54796719001473.0,49293904339116.0,37620089085017.0,57385663183689.0,56680072340202.0,52665828439969.0,39753796023936.0,8735347100869.0,10254314157412.0,19126208338407.0,24746657364734.0,-2893323456757.0,2.6287739709724e+25,9.1452961351038e+25,1.5309926268188e+26,-1.729,0.419,9193.0,7008.0,6087.0,4210.0,9212.0,7443.0,6385.0,4786.0,9376.0,8598.0,7689.0,6726.0,5079.0,2853.0,2035077.0,2.074,1.368,0.147,154976440,59595584,135208527,2810249080422272.0,4570336442425772.0,3253603293525400.0,3.507,0.091,0.067,0.036,0.096,0.081,0.001,0.001,6.964,3.093,1.37,0.028,2.755,1.237,876.762,8.395,8.334,9.11,2.238,1.252,-0.04,-0.065,551901435,2.957,1.238,3695,3026,1205,3814,3281,2568,1593,4022,2847,1177635,4.321,3.4,86.938,30.977,37.929,83.582,53.912,927.921,726.635,2.658,0.317,1.319,1.232,1.267,1.193,1.4,1.274,0.627,0.672,0.96,0.098,0.23,0.199,0.063,0.71,3.735,178017,157741,152837,159287,65074,51155,1058645352,654198460,0.034,0.326,80782038,64193454,0.095,0.388,15788,62312782,0.564,0.269,19.54,19.866,19.678,19.477,0.464,0.392,0.054,0.038,0.193,0.1,0.023,-0.054,2.285,70824,75147,64138,0.716,0.29,90.858,125.52,2.907,1.164,134.114,92.446,113.464,78.461
2013-04-06,1474827634,134.114,61828214750416.0,7124628,6708086,5613822,4127116,7261540,6568632,5838682,4577055,7006384,6172446,815581.0,2146374,2526499,1151730788639.0,0.314,56305374878719.0,56432105022907.0,48957293289103.0,58368651448253.0,57747650808443.0,55734251767998.0,50102569526942.0,38152135802938.0,58293873861928.0,57489531610825.0,53559612436911.0,40380708754402.0,9094706513828.0,10516744526294.0,18840725883715.0,25312859842570.0,9447687230248.0,2.7650478857832e+25,8.8743237956317e+25,1.6018521835239e+26,-0.285,0.431,9217.0,7170.0,6217.0,4283.0,9068.0,7640.0,6548.0,4877.0,9241.0,8816.0,7944.0,6909.0,5183.0,2999.0,2248623.0,2.225,1.419,0.163,160747888,61196359,134073592,2735668458713424.0,4493932018598449.5,3334242195953900.0,3.588,0.093,0.069,0.037,0.097,0.084,0.001,0.001,1.726,3.173,1.411,0.03,2.84,1.274,922.051,8.468,8.328,9.098,2.232,1.246,0.009,-0.066,575418958,3.062,1.278,3805,3150,1239,3725,3304,2626,1634,3962,2919,1226309,4.329,3.465,93.173,31.783,39.077,86.141,54.471,657.16,741.764,2.811,0.35,1.318,1.213,1.267,1.187,1.351,1.267,0.629,0.671,0.96,0.099,0.23,0.254,0.068,0.702,-35.294,173848,158385,152963,159305,62919,49700,989697975,617523242,0.052,0.324,76225007,59472284,0.098,0.386,15763,62117197,0.607,0.274,19.547,19.876,19.695,19.486,0.467,0.4,0.055,0.04,0.164,0.103,0.026,-0.053,2.292,71381,75659,64656,0.762,0.296,95.893,130.538,3.011,1.203,142.08,98.435,113.005,73.017
2013-04-07,1563013110,142.08,62710014647861.0,7450353,6857511,5723993,4179265,7467270,6715881,5957025,4645098,7204734,6305297,629741.0,2217375,2621567,1229187540768.0,0.324,58784561381311.0,56606848019815.0,49888014119461.0,60539333048057.0,58988241768298.0,56664353485313.0,50915953083130.0,38691869403926.0,59289674782452.0,58326586227485.0,54446884782637.0,41016974443350.0,8740512343785.0,10841862131140.0,18707180146223.0,25919505474601.0,2446401956702.0,2.9386493617664e+25,8.7489647255807e+25,1.6795519101196e+26,1.093,0.443,9428.0,7477.0,6370.0,4360.0,9240.0,7876.0,6733.0,4977.0,9339.0,9073.0,8243.0,7115.0,5295.0,3162.0,2498776.0,2.354,1.472,0.179,165829787,62405013,131287264,2811061999712368.0,4309086448057972.0,3360921285754477.0,3.616,0.098,0.072,0.038,0.1,0.087,0.001,0.001,1.025,3.244,1.452,0.032,2.93,1.312,979.512,8.505,8.321,9.1,2.225,1.237,0.052,-0.068,600548544,3.168,1.321,3710,3236,1261,3405,3190,2614,1652,3622,2921,1235699,4.11,3.48,95.062,32.319,39.631,84.789,53.553,519.486,716.987,2.913,0.383,1.349,1.217,1.272,1.19,1.349,1.268,0.576,0.672,0.956,0.083,0.229,0.289,0.072,0.695,20.834,182074,159496,154115,160339,65397,49383,1069205906,609668881,0.074,0.323,78845320,58397618,0.104,0.384,15865,62923228,0.64,0.278,19.551,19.873,19.706,19.494,0.47,0.404,0.055,0.041,0.129,0.103,0.028,-0.052,1.339,72398,76397,65253,0.803,0.302,101.415,137.188,3.117,1.245,163.561,91.849,110.375,66.0
2013-04-08,1799989332,163.561,63348133569501.0,7673000,6927309,5834164,4229880,7570135,6843497,6067733,4711645,7368185,6431039,601205.5,2264835,2711968,1282369083736.0,0.334,62628787655926.0,57409957956603.0,50810250348052.0,61943733308779.0,60078214718599.0,57555524163205.0,51718029243541.0,39233765319653.0,60153700465301.0,59225424300777.0,55315279585865.0,41657508084677.0,8053492716857.0,11052546653601.0,18541883113718.0,26548753749922.0,11243539115034.0,3.0539696882506e+25,8.5950357350694e+25,1.762090814185e+26,1.752,0.455,9486.0,7854.0,6535.0,4453.0,9682.0,8176.0,6952.0,5090.0,9687.0,9421.0,8596.0,7357.0,5422.0,3402.0,2893644.0,2.483,1.528,0.196,174011066,64431646,131132652,2023810799398008.0,4298943128844980.0,3585240197880137.0,3.64,0.103,0.074,0.04,0.103,0.09,0.001,0.001,1.276,3.305,1.494,0.034,3.033,1.352,1120.0,8.793,8.346,9.083,2.251,1.267,0.105,-0.069,630538898,3.286,1.366,3917,3369,1297,3565,3304,2706,1705,3706,3022,1317457,3.945,3.493,104.438,33.565,41.631,92.047,58.47,482.967,854.698,3.035,0.418,1.347,1.216,1.274,1.19,1.327,1.266,0.578,0.672,0.954,0.084,0.228,0.287,0.073,0.687,36.397,190055,160005,155017,161122,66811,49894,1115915801,622354878,0.099,0.322,80403360,56310715,0.111,0.383,16667,69446512,0.677,0.283,19.554,19.856,19.712,19.499,0.47,0.408,0.055,0.042,0.088,0.1,0.03,-0.051,0.889,74390,78816,66430,0.852,0.309,108.159,151.492,3.234,1.289,195.397,87.108,109.595,69.751
2013-04-09,2151102847,195.397,65111643775833.0,7673000,6997107,5944335,4279029,7621567,6954098,6171299,4776730,7496738,6549674,572670.0,2290219,2798086,1311275417545.0,0.344,63723263997732.0,58472556627847.0,51677790418136.0,63527688542306.0,61336571982907.0,58563006778222.0,52582133406915.0,39802509901107.0,61535531505530.0,60252315743341.0,56237950129593.0,42327366992383.0,8861372838837.0,10949074860693.0,18701125323864.0,27149681059982.0,14876381397420.0,2.9970560076263e+25,8.743302209472e+25,1.8427629541468e+26,2.122,0.467,10963.0,8419.0,6805.0,4578.0,11517.0,8866.0,7365.0,5272.0,11619.0,10472.0,9329.0,7797.0,5618.0,4155.0,4316562.0,2.722,1.606,0.215,189189906,67789645,145523932,3509494364536184.0,5294303707697924.0,4303993317407992.0,3.71,0.108,0.078,0.041,0.109,0.095,0.001,0.001,3.608,3.369,1.538,0.037,3.161,1.397,1337.0,8.826,8.357,9.051,2.245,1.26,0.129,-0.07,667841311,3.427,1.416,4156,3610,1359,4192,3673,2923,1801,4245,3247,1560757,4.021,3.546,118.465,35.483,44.961,106.857,73.811,1397.0,1362.0,3.222,0.459,1.341,1.209,1.275,1.188,1.295,1.263,0.586,0.672,0.953,0.086,0.227,0.245,0.07,0.679,-17.034,190581,160347,155546,161542,66511,49992,1105939032,624788508,0.122,0.321,73273707,56620209,0.122,0.382,17992,80927400,0.721,0.289,19.558,19.839,19.718,19.506,0.465,0.413,0.054,0.043,0.053,0.095,0.032,-0.051,1.549,76227,80962,67553,0.904,0.317,116.995,175.898,3.375,1.338,178.5,75.043,108.42,73.549
2013-04-10,1965870661,178.5,70206503841325.0,7673000,7066905,6054505,4328179,7647284,7049951,6268182,4840384,7590391,6661200,544134.5,2294259,2878277,1315906542194.0,0.355,66222093728887.0,60223121319068.0,52725657551404.0,66867096191816.0,63554054947512.0,60115473053303.0,53719189563974.0,40470729548145.0,64074433030924.0,61816842038471.0,57433350995605.0,43098468655225.0,11374186667831.0,10017080685539.0,19206820698080.0,28005325368815.0,24507905677094.0,2.5085476365151e+25,9.2225490332046e+25,1.9607456225329e+26,3.03,0.48,11927.0,8884.0,7054.0,4689.0,11911.0,9325.0,7683.0,5426.0,12290.0,11070.0,9847.0,8152.0,5788.0,4531.0,5132843.0,2.957,1.69,0.235,205876465,72404772,175702618,9263918412207048.0,7717852482570384.0,5733027655108845.0,3.852,0.115,0.083,0.043,0.118,0.101,0.001,0.001,8.273,3.457,1.585,0.04,3.289,1.445,1198.0,8.727,8.315,9.026,2.258,1.274,0.115,-0.072,700582744,3.567,1.468,4677,3900,1445,5175,4267,3259,1940,5237,3593,2050656,4.419,3.666,152.267,39.108,51.427,139.942,121.47,7176.0,3689.0,3.576,0.514,1.308,1.213,1.246,1.191,1.295,1.264,0.527,0.673,0.756,0.069,0.143,0.224,0.069,0.672,-16.044,188329,160400,155830,161720,66465,50016,1104405178,625390165,0.141,0.32,75345573,57499297,0.134,0.381,19967,99673358,0.775,0.295,19.562,19.828,19.728,19.513,0.464,0.418,0.054,0.044,0.027,0.09,0.033,-0.05,1.646,78891,84349,69133,0.968,0.325,124.085,181.642,3.514,1.389,115.0,77.734,110.54,72.494
