Date,difficulty-btc-trx-90,hashrate-btc-trx-90,sentinusd-btc-ema-90,transactionfees-btc-trx-90,transactionvalue-btc-ema-7,transactionvalue-btc-wma-90,transactionvalue-btc-trx-90,sentbyaddress-btc-trx-90,top100cap-btc-sma-90,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-90,activeaddresses-btc-ema-90,activeaddresses-btc-trx-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-01,0.271,0.372,62957053,1.218,2644,1380,-0.116,0.253,19.396,19.545,19.501,19.428,57827,0.27,107.749,163.561,124.662,89.829
2013-04-02,0.279,0.384,67228470,1.251,3083,1454,-0.089,0.256,19.401,19.576,19.513,19.442,58575,0.274,120.003,195.397,111.049,85.608
2013-04-03,0.288,0.396,71293657,1.288,3432,1528,-0.059,0.26,19.405,19.602,19.523,19.454,59642,0.279,123.562,178.5,102.694,83.204
2013-04-04,0.296,0.407,74704127,1.328,3636,1597,-0.027,0.264,19.41,19.627,19.534,19.467,60725,0.284,128.664,115.0,105.04,81.424
2013-04-05,0.305,0.419,78059562,1.37,3814,1667,0.006,0.269,19.413,19.64,19.54,19.477,61589,0.29,134.114,92.446,113.464,78.461
2013-04-06,0.314,0.431,79808105,1.411,3725,1716,0.04,0.274,19.416,19.653,19.547,19.486,62061,0.296,142.08,98.435,113.005,73.017
2013-04-07,0.324,0.443,80850275,1.452,3405,1743,0.073,0.278,19.418,19.66,19.551,19.494,62611,0.302,163.561,91.849,110.375,66.0
2013-04-08,0.334,0.455,83687842,1.494,3565,1804,0.108,0.283,19.421,19.662,19.554,19.499,63739,0.309,195.397,87.108,109.595,69.751
2013-04-09,0.344,0.467,88974739,1.538,4192,1909,0.145,0.289,19.424,19.665,19.558,19.506,64801,0.317,178.5,75.043,108.42,73.549
2013-04-10,0.355,0.48,96526912,1.585,5175,2058,0.188,0.295,19.429,19.672,19.562,19.513,66310,0.325,115.0,77.734,110.54,72.494
2013-04-11,0.365,0.493,98635406,1.629,4888,2115,0.231,0.303,19.438,19.705,19.576,19.53,67591,0.335,92.446,94.679,112.503,75.989
2013-04-12,0.376,0.505,99510696,1.67,4363,2143,0.272,0.31,19.446,19.733,19.589,19.545,68368,0.344,98.435,106.7,111.738,81.5
2013-04-13,0.387,0.518,99499051,1.706,3871,2163,0.312,0.317,19.456,19.759,19.601,19.561,68686,0.353,91.849,114.48,112.241,84.999
2013-04-14,0.398,0.53,98649095,1.738,3252,2159,0.349,0.323,19.466,19.784,19.613,19.576,68746,0.361,87.108,114.295,108.635,88.095
2013-04-15,0.409,0.542,98171011,1.769,2857,2162,0.383,0.329,19.479,19.823,19.63,19.596,69438,0.37,75.043,113.535,104.575,88.156
2013-04-16,0.419,0.554,98742178,1.795,2638,2171,0.415,0.336,19.494,19.868,19.649,19.619,70118,0.378,77.734,120.78,107.0,89.295
2013-04-17,0.43,0.566,99326524,1.818,2573,2189,0.445,0.342,19.507,19.901,19.665,19.639,70890,0.387,94.679,134.8,110.492,89.925
2013-04-18,0.442,0.578,109202642,1.839,4895,2415,0.484,0.348,19.52,19.935,19.682,19.659,71137,0.395,106.7,139.74,112.815,88.775
2013-04-19,0.453,0.59,111008015,1.857,4510,2450,0.522,0.354,19.534,19.967,19.698,19.679,71882,0.403,114.48,132.945,112.905,86.483
2013-04-20,0.465,0.601,110906704,1.873,4033,2469,0.558,0.359,19.549,20.004,19.717,19.701,71939,0.41,114.295,126.316,113.2,83.838
2013-04-21,0.477,0.613,110741866,1.886,3657,2486,0.591,0.364,19.564,20.037,19.735,19.722,71894,0.417,113.535,124.045,115.28,83.858
2013-04-22,0.488,0.624,112159187,1.898,3733,2533,0.624,0.369,19.578,20.068,19.752,19.743,72329,0.424,120.78,130.56,116.686,83.889
2013-04-23,0.5,0.635,113704719,1.909,3594,2562,0.655,0.374,19.592,20.098,19.769,19.764,72788,0.43,134.8,134.465,118.696,84.1
2013-04-24,0.512,0.647,116520931,1.92,3837,2622,0.686,0.378,19.605,20.111,19.781,19.78,73441,0.436,139.74,124.662,124.605,85.24
2013-04-25,0.524,0.658,118768786,1.93,3795,2660,0.716,0.383,19.618,20.129,19.794,19.797,73822,0.443,132.945,111.049,127.725,86.425
2013-04-26,0.536,0.669,119408396,1.937,3570,2681,0.743,0.388,19.63,20.148,19.808,19.814,74094,0.448,126.316,102.694,128.75,87.875
2013-04-27,0.548,0.68,118883682,1.944,3250,2688,0.769,0.391,19.639,20.149,19.816,19.826,74186,0.453,124.045,105.04,128.355,89.193
2013-04-28,0.559,0.69,117662900,1.947,2863,2682,0.791,0.395,19.648,20.151,19.824,19.838,75150,0.459,130.56,113.464,125.725,88.506
2013-04-29,0.571,0.701,117506806,1.95,3338,2743,0.814,0.398,19.655,20.145,19.829,19.847,75410,0.464,134.465,113.005,126.43,88.353
2013-04-30,0.582,0.711,116654521,1.952,3210,2760,0.834,0.4,19.662,20.141,19.835,19.857,75443,0.469,124.662,110.375,127.245,91.241
2013-05-01,0.593,0.721,116472732,1.951,3171,2781,0.854,0.402,19.669,20.142,19.842,19.868,75623,0.473,111.049,109.595,126.424,93.05
2013-05-02,0.605,0.731,115875046,1.949,2831,2775,0.87,0.404,19.678,20.147,19.85,19.88,75762,0.477,102.694,108.42,126.909,96.0
2013-05-03,0.616,0.74,114874117,1.945,2526,2764,0.884,0.406,19.687,20.152,19.858,19.892,75918,0.48,105.04,110.54,124.135,95.875
2013-05-04,0.628,0.748,113269675,1.939,2156,2741,0.894,0.406,19.696,20.156,19.866,19.903,75788,0.483,113.464,112.503,120.333,95.495
2013-05-05,0.639,0.757,112043053,1.931,1976,2726,0.903,0.407,19.704,20.157,19.872,19.914,75708,0.485,113.005,111.738,119.685,95.372
2013-05-06,0.65,0.765,111427718,1.922,1934,2718,0.909,0.407,19.712,20.153,19.877,19.922,75917,0.487,110.375,112.241,120.096,94.551
2013-05-07,0.661,0.774,111074400,1.912,1928,2713,0.913,0.407,19.72,20.149,19.882,19.931,76646,0.489,109.595,108.635,119.388,95.46
2013-05-08,0.671,0.782,110391224,1.901,1896,2706,0.916,0.407,19.728,20.148,19.888,19.94,77213,0.491,108.42,104.575,115.014,96.892
2013-05-09,0.682,0.79,109325175,1.889,1706,2683,0.917,0.407,19.737,20.147,19.893,19.949,77317,0.493,110.54,107.0,110.585,97.39
2013-05-10,0.692,0.798,108622462,1.877,1651,2668,0.916,0.407,19.745,20.142,19.897,19.956,77472,0.494,112.503,110.492,105.935,95.932
2013-05-11,0.701,0.806,107650839,1.863,1502,2643,0.913,0.407,19.752,20.134,19.9,19.962,77547,0.495,111.738,112.815,104.06,94.179
2013-05-12,0.711,0.814,106412387,1.849,1366,2616,0.908,0.407,19.76,20.126,19.902,19.968,77373,0.496,112.241,112.905,106.555,93.381
2013-05-13,0.72,0.822,105712429,1.834,1543,2613,0.903,0.406,19.766,20.118,19.904,19.973,77492,0.496,108.635,113.2,108.05,93.038
2013-05-14,0.73,0.829,104986895,1.818,1483,2593,0.896,0.405,19.773,20.112,19.907,19.978,77629,0.496,104.575,115.28,106.945,93.989
2013-05-15,0.739,0.837,104120239,1.802,1419,2572,0.888,0.404,19.78,20.108,19.91,19.984,77786,0.496,107.0,116.686,102.855,94.938
2013-05-16,0.748,0.844,103248937,1.786,1379,2551,0.879,0.404,19.788,20.11,19.915,19.992,77926,0.496,110.492,118.696,100.25,96.293
2013-05-17,0.757,0.85,102633766,1.77,1439,2537,0.869,0.402,19.796,20.11,19.919,20.0,77937,0.495,112.815,124.605,100.355,96.952
2013-05-18,0.766,0.856,101847887,1.753,1484,2523,0.859,0.401,19.806,20.11,19.924,20.007,77727,0.494,112.905,127.725,100.846,96.543
2013-05-19,0.774,0.862,100565789,1.736,1364,2496,0.847,0.399,19.816,20.109,19.927,20.013,77430,0.492,113.2,128.75,103.663,96.796
2013-05-20,0.782,0.867,99580550,1.718,1339,2474,0.835,0.397,19.826,20.109,19.931,20.019,77304,0.49,115.28,128.355,105.104,96.925
2013-05-21,0.79,0.872,98916981,1.701,1364,2456,0.823,0.395,19.835,20.108,19.935,20.025,77420,0.487,116.686,125.725,105.826,97.996
2013-05-22,0.798,0.876,98431562,1.683,1440,2443,0.81,0.393,19.843,20.109,19.939,20.032,77362,0.485,118.696,126.43,106.072,101.101
2013-05-23,0.805,0.88,97900204,1.665,1431,2424,0.796,0.39,19.851,20.11,19.943,20.037,77492,0.482,124.605,127.245,103.671,105.11
2013-05-24,0.812,0.884,97658858,1.648,1500,2411,0.783,0.388,19.86,20.112,19.947,20.044,77656,0.48,127.725,126.424,101.679,107.292
2013-05-25,0.818,0.888,97308363,1.63,1581,2400,0.77,0.386,19.867,20.098,19.946,20.045,77480,0.477,128.75,126.909,98.478,106.115
2013-05-26,0.825,0.892,96172070,1.613,1490,2376,0.756,0.383,19.875,20.086,19.945,20.046,77308,0.473,128.355,124.135,97.247,105.799
2013-05-27,0.831,0.896,95720663,1.595,1520,2360,0.742,0.38,19.883,20.079,19.946,20.048,77235,0.47,125.725,120.333,98.0,107.66
2013-05-28,0.837,0.9,95365389,1.578,1530,2344,0.728,0.377,19.891,20.072,19.947,20.05,77213,0.466,126.43,119.685,96.6,108.695
2013-05-29,0.843,0.904,95135691,1.562,1611,2333,0.714,0.374,19.899,20.063,19.946,20.051,77286,0.462,127.245,120.096,92.242,111.875
2013-05-30,0.848,0.907,94649406,1.545,1555,2312,0.7,0.37,19.907,20.055,19.946,20.052,77307,0.458,126.424,119.388,89.283,115.28
2013-05-31,0.853,0.911,94227034,1.528,1558,2294,0.686,0.367,19.913,20.044,19.945,20.051,77267,0.454,126.909,115.014,89.829,115.785
2013-06-01,0.858,0.916,93370214,1.51,1453,2268,0.672,0.364,19.919,20.033,19.943,20.05,77059,0.45,124.135,110.585,85.608,118.347
2013-06-02,0.863,0.92,92352855,1.493,1356,2239,0.657,0.36,19.925,20.024,19.942,20.05,76812,0.446,120.333,105.935,83.204,122.066
2013-06-03,0.868,0.926,92165914,1.477,1436,2223,0.642,0.357,19.93,20.009,19.939,20.047,76879,0.441,119.685,104.06,81.424,124.651
2013-06-04,0.872,0.931,91681265,1.461,1418,2201,0.628,0.353,19.934,19.995,19.936,20.044,76917,0.437,120.096,106.555,78.461,125.588
2013-06-05,0.876,0.937,91295066,1.445,1423,2180,0.613,0.349,19.94,19.986,19.934,20.042,76956,0.432,119.388,108.05,73.017,124.863
2013-06-06,0.88,0.944,91114407,1.428,1480,2164,0.599,0.346,19.943,19.976,19.932,20.04,76875,0.427,115.014,106.945,66.0,120.747
2013-06-07,0.885,0.951,90663078,1.411,1481,2144,0.585,0.342,19.947,19.965,19.929,20.037,76806,0.423,110.585,102.855,69.751,117.345
2013-06-08,0.891,0.957,89534374,1.394,1338,2112,0.57,0.338,19.951,19.958,19.927,20.035,76399,0.417,105.935,100.25,73.549,115.05
2013-06-09,0.896,0.964,89055586,1.377,1403,2094,0.556,0.334,19.957,19.955,19.927,20.034,75964,0.412,104.06,100.355,72.494,115.023
2013-06-10,0.901,0.972,88152422,1.358,1334,2066,0.541,0.329,19.962,19.952,19.927,20.033,75634,0.406,106.555,100.846,75.989,116.613
2013-06-11,0.907,0.979,87497569,1.34,1319,2041,0.527,0.325,19.966,19.948,19.926,20.031,75436,0.4,108.05,103.663,81.5,117.844
2013-06-12,0.913,0.986,86797719,1.322,1323,2017,0.513,0.32,19.971,19.949,19.927,20.031,75179,0.394,106.945,105.104,84.999,119.961
2013-06-13,0.918,0.994,86223415,1.304,1367,1997,0.498,0.315,19.978,19.951,19.928,20.031,74985,0.388,102.855,105.826,88.095,121.733
2013-06-14,0.924,1.002,85875062,1.286,1397,1977,0.485,0.311,19.984,19.954,19.929,20.032,75002,0.382,100.25,106.072,88.156,123.67
2013-06-15,0.93,1.009,84839322,1.267,1337,1950,0.471,0.306,19.991,19.957,19.931,20.032,74536,0.376,100.355,103.671,89.295,124.07
2013-06-16,0.935,1.017,84015509,1.248,1304,1925,0.457,0.301,19.999,19.962,19.933,20.033,73970,0.369,100.846,101.679,89.925,123.947
