Date,difficulty-btc-std-30,difficulty-btc-var-90,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-rsi-30,hashrate-btc-trx-90,mining_profitability-btc-wma-90,mining_profitability-btc-trx-7,mining_profitability-btc-trx-90,sentinusd-btc-wma-90,transactionfees-btc-sma-90,transactionfees-btc-trx-14,median_transaction_fee-btc-sma-90,median_transaction_fee-btc-mom-14,confirmationtime-btc-std-30,confirmationtime-btc-trx-90,transactionvalue-btc-wma-90,transactionvalue-btc-trx-30,mediantransactionvalue-btc-sma-90,fee_to_reward-btc-sma-90,fee_to_reward-btc-trx-30,size-btc-sma-90,size-btc-std-90,size-btc-trx-30,transactions-btc-sma-90,transactions-btc-std-30,transactions-btc-var-30,transactions-btc-trx-14,transactions-btc-trx-30,transactions-btc-trx-90,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-90,sentbyaddress-btc-trx-7,sentbyaddress-btc-trx-90,top100cap-btc-sma-90,top100cap-btc-ema-14,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-14,top100cap-btc-wma-90,activeaddresses-btc-sma-7,activeaddresses-btc-sma-90,activeaddresses-btc-ema-90,activeaddresses-btc-wma-7,activeaddresses-btc-wma-90,activeaddresses-btc-trx-7,price-btc-rsi-90,bitcoin-price_raw_7d
2013-04-01,1899346,1168545930405.0,1.93,1.046,0.271,97.889,0.372,4650.0,1.855,0.091,67298533,0.031,3.644,0.017,0.024,2.341,-0.057,1380,3.059,26.683,1.237,0.05,154528,50776,-0.019,52541,17233,74247499,-0.243,0.092,0.394,39879,44836,41505,1.151,0.253,19.396,19.671,19.545,19.501,19.706,19.428,77367.0,57136,57827,76468.0,60273,1.516,91.45,163.561
2013-04-02,1949365,1243754847226.0,1.948,1.085,0.279,97.889,0.384,4740.0,2.171,0.104,71854377,0.032,3.733,0.017,0.028,2.337,-0.059,1454,3.125,27.577,1.243,0.038,155210,50230,-0.015,52806,17526,76789294,-0.174,0.086,0.392,40218,45961,41997,1.319,0.256,19.401,19.718,19.576,19.513,19.764,19.442,80062.0,57678,58575,80095.0,61036,1.611,92.645,195.397
2013-04-03,1986041,1315553871298.0,1.943,1.122,0.288,97.889,0.396,4847.0,2.668,0.117,76240859,0.034,3.956,0.018,0.031,2.335,-0.061,1528,3.214,28.497,1.25,0.036,156056,49584,-0.006,53046,17519,76727861,-0.078,0.084,0.391,40562,47459,42633,1.885,0.26,19.405,19.754,19.602,19.523,19.81,19.454,84974.0,58298,59642,86865.0,62124,2.166,93.508,178.5
2013-04-04,2010105,1383943002621.0,1.917,1.154,0.296,97.889,0.407,4951.0,3.069,0.132,80005491,0.035,4.254,0.019,0.03,2.247,-0.063,1597,3.307,29.741,1.261,0.049,156943,51353,0.013,53249,18049,81439397,0.044,0.089,0.389,40971,49026,43319,2.554,0.264,19.41,19.786,19.627,19.534,19.852,19.467,87035.0,58982,60725,92844.0,63235,2.797,93.724,115.0
2013-04-05,2049389,1468006625051.0,1.888,1.184,0.305,98.186,0.419,5079.0,3.579,0.147,83741950,0.036,4.452,0.019,0.031,2.238,-0.065,1667,3.4,30.977,1.267,0.063,157741,51155,0.034,53491,17976,80782038,0.152,0.095,0.388,41318,50335,43942,3.009,0.269,19.413,19.792,19.64,19.54,19.866,19.477,89429.0,59500,61589,96094.0,64138,3.094,94.013,92.446
2013-04-06,2146374,1595799220682.0,1.885,1.216,0.314,98.62,0.431,5183.0,3.707,0.163,85896295,0.037,4.475,0.02,0.035,2.232,-0.066,1716,3.465,31.783,1.267,0.068,158385,49700,0.052,53699,17461,76225007,0.203,0.098,0.386,41563,50446,44178,2.704,0.274,19.416,19.797,19.653,19.547,19.876,19.486,90149.0,59954,62061,94508.0,64656,2.801,94.297,98.435
2013-04-07,2217375,1718152888140.0,1.89,1.248,0.324,98.62,0.443,5295.0,3.702,0.179,87347514,0.038,4.457,0.021,0.039,2.225,-0.068,1743,3.48,32.319,1.272,0.072,159496,49383,0.074,53957,17759,78845320,0.266,0.104,0.384,41727,50513,44396,2.1,0.278,19.418,19.793,19.66,19.551,19.873,19.494,93411.0,60321,62611,93745.0,65253,2.365,94.67,91.849
2013-04-08,2264835,1838692472962.0,1.894,1.279,0.334,98.62,0.455,5422.0,3.727,0.196,90590471,0.04,4.404,0.022,0.047,2.251,-0.069,1804,3.493,33.565,1.274,0.073,160005,49894,0.099,54213,17934,80403360,0.324,0.111,0.383,42067,51564,44947,1.898,0.283,19.421,19.779,19.662,19.554,19.856,19.499,98860.0,60965,63739,98866.0,66430,2.425,95.477,87.108
2013-04-09,2290219,1957321566010.0,1.891,1.308,0.344,98.62,0.467,5618.0,4.363,0.215,96300581,0.041,4.392,0.023,0.062,2.245,-0.07,1909,3.546,35.483,1.275,0.07,160347,49992,0.122,54477,17120,73273707,0.399,0.122,0.382,42470,53052,45662,2.076,0.289,19.424,19.771,19.665,19.558,19.839,19.506,101745.0,61586,64801,102169.0,67553,2.582,96.314,75.043
2013-04-10,2294259,2071119322547.0,1.877,1.335,0.355,98.62,0.48,5788.0,4.775,0.235,104318360,0.043,4.515,0.023,0.05,2.258,-0.072,2058,3.666,39.108,1.246,0.069,160400,50016,0.141,54602,17360,75345573,0.465,0.134,0.381,42930,55035,46570,2.587,0.295,19.429,19.77,19.672,19.562,19.828,19.513,105504.0,62389,66310,110096.0,69133,3.087,87.615,77.734
