bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-std-30,mining_profitability-btc-sma-7,mining_profitability-btc-ema-14,marketcap-btc-ema-3,marketcap-btc-wma-3,price-btc-sma-3,price-btc-ema-3,price-btc-wma-3
1039517192,94.715,0.0474,65502112131790.0,1899346,6562.0,6242.0,997954603,1005258635,90.406,90.961,91.616
1183101461,107.749,0.0539,61845596902013.0,1949365,6924.0,6475.0,1090528032,1100883277,97.171,99.355,100.288
1318189886,120.003,0.06,60270367548897.0,1986041,7363.0,6792.0,1204358959,1226714962,107.489,109.679,111.703
1357824968,123.562,0.0618,55272455140085.0,2010105,7555.0,7057.0,1281091963,1315492689,117.104,116.62,119.74
1414392012,128.664,0.0643,51815454745655.0,2049389,8052.0,7443.0,1347741988,1379502643,124.076,122.642,125.52
1474827634,134.114,0.0671,61828214750416.0,2146374,8384.0,7640.0,1411284811,1435181982,128.78,128.378,130.538
1563013110,142.08,0.071,62710014647861.0,2217375,8732.0,7876.0,1487148960,1508847768,134.952,135.229,137.188
1799989332,163.561,0.0818,63348133569501.0,2264835,9147.0,8176.0,1643569146,1666803642,146.585,149.395,151.492
2151102847,195.397,0.0977,65111643775833.0,2290219,9913.0,8866.0,1897335997,1936050053,167.012,172.396,175.898
1965870661,178.5,0.0892,70206503841325.0,2294259,10406.0,9325.0,1931603329,1999967835,179.152,175.448,181.642
1267079990,115.0,0.0575,65886778608137.0,2277070,10166.0,9027.0,1599341659,1647347356,162.965,145.224,149.566
1018942331,92.446,0.0462,63688279726654.0,2238163,9653.0,8671.0,1309141995,1259476272,128.648,118.835,114.306
1085384852,98.435,0.0492,62912871328188.0,2210075,9320.0,8395.0,1197263424,1093519868,101.96,108.635,99.199
1013148373,91.849,0.0459,61636671163390.0,2182310,8801.0,8046.0,1105205898,1038192859,94.243,100.242,94.144
961179992,87.108,0.0436,61994386305362.0,2137654,8193.0,7755.0,1033192945,999203596,92.464,93.675,90.576
828357493,75.043,0.0375,68054656188210.0,2075018,6991.0,7379.0,930775219,903430139,84.666,84.359,81.865
858411619,77.734,0.0389,67652617934419.0,2019357,5948.0,7063.0,894593419,865521639,79.961,81.046,78.399
1045938834,94.679,0.0473,72151171083871.0,2040554,5631.0,6772.0,970266127,947166206,82.485,87.863,85.758
1179129473,106.7,0.0534,59918797331804.0,2024487,5608.0,6695.0,1074697800,1081279618,93.038,97.281,97.865
1265497456,114.48,0.0572,64763702820794.0,1970245,5650.0,6721.0,1170097628,1200115025,105.286,105.881,108.586
1263886915,114.295,0.0571,76580830433678.0,1874516,5770.0,6707.0,1216992271,1250297522,111.825,110.088,113.091
1255982265,113.535,0.0568,72513318955570.0,1730429,5798.0,6621.0,1236487268,1260203013,114.103,111.811,113.945
1336598030,120.78,0.0604,72944892922583.0,1669036,6100.0,6679.0,1286542649,1297607589,116.203,116.296,117.284
1492314913,134.8,0.0674,74219362802875.0,1710781,6452.0,6784.0,1389428781,1401020511,123.038,125.548,126.582
1547569552,139.74,0.0699,71363029014717.0,1738309,6975.0,7018.0,1468499167,1493989419,131.773,132.644,134.933
1472883529,132.945,0.0665,79161241475573.0,1752289,7125.0,7049.0,1470691348,1501017434,135.828,132.794,135.519
1399986806,126.316,0.0632,72946223747758.0,1753046,7060.0,6966.0,1435339077,1448882838,133.0,129.555,130.763
1375272701,124.045,0.062,71142720780228.0,1740597,7225.0,7074.0,1405305889,1399779207,127.768,126.8,126.285
1448081487,130.56,0.0653,79016812809824.0,1714654,7397.0,7099.0,1426693688,1415796111,126.974,128.68,127.681
1491972429,134.465,0.0672,79306324484339.0,1763549,7302.0,7005.0,1459333058,1457892160,129.69,131.572,131.426
1383671584,124.662,0.0623,75031690568420.0,1814905,7141.0,6916.0,1421502321,1430506849,129.895,128.117,128.912
1232994860,111.049,0.0555,70601670548236.0,1837410,6686.0,6708.0,1327248591,1326383363,123.392,119.583,119.489
