difficulty-btc-wma-3,difficulty-btc-std-90,difficulty-btc-var-90,difficulty-btc-rsi-30,difficulty-btc-rsi-90,hashrate-btc-sma-14,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-90,hashrate-btc-wma-30,hashrate-btc-std-90,hashrate-btc-var-90,hashrate-btc-trx-14,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-7,mining_profitability-btc-ema-30,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-90,mining_profitability-btc-var-14,mining_profitability-btc-var-90,mining_profitability-btc-trx-30,sentinusd-btc-trx-30,transactionfees-btc-ema-30,transactionfees-btc-ema-90,transactionfees-btc-wma-30,median_transaction_fee-btc-sma-14,median_transaction_fee-btc-sma-30,median_transaction_fee-btc-sma-90,median_transaction_fee-btc-ema-14,median_transaction_fee-btc-trx-90,confirmationtime-btc-wma-90,confirmationtime-btc-trx-90,marketcap-btc-sma-14,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-7,marketcap-btc-wma-30,marketcap-btc-wma-90,marketcap-btc-rsi-90,transactionvalue-btc-sma-30,transactionvalue-btc-wma-30,transactionvalue-btc-std-30,transactionvalue-btc-var-30,transactionvalue-btc-trx-90,mediantransactionvalue-btc-wma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,size-btc-sma-30,size-btc-sma-90,size-btc-ema-90,size-btc-wma-90,transactions-btc-sma-30,transactions-btc-sma-90,transactions-btc-ema-90,transactions-btc-wma-90,transactions-btc-std-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-ema-90,sentbyaddress-btc-wma-90,sentbyaddress-btc-trx-30,top100cap-btc-sma-90,top100cap-btc-ema-90,top100cap-btc-wma-90,activeaddresses-btc-sma-30,activeaddresses-btc-sma-90,activeaddresses-btc-ema-30,activeaddresses-btc-ema-90,activeaddresses-btc-wma-90,activeaddresses-btc-trx-30,price-btc-ema-90
6695826,2161986,1168545930405.0,97.889,91.841,53495262808157.0,57115545498179.0,53347760970783.0,35799562131248.0,49808994690260.0,22738053510663.0,1.2925476936344e+26,2.0,6932.0,6562.0,6279.0,5449.0,3913.0,6648.0,5603.0,7035.0,6806.0,5894.0,4650.0,1716.0,2778.0,736163.0,1929846.0,1.215,3.029,0.06,0.038,0.065,0.037,0.03,0.017,0.038,1.11,8.698,-0.057,806312686,352418998,997954603,669282203,428855865,966815475,725365498,468618640,91.946,1883,2254,2031.0,1030745,-0.116,48.928,1.237,0.956,0.229,154996,154528,149099,156022,54216,52541,51153,54403,16078,43467,39879,44836,39824,41505,0.406,19.396,19.501,19.428,64764,57136,66879,57827,60273,0.538,39.444
6695826,2230475,1243754847226.0,97.889,91.841,54665535479792.0,58298058349138.0,54480805761613.0,36372002455880.0,50898629883949.0,23513282442924.0,1.3821861281017e+26,2.017,7394.0,6924.0,6503.0,5582.0,3977.0,6984.0,5757.0,7564.0,7164.0,6058.0,4740.0,1734.0,2884.0,751741.0,2079147.0,1.241,3.121,0.063,0.04,0.068,0.039,0.032,0.017,0.04,1.139,8.672,-0.059,850756175,364007125,1090528032,702431833,445432691,1029818260,761891508,486875397,93.08,2012,2417,2160.0,1166540,-0.089,52.383,1.243,0.953,0.227,155608,155210,149678,156482,54509,52806,51415,54635,15980,44503,40218,45961,40318,41997,0.432,19.401,19.513,19.442,66291,57678,68492,58575,61036,0.569,40.945
6695826,2293952,1315553871298.0,97.889,91.841,55777688549531.0,58791135649077.0,55252747333251.0,36897241249133.0,51824489851457.0,24166298674113.0,1.4600249790161e+26,2.015,8021.0,7363.0,6645.0,5743.0,4050.0,7451.0,5957.0,8293.0,7645.0,6269.0,4847.0,2113.0,3037.0,1116414.0,2305788.0,1.276,3.248,0.067,0.042,0.073,0.041,0.033,0.018,0.043,1.17,8.652,-0.061,899864027,377094375,1204358959,742158159,464614168,1112382477,805345883,507846447,93.897,2144,2576,2260.0,1276352,-0.059,56.154,1.25,0.953,0.227,156259,156056,150437,157119,54506,53046,51687,54876,15982,45581,40562,47459,40952,42633,0.468,19.405,19.523,19.454,68078,58298,70985,59642,62124,0.611,42.682
6695826,2352822,1383943002621.0,97.889,91.841,55963936181944.0,57911465521829.0,55255375040829.0,37301092103880.0,52379205377642.0,24532541967280.0,1.5046140384409e+26,1.969,8540.0,7555.0,6794.0,5910.0,4122.0,7782.0,6139.0,8671.0,7999.0,6465.0,4951.0,2382.0,3171.0,1418707.0,2513253.0,1.316,3.379,0.072,0.044,0.078,0.043,0.034,0.019,0.045,1.203,8.657,-0.063,946913769,390620653,1281091963,781878598,484245175,1188777207,849301001,529400965,94.103,2244,2712,2356.0,1387167,-0.027,61.086,1.261,0.963,0.232,157161,156943,152000,158559,54839,53249,52017,55177,16206,46630,40971,49026,41629,43319,0.514,19.41,19.534,19.467,69795,58982,73431,60725,63235,0.663,44.46
6850442,2423226,1468006625051.0,98.186,92.508,55757270220747.0,56387462827786.0,54796719001473.0,37620089085017.0,52665828439969.0,24746657364734.0,1.5309926268188e+26,1.873,9193.0,8052.0,7008.0,6087.0,4210.0,8324.0,6385.0,9376.0,8598.0,6726.0,5079.0,2886.0,3368.0,2082572.0,2836428.0,1.368,3.507,0.075,0.045,0.081,0.045,0.035,0.019,0.048,1.237,8.657,-0.065,996612312,404780326,1347741988,822685915,504687962,1264378606,894840766,551901435,94.378,2341,2847,2453.0,1503864,0.006,65.935,1.267,0.96,0.23,157013,157741,152837,159287,54793,53491,52220,55352,16024,47386,41318,50335,42237,43942,0.564,19.413,19.54,19.477,70824,59500,75147,61589,64138,0.716,46.311
7287490,2526499,1595799220682.0,98.62,93.644,56432105022907.0,57747650808443.0,55734251767998.0,38152135802938.0,53559612436911.0,25312859842570.0,1.6018521835239e+26,1.8,9217.0,8384.0,7170.0,6217.0,4283.0,8474.0,6548.0,9241.0,8816.0,6909.0,5183.0,3039.0,3486.0,2309302.0,3037954.0,1.419,3.588,0.077,0.047,0.084,0.048,0.037,0.02,0.05,1.274,8.651,-0.066,1052259702,419616955,1411284811,864759574,526009713,1338476055,942148593,575418958,94.647,2423,2919,2431.0,1477977,0.04,68.313,1.267,0.96,0.23,155571,158385,152963,159305,54291,53699,52205,55309,15424,47634,41563,50446,42453,44178,0.607,19.416,19.547,19.486,71381,59954,75659,62061,64656,0.762,48.24
7561676,2621567,1718152888140.0,98.62,93.644,56606848019815.0,58988241768298.0,56664353485313.0,38691869403926.0,54446884782637.0,25919505474601.0,1.6795519101196e+26,1.745,9428.0,8732.0,7477.0,6370.0,4360.0,8709.0,6733.0,9339.0,9073.0,7115.0,5295.0,3016.0,3626.0,2274547.0,3286874.0,1.472,3.616,0.08,0.048,0.087,0.051,0.039,0.021,0.053,1.312,8.644,-0.068,1113279831,435428226,1487148960,909808190,548800997,1416200260,992908503,600548544,95.001,2475,2921,2364.0,1397038,0.073,68.883,1.272,0.956,0.229,157037,159496,154115,160339,54547,53957,52451,55522,15284,48027,41727,50513,42652,44396,0.64,19.418,19.551,19.494,72398,60321,76397,62611,65253,0.803,50.303
7673000,2711968,1838692472962.0,98.62,93.644,57409957956603.0,60078214718599.0,57555524163205.0,39233765319653.0,55315279585865.0,26548753749922.0,1.762090814185e+26,1.701,9486.0,9147.0,7854.0,6535.0,4453.0,9062.0,6952.0,9687.0,9421.0,7357.0,5422.0,2922.0,3782.0,2134668.0,3575871.0,1.528,3.64,0.082,0.05,0.09,0.054,0.041,0.022,0.057,1.352,8.648,-0.069,1187783618,453843044,1643569146,967239231,576299641,1532238083,1056560996,630538898,95.761,2583,3022,2343.0,1372963,0.108,73.653,1.274,0.954,0.228,158313,160005,155017,161122,54752,54213,52650,55688,15008,49088,42067,51564,43182,44947,0.677,19.421,19.554,19.499,74390,60965,78816,63739,66430,0.852,52.792
7673000,2798086,1957321566010.0,98.62,93.644,58472556627847.0,61336571982907.0,58563006778222.0,39802509901107.0,56237950129593.0,27149681059982.0,1.8427629541468e+26,1.67,10963.0,9913.0,8419.0,6805.0,4578.0,10135.0,7365.0,11619.0,10472.0,7797.0,5618.0,3775.0,4185.0,3563293.0,4379283.0,1.606,3.71,0.086,0.052,0.095,0.058,0.042,0.023,0.062,1.397,8.628,-0.07,1285347923,476135446,1897335997,1043617529,610910701,1708894567,1140004234,667841311,96.548,2761,3247,2557.0,1634615,0.145,82.231,1.275,0.953,0.227,158105,160347,155546,161542,54524,54477,52961,55965,15049,50258,42470,53052,43874,45662,0.721,19.424,19.558,19.506,76227,61586,80962,64801,67553,0.904,55.926
7673000,2878277,2071119322547.0,98.62,93.644,60223121319068.0,63554054947512.0,60115473053303.0,40470729548145.0,57433350995605.0,28005325368815.0,1.9607456225329e+26,1.669,11927.0,10406.0,8884.0,7054.0,4689.0,10677.0,7683.0,12290.0,11070.0,8152.0,5788.0,3964.0,4459.0,3928726.0,4971618.0,1.69,3.852,0.093,0.055,0.101,0.062,0.044,0.023,0.066,1.445,8.595,-0.072,1363767349,496351594,1931603329,1103117731,640690041,1804671525,1207909993,700582744,87.849,3006,3593,3099.0,2400528,0.188,99.86,1.246,0.756,0.143,158038,160400,155830,161720,54676,54602,53197,56167,15166,51863,42930,55035,44751,46570,0.775,19.429,19.562,19.513,78891,62389,84349,66310,69133,0.968,58.62
