bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-mom-90,hashrate-btc-sma-7,hashrate-btc-ema-3,hashrate-btc-std-90,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-90,mining_profitability-btc-var-90,mining_profitability-btc-trx-30,sentinusd-btc-sma-30,transactionfees-btc-sma-90,transactionfees-btc-ema-90,transactionfees-btc-wma-30,transactionfees-btc-wma-90,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-ema-3,median_transaction_fee-btc-ema-90,median_transaction_fee-btc-wma-3,median_transaction_fee-btc-rsi-90,confirmationtime-btc-trx-90,marketcap-btc-sma-3,marketcap-btc-sma-14,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-roc-90,mediantransactionvalue-btc-ema-30,sentbyaddress-btc-wma-90,top100cap-btc-ema-90,price-btc-sma-3,price-btc-ema-3,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7
1039517192,94.715,0.0474,65502112131790.0,3716190,55235596298287.0,60545619812057.0,22738053510663.0,6279.0,5449.0,3913.0,6242.0,5603.0,4403.0,6442.0,5894.0,4650.0,2778.0,1929846.0,1.215,91370923,0.031,0.038,0.065,0.042,0.045,0.045,0.021,0.046,65.414,-0.057,991852178,806312686,352418998,997954603,929243159,428855865,1005258635,966815475,881124856,630.491,44.502,41505,19.501,90.406,90.961,39.444,91.616,88.156
1183101461,107.749,0.0539,61845596902013.0,3716190,56894215515944.0,61195608357035.0,23513282442924.0,6503.0,5582.0,3977.0,6475.0,5757.0,4482.0,6670.0,6058.0,4740.0,2884.0,2079147.0,1.241,99082516,0.032,0.04,0.068,0.043,0.049,0.05,0.021,0.05,67.414,-0.059,1066526516,850756175,364007125,1090528032,992707735,445432691,1100883277,1029818260,931363359,744.047,47.757,41997,19.513,97.171,99.355,40.945,100.288,93.861
1318189886,120.003,0.06,60270367548897.0,3716190,58975896856611.0,60732987952966.0,24166298674113.0,6645.0,5743.0,4050.0,6792.0,5957.0,4578.0,6984.0,6269.0,4847.0,3037.0,2305788.0,1.276,106494613,0.034,0.042,0.073,0.046,0.054,0.055,0.022,0.056,69.112,-0.061,1180269513,899864027,377094375,1204358959,1074078272,464614168,1226714962,1112382477,993687854,839.301,51.291,42633,19.523,107.489,109.679,42.682,111.703,101.342
1357824968,123.562,0.0618,55272455140085.0,3716190,59231838277080.0,58002721546526.0,24532541967280.0,6794.0,5910.0,4122.0,7057.0,6139.0,4670.0,7268.0,6465.0,4951.0,3171.0,2513253.0,1.316,111795343,0.035,0.044,0.078,0.048,0.059,0.058,0.023,0.06,69.578,-0.063,1286372105,946913769,390620653,1281091963,1145014946,484245175,1315492689,1188777207,1054749313,866.699,55.938,43319,19.534,117.104,116.62,44.46,119.74,108.257
1414392012,128.664,0.0643,51815454745655.0,4025422,58195372037459.0,54909088146090.0,24746657364734.0,7008.0,6087.0,4210.0,7443.0,6385.0,4786.0,7689.0,6726.0,5079.0,3368.0,2836428.0,1.368,116695551,0.036,0.045,0.081,0.05,0.062,0.061,0.024,0.063,70.229,-0.065,1363468955,996612312,404780326,1347741988,1212359213,504687962,1379502643,1264378606,1117079745,910.125,60.405,43942,19.54,124.076,122.642,46.311,125.52,115.097
1474827634,134.114,0.0671,61828214750416.0,4693363,58726810965768.0,58368651448253.0,25312859842570.0,7170.0,6217.0,4283.0,7640.0,6548.0,4877.0,7944.0,6909.0,5183.0,3486.0,3037954.0,1.419,120066807,0.037,0.047,0.084,0.051,0.064,0.064,0.025,0.065,70.901,-0.066,1415681538,1052259702,419616955,1411284811,1277976318,526009713,1435181982,1338476055,1180841788,956.989,62.325,44178,19.547,128.78,128.378,48.24,130.538,121.797
1563013110,142.08,0.071,62710014647861.0,4693363,59892030838102.0,60539333048057.0,25919505474601.0,7477.0,6370.0,4360.0,7876.0,6733.0,4977.0,8243.0,7115.0,5295.0,3626.0,3286874.0,1.472,122750551,0.038,0.048,0.087,0.053,0.067,0.068,0.026,0.069,71.841,-0.068,1484077585,1113279831,435428226,1487148960,1349235516,548800997,1508847768,1416200260,1248942242,1016.0,62.452,44396,19.551,134.952,135.229,50.303,137.188,128.822
1799989332,163.561,0.0818,63348133569501.0,4555363,59584319614918.0,61943733308779.0,26548753749922.0,7854.0,6535.0,4453.0,8176.0,6952.0,5090.0,8596.0,7357.0,5422.0,3782.0,3575871.0,1.528,128434505,0.04,0.05,0.09,0.055,0.073,0.075,0.027,0.076,74.12,-0.069,1612610025,1187783618,453843044,1643569146,1461923970,576299641,1666803642,1532238083,1340503509,1162.0,66.85,44947,19.554,146.585,149.395,52.792,151.492,139.324
2151102847,195.397,0.0977,65111643775833.0,4423450,60050897739750.0,63527688542306.0,27149681059982.0,8419.0,6805.0,4578.0,8866.0,7365.0,5272.0,9329.0,7797.0,5618.0,4185.0,4379283.0,1.606,137541562,0.041,0.052,0.095,0.057,0.084,0.086,0.029,0.088,76.92,-0.07,1838035096,1285347923,476135446,1897335997,1634218689,610910701,1936050053,1708894567,1468946073,1386.0,74.998,45662,19.558,167.012,172.396,55.926,175.898,155.325
1965870661,178.5,0.0892,70206503841325.0,4423450,61470345781525.0,66867096191816.0,28005325368815.0,8884.0,7054.0,4689.0,9325.0,7683.0,5426.0,9847.0,8152.0,5788.0,4459.0,4971618.0,1.69,150582704,0.043,0.055,0.101,0.06,0.09,0.088,0.03,0.091,72.699,-0.072,1972320947,1363767349,496351594,1931603329,1717131682,640690041,1999967835,1804671525,1559682438,1243.0,92.04,46570,19.562,179.152,175.448,58.62,181.642,163.972
1267079990,115.0,0.0575,65886778608137.0,4423450,62986677705533.0,66376937399976.0,28545384259058.0,8860.0,7116.0,4746.0,9027.0,7645.0,5463.0,9608.0,8154.0,5840.0,4449.0,4949018.0,1.746,154934009,0.044,0.056,0.103,0.062,0.081,0.073,0.031,0.075,60.154,-0.073,1794684499,1387155750,508774849,1599341659,1604618759,654456853,1647347356,1702619360,1546790790,750.464,93.529,47304,19.576,162.965,145.224,59.859,149.566,154.655
1018942331,92.446,0.0462,63688279726654.0,4423450,64682795559961.0,65032608563315.0,28885591087043.0,8853.0,7160.0,4791.0,8671.0,7562.0,5483.0,9275.0,8105.0,5876.0,4431.0,4908464.0,1.774,157552586,0.045,0.057,0.103,0.063,0.064,0.059,0.031,0.057,56.643,-0.074,1417297661,1392135055,518441394,1309141995,1458199652,662467523,1259476272,1541773671,1497695668,584.068,93.856,47792,19.589,128.648,118.835,60.575,114.306,140.006
1085384852,98.435,0.0492,62912871328188.0,4423450,64837746499643.0,63972739945752.0,29197883149984.0,8852.0,7215.0,4839.0,8395.0,7500.0,5507.0,8974.0,8069.0,5915.0,4415.0,4872858.0,1.78,159402573,0.045,0.057,0.103,0.063,0.051,0.054,0.031,0.05,57.312,-0.075,1123802391,1401156941,528852702,1197263424,1364995952,671762409,1093519868,1411661816,1456795641,631.553,92.368,48039,19.601,101.96,108.635,61.407,99.199,128.147
1013148373,91.849,0.0459,61636671163390.0,4423450,64684411716147.0,62804705554571.0,29497871637179.0,8767.0,7258.0,4877.0,8046.0,7389.0,5513.0,8564.0,7976.0,5936.0,4388.0,4813521.0,1.763,153834507,0.046,0.058,0.103,0.064,0.047,0.05,0.032,0.047,56.345,-0.076,1039158519,1403741761,538453760,1105205898,1277034057,679265397,1038192859,1277399512,1405061165,579.723,89.54,48063,19.613,94.243,100.242,62.076,94.144,115.915
961179992,87.108,0.0436,61994386305362.0,4423450,64491019249841.0,62399545929966.0,29756984964706.0,8670.0,7296.0,4921.0,7755.0,7291.0,5521.0,8177.0,7886.0,5958.0,4348.0,4725580.0,1.73,153118397,0.047,0.059,0.105,0.066,0.046,0.047,0.032,0.045,55.662,-0.077,1019904406,1398146246,547478560,1033192945,1198070541,685461322,999203596,1149783139,1346052929,545.312,88.231,48394,19.63,92.464,93.675,62.627,90.576,104.293
