difficulty-btc-sma-30,difficulty-btc-trx-14,difficulty-btc-trx-90,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-90,hashrate-btc-wma-30,hashrate-btc-trx-90,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-trx-90,sentinusd-btc-sma-90,transactionfees-btc-var-90,median_transaction_fee-btc-std-90,median_transaction_fee-btc-trx-90,confirmationtime-btc-sma-30,confirmationtime-btc-trx-90,marketcap-btc-ema-90,marketcap-btc-trx-90,transactionvalue-btc-sma-14,transactionvalue-btc-sma-90,transactionvalue-btc-std-90,transactionvalue-btc-var-90,mediantransactionvalue-btc-sma-14,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-14,mediantransactionvalue-btc-ema-30,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-wma-30,mediantransactionvalue-btc-wma-90,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,size-btc-sma-90,size-btc-std-30,size-btc-std-90,size-btc-var-30,size-btc-var-90,transactions-btc-trx-30,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-sma-90,top100cap-btc-trx-90,top100cap-btc-rsi-90
5182950,1.93,0.271,44956251399826.0,31776180357082.0,35799562131248.0,49808994690260.0,0.372,5449.0,3913.0,6242.0,5603.0,4403.0,6442.0,5894.0,4650.0,0.091,50015639,0.001,0.023,1.11,8.4,-0.057,428855865,1.097,2385,1039,1697.0,719749,54.928,41.397,26.683,53.027,44.502,31.061,48.928,32.651,1.279,1.237,1.157,1.188,1.245,0.956,0.229,154528,61285,50776,938951276,644540075,0.092,0.406,0.253,19.396,-0.057,50.301
5260549,1.948,0.279,45919538052526.0,32209968678589.0,36372002455880.0,50898629883949.0,0.384,5582.0,3977.0,6475.0,5757.0,4482.0,6670.0,6058.0,4740.0,0.104,52609580,0.001,0.024,1.139,8.367,-0.059,445432691,1.129,2545,1081,1835.0,841849,57.343,44.077,27.577,58.618,47.757,32.466,52.383,34.151,1.286,1.243,1.161,1.192,1.248,0.953,0.227,155210,61721,50230,952368214,630754328,0.086,0.432,0.256,19.401,-0.056,50.893
5338147,1.943,0.288,46674364484225.0,32616029589136.0,36897241249133.0,51824489851457.0,0.396,5743.0,4050.0,6792.0,5957.0,4578.0,6984.0,6269.0,4847.0,0.117,55179282,0.001,0.025,1.17,8.373,-0.061,464614168,1.163,2697,1125,1965.0,964945,60.546,46.873,28.497,64.473,51.291,34.005,56.154,35.799,1.299,1.25,1.17,1.212,1.255,0.953,0.227,156056,62497,49584,976467593,614641815,0.084,0.468,0.26,19.405,-0.056,50.53
5415745,1.917,0.296,47372797279589.0,32978965966943.0,37301092103880.0,52379205377642.0,0.407,5910.0,4122.0,7057.0,6139.0,4670.0,7268.0,6465.0,4951.0,0.132,57367531,0.001,0.027,1.203,8.339,-0.063,484245175,1.2,2833,1165,2068.0,1069102,65.817,50.029,29.741,72.319,55.938,35.968,61.086,37.883,1.315,1.261,1.187,1.254,1.271,0.963,0.232,156943,65394,51353,1069093010,659287348,0.089,0.514,0.264,19.41,-0.055,50.559
5503651,1.888,0.305,47974562797815.0,33303685514234.0,37620089085017.0,52665828439969.0,0.419,6087.0,4210.0,7443.0,6385.0,4786.0,7689.0,6726.0,5079.0,0.147,59595584,0.001,0.028,1.237,8.334,-0.065,504687962,1.238,3026,1205,2170.0,1177635,70.974,53.308,30.977,79.367,60.405,37.929,65.935,39.98,1.232,1.267,1.193,1.261,1.274,0.96,0.23,157741,65074,51155,1058645352,654198460,0.095,0.564,0.269,19.413,-0.054,49.033
5613822,1.885,0.314,48957293289103.0,33759925800740.0,38152135802938.0,53559612436911.0,0.431,6217.0,4283.0,7640.0,6548.0,4877.0,7944.0,6909.0,5183.0,0.163,61196359,0.001,0.03,1.274,8.328,-0.066,526009713,1.278,3150,1239,2215.0,1226309,74.44,55.459,31.783,80.807,62.325,39.077,68.313,41.281,1.213,1.267,1.187,1.243,1.267,0.96,0.23,158385,62919,49700,989697975,617523242,0.098,0.607,0.274,19.416,-0.053,49.037
5723993,1.89,0.324,49888014119461.0,34203852889091.0,38691869403926.0,54446884782637.0,0.443,6370.0,4360.0,7876.0,6733.0,4977.0,8243.0,7115.0,5295.0,0.179,62405013,0.001,0.032,1.312,8.321,-0.068,548800997,1.321,3236,1261,2223.0,1235699,76.177,56.682,32.319,78.605,62.452,39.631,68.883,41.996,1.217,1.272,1.19,1.249,1.268,0.956,0.229,159496,65397,49383,1069205906,609668881,0.104,0.64,0.278,19.418,-0.052,48.404
5834164,1.894,0.334,50810250348052.0,34633063475243.0,39233765319653.0,55315279585865.0,0.455,6535.0,4453.0,8176.0,6952.0,5090.0,8596.0,7357.0,5422.0,0.196,64431646,0.001,0.034,1.352,8.346,-0.069,576299641,1.366,3369,1297,2296.0,1317457,82.073,60.183,33.565,85.54,66.85,41.631,73.653,44.156,1.216,1.274,1.19,1.247,1.266,0.954,0.228,160005,66811,49894,1115915801,622354878,0.111,0.677,0.283,19.421,-0.051,47.679
5944335,1.891,0.344,51677790418136.0,35121378181982.0,39802509901107.0,56237950129593.0,0.467,6805.0,4578.0,8866.0,7365.0,5272.0,9329.0,7797.0,5618.0,0.215,67789645,0.001,0.037,1.397,8.357,-0.07,610910701,1.416,3610,1359,2499.0,1560757,91.009,65.897,35.483,99.887,74.998,44.961,82.231,47.663,1.209,1.275,1.188,1.24,1.263,0.953,0.227,160347,66511,49992,1105939032,624788508,0.122,0.721,0.289,19.424,-0.051,47.935
6054505,1.877,0.355,52725657551404.0,35644762825181.0,40470729548145.0,57433350995605.0,0.48,7054.0,4689.0,9325.0,7683.0,5426.0,9847.0,8152.0,5788.0,0.235,72404772,0.001,0.04,1.445,8.315,-0.072,640690041,1.468,3900,1445,2864.0,2050656,110.751,76.337,39.108,131.789,92.04,51.427,99.86,54.337,1.213,1.246,1.191,1.248,1.264,0.756,0.143,160400,66465,50016,1104405178,625390165,0.134,0.775,0.295,19.429,-0.05,48.425
