bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-90,mining_profitability-btc-var-90,marketcap-btc-wma-3,marketcap-btc-mom-90,price-btc-sma-3,price-btc-ema-3,price-btc-ema-14,price-btc-wma-3,price-btc-wma-7,price-btc-mom-90
1039517192,94.715,0.0474,6562.0,6279.0,5449.0,3913.0,5603.0,4403.0,5894.0,4650.0,2778.0,1929846.0,1005258635,897213385,90.406,90.961,75.294,91.616,88.156,81.308
1183101461,107.749,0.0539,6924.0,6503.0,5582.0,3977.0,5757.0,4482.0,6058.0,4740.0,2884.0,2079147.0,1100883277,1042931435,97.171,99.355,79.621,100.288,93.861,94.548
1318189886,120.003,0.06,7363.0,6645.0,5743.0,4050.0,5957.0,4578.0,6269.0,4847.0,3037.0,2305788.0,1226714962,1177852524,107.489,109.679,85.006,111.703,101.342,106.79
1357824968,123.562,0.0618,7555.0,6794.0,5910.0,4122.0,6139.0,4670.0,6465.0,4951.0,3171.0,2513253.0,1315492689,1217365028,117.104,116.62,90.146,119.74,108.257,110.343
1414392012,128.664,0.0643,8052.0,7008.0,6087.0,4210.0,6385.0,4786.0,6726.0,5079.0,3368.0,2836428.0,1379502643,1274370485,124.076,122.642,95.282,125.52,115.097,115.491
1474827634,134.114,0.0671,8384.0,7170.0,6217.0,4283.0,6548.0,4877.0,6909.0,5183.0,3486.0,3037954.0,1435181982,1335296658,128.78,128.378,100.46,130.538,121.797,120.991
1563013110,142.08,0.071,8732.0,7477.0,6370.0,4360.0,6733.0,4977.0,7115.0,5295.0,3626.0,3286874.0,1508847768,1423014406,134.952,135.229,106.009,137.188,128.822,128.918
1799989332,163.561,0.0818,9147.0,7854.0,6535.0,4453.0,6952.0,5090.0,7357.0,5422.0,3782.0,3575871.0,1666803642,1657333580,146.585,149.395,113.683,151.492,139.324,150.154
2151102847,195.397,0.0977,9913.0,8419.0,6805.0,4578.0,7365.0,5272.0,7797.0,5618.0,4185.0,4379283.0,1936050053,2006316195,167.012,172.396,124.578,175.898,155.325,181.794
1965870661,178.5,0.0892,10406.0,8884.0,7054.0,4689.0,7683.0,5426.0,8152.0,5788.0,4459.0,4971618.0,1999967835,1819453286,179.152,175.448,131.767,181.642,163.972,164.748
