bitcoin-marketcap_raw,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-rsi-30,difficulty-btc-rsi-90,difficulty-btc-roc-30,hashrate-btc-sma-90,hashrate-btc-std-90,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-30,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-var-14,mining_profitability-btc-trx-90,sentinusd-btc-ema-30,transactionfees-btc-sma-90,transactionfees-btc-ema-90,transactionfees-btc-std-90,transactionfees-btc-var-90,median_transaction_fee-btc-wma-30,median_transaction_fee-btc-std-14,median_transaction_fee-btc-trx-90,confirmationtime-btc-sma-90,confirmationtime-btc-wma-90,confirmationtime-btc-trx-90,marketcap-btc-wma-90,marketcap-btc-rsi-90,transactionvalue-btc-ema-30,transactionvalue-btc-std-30,transactionvalue-btc-std-90,transactionvalue-btc-var-30,transactionvalue-btc-var-90,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-var-90,mediantransactionvalue-btc-trx-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,transactions-btc-sma-30,transactions-btc-sma-90,transactions-btc-std-90,transactions-btc-var-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-90,top100cap-btc-trx-90,activeaddresses-btc-sma-90
1039517192,1.93,1.046,0.271,97.889,91.841,53.297,31776180357082.0,22738053510663.0,9.2668416192271e+25,1.2925476936344e+26,1.373,0.372,6932.0,5449.0,3913.0,4650.0,1716.0,736163.0,0.091,97859408,0.031,0.038,0.045,0.001,0.034,0.013,1.11,9.146,8.698,-0.057,468618640,91.946,2019,2031.0,1697.0,1030745,719749,-0.116,41.397,207.617,2.119,0.956,0.229,54216,52541,16078,64627438,44836,45856,19.396,-0.057,57136
1183101461,1.948,1.085,0.279,97.889,91.841,53.297,32209968678589.0,23513282442924.0,9.6441421949099e+25,1.3821861281017e+26,1.406,0.384,7394.0,5582.0,3977.0,4740.0,1734.0,751741.0,0.104,108146320,0.032,0.04,0.047,0.001,0.036,0.014,1.139,9.13,8.672,-0.059,486875397,93.08,2172,2160.0,1835.0,1166540,841849,-0.089,44.077,256.962,2.21,0.953,0.227,54509,52806,15980,63840999,45961,47069,19.401,-0.056,57678
1318189886,1.943,1.122,0.288,97.889,91.841,53.297,32616029589136.0,24166298674113.0,1.004435415887e+26,1.4600249790161e+26,1.435,0.396,8021.0,5743.0,4050.0,4847.0,2113.0,1116414.0,0.117,117439750,0.034,0.042,0.052,0.001,0.037,0.017,1.17,9.123,8.652,-0.061,507846447,93.897,2321,2260.0,1965.0,1276352,964945,-0.059,46.873,317.859,2.327,0.953,0.227,54506,53046,15982,63855681,47459,48661,19.405,-0.056,58298
1357824968,1.917,1.154,0.296,97.889,91.841,53.297,32978965966943.0,24532541967280.0,9.7331859112988e+25,1.5046140384409e+26,1.456,0.407,8540.0,5910.0,4122.0,4951.0,2382.0,1418707.0,0.132,124473962,0.035,0.044,0.056,0.001,0.039,0.019,1.203,9.122,8.657,-0.063,529400965,94.103,2446,2356.0,2068.0,1387167,1069102,-0.027,50.029,412.95,2.481,0.963,0.232,54839,53249,16206,65661184,49026,50349,19.41,-0.055,58982
1414392012,1.888,1.184,0.305,98.186,92.508,60.377,33303685514234.0,24746657364734.0,9.1452961351038e+25,1.5309926268188e+26,1.468,0.419,9193.0,6087.0,4210.0,5079.0,2886.0,2082572.0,0.147,131112830,0.036,0.045,0.059,0.001,0.041,0.021,1.237,9.11,8.657,-0.065,551901435,94.378,2568,2453.0,2170.0,1503864,1177635,0.006,53.308,509.864,2.658,0.96,0.23,54793,53491,16024,64193454,50335,51813,19.413,-0.054,59500
1474827634,1.885,1.216,0.314,98.62,93.644,75.669,33759925800740.0,25312859842570.0,8.8743237956317e+25,1.6018521835239e+26,1.479,0.431,9217.0,6217.0,4283.0,5183.0,3039.0,2309302.0,0.163,132822859,0.037,0.047,0.06,0.001,0.043,0.022,1.274,9.098,8.651,-0.066,575418958,94.647,2626,2431.0,2215.0,1477977,1226309,0.04,55.459,546.156,2.811,0.96,0.23,54291,53699,15424,59472284,50446,52114,19.416,-0.053,59954
1563013110,1.89,1.248,0.324,98.62,93.644,75.669,34203852889091.0,25919505474601.0,8.7489647255807e+25,1.6795519101196e+26,1.489,0.443,9428.0,6370.0,4360.0,5295.0,3016.0,2274547.0,0.179,132461825,0.038,0.048,0.062,0.001,0.046,0.023,1.312,9.1,8.644,-0.068,600548544,95.001,2614,2364.0,2223.0,1397038,1235699,0.073,56.682,554.859,2.913,0.956,0.229,54547,53957,15284,58397618,50513,52363,19.418,-0.052,60321
1799989332,1.894,1.279,0.334,98.62,93.644,75.669,34633063475243.0,26548753749922.0,8.5950357350694e+25,1.762090814185e+26,1.498,0.455,9486.0,6535.0,4453.0,5422.0,2922.0,2134668.0,0.196,137461679,0.04,0.05,0.064,0.001,0.048,0.026,1.352,9.083,8.648,-0.069,630538898,95.761,2706,2343.0,2296.0,1372963,1317457,0.108,60.183,658.551,3.035,0.954,0.228,54752,54213,15008,56310715,51564,53573,19.421,-0.051,60965
2151102847,1.891,1.308,0.344,98.62,93.644,75.669,35121378181982.0,27149681059982.0,8.743302209472e+25,1.8427629541468e+26,1.506,0.467,10963.0,6805.0,4578.0,5618.0,3775.0,3563293.0,0.215,149512000,0.041,0.052,0.068,0.001,0.052,0.033,1.397,9.051,8.628,-0.07,667841311,96.548,2923,2557.0,2499.0,1634615,1560757,0.145,65.897,935.916,3.222,0.953,0.227,54524,54477,15049,56620209,53052,55222,19.424,-0.051,61586
1965870661,1.877,1.335,0.355,98.62,93.644,75.669,35644762825181.0,28005325368815.0,9.2225490332046e+25,1.9607456225329e+26,1.518,0.48,11927.0,7054.0,4689.0,5788.0,3964.0,3928726.0,0.235,167775652,0.043,0.055,0.074,0.001,0.055,0.034,1.445,9.026,8.595,-0.072,700582744,87.849,3259,3099.0,2864.0,2400528,2050656,0.188,76.337,1942.0,3.576,0.756,0.143,54676,54602,15166,57499297,55035,57384,19.429,-0.05,62389
