bitcoin-price_raw,bitcoin-median_transaction_fee_raw,difficulty-btc-sma-3,difficulty-btc-wma-30,difficulty-btc-rsi-30,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-7,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-7,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-90,mining_profitability-btc-var-90,transactionfees-btc-ema-30,transactionfees-btc-ema-90,transactionfees-btc-wma-90,transactionfees-btc-std-90,median_transaction_fee-btc-sma-3,median_transaction_fee-btc-sma-30,median_transaction_fee-btc-ema-3,median_transaction_fee-btc-wma-3,median_transaction_fee-btc-std-90,median_transaction_fee-btc-trx-30,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-30,marketcap-btc-mom-90,marketcap-btc-roc-90,transactionvalue-btc-wma-90,mediantransactionvalue-btc-ema-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-mom-14,fee_to_reward-btc-trx-7,transactions-btc-wma-90,sentbyaddress-btc-sma-30,price-btc-sma-3,price-btc-sma-90,price-btc-ema-3,price-btc-ema-90,price-btc-wma-3,price-btc-wma-90,price-btc-mom-90,price-btc-trx-14
94.715,0.0474,6695826,5652157,97.889,6279.0,5449.0,3913.0,6648.0,6242.0,5603.0,4403.0,6806.0,6442.0,5894.0,4650.0,2778.0,1929846.0,0.06,0.038,0.042,0.045,0.045,0.03,0.045,0.046,0.023,2.482,352418998,997954603,929243159,669282203,428855865,1005258635,966815475,725365498,897213385,630.491,1380,44.502,1.245,0.074,1.014,54403,43467,90.406,32.485,90.961,39.444,91.616,43.032,81.308,3.629
107.749,0.0539,6695826,5749761,97.889,6503.0,5582.0,3977.0,6984.0,6475.0,5757.0,4482.0,7164.0,6670.0,6058.0,4740.0,2884.0,2079147.0,0.063,0.04,0.043,0.047,0.049,0.032,0.05,0.05,0.024,2.534,364007125,1090528032,992707735,702431833,445432691,1100883277,1029818260,761891508,1042931435,744.047,1454,47.757,1.248,0.133,0.73,54635,44503,97.171,33.536,99.355,40.945,100.288,44.686,94.548,3.745
120.003,0.06,6695826,5842360,97.889,6645.0,5743.0,4050.0,7451.0,6792.0,5957.0,4578.0,7645.0,6984.0,6269.0,4847.0,3037.0,2305788.0,0.067,0.042,0.046,0.052,0.054,0.033,0.055,0.056,0.025,2.599,377094375,1204358959,1074078272,742158159,464614168,1226714962,1112382477,805345883,1177852524,839.301,1528,51.291,1.255,0.895,1.028,54876,45581,107.489,34.722,109.679,42.682,111.703,46.586,106.79,3.911
123.562,0.0618,6695826,5929952,97.889,6794.0,5910.0,4122.0,7782.0,7057.0,6139.0,4670.0,7999.0,7268.0,6465.0,4951.0,3171.0,2513253.0,0.072,0.044,0.048,0.056,0.059,0.034,0.058,0.06,0.027,2.674,390620653,1281091963,1145014946,781878598,484245175,1315492689,1188777207,849301001,1217365028,866.699,1597,55.938,1.271,1.024,1.951,55177,46630,117.104,35.948,116.62,44.46,119.74,48.539,110.343,4.087
128.664,0.0643,6798904,6032489,98.186,7008.0,6087.0,4210.0,8324.0,7443.0,6385.0,4786.0,8598.0,7689.0,6726.0,5079.0,3368.0,2836428.0,0.075,0.045,0.05,0.059,0.062,0.035,0.061,0.063,0.028,2.755,404780326,1347741988,1212359213,822685915,504687962,1379502643,1264378606,894840766,1274370485,910.125,1667,60.405,1.274,0.258,2.262,55352,47386,124.076,37.231,122.642,46.311,125.52,50.576,115.491,4.257
134.114,0.0671,7124628,6172446,98.62,7170.0,6217.0,4283.0,8474.0,7640.0,6548.0,4877.0,8816.0,7944.0,6909.0,5183.0,3486.0,3037954.0,0.077,0.047,0.051,0.06,0.064,0.037,0.064,0.065,0.03,2.84,419616955,1411284811,1277976318,864759574,526009713,1435181982,1338476055,942148593,1335296658,956.989,1716,62.325,1.267,-0.017,1.628,55309,47634,128.78,38.576,128.378,48.24,130.538,52.706,120.991,4.409
142.08,0.071,7450353,6305297,98.62,7477.0,6370.0,4360.0,8709.0,7876.0,6733.0,4977.0,9073.0,8243.0,7115.0,5295.0,3626.0,3286874.0,0.08,0.048,0.053,0.062,0.067,0.039,0.068,0.069,0.032,2.93,435428226,1487148960,1349235516,909808190,548800997,1508847768,1416200260,992908503,1423014406,1016.0,1743,62.452,1.268,0.447,1.142,55522,48027,134.952,40.008,135.229,50.303,137.188,54.981,128.918,4.547
163.561,0.0818,7673000,6431039,98.62,7854.0,6535.0,4453.0,9062.0,8176.0,6952.0,5090.0,9421.0,8596.0,7357.0,5422.0,3782.0,3575871.0,0.082,0.05,0.055,0.064,0.073,0.041,0.075,0.076,0.034,3.033,453843044,1643569146,1461923970,967239231,576299641,1666803642,1532238083,1056560996,1657333580,1162.0,1804,66.85,1.266,-0.038,0.631,55688,49088,146.585,41.677,149.395,52.792,151.492,57.696,150.154,4.724
195.397,0.0977,7673000,6549674,98.62,8419.0,6805.0,4578.0,10135.0,8866.0,7365.0,5272.0,10472.0,9329.0,7797.0,5618.0,4185.0,4379283.0,0.086,0.052,0.057,0.068,0.084,0.042,0.086,0.088,0.037,3.161,476135446,1897335997,1634218689,1043617529,610910701,1936050053,1708894567,1140004234,2006316195,1386.0,1909,74.998,1.263,-0.08,0.095,55965,50258,167.012,43.696,172.396,55.926,175.898,61.074,181.794,4.995
178.5,0.0892,7673000,6661200,98.62,8884.0,7054.0,4689.0,10677.0,9325.0,7683.0,5426.0,11070.0,9847.0,8152.0,5788.0,4459.0,4971618.0,0.093,0.055,0.06,0.074,0.09,0.044,0.088,0.091,0.04,3.289,496351594,1931603329,1717131682,1103117731,640690041,1999967835,1804671525,1207909993,1819453286,1243.0,2058,92.04,1.264,-0.464,-0.095,56167,51863,179.152,45.527,175.448,58.62,181.642,64.037,164.748,5.205
