difficulty-btc-trx-90,mining_profitability-btc-sma-30,mining_profitability-btc-trx-90,sentinusd-btc-sma-90,marketcap-btc-trx-90,transactionvalue-btc-sma-14,transactionvalue-btc-sma-90,mediantransactionvalue-btc-sma-90,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-90,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,size-btc-sma-7,size-btc-sma-90,size-btc-wma-7,size-btc-std-30,size-btc-std-90,size-btc-var-30,size-btc-var-90,top100cap-btc-sma-90,top100cap-btc-std-90,top100cap-btc-trx-90
0.271,5449.0,0.091,50015639,1.097,2385,1039,26.683,1.237,1.157,0.956,0.229,168568,154528,163582,61285,50776,938951276,644540075,19.396,0.322,-0.057
0.279,5582.0,0.104,52609580,1.129,2545,1081,27.577,1.243,1.161,0.953,0.227,170577,155210,165301,61721,50230,952368214,630754328,19.401,0.345,-0.056
0.288,5743.0,0.117,55179282,1.163,2697,1125,28.497,1.25,1.17,0.953,0.227,169651,156056,168709,62497,49584,976467593,614641815,19.405,0.364,-0.056
0.296,5910.0,0.132,57367531,1.2,2833,1165,29.741,1.261,1.187,0.963,0.232,176267,156943,181688,65394,51353,1069093010,659287348,19.41,0.383,-0.055
0.305,6087.0,0.147,59595584,1.238,3026,1205,30.977,1.267,1.193,0.96,0.23,178017,157741,185138,65074,51155,1058645352,654198460,19.413,0.392,-0.054
0.314,6217.0,0.163,61196359,1.278,3150,1239,31.783,1.267,1.187,0.96,0.23,173848,158385,180275,62919,49700,989697975,617523242,19.416,0.4,-0.053
0.324,6370.0,0.179,62405013,1.321,3236,1261,32.319,1.272,1.19,0.956,0.229,182074,159496,188166,65397,49383,1069205906,609668881,19.418,0.404,-0.052
0.334,6535.0,0.196,64431646,1.366,3369,1297,33.565,1.274,1.19,0.954,0.228,190055,160005,191427,66811,49894,1115915801,622354878,19.421,0.408,-0.051
0.344,6805.0,0.215,67789645,1.416,3610,1359,35.483,1.275,1.188,0.953,0.227,190581,160347,188696,66511,49992,1105939032,624788508,19.424,0.413,-0.051
0.355,7054.0,0.235,72404772,1.468,3900,1445,39.108,1.246,1.191,0.756,0.143,188329,160400,183161,66465,50016,1104405178,625390165,19.429,0.418,-0.05
0.365,7116.0,0.254,74349257,1.518,4004,1486,40.236,1.247,1.2,0.757,0.143,187604,160726,190202,69307,51080,1200875592,652279796,19.438,0.448,-0.049
0.376,7160.0,0.273,75753638,1.564,4059,1514,41.177,1.248,1.202,0.757,0.143,183848,160733,184245,69261,51081,1199269405,652320582,19.446,0.471,-0.048
0.387,7215.0,0.291,76726062,1.606,4038,1538,41.856,1.246,1.196,0.76,0.144,181937,160542,174580,69434,51184,1205285576,654939242,19.456,0.491,-0.047
0.398,7258.0,0.307,77237603,1.644,3915,1549,42.28,1.251,1.2,0.756,0.143,177617,161076,172888,69509,50778,1207887412,644611706,19.466,0.51,-0.046
0.409,7296.0,0.323,77785369,1.679,3850,1560,42.878,1.259,1.213,0.764,0.146,172869,161116,168956,66099,50775,1092275268,644531554,19.479,0.542,-0.045
0.419,7295.0,0.338,78822824,1.708,3677,1576,43.324,1.258,1.212,0.764,0.146,173164,161121,171036,59381,50783,881535271,644731362,19.494,0.582,-0.044
0.43,7308.0,0.351,79929025,1.733,3527,1596,43.924,1.264,1.227,0.775,0.15,172501,160719,168696,55531,50115,770912856,627870734,19.507,0.608,-0.043
0.442,7308.0,0.363,85757610,1.755,4071,1722,44.725,1.263,1.225,0.775,0.15,162205,160266,161675,54724,49958,748677366,623957901,19.52,0.634,-0.042
0.453,7286.0,0.375,87640254,1.776,4000,1755,45.596,1.263,1.233,0.774,0.15,169035,160843,174022,51903,51103,673483395,652890003,19.534,0.658,-0.041
