bitcoin-marketcap_raw,bitcoin-price_raw,difficulty-btc-sma-90,confirmationtime-btc-sma-90,marketcap-btc-sma-3,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-90,transactionvalue-btc-ema-90,transactionvalue-btc-wma-90,activeaddresses-btc-trx-90,price-btc-sma-3,price-btc-ema-3,price-btc-ema-7,price-btc-wma-3,price-btc-wma-7
1039517192,94.715,3906368,9.146,991852178,352418998,997954603,1005258635,966815475,468618640,1335,1380,0.27,90.406,90.961,84.752,91.616,88.156
1183101461,107.749,3947659,9.13,1066526516,364007125,1090528032,1100883277,1029818260,486875397,1403,1454,0.274,97.171,99.355,90.501,100.288,93.861
1318189886,120.003,3988950,9.123,1180269513,377094375,1204358959,1226714962,1112382477,507846447,1470,1528,0.279,107.489,109.679,97.877,111.703,101.342
1357824968,123.562,4030241,9.122,1286372105,390620653,1281091963,1315492689,1188777207,529400965,1531,1597,0.284,117.104,116.62,104.298,119.74,108.257
1414392012,128.664,4074968,9.11,1363468955,404780326,1347741988,1379502643,1264378606,551901435,1593,1667,0.29,124.076,122.642,110.389,125.52,115.097
1474827634,134.114,4127116,9.098,1415681538,419616955,1411284811,1435181982,1338476055,575418958,1634,1716,0.296,128.78,128.378,116.32,130.538,121.797
1563013110,142.08,4179265,9.1,1484077585,435428226,1487148960,1508847768,1416200260,600548544,1652,1743,0.302,134.952,135.229,122.76,137.188,128.822
1799989332,163.561,4229880,9.083,1612610025,453843044,1643569146,1666803642,1532238083,630538898,1705,1804,0.309,146.585,149.395,132.96,151.492,139.324
2151102847,195.397,4279029,9.051,1838035096,476135446,1897335997,1936050053,1708894567,667841311,1801,1909,0.317,167.012,172.396,148.569,175.898,155.325
1965870661,178.5,4328179,9.026,1972320947,496351594,1931603329,1999967835,1804671525,700582744,1940,2058,0.325,179.152,175.448,156.052,181.642,163.972
1267079990,115.0,4377328,8.989,1794684499,508774849,1599341659,1647347356,1702619360,717521830,1985,2115,0.335,162.965,145.224,145.789,149.566,154.655
1018942331,92.446,4426478,8.95,1417297661,518441394,1309141995,1259476272,1541773671,728734302,2003,2143,0.344,128.648,118.835,132.453,114.306,140.006
