bitcoin-marketcap_raw,bitcoin-price_raw,difficulty-btc-ema-3,difficulty-btc-ema-90,difficulty-btc-wma-14,difficulty-btc-wma-90,hashrate-btc-sma-90,hashrate-btc-wma-30,hashrate-btc-std-90,hashrate-btc-var-90,mining_profitability-btc-sma-90,transactionfees-btc-trx-90,confirmationtime-btc-sma-30,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,marketcap-btc-sma-3,marketcap-btc-sma-30,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-wma-90,transactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,size-btc-sma-90,transactions-btc-sma-30,transactions-btc-ema-30,transactions-btc-ema-90,transactions-btc-wma-30,transactions-btc-wma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-90,sentbyaddress-btc-wma-90,sentbyaddress-btc-trx-90,top100cap-btc-ema-90,top100cap-btc-wma-90,activeaddresses-btc-sma-90,price-btc-sma-3,price-btc-sma-7,price-btc-sma-30,price-btc-sma-90,price-btc-ema-3,price-btc-ema-14,price-btc-ema-30,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7,price-btc-wma-30,price-btc-wma-90
1039517192,94.715,6690038,4296620,6368099,4430808,31776180357082.0,49808994690260.0,22738053510663.0,1.2925476936344e+26,3913.0,1.218,8.4,8.93,8.698,991852178,616948319,352418998,997954603,824742386,669282203,428855865,1005258635,966815475,881124856,468618640,3.059,0.207,154528,54216,53711,51153,52842,54403,43467,39879,39824,41505,0.253,19.501,19.428,57136,90.406,84.929,56.481,32.485,90.961,75.294,61.215,39.444,91.616,88.156,66.298,43.032
1183101461,107.749,6692932,4349349,6466725,4492115,32209968678589.0,50898629883949.0,23513282442924.0,1.3821861281017e+26,3977.0,1.251,8.367,8.909,8.672,1066526516,644647072,364007125,1090528032,872523596,702431833,445432691,1100883277,1029818260,931363359,486875397,3.125,0.23,155210,54509,54317,51415,53415,54635,44503,40218,40318,41997,0.256,19.513,19.442,57678,97.171,90.078,58.991,33.536,99.355,79.621,64.217,40.945,100.288,93.861,69.605,44.686
1318189886,120.003,6694379,4400920,6547748,4552514,32616029589136.0,51824489851457.0,24166298674113.0,1.4600249790161e+26,4050.0,1.288,8.373,8.894,8.652,1180269513,676520635,377094375,1204358959,931945768,742158159,464614168,1226714962,1112382477,993687854,507846447,3.214,0.256,156056,54506,54926,51687,54012,54876,45581,40562,40952,42633,0.26,19.523,19.454,58298,107.489,95.902,61.879,34.722,109.679,85.006,67.816,42.682,111.703,101.342,73.541,46.586
1357824968,123.562,6695103,4451358,6611170,4612006,32978965966943.0,52379205377642.0,24532541967280.0,1.5046140384409e+26,4122.0,1.328,8.339,8.904,8.657,1286372105,708525651,390620653,1281091963,988729661,781878598,484245175,1315492689,1188777207,1054749313,529400965,3.307,0.285,156943,54839,55688,52017,54801,55177,46630,40971,41629,43319,0.264,19.534,19.467,58982,117.104,101.303,64.777,35.948,116.62,90.146,71.413,44.46,119.74,108.257,77.521,48.539
1414392012,128.664,6850081,4507483,6698222,4677386,33303685514234.0,52665828439969.0,24746657364734.0,1.5309926268188e+26,4210.0,1.37,8.334,8.909,8.657,1363468955,741556324,404780326,1347741988,1045484641,822685915,504687962,1379502643,1264378606,1117079745,551901435,3.4,0.317,157741,54793,56045,52220,55212,55352,47386,41318,42237,43942,0.269,19.54,19.477,59500,124.076,107.314,67.766,37.231,122.642,95.282,75.106,46.311,125.52,115.097,81.643,50.576
1474827634,134.114,7261540,4577055,6853785,4756464,33759925800740.0,53559612436911.0,25312859842570.0,1.6018521835239e+26,4283.0,1.411,8.328,8.907,8.651,1415681538,776234498,419616955,1411284811,1102730374,864759574,526009713,1435181982,1338476055,1180841788,575418958,3.465,0.35,158385,54291,55755,52205,55003,55309,47634,41563,42453,44178,0.274,19.547,19.486,59954,128.78,113.979,70.904,38.576,128.378,100.46,78.913,48.24,130.538,121.797,85.923,52.706
1563013110,142.08,7467270,4645098,6982440,4834395,34203852889091.0,54446884782637.0,25919505474601.0,1.6795519101196e+26,4360.0,1.452,8.321,8.904,8.644,1484077585,813375690,435428226,1487148960,1164101405,909808190,548800997,1508847768,1416200260,1248942242,600548544,3.48,0.383,159496,54547,56247,52451,55590,55522,48027,41727,42652,44396,0.278,19.551,19.494,60321,134.952,121.555,74.263,40.008,135.229,106.009,82.989,50.303,137.188,128.822,90.515,54.981
1799989332,163.561,7570135,4711645,7091172,4911181,34633063475243.0,55315279585865.0,26548753749922.0,1.762090814185e+26,4453.0,1.494,8.346,8.913,8.648,1612610025,857732657,453843044,1643569146,1248886462,967239231,576299641,1666803642,1532238083,1340503509,630538898,3.493,0.418,160005,54752,56587,52650,56040,55688,49088,42067,43182,44947,0.283,19.554,19.499,60965,146.585,131.39,78.277,41.677,149.395,113.683,88.187,52.792,151.492,139.324,96.276,57.696
2151102847,195.397,7621567,4776730,7190598,4986854,35121378181982.0,56237950129593.0,27149681059982.0,1.8427629541468e+26,4578.0,1.538,8.357,8.897,8.628,1838035096,913331396,476135446,1897335997,1369181980,1043617529,610910701,1936050053,1708894567,1468946073,667841311,3.546,0.459,160347,54524,57247,52961,56817,55965,50258,42470,43874,45662,0.289,19.558,19.506,61586,167.012,143.911,83.309,43.696,172.396,124.578,95.104,55.926,175.898,155.325,103.832,61.074
1965870661,178.5,7647284,4840384,7280717,5061446,35644762825181.0,57433350995605.0,28005325368815.0,1.9607456225329e+26,4689.0,1.585,8.315,8.867,8.595,1972320947,962494324,496351594,1931603329,1448740471,1103117731,640690041,1999967835,1804671525,1559682438,700582744,3.666,0.514,160400,54676,57662,53197,57409,56167,51863,42930,44751,46570,0.295,19.562,19.513,62389,179.152,152.268,87.755,45.527,175.448,131.767,100.484,58.62,181.642,163.972,109.974,64.037
1267079990,115.0,7660142,4902639,7361530,5134959,36140003890285.0,58282455579911.0,28545384259058.0,2.0370974062431e+26,4746.0,1.629,8.26,8.87,8.594,1794684499,988725277,508774849,1599341659,1424519073,1113695941,654456853,1647347356,1702619360,1546790790,717521830,3.742,0.568,160726,55339,58345,53528,58284,56467,53099,43273,45444,47304,0.303,19.576,19.53,63095,162.965,151.045,90.118,46.649,145.224,129.532,101.42,59.859,149.566,154.655,111.731,65.564
1018942331,92.446,7666571,4963526,7433036,5207391,36637584644909.0,58910463766990.0,28885591087043.0,2.0859434311197e+26,4791.0,1.67,8.232,8.858,8.58,1417297661,1007159863,518441394,1309141995,1370442174,1107582805,662467523,1259476272,1541773671,1497695668,728734302,3.755,0.621,160733,55405,58356,53637,58489,56549,53802,43613,45885,47792,0.31,19.589,19.545,63675,128.648,145.871,91.774,47.521,118.835,124.587,100.841,60.575,114.306,140.006,111.881,66.571
1085384852,98.435,7669785,5023075,7495236,5278743,37109457916385.0,59424157039204.0,29197883149984.0,2.1312909511002e+26,4839.0,1.706,8.251,8.853,8.572,1123802391,1027615878,528852702,1197263424,1332434531,1106150679,671762409,1093519868,1411661816,1456795641,741194598,3.712,0.671,160542,55254,58033,53631,58357,56515,54245,43791,46081,48039,0.317,19.601,19.561,63979,101.96,140.774,93.612,48.46,108.635,121.1,100.686,61.407,99.199,128.147,112.311,67.69
1013148373,91.849,7671393,5081315,7548129,5349015,37534784253576.0,59805505495776.0,29497871637179.0,2.1753110778086e+26,4877.0,1.738,8.286,8.865,8.583,1039158519,1045551117,538453760,1105205898,1289863044,1100150530,679265397,1038192859,1277399512,1405061165,751838459,3.608,0.717,161076,55011,57858,53668,58361,56523,54223,43937,46056,48063,0.323,19.613,19.576,64280,94.243,133.598,95.22,49.325,100.242,117.2,100.116,62.076,94.144,115.915,112.197,68.643
961179992,87.108,7672196,5138275,7591716,5418207,37976966029229.0,60168672260366.0,29756984964706.0,2.2136953854744e+26,4921.0,1.769,8.304,8.863,8.58,1019904406,1061543417,547478560,1033192945,1246038637,1091184689,685461322,999203596,1149783139,1346052929,761129145,3.467,0.761,161116,55688,57631,53683,58317,56506,55075,44122,46340,48394,0.329,19.63,19.596,64753,92.464,122.676,96.652,50.138,93.675,113.187,99.277,62.627,90.576,104.293,111.674,69.473
828357493,75.043,7672598,5193984,7625997,5486319,38512729544934.0,60877604016506.0,30164729405180.0,2.2747772502194e+26,4949.0,1.795,8.345,8.847,8.563,934228619,1073184749,554999586,930775219,1190347818,1074228096,688601898,903430139,1018918618,1270081095,767302309,3.306,0.801,161121,56771,58274,53989,59086,56779,56172,44383,46797,48900,0.336,19.649,19.619,65219,84.666,105.483,97.689,50.814,84.359,108.101,97.713,62.899,81.865,92.384,110.28,70.021
858411619,77.734,7855437,5256496,7699674,5561378,39031430337929.0,61514797427390.0,30543339359100.0,2.3322389480128e+26,4983.0,1.818,8.374,8.838,8.553,882649701,1084973139,562776132,894593419,1146089658,1060304452,692333979,865521639,942808534,1201494992,773970705,3.14,0.838,160719,57212,58162,54045,59071,56805,56859,44613,47117,49273,0.342,19.665,19.639,65734,79.961,91.088,98.738,51.513,81.046,104.052,96.424,63.225,78.399,85.447,108.993,70.612
1045938834,94.679,8414867,5338205,7885369,5655840,39623024055206.0,62399457227446.0,31020141288674.0,2.4056229139233e+26,5009.0,1.839,8.418,8.859,8.575,910902649,1101141346,572582902,970266127,1132736215,1059377638,700105515,947166206,953132362,1162291359,784589665,3.126,0.875,160266,57230,57409,53878,58379,56608,57129,44766,47280,49491,0.348,19.682,19.659,66013,82.485,88.185,100.181,52.395,87.863,102.803,96.312,63.917,85.758,86.345,108.731,71.561
1179129473,106.7,8694581,5418120,8049365,5748904,40042583555610.0,62437535083100.0,31085309360937.0,2.4157411451629e+26,5048.0,1.857,8.541,8.895,8.613,1027826642,1119422996,583869469,1074697800,1138921982,1067103563,710633514,1081279618,1004651749,1143816821,797920359,3.086,0.909,160843,57674,57537,54000,58518,56696,57952,45122,47720,49987,0.354,19.698,19.679,66631,93.038,90.221,101.813,53.41,97.281,103.322,96.982,64.857,97.865,90.974,109.151,72.755
1265497456,114.48,8834439,5496277,8194605,5840570,40521346983024.0,62755459372970.0,31265747259647.0,2.4438673792603e+26,5099.0,1.873,8.632,8.905,8.625,1163521921,1138301959,596110754,1170097628,1155798712,1079903169,722828326,1200115025,1072042161,1139098610,812901194,3.014,0.941,161030,57434,56931,53871,57904,56535,58095,45304,47755,50079,0.359,19.717,19.701,66947,105.286,92.513,103.496,54.512,105.881,104.81,98.111,65.948,108.586,97.039,109.969,74.097
