bitcoin-marketcap_raw,bitcoin-price_raw,hashrate-btc-std-90,confirmationtime-btc-trx-90,marketcap-btc-sma-3,marketcap-btc-sma-30,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-7,marketcap-btc-ema-14,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-30,marketcap-btc-wma-90,transactionvalue-btc-ema-90,transactionvalue-btc-wma-90,transactionvalue-btc-trx-30,transactionvalue-btc-trx-90,transactions-btc-sma-90,transactions-btc-trx-90,sentbyaddress-btc-std-30,sentbyaddress-btc-var-30,activeaddresses-btc-trx-90,price-btc-sma-3,price-btc-sma-7,price-btc-sma-14,price-btc-sma-30,price-btc-ema-3,price-btc-ema-30,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7,price-btc-wma-30,price-btc-wma-90
1039517192,94.715,22738053510663.0,-0.057,991852178,616948319,352418998,997954603,929243159,824742386,428855865,1005258635,966815475,725365498,468618640,1335,1380,3.059,-0.116,52541,0.394,12929,41786951,0.27,90.406,84.929,73.635,56.481,90.961,61.215,39.444,91.616,88.156,66.298,43.032
1183101461,107.749,23513282442924.0,-0.059,1066526516,644647072,364007125,1090528032,992707735,872523596,445432691,1100883277,1029818260,761891508,486875397,1403,1454,3.125,-0.089,52806,0.392,13782,47486125,0.274,97.171,90.078,77.661,58.991,99.355,64.217,40.945,100.288,93.861,69.605,44.686
1318189886,120.003,24166298674113.0,-0.061,1180269513,676520635,377094375,1204358959,1074078272,931945768,464614168,1226714962,1112382477,805345883,507846447,1470,1528,3.214,-0.059,53046,0.391,16082,64654761,0.279,107.489,95.902,82.108,61.879,109.679,67.816,42.682,111.703,101.342,73.541,46.586
1357824968,123.562,24532541967280.0,-0.063,1286372105,708525651,390620653,1281091963,1145014946,988729661,484245175,1315492689,1188777207,849301001,529400965,1531,1597,3.307,-0.027,53249,0.389,18488,85452388,0.284,117.104,101.303,86.363,64.777,116.62,71.413,44.46,119.74,108.257,77.521,48.539
1414392012,128.664,24746657364734.0,-0.065,1363468955,741556324,404780326,1347741988,1212359213,1045484641,504687962,1379502643,1264378606,894840766,551901435,1593,1667,3.4,0.006,53491,0.388,20202,102026223,0.29,124.076,107.314,90.858,67.766,122.642,75.106,46.311,125.52,115.097,81.643,50.576
1474827634,134.114,25312859842570.0,-0.066,1415681538,776234498,419616955,1411284811,1277976318,1102730374,526009713,1435181982,1338476055,942148593,575418958,1634,1716,3.465,0.04,53699,0.386,20243,102441468,0.296,128.78,113.979,95.893,70.904,128.378,78.913,48.24,130.538,121.797,85.923,52.706
1563013110,142.08,25919505474601.0,-0.068,1484077585,813375690,435428226,1487148960,1349235516,1164101405,548800997,1508847768,1416200260,992908503,600548544,1652,1743,3.48,0.073,53957,0.384,20067,100672517,0.302,134.952,121.555,101.415,74.263,135.229,82.989,50.303,137.188,128.822,90.515,54.981
1799989332,163.561,26548753749922.0,-0.069,1612610025,857732657,453843044,1643569146,1461923970,1248886462,576299641,1666803642,1532238083,1056560996,630538898,1705,1804,3.493,0.108,54213,0.383,20552,105592143,0.309,146.585,131.39,108.159,78.277,149.395,88.187,52.792,151.492,139.324,96.276,57.696
2151102847,195.397,27149681059982.0,-0.07,1838035096,913331396,476135446,1897335997,1634218689,1369181980,610910701,1936050053,1708894567,1140004234,667841311,1801,1909,3.546,0.145,54477,0.382,22177,122951117,0.317,167.012,143.911,116.995,83.309,172.396,95.104,55.926,175.898,155.325,103.832,61.074
1965870661,178.5,28005325368815.0,-0.072,1972320947,962494324,496351594,1931603329,1717131682,1448740471,640690041,1999967835,1804671525,1207909993,700582744,1940,2058,3.666,0.188,54602,0.381,24551,150691678,0.325,179.152,152.268,124.085,87.755,175.448,100.484,58.62,181.642,163.972,109.974,64.037
1267079990,115.0,28545384259058.0,-0.073,1794684499,988725277,508774849,1599341659,1604618759,1424519073,654456853,1647347356,1702619360,1227560681,717521830,1985,2115,3.742,0.231,54776,0.38,25595,163781316,0.335,162.965,151.045,126.174,90.118,145.224,101.42,59.859,149.566,154.655,111.731,65.564
1018942331,92.446,28885591087043.0,-0.074,1417297661,1007159863,518441394,1309141995,1458199652,1370442174,662467523,1259476272,1541773671,1229510169,728734302,2003,2143,3.755,0.272,54920,0.379,25757,165857321,0.344,128.648,145.871,126.592,91.774,118.835,100.841,60.575,114.306,140.006,111.881,66.571
1085384852,98.435,29197883149984.0,-0.075,1123802391,1027615878,528852702,1197263424,1364995952,1332434531,671762409,1093519868,1411661816,1234556942,741194598,2012,2163,3.712,0.312,54965,0.378,25353,160688634,0.353,101.96,140.774,127.377,93.612,108.635,100.686,61.407,99.199,128.147,112.311,67.69
1013148373,91.849,29497871637179.0,-0.076,1039158519,1045551117,538453760,1105205898,1277034057,1289863044,679265397,1038192859,1277399512,1233623555,751838459,1998,2159,3.608,0.349,55086,0.376,25384,161081756,0.361,94.243,133.598,127.577,95.22,100.242,100.116,62.076,94.144,115.915,112.197,68.643
961179992,87.108,29756984964706.0,-0.077,1019904406,1061543417,547478560,1033192945,1198070541,1246038637,685461322,999203596,1149783139,1228180256,761129145,1991,2162,3.467,0.383,55191,0.375,24224,146702119,0.37,92.464,122.676,127.033,96.652,93.675,99.277,62.627,90.576,104.293,111.674,69.473
828357493,75.043,30164729405180.0,-0.078,934228619,1073184749,554999586,930775219,1105642279,1190347818,688601898,903430139,1018918618,1213136003,767302309,1991,2171,3.306,0.415,55348,0.373,23310,135844174,0.378,84.666,105.483,124.697,97.689,84.359,97.713,62.899,81.865,92.384,110.28,70.021
858411619,77.734,30543339359100.0,-0.079,882649701,1084973139,562776132,894593419,1043834614,1146089658,692333979,865521639,942808534,1199279672,773970705,1999,2189,3.14,0.445,55443,0.372,22660,128369152,0.387,79.961,91.088,121.678,98.738,81.046,96.424,63.225,78.399,85.447,108.993,70.612
