top100cap-btc_raw,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,hashrate-btc-sma-3,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-3,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-3,hashrate-btc-wma-7,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-14,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-var-14,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-90,mining_profitability-btc-sma-90,mining_profitability-btc-std-90,sentinusd-btc-sma-90,marketcap-btc-sma-90,marketcap-btc-ema-90,marketcap-btc-wma-90,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-90,fee_to_reward-btc-trx-90,transactions-btc-sma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-90,top100cap-btc-std-90
19.962,5182950,3906368,6096133,5385392,4296620,6368099,5652157,4430808,59387909975187.0,55235596298287.0,53495262808157.0,44956251399826.0,31776180357082.0,60545619812057.0,57115545498179.0,53347760970783.0,46935502677847.0,35799562131248.0,60620238288447.0,57669081336507.0,55439878831239.0,49808994690260.0,37564285480092.0,11490406893431.0,19252887180085.0,22738053510663.0,3.3007362644153e+25,9.2668416192271e+25,1.2925476936344e+26,0.372,3913.0,2778.0,50015639,352418998,428855865,468618640,0.207,1.237,0.742,52541,43467,39879,44836,45856,19.499,19.396,19.545,19.501,19.428,0.322
20.024,5260549,3947659,6176092,5469936,4349349,6466725,5749761,4492115,60633728191775.0,56894215515944.0,54665535479792.0,45919538052526.0,32209968678589.0,61195608357035.0,58298058349138.0,54480805761613.0,47897444240696.0,36372002455880.0,61849081751860.0,59321581487439.0,56553256710420.0,50898629883949.0,38225151777783.0,11315233330806.0,19640918710600.0,23513282442924.0,3.2008626332648e+25,9.6441421949099e+25,1.3821861281017e+26,0.384,3977.0,2884.0,52609580,364007125,445432691,486875397,0.23,1.243,0.733,52806,44503,40218,45961,47069,19.522,19.401,19.576,19.513,19.442,0.345
19.987,5338147,3988950,6245390,5549026,4400920,6547748,5842360,4552514,62539358860900.0,58975896856611.0,55777688549531.0,46674364484225.0,32616029589136.0,60732987952966.0,58791135649077.0,55252747333251.0,48695697357354.0,36897241249133.0,61667401430421.0,60165619495677.0,57300567652967.0,51824489851457.0,38841863840867.0,10182774073258.0,20044305085355.0,24166298674113.0,2.5922221956753e+25,1.004435415887e+26,1.4600249790161e+26,0.396,4050.0,3037.0,55179282,377094375,464614168,507846447,0.256,1.25,0.725,53046,45581,40562,47459,48661,19.542,19.405,19.602,19.523,19.454,0.364
19.99,5415745,4030241,6305448,5623013,4451358,6611170,5929952,4612006,59129473196998.0,59231838277080.0,55963936181944.0,47372797279589.0,32978965966943.0,58002721546526.0,57911465521829.0,55255375040829.0,49120004311079.0,37301092103880.0,58033949570014.0,59239759066545.0,57233203198374.0,52379205377642.0,39339807259569.0,10042649490131.0,19731382020831.0,24532541967280.0,2.5213702195409e+25,9.7331859112988e+25,1.5046140384409e+26,0.407,4122.0,3171.0,57367531,390620653,484245175,529400965,0.285,1.261,0.717,53249,46630,40971,49026,50349,19.564,19.41,19.627,19.534,19.467,0.383
19.833,5503651,4074968,6398730,5712177,4507483,6698222,6032489,4677386,55786092478212.0,58195372037459.0,55757270220747.0,47974562797815.0,33303685514234.0,54909088146090.0,56387462827786.0,54796719001473.0,49293904339116.0,37620089085017.0,54376940344342.0,57385663183689.0,56680072340202.0,52665828439969.0,39753796023936.0,10254314157412.0,19126208338407.0,24746657364734.0,2.6287739709724e+25,9.1452961351038e+25,1.5309926268188e+26,0.419,4210.0,3368.0,59595584,404780326,504687962,551901435,0.317,1.267,0.71,53491,47386,41318,50335,51813,19.578,19.413,19.64,19.54,19.477,0.392
19.833,5613822,4127116,6568632,5838682,4577055,6853785,6172446,4756464,56305374878719.0,58726810965768.0,56432105022907.0,48957293289103.0,33759925800740.0,58368651448253.0,57747650808443.0,55734251767998.0,50102569526942.0,38152135802938.0,57398001480444.0,58293873861928.0,57489531610825.0,53559612436911.0,40380708754402.0,10516744526294.0,18840725883715.0,25312859842570.0,2.7650478857832e+25,8.8743237956317e+25,1.6018521835239e+26,0.431,4283.0,3486.0,61196359,419616955,526009713,575418958,0.35,1.267,0.702,53699,47634,41563,50446,52114,19.593,19.416,19.653,19.547,19.486,0.4
19.767,5723993,4179265,6715881,5957025,4645098,6982440,6305297,4834395,58784561381311.0,59892030838102.0,56606848019815.0,49888014119461.0,34203852889091.0,60539333048057.0,58988241768298.0,56664353485313.0,50915953083130.0,38691869403926.0,60600321365015.0,59289674782452.0,58326586227485.0,54446884782637.0,41016974443350.0,10841862131140.0,18707180146223.0,25919505474601.0,2.9386493617664e+25,8.7489647255807e+25,1.6795519101196e+26,0.443,4360.0,3626.0,62405013,435428226,548800997,600548544,0.383,1.272,0.695,53957,48027,41727,50513,52363,19.602,19.418,19.66,19.551,19.494,0.404
19.689,5834164,4229880,6843497,6067733,4711645,7091172,6431039,4911181,62628787655926.0,59584319614918.0,57409957956603.0,50810250348052.0,34633063475243.0,61943733308779.0,60078214718599.0,57555524163205.0,51718029243541.0,39233765319653.0,62882107459111.0,60153700465301.0,59225424300777.0,55315279585865.0,41657508084677.0,11052546653601.0,18541883113718.0,26548753749922.0,3.0539696882506e+25,8.5950357350694e+25,1.762090814185e+26,0.455,4453.0,3782.0,64431646,453843044,576299641,630538898,0.418,1.274,0.687,54213,49088,42067,51564,53573,19.608,19.421,19.662,19.554,19.499,0.408
19.714,5944335,4279029,6954098,6171299,4776730,7190598,6549674,4986854,63723263997732.0,60050897739750.0,58472556627847.0,51677790418136.0,35121378181982.0,63527688542306.0,61336571982907.0,58563006778222.0,52582133406915.0,39802509901107.0,64123535519064.0,61535531505530.0,60252315743341.0,56237950129593.0,42327366992383.0,10949074860693.0,18701125323864.0,27149681059982.0,2.9970560076263e+25,8.743302209472e+25,1.8427629541468e+26,0.467,4578.0,4185.0,67789645,476135446,610910701,667841311,0.459,1.275,0.679,54477,50258,42470,53052,55222,19.618,19.424,19.665,19.558,19.506,0.413
19.762,6054505,4328179,7049951,6268182,4840384,7280717,6661200,5061446,66222093728887.0,61470345781525.0,60223121319068.0,52725657551404.0,35644762825181.0,66867096191816.0,63554054947512.0,60115473053303.0,53719189563974.0,40470729548145.0,67365155440861.0,64074433030924.0,61816842038471.0,57433350995605.0,43098468655225.0,10017080685539.0,19206820698080.0,28005325368815.0,2.5085476365151e+25,9.2225490332046e+25,1.9607456225329e+26,0.48,4689.0,4459.0,72404772,496351594,640690041,700582744,0.514,1.246,0.672,54602,51863,42930,55035,57384,19.628,19.429,19.672,19.562,19.513,0.418
